"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"HD 416";"And";"53680";"00 08 52 +37 12 56";"STF 1";"2017";"41";288;9.9;8.91;10.71;1.80;""
"HD 431";"Cep";"4048";"00 09 20 +79 42 52";"STF 2";"2023";"215";14;1.0;6.68;6.89;0.21;"Y"
"V342 And";"And";"36118";"00 10 03 +46 23 25";"STF 3";"2020";"79";82;5.0;7.84;9.08;1.24;""
"HD 531";"Psc";"";"00 09 52 +08 27 11";"STF 4";"2020";"93";276;5.2;9.51;9.60;0.09;""
"34 Psc";"Psc";"91750";"00 10 02 +11 08 45";"STF 5";"2016";"42";159;7.6;5.54;9.44;3.90;""
"";"Psc";"109045";"00 10 17 +04 53 33";"STF 6";"2016";"23";194;21.2;9.68;11.50;1.82;""
"HD 709";"Cas";"21191";"00 11 39 +55 57 41";"STF 7";"2018";"69";210;1.3;7.99;8.46;0.47;""
"HD 717";"Psc";"128631";"00 11 35 -03 04 41";"STF 8";"2020";"65";292;8.0;7.84;9.26;1.42;""
"HD 913";"Cas";"36180";"00 13 44 +49 33 32";"STF 9";"2020";"41";165;20.0;9.34;9.25;0.09;""
"HD 1026";"Cas";"11062";"00 14 49 +62 50 26";"STF 10 AB";"2022";"49";176;17.6;8.04;8.55;0.51;""
"";"Cas";"11062";"00 14 49 +62 50 26";"STF 10 AC";"2015";"11";103;55.4;8.04;11.10;3.06;""
"HD 1007";"Cep";"4069";"00 15 11 +78 01 02";"STF 11";"2020";"30";194;8.0;8.48;10.14;1.66;""
"35 Psc";"Psc";"109087";"00 14 59 +08 49 16";"STF 12";"2019";"175";148;11.2;6.06;7.51;1.45;""
"HD 1141";"Cep";"4071";"00 16 14 +76 57 03";"STF 13";"2023";"208";46;1.0;7.03;7.12;0.09;"Y"
"HD 1154";"Cet";"147186";"00 15 49 -11 59 25";"STF 14";"2016";"26";237;14.5;8.90;10.85;1.95;""
"HD 1153";"Psc";"128668";"00 15 52 -05 36 04";"STF 15";"2020";"36";200;4.7;7.71;9.83;2.12;""
"HD 1210";"Cas";"21263";"00 16 42 +54 39 36";"STF 16";"2020";"45";40;5.8;7.68;8.78;1.10;""
"HD 1202";"And";"73862";"00 16 32 +29 17 37";"STF 17 AB";"2024";"38";29;26.9;8.39;9.83;1.44;""
"";"And";"";"00 16 43 +36 37 47";"STF 19 Aa,Ab";"2015";"2";90;0.4;7.12;"";"";""
"HD 1223";"And";"53772";"00 16 43 +36 37 47";"STF 19 AB";"2021";"75";141;2.4;7.12;9.48;2.36;""
"HD 1309";"Psc";"91819";"00 17 22 +16 30 38";"STF 20 AB";"2020";"49";233;11.9;8.87;9.67;0.80;""
"";"Psc";"";"00 17 21 +02 20 51";"STF 21";"2016";"25";52;7.7;10.31;10.60;0.29;""
"38 Psc";"Psc";"109111";"00 17 24 +08 52 35";"STF 22 AB,C";"2020";"177";235;3.9;7.13;7.66;0.53;""
"";"Psc";"109111";"00 17 24 +08 52 35";"STF 22 AB,D";"2016";"11";152;66.9;7.13;11.50;4.37;""
"HD 1329";"Psc";"109113";"00 17 29 +00 19 16";"STF 23 AB";"2020";"132";216;10.7;7.88;10.28;2.40;""
"";"Psc";"109113";"00 17 29 +00 19 16";"STF 23 AC";"2015";"13";274;99.2;7.88;12.44;4.56;""
"HD 1429";"And";"73883";"00 18 31 +26 08 25";"STF 24";"2020";"91";247;5.2;7.79;8.44;0.65;""
"HD 1450";"Psc";"91839";"00 18 43 +15 59 26";"STF 25 AB";"2016";"62";195;1.0;9.31;9.55;0.24;""
"";"Psc";"91839";"00 18 43 +15 59 26";"STF 25 AB,C";"2016";"7";202;171.6;8.97;13.17;4.20;""
"";"Cep";"11128";"00 21 22 +67 00 20";"STF 26 AB,C";"2020";"42";115;13.1;7.54;9.92;2.38;""
"42 Psc";"Psc";"91866";"00 22 25 +13 28 57";"STF 27";"2019";"52";315;28.9;6.38;11.25;4.87;""
"HD 1941";"And";"73956";"00 23 53 +29 30 09";"STF 28 AB";"2020";"42";224;33.0;8.32;8.55;0.23;""
"HD 2094";"And";"53878";"00 25 19 +32 30 13";"STF 29";"2020";"36";167;5.3;9.44;9.81;0.37;""
"HD 2301";"Cas";"36374";"00 27 12 +49 59 09";"STF 30 AB";"2024";"93";316;13.0;6.96;8.92;1.96;""
"";"Cas";"36374";"00 27 12 +49 59 09";"STF 30 AC";"2024";"4";98;63.7;6.96;12.13;5.17;""
"";"Cas";"36374";"00 27 12 +49 59 09";"STF 30 AE";"2024";"5";324;173.1;6.96;13.70;6.74;""
"";"And";"36407";"00 28 54 +41 25 19";"STF 31";"2020";"23";56;5.9;9.90;10.50;0.60;""
"49 Psc";"Psc";"91934";"00 30 47 +16 02 15";"STF 32";"2015";"47";100;28.0;6.84;10.64;3.80;""
"HD 2731";"And";"53949";"00 30 58 +34 05 54";"STF 33";"2020";"84";213;2.8;8.83;8.91;0.08;""
"HD 2770";"Cep";"4138";"00 32 44 +78 06 42";"STF 34";"2020";"45";339;5.8;9.61;9.71;0.10;""
