"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"HD 224699";"And";"73664";"00 00 01 +38 51 33";"BU 860";"2016";"15";107;6.6;6.62;11.40;4.78;""
"HD 224738";"Cas";"20990";"00 00 19 +65 56 41";"MLR 280";"2016";"10";9;1.5;8.57;10.90;2.33;""
"HD 224755";"Cas";"35978";"00 00 20 +56 51 11";"CTT 1";"2015";"14";93;46.1;8.59;11.39;2.80;""
"HD 224750";"Phe";"231888";"00 00 19 -44 17 26";"I 1477";"2022";"33";183;0.2;6.80;7.56;0.76;"Y"
"";"Peg";"73671";"00 00 27 +31 13 33";"COU 645";"2015";"5";150;4.9;8.12;13.90;5.78;""
"HD 224782";"Phe";"248097";"00 00 34 -53 05 52";"HJ 5437";"2019";"30";340;1.4;6.55;9.85;3.30;"Y"
"HD 224783";"Tuc";"255620";"00 00 38 -66 40 60";"GLI 289";"2021";"21";274;3.0;7.69;9.17;1.48;""
"";"Psc";"147028";"00 00 39 +00 13 23";"RST 5178";"2016";"3";332;2.5;8.10;13.50;5.40;""
"HD 224803";"And";"73678";"00 00 50 +36 46 48";"ES 221";"2021";"30";234;15.5;8.35;10.31;1.96;""
"";"Peg";"108960";"00 00 48 +16 59 18";"BAG 18";"2022";"13";325;0.7;8.79;12.60;3.81;"Y"
"HD 224836";"Cep";"21000";"00 01 05 +69 34 32";"STTA 253 AB";"2023";"25";353;101.8;7.57;8.03;0.46;""
"WZ Cas";"Cas";"21002";"00 01 16 +60 21 19";"STTA 254 AB";"2019";"35";89;57.8;7.40;8.33;0.93;""
"";"Cas";"21002";"00 01 16 +60 21 19";"STTA 254 AC";"2015";"16";324;155.4;7.40;9.56;2.16;""
"HD 224882";"Peg";"73691";"00 01 29 +30 44 09";"HO 208";"2017";"45";185;1.1;8.20;9.81;1.61;"Y"
"HD 224937";"Phe";"231903";"00 01 56 -41 36 50";"I 1060";"2023";"10";40;0.7;7.95;10.77;2.82;""
"HD 240475";"Cas";"35999";"00 02 12 +59 57 55";"BU 1337 AB";"2015";"14";248;12.9;8.96;11.65;2.69;""
"85 Peg";"Peg";"91669";"00 02 10 +27 04 56";"BU 733 AB";"2018";"216";106;0.7;5.83;8.90;3.07;"Y"
"";"Peg";"91669";"00 02 10 +27 04 56";"BU 733 AC";"2013";"66";324;177.5;5.83;9.88;4.05;""
"";"Peg";"91669";"00 02 10 +27 04 56";"HSW 1 AE";"1998";"2";309;100.9;5.83;15.67;9.84;""
"HD 224989";"Scl";"";"00 02 16 -27 08 06";"HJ 5440 AB";"2016";"30";288;2.9;8.61;9.01;0.40;""
"Zet Scl";"Scl";"";"00 02 20 -29 43 14";"B 631";"1927";"3";330;3.0;5.00;13.00;8.00;""
"HD 224993";"Cas";"36003";"00 02 22 +50 29 59";"COU 2350";"2018";"11";116;0.5;7.68;9.19;1.51;""
"HD 224994";"Peg";"108976";"00 02 25 +10 46 36";"BGH 1 AB,C";"2016";"20";301;63.4;8.80;8.55;0.25;""
"HD 225009";"Cas";"10937";"00 02 36 +66 05 56";"STF 3053 AB";"2018";"79";70;15.2;5.96;7.17;1.21;""
"";"Cas";"10937";"00 02 36 +66 05 56";"STF 3053 AC";"2012";"10";291;98.5;5.96;10.99;5.03;""
"HD 225011";"Cas";"21023";"00 02 35 +55 34 20";"A 1499";"2016";"18";209;1.6;8.41;9.97;1.56;""
"";"Peg";"108980";"00 02 33 +18 41 00";"HDS 2 Aa,Ab";"2023";"11";239;0.1;8.49;10.62;2.13;"Y"
"HD 225020";"Cep";"2";"00 02 47 +80 16 56";"STF 3051";"2021";"41";24;16.7;7.74;9.47;1.73;""
"HD 225023";"And";"53596";"00 02 46 +35 48 56";"HO 622";"2015";"13";86;23.6;7.53;12.30;4.77;""
"HD 225028";"Psc";"108983";"00 02 47 +02 07 49";"BU 281 AB";"2017";"71";159;1.6;7.40;9.36;1.96;"Y"
"";"Psc";"108983";"00 02 47 +02 07 49";"HJ 998 AC";"2016";"20";329;46.3;7.40;12.38;4.98;""
"HD 225044";"Cep";"4017";"00 02 56 +71 21 31";"STF 3052";"2021";"39";9;34.7;8.63;9.26;0.63;""
"HD 225034";"And";"36011";"00 02 51 +47 15 08";"A 800";"2020";"61";113;1.5;8.94;9.10;0.16;""
"";"Psc";"128552";"00 02 57 -00 53 38";"HJ 999";"2016";"10";76;26.0;8.22;13.40;5.18;""
"HD 225064";"Cas";"21032";"00 03 06 +52 27 55";"HDS 3";"2011";"5";334;0.3;8.41;11.12;2.71;""
"HD 225057";"Psc";"108989";"00 03 04 +08 16 14";"STF 3054";"2016";"37";181;33.8;8.13;9.05;0.92;""
