number,name,mag,ra_h,ra_m,ra_s,dec_d,dec_m
1,GAM3 OCT,5.6,0,4,11.00,-82,56.2
2,OMI OCT,7.2,0,13,1.54,-89,4.5
3,BET HYI,2.7,0,18,59.16,-77,58.5
4,LAM HYI,5.6,0,44,8.27,-75,37.2
5,HYI,6.3,1,32,49.77,-79,9.3
6,OCT,6.1,1,45,3.08,-85,24.9
7,MU HYI,5.6,2,34,26.81,-79,40.0
8,THE HYI,5.8,3,2,0.48,-72,24.1
9,MEN,6.1,3,34,42.18,-78,46.8
10,GAM HYI,3.2,3,49,14.86,-74,37.8
11,MEN,6.9,4,37,43.64,-83,10.3
12,ETA MEN,6.0,4,58,53.06,-75,7.9
13,XI MEN,5.8,5,13,31.34,-82,38.2
14,PI MEN,5.8,5,47,23.48,-80,33.7
15,ZET MEN,5.8,6,50,39.43,-80,40.5
16,GAM2 VOL,4.5,7,9,49.63,-70,17.4
17,OCT,6.7,7,31,6.10,-86,48.7
18,THE CHA,4.7,8,24,26.15,-77,4.1
19,BET CAR,2.0,9,11,47.16,-69,11.4
20,ZET OCT,5.7,9,14,48.49,-85,8.8
21,ZET CHA,5.5,9,37,33.99,-80,21.9
22,MU CHA,6.0,10,4,2.73,-81,35.7
23,OME CAR,3.6,10,10,41.43,-69,24.2
24,I CAR,4.4,10,21,51.00,-73,22.8
25,DEL2 CHA,4.9,10,44,33.25,-79,51.9
26,ETA OCT,6.3,11,0,8.12,-83,54.3
27,OCT,6.6,11,56,0.60,-84,55.1
28,BET CHA,4.6,12,10,53.36,-78,36.1
29,IOT OCT,6.0,12,41,47.13,-84,25.6
30,DEL MUS,3.7,12,53,30.24,-70,51.5
31,OCT,7.0,13,15,47.71,-85,9.6
32,KAP OCT,5.7,13,20,40.78,-85,7.6
33,THE APS,var.,13,52,56.12,-76,10.6
34,ETA APS,5.3,14,2,18.97,-80,24.3
35,DEL OCT,4.7,14,6,41.26,-83,4.7
36,ALP APS,4.0,14,32,4.66,-78,29.9
37,PI2 OCT,5.9,14,42,45.63,-82,31.2
38,RHO OCT,5.9,15,14,9.28,-84,1.8
39,DEL1 APS,5.2,16,1,18.43,-78,22.0
40,GAM APS,3.9,16,13,53.74,-78,36.2
41,ALP TRA,2.2,16,35,8.06,-68,47.3
42,APS,6.4,17,7,31.64,-80,43.9
43,CHI OCT,5.8,17,39,27.29,-87,39.3
44,SIG OCT,5.8,18,10,0.20,-89,16.7
45,ZET PAV,4.2,18,28,4.09,-71,32.0
46,OCT,7.0,19,9,43.25,-82,0.3
47,OCT,6.4,19,57,15.98,-83,41.8
48,ALP OCT,5.6,20,49,6.94,-77,30.5
49,B OCT,6.7,20,58,58.73,-89,26.2
50,LAM OCT,5.7,21,31,0.36,-83,18.2
51,UPS OCT,6.4,22,6,22.61,-86,36.9
52,BET OCT,4.4,22,32,48.76,-82,3.1
53,TAU OCT,6.0,23,7,30.69,-88,11.0
54,GAM1 OCT,5.5,23,44,30.64,-82,43.8
