number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
1,87 PEG,0,2,35,17,31.0,5.8,7,5.7,,,,,6,6.0,5.7
2,34 PSC,0,3,37,10,26.9,5.5,8,5.8,,,26,7,6,5.8,6
3,CHI PEG,0,8,8,19,30.7,5.2,27,5.0,159,5,193,6,5,5.1,5
4,35 PSC,0,8,32,8,7.6,5.8,19,6.0,182,7.5,119,7.5,6,6.0,6
5,38 PSC,0,10,58,8,10.7,6.9,24,7.0,250,7,,,,,
6,,0,11,31,12,4.7,6.8,34,6.5,,,176,7,,,
7,,0,11,53,10,30.8,6.1,25,6.8,,,180,7,,,
8,41 d PSC,0,14,10,7,29.8,5.3,36,6.2,366,6,223,6.5,5.7,5.7,6
9,,0,14,28,10,17.1,6.5,32,7.2,375,7,(231),7.5,,,
10,,0,14,32,12,4.7,7.2,44,7.2,381,7.5,229,7.5,,,
11,,0,15,57,12,47.3,6.4,25,6.2,415,7.5,253,6.5,,,
12,,0,18,10,13,37.3,6.6,46,7.0,478,7.5,288,6,,,
13,45 PSC,0,19,15,7,0.0,6.9,43,7.3,,,302,7,,,
14,,0,21,1,15,20.0,6.7,59,6.7,581,6.8,,,,,
15,47 PSC,0,21,32,17,12.0,5.4,55,5.4,601,5.5,518,7,5.7,5.6,5.7
16,,0,21,52,9,30.6,6.1,47,6.5,617,6.5,340,7,,,
17,,0,25,3,10,50.6,7.0,57,7.5,730,7.8,392,8,,,
18,,0,25,14,12,13.8,7.3,47,7.2,,,396,8,,,
19,51 PSC,0,25,57,6,15.9,5.8,64,6.2,763,6,484,6.5,6,5.9,6
20,,0,26,48,13,8.9,7.6,69,7.4,792,9,433,8.5,,,
21,,0,27,42,13,49.5,7.5,73,7.5,,,,,,,
22,,0,27,42,9,36.9,7.0,62,6.8,827,7.5,448,7,,,
23,,0,29,27,12,31.7,6.4,59,6.5,892,7,484,7,,,
24,53 PSC,0,30,17,14,32.6,5.8,76,6.1,925,5.5,,,6,6.0,6
25,,0,30,49,10,44.9,6.9,65,7.3,943,8,504,7.5,,,
26,60 PSC,0,40,56,6,3.5,6.2,104,6.8,1273,6.5,689,7,,,6.3
27,62 PSC,0,41,48,6,37.0,6.0,105,7.0,1300,6,708,7,,,
28,,0,41,49,4,38.5,5.9,123,6.0,1299,6.5,,,6,6.0,6
29,,0,45,2,12,6.3,6.8,106,7.0,1416,8,764,8,,,
30,,0,45,56,12,58.2,7.2,104,7.3,1447,9,781,8.5,,,
31,,0,49,36,13,16.5,6.5,127,6.5,1576,7,839,7,,,
32,,0,51,21,13,1.2,6.4,119,6.0,(1640),7,873,6.5,6,,6
33,,0,51,51,6,10.2,6.8,135,7.3,1651,7.5,883,8,,,
34a,77 PSC,0,59,21,4,14.6,5.9,175,6.7,1905,8,,,6,5.9,6
34b,77 PSC,0,59,23,4,14.6,5.9,176,8.2,1908,9,,,6,5.9,6
35,,1,0,30,10,53.0,7.2,128,7.6,1955,8.5,1049,7,,,
36,80 e PSC,1,1,56,4,59.3,5.5,190,6.0,2005,5.8,,,5.7,5.7,5.7
37,,1,3,33,15,0.6,6.2,175,6.4,2068,6.5,14,7,,,6.3
38,,1,4,56,9,37.6,6.6,138,7.0,2123,7.2,39,7,,,
39,,1,5,45,11,37.2,6.9,158,6.8,2143,8,55,7,,,
40,89 f PSC,1,11,21,2,57.4,5.2,185,5.5,2329,5.5,,,5.3,5.2,5
41,,1,21,50,7,18.8,5.9,213,7.0,2677,7,347,7,,,6.3
42,96 PSC,1,22,32,6,38.9,6.6,228,7.2,,,357,8,,,6.3
43,MU PSC,1,23,38,5,29.9,5.0,194,5.0,,,379,6,5,4.9,5
44,,1,26,45,7,34.0,6.7,229,6.8,2824,7.2,439,7,,,6.3
45,,1,28,19,7,38.0,7.2,234,7.3,2883,8,469,7,,,
46,,1,29,5,14,1.3,6.4,240,6.6,2911,7,483,7,,,
47,,1,29,31,7,0.3,7.0,244,6.9,2927,7.8,490,7,,,
48,,1,30,10,7,11.5,6.7,240,6.9,2945,7.2,498,7,,,
49,PI PSC,1,30,29,11,30.0,5.5,205,6.0,2951,5.7,501,6.5,6,5.9,5.7
50,,1,32,33,13,39.1,7.2,255,7.5,2996,7,(541),8,,,
51,,1,34,0,8,7.5,6.5,258,6.7,3070,7.5,579,6.5,,,6.3
52,,1,36,0,9,36.9,7.3,206,8.2,3141,8,633,8,,,
53,OMI PSC,1,38,48,8,31.7,4.3,273,4.5,3212,6,688,9,4,4.1,4.3
54,,1,39,8,7,55.9,6.7,275,7.3,,,,,,,
55,,1,40,31,10,13.2,7.1,241,6.8,3261,7,709,8,,,
56,,1,42,7,7,3.6,7.3,275,7.3,3303,8,736,7.5,,,
57,54 CET,1,44,14,10,25.5,6.2,252,5.5,3380,6,767,7.5,,6.0,6
58,GAM ARI,1,46,40,18,41.0,3.8,243,3.5,3449,4.7,,,3.7,3.8,3.7
59,,1,46,49,12,4.0,7.2,248,7.2,3461,7.5,817,8,,,
60,XI PSC,1,47,5,2,34.2,4.7,290,4.5,3478,5.5,827,5.5,4,4.2,4
61,,1,47,22,10,0.7,7.0,235,7.1,3485,7,830,7,,,
62,BET ARI,1,47,44,20,11.8,2.7,306,2.5,3495,3.2,,,3,2.7,3
63,,1,47,45,10,47.3,7.6,257,8.0,,,834,8,,,
64,,1,47,46,8,9.9,6.8,292,7.0,3504,7.5,837,7,,,
65,ALF PSC,1,55,35,2,9.6,3.8,317,3.5,3768,3.5,,,3.3,3.5,3.3
66,,1,56,17,10,24.9,6.8,275,7.0,3779,7,,,,,
67,,1,57,24,7,29.8,7.2,317,7.5,3803,8,1001,8,,,
68,,1,59,12,6,25.8,6.9,324,7.0,3856,8,1031,7,,,
69,XI ARI,2,18,7,10,2.7,5.6,316,5.7,4449,7.5,268,7,5.3,5.5,5.3
70,,2,20,3,10,0.1,6.7,321,7.0,4510,7.2,305,8,,,
71,,2,20,46,9,38.7,6.7,322,7.3,4532,7.2,316,7.2,,,
72,XI2 CET,2,21,31,7,53.9,4.4,388,4.5,4557,5.5,329,5,4,4.0,4
73,,2,22,55,9,0.4,6.4,385,6.3,4602,7,358,7,,,6.3
74,,2,27,17,11,38.3,7.6,354,7.2,,,,,,,
75,,2,27,40,11,3.4,7.0,340,6.9,4759,8,434,8,,,
76,NU CET,2,29,19,5,2.8,5.1,418,5.3,,,472,5,5,5.1,4.7
77,31 ARI,2,29,49,11,54.3,5.9,360,5.1,,,,,6,5.8,5.7
78,,2,29,58,7,11.1,5.6,402,6.5,4831,6.5,483,7,6,6.0,6
79,,2,31,22,7,9.3,6.5,405,7.3,4879,7.2,511,7,,,
80,DEL CET,2,33,5,-0,12.7,4.0,406,3.7,4928,3.3,547,3.5,4,3.9,4
81,,2,33,40,5,34.4,6.4,374,7.0,4943,7,557,7,6,6.1,6
82,85 CET,2,35,45,10,12.6,6.5,360,7.0,5006,6.5,600,8,6,,6
83,GAM CET,2,36,49,2,42.5,3.2,422,3.5,5045,4,616,3.5,3.3,3.3,3.3
84,37 ARI,2,37,39,14,46.9,6.0,457,6.0,5061,6,,,6,5.9,6
85,38 ARI,2,38,8,11,55.2,5.4,377,5.2,5075,6,634,6,5,5.4,5
86,,2,41,5,14,59.1,7.3,469,7.5,5174,7,684,7.5,,,
87,PI ARI,2,42,19,16,56.6,5.5,355,5.7,5209,5.8,1001,7,5.7,5.6,5.7
88,SIG ARI,2,44,35,14,34.0,5.7,480,6.0,5283,6,744,7,6,5.9,5.7
89,,2,47,3,8,49.4,6.9,443,6.8,5346,8,790,8,,,
90,,2,47,42,7,10.2,7.2,443,7.7,5371,8.5,807,8,,,
91,,2,49,28,5,40.1,7.5,420,7.5,5423,8,,,,,
92,,2,49,33,7,52.7,6.3,450,6.8,5424,7,845,7,,,6
93,EPS ARI,2,52,4,20,50.4,5.0,484,4.2,5488,4.8,1225,6,4.3,4.5,4.3
94,,2,52,45,6,9.3,7.2,460,7.8,5523,8,,,,,
95,LAM CET,2,53,1,8,24.5,4.8,455,4.8,5529,4.5,904,4,4.7,4.7,4.7
96,,2,53,55,10,22.5,6.4,401,7.0,5554,7,929,7,,,6.3
97,,2,59,32,12,42.3,6.0,436,5.2,5725,6.2,1033,7,,,6
98,,3,1,57,7,59.2,6.6,478,6.6,5800,7,,,,,
99,,3,3,49,11,23.9,6.2,445,6.5,5865,7,20,6.5,,,
100,,3,4,30,12,34.3,6.4,452,6.3,5893,,36,7,,,
101,,3,5,48,6,11.4,6.1,496,6.4,5937,6,61,6,6,6.1,6
102,ZET ARI,3,7,43,20,34.8,5.2,527,4.5,5983,5,137,6,4.3,4.7,4.7
103,,3,10,29,6,20.4,7.0,508,7.5,6079,7.5,154,7,,,
104a,,3,10,44,7,13.7,6.9,493,7.5,6084,8,163,8,,,
104b,,3,10,50,7,15.8,6.9,494,8.5,6087,8.5,167,8,,,
105,,3,12,58,12,55.3,7.4,467,7.3,6134,8,205,8,,,
106,,3,17,17,12,11.1,6.3,473,6.0,6268,7,275,6.5,,,6.2
107,OMI TAU,3,18,5,8,35.3,3.4,511,3.8,6287,5,294,5,3.7,3.4,3.7
108,XI TAU,3,20,24,9,17.7,3.5,439,4.0,6360,4.5,335,4.5,3.7,3.5,3.7
109,,3,20,25,12,17.9,6.5,477,7.0,6357,7,334,8,,,6.3
110,,3,21,46,10,57.4,7.0,444,7.0,6400,7.8,359,8,,,
111,4 s TAU,3,23,34,10,54.4,5.6,452,5.3,6454,6,392,6.5,5,5.2,5
112,5 f TAU,3,23,58,12,30.4,4.3,486,4.0,6461,5.5,,,4,4.0,4
113,,3,24,7,5,45.6,6.3,502,6.7,6475,6,400,7,,,6.3
114,,3,25,31,11,7.1,6.8,487,7.3,6508,7.8,426,8,,,
115,6 t TAU,3,25,50,8,57.0,6.0,528,6.2,,,438,7,6,5.9,6
116,,3,26,25,13,21.6,7.2,568,7.5,,,447,8,,,
117,,3,28,10,5,59.9,6.8,511,7.3,6603,7.5,488,7,,,6.3
118,12 TAU,3,33,21,2,39.0,6.1,581,5.8,6744,7,601,7,6,5.9,6
119,,3,34,44,9,40.8,7.7,472,6.8,6752,8,632,8,,,
