# PPM -> HD identifications missing from cat/ppm.txt.
# Recovered from book/ybsc5.txt (BSC5) by position, match radius 20"; see gen_ppm_hd.py.
# Read by read_ppm.cpp, which uses it only where the PPM record's own HD field is blank.
ppm,hd,name,vmag,dist
99322,78175,-,6.40,8.02
189728,51424,-,6.34,1.68
191843,76370,17    Hya,6.67,1.54
252684,60585,-,5.87,5.39
264349,138268,-,6.22,0.72
264384,138488,-,7.00,4.32
283489,53952,-,6.14,0.77
285782,76072,-,6.42,1.30
286548,82384,Zet1Ant,6.18,3.90
298436,176270,-,6.40,1.70
298437,176269,-,6.69,13.63
309091,30985,-,6.07,0.47
315444,91356,-,6.09,3.52
315446,91355,-,5.74,3.13
317398,107998,-,6.25,1.72
322355,152249,-,6.45,4.21
322964,157661,-,5.29,4.79
334666,39547,-,6.35,2.43
336408,63926,-,6.33,2.56
342256,119938,-,5.91,1.02
355020,39963,-,6.36,0.85
359192,105151,-,6.06,1.20
364811,198160,-,6.28,3.11
366823,661,-,6.64,0.07
369604,62153,-,7.16,1.88
374746,196067,Mu 2Oct,6.55,2.08
400001,224990,Zet Scl,5.01,1.64
400016,5128,-,6.27,1.35
400017,5789,-,6.04,5.11
400022,7853,-,6.46,0.00
400024,8774,-,6.27,1.59
400026,11502,5Gam2Ari,4.75,4.24
400038,15089,Iot Cas,4.52,0.00
400039,15524,-,5.92,1.00
400040,16058,15    Tri,5.35,12.06
400042,16970,86Gam Cet,3.47,0.00
400050,20283,-,6.45,0.00
400056,24802,-,6.16,0.00
400061,26965,40Omi2Eri,4.43,0.00
400063,28255,-,6.29,1.63
400070,31647,4Ome Aur,4.94,0.00
400073,35943,118    Tau,5.47,3.00
400075,37023,41The1Ori,6.70,1.49
400076,37742,50Zet Ori,2.05,1.00
400078,37601,24    Cam,6.05,0.83
400085,42127,41    Aur,6.09,3.16
400087,45725,11Bet Mon,4.60,4.23
400089,46031,19    Gem,6.40,0.00
400094,47839,15    Mon,4.66,1.00
400099,52711,-,5.93,1.31
400105,57102,19    Lyn,6.53,0.85
400108,61556,-,4.62,3.29
400111,62864,2    Pup,6.07,1.76
400120,71152,24    Cnc,7.02,0.00
400124,74874,11Eps Hya,3.38,1.79
400128,75959,57    Cnc,5.39,0.00
400134,80024,-,5.75,1.22
400135,80081,38    Lyn,3.82,1.20
400137,80441,-,6.12,1.00
400142,82685,-,6.42,2.01
400148,85123,Ups Car,3.01,1.18
400158,94601,54    Leo,4.50,0.00
400161,98231,53Xi  UMa,4.41,1.00
400162,99028,78Iot Leo,3.94,0.00
400163,99787,57    UMa,5.31,1.16
400165,99967,-,6.35,1.03
400167,103483,65    UMa,6.54,0.00
400173,107398,-,7.13,4.13
400177,110379,29Gam Vir,3.65,0.00
400193,125111,-,6.38,1.00
400195,129247,30Zet Boo,4.43,1.00
400199,133640,44    Boo,4.76,1.42
400206,138383,-,6.37,2.60
400207,139892,7Zet2CrB,5.07,3.13
400213,145802,-,6.29,0.00
400215,146361,17Sig CrB,5.64,5.08
400217,148857,10Lam Oph,3.82,1.80
400225,156014,64Alp1Her,3.48,4.47
400228,156350,39Omi Oph,6.80,1.69
400229,156349,39Omi Oph,5.20,0.00
400231,157779,75Rho Her,4.52,2.33
400233,159870,-,6.17,1.28
400236,161832,-,6.68,0.00
400252,177483,-,6.31,0.00
400254,178449,17    Lyr,5.23,0.00
400262,188651,-,6.57,1.30
400271,193322,-,5.84,1.00
400272,196524,6Bet Del,3.63,1.00
400274,197177,49    Cyg,5.51,0.00
400275,197912,52    Cyg,4.22,1.63
400277,198513,-,6.29,1.00
400282,201433,-,5.59,1.00
400283,202444,65Tau Cyg,3.72,1.18
400284,202987,-,5.98,0.00
400287,206826,78Mu 1Cyg,4.73,4.07
400291,209790,17Xi  Cep,4.29,1.19
400294,210905,-,6.30,1.00
400297,214019,-,6.34,0.50
400301,215359,-,5.95,1.53
400304,217477,-,6.60,1.28
400307,218395,-,6.02,0.00
