name,x,y,z,mag
B 1,0.57782660,0.00678642,-0.81613134,6.0
B 3,0.68912133,0.00909436,-0.72458891,4.0
B 4,0.70252925,0.01109471,-0.71156838,7.0
B 6,0.27691437,0.00537164,-0.96087958,6.0
B 7,0.87862019,0.01998367,-0.47710293,6.0
B 8,0.81049592,0.01882696,-0.58544164,6.0
B 10,0.51168463,0.01298745,-0.85907518,7.0
B 12,0.78206386,0.02350260,-0.62275497,6.0
B 13,0.65072602,0.02125309,-0.75901512,7.0
B 14,0.53406451,0.01776800,-0.84525700,6.0
B 15,0.56227262,0.01967140,-0.82671793,6.0
B 16,0.68498569,0.02528545,-0.72811760,6.0
B 17,0.81254963,0.03059466,-0.58208854,6.0
B 19,0.84597515,0.03618839,-0.53199290,6.0
B 20,0.23141414,0.01019187,-0.97280194,6.0
B 21,0.83415875,0.03788840,-0.55022146,6.0
B 24,0.79714225,0.04179013,-0.60234360,6.0
B 25,0.71912574,0.03907306,-0.69378056,6.0
B 26,0.41198490,0.02392529,-0.91087651,5.0
B 27,0.76524581,0.04898752,-0.64187154,6.0
B 28,0.29720062,0.01944454,-0.95461704,7.0
B 29,0.33607818,0.02179693,-0.94158183,6.0
B 30,0.29720888,0.01945984,-0.95461416,7.5
B 31,0.86696042,0.05756531,-0.49504128,6.0
B 33,0.20536323,0.01449906,-0.97857842,6.0
B 34,0.84823371,0.06273775,-0.52589310,6.0
B 35,0.61744878,0.04984170,-0.78503045,6.0
B 36,0.29228701,0.02342134,-0.95604380,8.0
B 37,0.29235797,0.02351495,-0.95601980,8.0
B 39,0.29686123,0.02420810,-0.95461373,9.0
B 40,0.20786581,0.01682874,-0.97801258,3.0
B 41,0.29683423,0.02419773,-0.95462239,8.5
B 42,0.28623279,0.02443958,-0.95784837,8.0
B 43,0.71206199,0.06231274,-0.69934601,5.0
B 44,0.72880329,0.06392645,-0.68173248,2.0
B 45,0.82825493,0.07877031,-0.55478736,6.0
B 46,0.75564838,0.07343958,-0.65084725,6.0
B 47,0.62205014,0.06072323,-0.78061919,8.0
B 48,0.29808955,0.02887295,-0.95410113,7.5
B 49,0.62322869,0.06169182,-0.77960254,6.0
B 50,0.29509450,0.02918710,-0.95502217,8.5
B 51,0.62209678,0.06290864,-0.78040893,7.0
B 52,0.74676800,0.07587537,-0.66074237,6.0
B 58,0.44109807,0.04980975,-0.89607560,5.0
B 59,0.44098464,0.04981126,-0.89613134,5.0
B 60,0.29258923,0.03341147,-0.95565434,9.0
B 61,0.43969294,0.05200527,-0.89664127,5.5
B 64,0.55489257,0.06709684,-0.82921183,7.0
B 65,0.72435268,0.08977286,-0.68355982,6.0
B 66,0.30744663,0.03774427,-0.95081646,6.0
B 69,0.65466932,0.08523068,-0.75109508,6.0
B 70,0.56154815,0.07312105,-0.82420688,6.0
B 73,0.30256106,0.04061528,-0.95226425,6.0
B 74,0.27466345,0.03705217,-0.96082627,7.5
B 75,0.28082013,0.03826744,-0.95899721,8.0
B 76,0.28090272,0.03828790,-0.95897221,8.0
B 77,0.56703928,0.07829181,-0.81996149,6.0
B 79,0.69345789,0.10330495,-0.71305276,6.0
B 80,0.27556832,0.04090999,-0.96041057,6.0
B 82,0.74346915,0.11425874,-0.65893745,6.0
B 83,0.27298280,0.04158199,-0.96111983,7.5
B 85,0.26200668,0.03851095,-0.96429736,6.5
B 88,0.26492102,0.04100076,-0.96339804,7.0
B 90,0.26497668,0.04103766,-0.96338117,9.0
B 91,0.26617148,0.04346978,-0.96294503,8.0
B 92,0.52058223,0.08643366,-0.84942531,5.0
