name,x,y,z,mag
GC 1,0.66597968,0.00004020,-0.74596988,9.0
GC 2,0.59301057,0.00027471,-0.80519463,8.5
GC 3,0.83592142,0.00079452,-0.54884857,8.7
GC 4,0.66548190,0.00068770,-0.74641367,9.0
GC 5,0.80094537,0.00095466,-0.59873668,7.2
GC 6,0.90397370,0.00110113,-0.42758665,8.5
GC 7,0.91494432,0.00173860,-0.40357635,6.3
GC 8,0.77079980,0.00175450,-0.63707502,6.7
GC 9,0.71102161,0.00177665,-0.70316792,8.0
GC 10,0.78124826,0.00264016,-0.62421486,8.0
GC 11,0.91488701,0.00323815,-0.40369700,9.0
GC 12,0.88217828,0.00346561,-0.47090282,8.5
GC 13,0.73625470,0.00291966,-0.67669823,8.5
GC 14,0.95059691,0.00381250,-0.31040453,6.3
GC 15,0.89841660,0.00378355,-0.43912788,6.9
GC 16,0.21768508,0.00094050,-0.97601861,8.0
GC 17,0.53682051,0.00243408,-0.84369296,7.7
GC 18,0.90982239,0.00442774,-0.41497424,8.5
GC 19,0.54889058,0.00269598,-0.83588987,8.0
GC 20,0.69700042,0.00386190,-0.71706032,8.2
GC 21,0.45381634,0.00259402,-0.89109147,7.2
GC 22,0.99838000,0.00579751,-0.05660179,6.5
GC 23,0.54542574,0.00323150,-0.83815292,8.5
GC 24,0.67891589,0.00402733,-0.73420501,8.5
GC 25,0.80403703,0.00477014,-0.59456008,8.5
GC 26,0.38120424,0.00228931,-0.92448801,8.5
GC 27,0.91909531,0.00557707,-0.39399583,5.9
GC 28,0.39671735,0.00241709,-0.91793764,7.0
GC 29,0.61628865,0.00427479,-0.78750875,8.2
GC 30,0.82681028,0.00613791,-0.56244741,5.7
GC 31,0.99846478,0.00784789,-0.05483158,6.4
GC 32,0.19239622,0.00156092,-0.98131608,8.0
GC 33,0.77741477,0.00633774,-0.62895636,9.5
GC 34,0.98619789,0.00819544,-0.16536797,6.2
GC 35,0.18574495,0.00154978,-0.98259677,7.2
GC 36,0.83486524,0.00706110,-0.55040910,8.0
GC 37,0.90781456,0.00823269,-0.41929100,7.7
GC 38,0.05695130,0.00052037,-0.99837682,7.7
GC 39,0.89353458,0.00824096,-0.44891875,8.2
GC 40,0.94953350,0.00900742,-0.31353627,6.2
GC 41,0.99865259,0.01008056,-0.05090573,7.5
GC 42,0.81416494,0.00857597,-0.58057033,7.7
GC 43,0.79395859,0.00843242,-0.60791336,8.5
GC 44,0.67226134,0.00721520,-0.74027876,7.7
GC 45,0.25991997,0.00282198,-0.96562604,8.0
GC 46,0.92129684,0.01014132,-0.38872778,7.5
GC 47,0.83158983,0.00952522,-0.55530859,8.7
GC 48,0.76112197,0.00873744,-0.64854992,8.0
GC 49,0.81113800,0.00950511,-0.58477757,7.7
GC 50,0.57783970,0.00687339,-0.81612134,6.4
GC 51,0.79492339,0.00950705,-0.60663533,9.5
GC 52,0.81465737,0.00981061,-0.57985958,8.7
GC 53,0.63320980,0.00773650,-0.77394153,7.5
GC 54,0.63249488,0.00778159,-0.77452545,10.0
GC 55,0.63114131,0.00777779,-0.77562887,7.0
GC 56,0.87720953,0.01139142,-0.47997258,5.5
GC 57,0.68909060,0.00920664,-0.72461671,3.8
GC 58,0.83531641,0.01138692,-0.54965155,9.0
GC 59,0.90562011,0.01295065,-0.42389208,9.5
GC 60,0.54623263,0.00800002,-0.83759532,8.5
GC 61,0.78781833,0.01154970,-0.61579938,8.5
GC 62,0.83486927,0.01251944,-0.55030588,9.2
GC 63,0.82422773,0.01257029,-0.56611893,8.7
GC 64,0.99826760,0.01532042,-0.05680750,7.5
GC 65,0.62974531,0.00988413,-0.77673879,7.7
GC 66,0.89426920,0.01411205,-0.44730689,7.2
GC 67,0.45403201,0.00716553,-0.89095656,6.6
GC 68,0.70252447,0.01109133,-0.71157315,8.0
GC 69,0.82916363,0.01381928,-0.55883513,8.7
GC 70,0.99448060,0.01699122,-0.10353565,6.1
GC 71,0.97621895,0.01702008,-0.21611774,8.5
GC 72,0.17881440,0.00321175,-0.98387758,7.5
GC 73,0.19084617,0.00345965,-0.98161386,8.0
GC 74,0.54044487,0.00986203,-0.84132163,8.7
GC 75,0.92148604,0.01696811,-0.38804067,8.5
GC 76,0.84814908,0.01583858,-0.52952081,7.0
GC 77,0.97310996,0.01830805,-0.22961235,5.9
GC 78,0.12324564,0.00232600,-0.99237347,5.6
GC 79,0.77188429,0.01485238,-0.63558953,8.5
GC 80,0.92284589,0.01776654,-0.38475942,8.0
GC 81,0.57208935,0.01106625,-0.82011665,8.2
GC 82,0.81338832,0.01573561,-0.58150824,7.2
GC 83,0.27691111,0.00543058,-0.96088019,6.9
GC 84,0.50184665,0.00990393,-0.86489991,9.2
GC 85,0.84086568,0.01703552,-0.54097569,9.5
GC 86,0.91125653,0.01869894,-0.41141450,8.5
GC 87,0.99732876,0.02071909,-0.07004327,7.5
GC 88,0.96029668,0.02053175,-0.27822423,5.1
GC 89,0.75374737,0.01636511,-0.65696049,7.5
GC 90,0.94357685,0.02147248,-0.33045674,7.0
GC 91,0.87862085,0.02003587,-0.47709954,5.4
GC 92,0.91096406,0.02083373,-0.41195926,8.5
GC 93,0.50582208,0.01158507,-0.86256003,8.5
GC 94,0.55259346,0.01269329,-0.83335428,8.5
GC 95,0.81050648,0.01900746,-0.58542118,5.4
GC 96,0.91671034,0.02219780,-0.39893535,8.0
GC 97,0.57477693,0.01404599,-0.81818958,8.2
GC 98,0.73272097,0.01805660,-0.68028960,6.6
GC 99,0.96781516,0.02397473,-0.25051753,6.8
GC 100,0.56699983,0.01429122,-0.82359392,8.0
GC 101,0.94728207,0.02395274,-0.31950421,5.4
GC 102,0.51164070,0.01305152,-0.85910037,8.0
GC 103,0.57253196,0.01460856,-0.81975224,8.5
GC 104,0.15861905,0.00405005,-0.98733155,7.7
GC 105,0.23891344,0.00620053,-0.97102107,7.5
GC 106,0.96863328,0.02635143,-0.24709344,8.5
GC 107,0.88625561,0.02422711,-0.46256247,7.7
GC 108,0.72075481,0.02005172,-0.69290002,7.5
GC 109,0.46914750,0.01325027,-0.88302042,8.2
GC 110,0.84217036,0.02381386,-0.53868542,9.0
GC 111,0.92040194,0.02625309,-0.39009108,8.5
GC 112,0.85901034,0.02491900,-0.51135142,8.5
GC 113,0.52065090,0.01512628,-0.85363566,7.5
GC 114,0.91897398,0.02692001,-0.39339820,6.9
GC 115,0.99419724,0.02956642,-0.10342956,8.0
GC 116,0.72190572,0.02163532,-0.69165313,7.2
GC 117,0.89043970,0.02687354,-0.45430711,7.7
GC 118,0.78205448,0.02363833,-0.62276161,7.0
GC 119,0.91006194,0.02757041,-0.41355428,8.7
GC 120,0.86322819,0.02728702,-0.50407590,8.5
GC 121,0.49065179,0.01558044,-0.87121643,9.0
GC 122,0.89279284,0.02867716,-0.44955373,6.0
GC 123,0.91372598,0.02948258,-0.40525993,7.0
GC 124,0.89069450,0.02878289,-0.45369025,6.3
GC 125,0.65070829,0.02130198,-0.75902895,6.9
GC 126,0.65403459,0.02145468,-0.75616034,8.7
GC 127,0.53410330,0.01785101,-0.84523074,7.2
GC 128,0.91371872,0.03090388,-0.40517040,9.2
GC 129,0.80335482,0.02772855,-0.59485474,7.2
