name,x,y,z,mag
G 1,0.20465965,0.00114583,-0.97883253,9.0
G 2,0.40223236,0.00234301,-0.91553462,9.0
G 3,0.30057812,0.00179746,-0.95375551,9.8
G 4,0.38120536,0.00228901,-0.92448755,9.0
G 5,0.39671663,0.00242323,-0.91793793,7.5
G 6,0.19240447,0.00156614,-0.98131446,8.8
G 7,0.18575655,0.00155397,-0.98259457,7.0
G 8,0.32964896,0.00282726,-0.94409934,9.0
G 9,0.05694381,0.00051462,-0.99837725,7.8
G 10,0.38734522,0.00379388,-0.92192694,9.0
G 11,0.38884897,0.00386688,-0.92129340,9.0
G 12,0.22001192,0.00223409,-0.97549463,9.8
G 13,0.25991731,0.00282233,-0.96562675,7.8
G 14,0.09061638,0.00097638,-0.99588539,9.3
G 15,0.38338052,0.00425659,-0.92358067,9.4
G 16,0.39861205,0.00455371,-0.91710834,9.0
G 17,0.16186168,0.00190143,-0.98681162,10.0
G 18,0.25682020,0.00337813,-0.96645330,9.8
G 19,0.37618442,0.00548013,-0.92652860,10.0
G 20,0.39511162,0.00576600,-0.91861502,9.0
G 21,0.10229207,0.00153481,-0.99475322,9.2
G 22,0.37222637,0.00580240,-0.92812384,9.8
G 23,0.18160697,0.00284030,-0.98336709,9.5
G 24,0.40584544,0.00661902,-0.91391776,8.5
G 25,0.39640354,0.00655222,-0.91805299,10.0
G 26,0.29784103,0.00500532,-0.95460236,10.0
G 27,0.18590095,0.00320724,-0.98256326,9.0
G 28,0.13834508,0.00237825,-0.99038123,9.0
G 29,0.37428542,0.00657403,-0.92729025,10.0
G 30,0.20486763,0.00360754,-0.97878304,9.5
G 31,0.17882059,0.00321012,-0.98387646,8.8
G 32,0.31671634,0.00572209,-0.94850304,10.0
G 33,0.19083463,0.00346372,-0.98161609,8.2
G 34,0.27847756,0.00516512,-0.96042885,10.0
G 35,0.12325614,0.00232681,-0.99237216,6.5
G 36,0.19767144,0.00375839,-0.98026113,9.5
G 37,0.26978599,0.00513515,-0.96290662,10.0
G 38,0.27690061,0.00541448,-0.96088331,7.0
G 39,0.35431849,0.00717398,-0.93509729,10.0
G 40,0.27219137,0.00554940,-0.96222714,9.5
G 41,0.14354139,0.00294750,-0.98963993,10.0
G 42,0.28727286,0.00664013,-0.95782577,10.0
G 43,0.29332509,0.00689376,-0.95598790,9.8
G 44,0.05225887,0.00120423,-0.99863285,9.5
G 45,0.29277994,0.00708269,-0.95615362,9.0
G 46,0.27835335,0.00679446,-0.96045471,10.0
G 47,0.15862687,0.00404764,-0.98733031,7.7
G 48,0.23891207,0.00620196,-0.97102140,7.5
G 49,0.07661227,0.00207010,-0.99705881,9.6
G 50,0.15817897,0.00457389,-0.98739987,9.3
G 51,0.20381772,0.00603095,-0.97899028,9.5
G 52,0.30524181,0.00951025,-0.95222738,9.8
G 53,0.33603850,0.01051531,-0.94178955,10.0
G 54,0.39630832,0.01279424,-0.91802833,9.0
G 55,0.32627776,0.01052187,-0.94521538,9.8
G 56,0.17007740,0.00545161,-0.98541563,9.8
G 57,0.35992133,0.01184881,-0.93290741,9.2
G 58,0.21741136,0.00721489,-0.97605340,8.5
G 59,0.39869750,0.01330421,-0.91698599,10.0
G 60,0.40733741,0.01367717,-0.91317532,9.0
G 61,0.23873735,0.00808880,-0.97105049,9.5
G 62,0.25222980,0.00873014,-0.96762798,9.2
G 63,0.03295533,0.00108006,-0.99945624,9.0
G 64,0.35286970,0.01237272,-0.93559066,9.8
G 65,0.40640269,0.01441250,-0.91358039,9.5
G 66,0.24839182,0.00883559,-0.96861935,7.5
G 67,0.39724751,0.01428145,-0.91760038,9.2
G 68,0.30612005,0.01099279,-0.95192945,10.0
G 69,0.34811753,0.01255323,-0.93736684,8.5
G 70,0.22557818,0.00816845,-0.97419082,10.0
G 71,0.12518696,0.00470202,-0.99212203,9.5
G 72,0.07510086,0.00279839,-0.99717202,6.1
G 73,0.35437817,0.01397859,-0.93499771,8.0
G 74,0.34921689,0.01400256,-0.93693729,9.0
G 75,0.29420276,0.01190203,-0.95566892,10.0
G 76,0.18904568,0.00764345,-0.98193855,10.0
G 77,0.33440067,0.01397820,-0.94232733,9.5
G 78,0.30150870,0.01282488,-0.95337717,10.0
G 79,0.30672988,0.01305561,-0.95170706,9.8
G 80,0.38042743,0.01623885,-0.92466820,8.8
G 81,0.36462207,0.01596112,-0.93101879,9.0
G 82,0.22260589,0.00975875,-0.97485967,10.0
G 83,0.30962863,0.01365152,-0.95075956,10.0
G 84,0.23140581,0.01027530,-0.97280305,6.5
G 85,0.16412297,0.00738809,-0.98641222,7.2
G 86,0.32378746,0.01480120,-0.94601406,8.0
G 87,0.38411544,0.01759352,-0.92311743,8.0
G 88,0.33083761,0.01535313,-0.94356280,9.5
G 89,0.18424129,0.00861191,-0.98284331,9.2
G 90,0.40101536,0.01912481,-0.91587167,9.5
G 91,0.33079683,0.01611888,-0.94356433,9.5
G 92,0.37170533,0.01818042,-0.92817273,10.0
G 93,0.18247222,0.00894363,-0.98317033,7.0
G 94,0.38604681,0.01919267,-0.92227951,8.5
G 95,0.40056291,0.02004479,-0.91604998,9.5
G 96,0.26428597,0.01322077,-0.96435374,8.7
G 97,0.29850565,0.01497650,-0.95429035,10.0
G 98,0.08853769,0.00441943,-0.99606302,10.0
G 99,0.33216951,0.01694239,-0.94306753,9.0
G 100,0.33857084,0.01727841,-0.94078225,9.5
G 101,0.38935601,0.02002831,-0.92086957,8.0
G 102,0.37667850,0.01942988,-0.92614026,10.0
G 103,0.40164484,0.02082064,-0.91555880,9.5
G 104,0.26903112,0.01397677,-0.96303006,8.5
G 105,0.37100019,0.01949428,-0.92842815,9.8
G 106,0.33274874,0.01757940,-0.94285166,10.0
G 107,0.06204831,0.00318008,-0.99806808,10.0
G 108,0.34551758,0.01832081,-0.93823342,8.0
G 109,0.41000453,0.02177446,-0.91182353,9.0
G 110,0.29946800,0.01594065,-0.95397317,10.0
G 111,0.35395033,0.01891965,-0.93507284,9.5
G 112,0.17466640,0.00948357,-0.98458200,8.5
G 113,0.24301906,0.01336528,-0.96992943,9.0
G 114,0.23548776,0.01297471,-0.97179070,8.0
G 115,0.35350858,0.01986535,-0.93522032,9.0
G 116,0.30731612,0.01730289,-0.95145016,10.0
G 117,0.27231490,0.01540131,-0.96208492,10.0
G 118,0.36960981,0.02123378,-0.92894441,9.5
G 119,0.41212796,0.02420281,-0.91080446,4.0
G 120,0.21545141,0.01260516,-0.97643320,9.5
