name,x,y,z,mag
L 9721,0.64585749,-0.00045610,-0.76345785,6.0
L 9722,0.83376321,-0.00052326,-0.55212195,7.0
L 9723,0.80094527,0.00095694,-0.59873681,7.0
L 9724,0.91494289,0.00173711,-0.40357960,6.7
L 9725,0.77080038,0.00175596,-0.63707433,7.0
L 9726,0.78124925,0.00264877,-0.62421358,7.0
L 9728,0.73625326,0.00292545,-0.67669977,7.8
L 9729,0.89841524,0.00377610,-0.43913073,7.0
L 9727,0.21767775,0.00093739,-0.97602025,7.0
L 9730,0.53681812,0.00243539,-0.84369448,7.6
L 9731,0.54889202,0.00269663,-0.83588891,7.0
L 9733,0.45381464,0.00259476,-0.89109233,7.0
L 9732,0.91909414,0.00557301,-0.39399860,7.0
L 9735,0.82680839,0.00613770,-0.56245018,6.5
L 9736,0.19239666,0.00157082,-0.98131598,7.0
L 9734,0.18574907,0.00154689,-0.98259600,6.7
L 9745,0.05694835,0.00052079,-0.99837699,7.0
L 9737,0.81416593,0.00857558,-0.58056894,7.0
L 9743,0.25991422,0.00281762,-0.96562760,7.0
L 9738,0.92129720,0.01013482,-0.38872709,7.0
L 9739,0.76112097,0.00873570,-0.64855113,7.0
L 9740,0.57783660,0.00686864,-0.81612357,6.5
L 9741,0.87720812,0.01139140,-0.47997515,6.5
L 9742,0.68908637,0.00920699,-0.72462074,4.0
L 9746,0.54623445,0.00800784,-0.83759405,7.0
L 9744,0.78781904,0.01155601,-0.61579836,7.8
L 9747,0.89427030,0.01410003,-0.44730507,7.8
L 9749,0.45403742,0.00716808,-0.89095378,6.0
L 9748,0.70252785,0.01109603,-0.71156974,7.6
L 9750,0.17881077,0.00321820,-0.98387822,6.7
L 9752,0.19084796,0.00346401,-0.98161350,6.7
L 9751,0.84814409,0.01583543,-0.52952889,7.6
L 9756,0.12324292,0.00232362,-0.99237381,5.6
L 9753,0.81338855,0.01572469,-0.58150822,7.6
L 9754,0.57208558,0.01106704,-0.82011927,7.8
L 9755,0.27691198,0.00542308,-0.96087998,6.5
L 9757,0.75375053,0.01636957,-0.65695676,7.0
L 9758,0.87862116,0.02002277,-0.47709952,6.0
L 9759,0.55258753,0.01269706,-0.83335815,7.0
L 9760,0.81050324,0.01901188,-0.58542552,5.6
L 9761,0.73272190,0.01805057,-0.68028876,6.7
L 9762,0.56699243,0.01429186,-0.82359901,7.0
L 9764,0.15862318,0.00404959,-0.98733089,7.6
L 9763,0.51164112,0.01305796,-0.85910002,7.0
L 9765,0.23890750,0.00620314,-0.97102252,7.0
L 9766,0.88625372,0.02422755,-0.46256606,7.0
L 1,0.72075932,0.02004988,-0.69289538,7.0
L 3,0.52065349,0.01512841,-0.85363404,7.6
L 2,0.91897287,0.02691634,-0.39340105,7.0
L 4,0.72191191,0.02163054,-0.69164682,7.0
L 5,0.89043752,0.02687251,-0.45431145,7.0
L 6,0.78205415,0.02363456,-0.62276216,7.6
L 7,0.89279290,0.02867002,-0.44955408,6.7
L 8,0.91372349,0.02948234,-0.40526556,7.0
L 9,0.89069540,0.02877138,-0.45368922,6.0
L 10,0.65070571,0.02129571,-0.75903134,7.6
L 11,0.53410191,0.01785249,-0.84523159,6.7
L 12,0.80335435,0.02773109,-0.59485526,7.0
L 13,0.56225864,0.01972989,-0.82672604,6.0
L 15,0.24838803,0.00883666,-0.96862031,7.6
L 14,0.75291125,0.02675168,-0.65757813,7.0
L 16,0.68497722,0.02532630,-0.72812415,6.7
L 23,0.07509387,0.00280072,-0.99717254,6.0
L 17,0.83953349,0.03141241,-0.54239910,7.8
L 18,0.81253021,0.03070853,-0.58210965,6.0
L 19,0.75651746,0.02962497,-0.65330215,7.0
L 20,0.75241502,0.03029401,-0.65799234,7.0
L 21,0.80992043,0.03334873,-0.58559095,7.8
L 22,0.84596731,0.03627392,-0.53199954,6.0
L 25,0.72236705,0.03196587,-0.69077060,7.0
L 30,0.23139927,0.01027540,-0.97280460,6.7
L 26,0.83348405,0.03725550,-0.55128610,7.0
L 29,0.16411839,0.00744547,-0.98641255,6.7
L 28,0.55624338,0.02519144,-0.83063752,7.0
L 27,0.83415453,0.03791111,-0.55022628,6.7
L 32,0.32377994,0.01479668,-0.94601671,7.6
L 31,0.59624425,0.02771847,-0.80232442,6.7
L 33,0.18245800,0.00895719,-0.98317285,6.7
L 34,0.79538050,0.04181227,-0.60466651,6.7
L 36,0.63385402,0.03369852,-0.77271825,7.0
L 35,0.67811639,0.03642930,-0.73405114,7.6
L 37,0.85902787,0.04648046,-0.50981436,7.0
L 39,0.17465275,0.00947597,-0.98458449,7.0
L 38,0.71911977,0.03918657,-0.69378035,6.7
L 260,0.01641484,0.00092908,-0.99986484,6.7
L 41,0.75567926,0.04328567,-0.65350992,7.0
L 42,0.67840353,0.03895304,-0.73365613,7.0
L 43,0.57918507,0.03350408,-0.81450729,7.0
L 44,0.57681171,0.03367987,-0.81618252,7.0
L 45,0.62656461,0.03672731,-0.77850362,7.6
L 40,0.41225240,0.02443573,-0.91074192,4.0
L 47,0.19587627,0.01166148,-0.98055928,7.6
L 46,0.80137198,0.04870130,-0.59618045,7.0
L 48,0.90940426,0.05762009,-0.41190267,7.6
L 49,0.86092249,0.05506308,-0.50574749,7.8
L 50,0.76522619,0.04907991,-0.64188787,6.7
L 51,0.81113418,0.05214214,-0.58253115,7.0
L 53,0.33607751,0.02179373,-0.94158215,5.4
L 57,0.20887870,0.01358062,-0.97784726,7.0
L 52,0.80222691,0.05258813,-0.59469864,7.6
L 54,0.86694450,0.05771254,-0.49505201,5.0
L 56,0.57286669,0.03879335,-0.81873001,7.8
L 55,0.91356910,0.06208205,-0.40191705,7.0
L 58,0.77440822,0.05390913,-0.63038538,7.8
L 64,0.20534489,0.01446619,-0.97858275,6.0
L 59,0.61839212,0.04386239,-0.78464468,6.7
L 60,0.80608378,0.05821529,-0.58893117,7.0
L 63,0.47240713,0.03424225,-0.88071503,6.7
L 61,0.76454361,0.05539210,-0.64218750,6.7
L 62,0.78489457,0.05711246,-0.61699164,7.0
L 65,0.84821605,0.06284093,-0.52590925,6.7
L 67,0.62429650,0.04654268,-0.77979976,7.0
L 66,0.85888073,0.06421881,-0.50813368,6.7
L 68,0.57855496,0.04400558,-0.81445545,7.0
L 69,0.57548998,0.04404018,-0.81662216,7.0
L 70,0.64021249,0.04932008,-0.76661301,7.6
L 71,0.56857656,0.04383756,-0.82146148,7.0
L 72,0.78450664,0.06124554,-0.61708858,7.8
L 76,0.21717162,0.01703000,-0.97598487,7.0
L 73,0.56809846,0.04510349,-0.82172369,7.0
L 80,0.29517332,0.02389706,-0.95514483,0.0
L 75,0.61736020,0.05008598,-0.78508457,6.7
L 77,0.57629129,0.04692962,-0.81589580,7.0
L 79,0.73387507,0.06021063,-0.67661071,7.0
L 78,0.85085040,0.06998046,-0.52072673,7.0
L 74,0.20789731,0.01746668,-0.97799470,3.0
L 81,0.76391742,0.06409150,-0.64212339,6.7
L 82,0.92173110,0.07826092,-0.37985130,7.0
L 83,0.87645220,0.07473971,-0.47565273,7.6
L 85,0.61209753,0.05242447,-0.78904264,7.6
L 84,0.85002728,0.07323816,-0.52162227,7.0
L 86,0.92126682,0.08049584,-0.38051001,7.0
L 89,0.71206154,0.06246403,-0.69933297,4.0
L 88,0.75930412,0.06663245,-0.64731551,7.0
L 87,0.72871118,0.06407806,-0.68181671,2.0
L 90,0.89320256,0.08198032,-0.44211810,6.0
L 93,0.34059820,0.03137857,-0.93968519,6.7
L 91,0.87144773,0.08057410,-0.48382503,7.0
L 92,0.83956118,0.07814468,-0.53761551,7.0
L 94,0.82824219,0.07874861,-0.55480945,5.0
L 96,0.86435922,0.08325930,-0.49593449,7.0
L 97,0.59005600,0.05688722,-0.80535567,7.6
L 98,0.86217830,0.08379834,-0.49962627,7.0
L 95,0.56637820,0.05515884,-0.82229754,7.6
L 99,0.75562633,0.07366537,-0.65084734,6.0
L 100,0.89948346,0.08893505,-0.42780845,7.0
L 101,0.62321109,0.06183289,-0.77960543,6.0
L 102,0.56900854,0.05659919,-0.82038150,7.0
L 113,0.10691348,0.01078749,-0.99420981,7.0
L 104,0.74675117,0.07603927,-0.66074255,6.7
L 103,0.83178217,0.08511451,-0.54853800,7.0
L 105,0.83604508,0.08645312,-0.54180669,7.6
L 106,0.90507300,0.09562690,-0.41436501,6.0
L 107,0.48990379,0.05182337,-0.87023480,7.0
L 109,0.74321736,0.07926703,-0.66433779,5.6
L 108,0.75940867,0.08099664,-0.64555249,6.7
L 110,0.65361556,0.06979547,-0.75360154,6.0
L 111,0.56078875,0.06075977,-0.82572649,7.0
L 112,0.71139650,0.07865621,-0.69837542,7.0
L 114,0.68298724,0.07582197,-0.72648431,7.0
L 115,0.64553239,0.07178440,-0.76035185,5.0
L 116,0.54227187,0.06049825,-0.83802218,7.0
L 117,0.58678679,0.06596063,-0.80705047,7.0
L 119,0.44109015,0.04987288,-0.89607599,4.0
L 120,0.44097174,0.04988194,-0.89613376,4.0
L 118,0.89794458,0.10274722,-0.42794690,7.0
L 121,0.89245796,0.10335744,-0.43913099,7.0
L 123,0.43968341,0.05208497,-0.89664132,5.0
L 122,0.88636472,0.10641794,-0.45059162,7.0
L 124,0.77373510,0.09302395,-0.62664228,7.0
L 125,0.85764801,0.10339819,-0.50373476,6.5
L 126,0.76745191,0.09257572,-0.63438735,7.0
L 127,0.80645565,0.09759061,-0.58318552,7.6
L 130,0.55486558,0.06722543,-0.82921947,7.6
