name,x,y,z,mag
OA 2,0.87441952,0.00562225,-0.48513801,9.0
OA 4,0.94331472,0.00660087,-0.33183394,7.0
OA 23247,0.95934105,0.00747073,-0.28215056,9.0
OA 6,0.96350438,0.00794870,-0.26757453,7.5
OA 17,0.94022208,0.00789017,-0.34047053,9.0
OA 7,0.92361518,0.00775215,-0.38324261,8.5
OA 9,0.94013650,0.00822350,-0.34069890,9.0
OA 10,0.90781111,0.00821906,-0.41929874,7.5
OA 11,0.89353176,0.00824954,-0.44892421,8.5
OA 12,0.94953940,0.00900104,-0.31351859,5.5
OA 1,0.96213767,0.01026522,-0.27237058,9.0
OA 13,0.92129995,0.01013899,-0.38872048,7.0
OA 15,0.89492772,0.01003397,-0.44609831,9.0
OA 24,0.92777582,0.01054701,-0.37298899,7.0
OA 5,0.87434808,0.01027027,-0.48519064,9.0
OA 18,0.87721453,0.01136944,-0.47996397,6.0
OA 21,0.95101981,0.01301206,-0.30885597,9.0
OA 22,0.92659057,0.01299026,-0.37584727,9.0
OA 23,0.96640493,0.01357532,-0.25666557,8.5
OA 25,0.92188211,0.01371500,-0.38722768,9.0
OA 26,0.95124964,0.01486119,-0.30806373,9.5
OA 27,0.89426850,0.01410250,-0.44730859,8.0
OA 16,0.96175419,0.01572699,-0.27346212,9.0
OA 28,0.93545236,0.01548709,-0.35311335,9.0
OA 30,0.96414731,0.01635165,-0.26486335,9.0
OA 31,0.95370289,0.01644841,-0.30030028,9.0
OA 32,0.96719752,0.01676170,-0.25347189,9.0
OA 33,0.96511705,0.01704037,-0.26126367,8.0
OA 36,0.92148210,0.01696672,-0.38805010,8.5
OA 37,0.96752645,0.01905279,-0.25205069,7.5
OA 38,0.94380296,0.01893479,-0.32996582,8.0
OA 39,0.92734018,0.01998281,-0.37368553,8.5
OA 35,0.86287904,0.01858972,-0.50506849,9.0
OA 40,0.88512757,0.01932680,-0.46494695,9.0
OA 41,0.89121371,0.01994028,-0.45314512,9.0
OA 42,0.91096256,0.02081626,-0.41196346,8.5
OA 43,0.94942393,0.02243731,-0.31319446,9.0
OA 44,0.93702523,0.02226968,-0.34855096,9.0
OA 45,0.91670664,0.02218562,-0.39894453,8.0
OA 46,0.88607067,0.02191924,-0.46303165,9.0
OA 47,0.94729072,0.02393688,-0.31947975,5.0
OA 48,0.96162033,0.02460315,-0.27327831,8.5
OA 49,0.94387831,0.02496389,-0.32934867,8.5
OA 50,0.92181609,0.02458907,-0.38684684,8.5
OA 51,0.88624777,0.02417740,-0.46258010,8.0
OA 52,0.93999093,0.02579195,-0.34022319,9.0
OA 53,0.92040575,0.02625758,-0.39008177,8.5
OA 54,0.85901636,0.02494902,-0.51133984,8.5
OA 55,0.91897389,0.02688865,-0.39340054,6.5
OA 57,0.89043649,0.02687492,-0.45431331,8.0
OA 59,0.91006346,0.02757722,-0.41355048,8.0
OA 60,0.94429451,0.02923732,-0.32780033,9.5
OA 61,0.95880879,0.03016233,-0.28244636,9.5
OA 62,0.86323017,0.02726620,-0.50407363,8.5
OA 64,0.89279747,0.02867123,-0.44954492,6.0
OA 65,0.91372550,0.02945685,-0.40526288,7.0
OA 66,0.89069248,0.02875933,-0.45369573,6.0
OA 68,0.94923448,0.03134401,-0.31300393,7.0
OA 69,0.94366575,0.03228731,-0.32932123,9.0
OA 71,0.92486138,0.03222959,-0.37893626,9.0
OA 72,0.92738567,0.03243348,-0.37269811,7.0
OA 73,0.86873569,0.03054023,-0.49433348,9.0
OA 74,0.94420516,0.03335892,-0.32766414,9.0
OA 70,0.88351116,0.03123335,-0.46736764,8.5
OA 75,0.95078994,0.03364241,-0.30800435,9.0
OA 76,0.95123353,0.03476907,-0.30650593,9.0
OA 77,0.95688771,0.03614233,-0.28820070,9.0
OA 78,0.88068178,0.03346285,-0.47252496,9.0
OA 79,0.95061272,0.03624172,-0.30825639,9.0
OA 80,0.86796081,0.03333233,-0.49551285,9.0
OA 82,0.90430587,0.03505765,-0.42544312,8.5
OA 83,0.91576610,0.03564121,-0.40012767,8.0
OA 84,0.90527935,0.03648728,-0.42324694,9.0
OA 86,0.91891860,0.03859110,-0.39255488,9.0
OA 87,0.96373680,0.04133781,-0.26363339,9.5
OA 88,0.87824339,0.03789240,-0.47671030,9.0
OA 89,0.91776963,0.03981698,-0.39511204,9.0
OA 90,0.96425862,0.04189117,-0.26163034,8.5
OA 91,0.91769486,0.04025990,-0.39524079,7.5
OA 92,0.94489196,0.04178872,-0.32470430,9.0
OA 93,0.94687303,0.04221066,-0.31882553,8.0
OA 95,0.92465276,0.04144818,-0.37854896,9.0
OA 96,0.92429809,0.04148668,-0.37940993,9.5
OA 97,0.96470327,0.04499546,-0.25946678,9.0
OA 98,0.94750778,0.04451459,-0.31661879,9.0
OA 99,0.94802712,0.04515779,-0.31496882,9.0
OA 100,0.94008041,0.04597049,-0.33783952,7.0
OA 101,0.94843917,0.04774817,-0.31334206,9.0
OA 102,0.89292037,0.04531128,-0.44792869,8.5
OA 104,0.92249350,0.04715856,-0.38312115,8.0
OA 105,0.96463286,0.04940673,-0.25892552,8.5
OA 106,0.92701439,0.04839064,-0.37189066,7.0
OA 107,0.87649417,0.04655518,-0.47915611,9.0
OA 108,0.87633829,0.04677727,-0.47941953,8.5
OA 109,0.85902255,0.04643552,-0.50982743,8.5
OA 111,0.90391422,0.05008920,-0.42477070,8.5
OA 112,0.91489819,0.05105232,-0.40044345,9.0
OA 113,0.90527575,0.05075417,-0.42178174,8.5
OA 115,0.96195101,0.05474543,-0.26768115,9.0
OA 116,0.93318423,0.05313650,-0.35544859,9.5
OA 117,0.94745855,0.05438147,-0.31522208,8.0
OA 118,0.92232784,0.05339487,-0.38270139,8.0
OA 119,0.93611757,0.05489888,-0.34737590,9.0
OA 120,0.91833439,0.05421654,-0.39207462,9.0
OA 121,0.94844544,0.05673455,-0.31182118,9.5
OA 122,0.94721518,0.05669423,-0.31554582,6.0
OA 123,0.95823484,0.05842716,-0.27995047,9.5
OA 124,0.90166978,0.05523548,-0.42888304,8.5
OA 125,0.88932058,0.05586545,-0.45385896,8.5
OA 126,0.95763037,0.06037893,-0.28159982,9.0
OA 127,0.93403869,0.05936863,-0.35220319,8.0
OA 129,0.86093372,0.05504739,-0.50573009,8.5
OA 130,0.88949924,0.05754391,-0.45329881,9.0
OA 131,0.86695447,0.05771383,-0.49503440,7.0
OA 133,0.95468979,0.06365664,-0.29071504,8.0
OA 135,0.89855391,0.05994169,-0.43475034,8.5
OA 136,0.93301014,0.06295397,-0.35430054,6.5
OA 138,0.91358195,0.06204445,-0.40189366,7.5
OA 139,0.91609750,0.06222575,-0.39609762,8.0
OA 140,0.88568640,0.06081091,-0.46028429,9.0
OA 141,0.93210478,0.06433625,-0.35642884,9.0
OA 142,0.89732241,0.06249146,-0.43692942,8.0
OA 143,0.88314052,0.06201183,-0.46499179,8.0
OA 144,0.89898589,0.06339350,-0.43336548,8.5
OA 145,0.95251150,0.06843788,-0.29671214,7.5
OA 146,0.95191311,0.06902383,-0.29849143,8.5
OA 147,0.95600447,0.06951646,-0.28499635,9.0
OA 148,0.95558378,0.06988494,-0.28631406,7.0
OA 149,0.95101545,0.06982251,-0.30115517,9.0
OA 150,0.91279117,0.06702191,-0.40289000,9.0
OA 151,0.93953500,0.07020663,-0.33517908,7.5
OA 152,0.85888898,0.06420090,-0.50812199,8.0
OA 154,0.92852485,0.06957071,-0.36469373,9.0
OA 155,0.86198655,0.06534903,-0.50270139,9.0
OA 156,0.96290511,0.07406362,-0.25947704,8.5
OA 157,0.95071142,0.07423658,-0.30105933,9.0
OA 158,0.95101040,0.07439084,-0.30007538,9.0
OA 159,0.91008284,0.07133411,-0.40824096,8.0
OA 161,0.88246447,0.06957769,-0.46520470,8.0
OA 162,0.89955026,0.07093872,-0.43101860,9.0
OA 163,0.86617622,0.06832811,-0.49504547,8.5
OA 165,0.88332344,0.07038631,-0.46344952,8.0
OA 166,0.90023805,0.07196985,-0.42940865,8.5
OA 167,0.90351669,0.07299654,-0.42229031,8.0
OA 168,0.94151866,0.07622365,-0.32822638,7.0
OA 169,0.90952424,0.07368711,-0.40906708,8.0
OA 171,0.95457477,0.07750986,-0.28771380,8.0
OA 172,0.94200607,0.07669818,-0.32671388,9.0
OA 173,0.93275028,0.07599567,-0.35242244,8.5
OA 174,0.95738946,0.07847794,-0.27793277,9.0
OA 175,0.95383395,0.08004330,-0.28947171,8.5
OA 176,0.89817506,0.07565625,-0.43307931,8.0
OA 177,0.93926417,0.07917389,-0.33393759,8.5
OA 178,0.95549981,0.08066682,-0.28374810,9.0
OA 179,0.93258923,0.07876886,-0.35223967,7.5
OA 180,0.87645418,0.07472843,-0.47565085,6.5
OA 181,0.95336333,0.08202860,-0.29046458,9.0
OA 182,0.87168457,0.07507711,-0.48428239,8.5
OA 184,0.95575976,0.08266902,-0.28229261,9.0
OA 185,0.93969964,0.08242805,-0.33191898,7.0
OA 186,0.91596374,0.08108673,-0.39298266,9.0
OA 187,0.93849200,0.08313364,-0.33514411,9.0
OA 188,0.87034846,0.07713142,-0.48635820,8.5
OA 191,0.92757595,0.08356662,-0.36416958,8.5
OA 192,0.90992958,0.08239421,-0.40649644,8.5
OA 193,0.92846927,0.08444138,-0.36168282,9.0
OA 194,0.96219052,0.08785342,-0.25782004,8.0
OA 195,0.91372979,0.08388176,-0.39756976,9.0
OA 196,0.89320473,0.08200230,-0.44210964,6.0
OA 198,0.94410841,0.08704350,-0.31793511,8.5
OA 199,0.87144584,0.08056201,-0.48383046,7.0
OA 202,0.93062496,0.08678483,-0.35553562,7.0
OA 203,0.93552562,0.08777933,-0.34217920,9.0
OA 204,0.89500540,0.08457529,-0.43796387,8.0
OA 205,0.89825486,0.08503432,-0.43116978,8.0
OA 206,0.87353047,0.08295296,-0.47964916,9.0
OA 207,0.89560787,0.08546624,-0.43655706,8.5
OA 208,0.86436717,0.08327653,-0.49591775,7.5
OA 210,0.92911366,0.08980352,-0.35872433,7.0
OA 212,0.91247894,0.08827725,-0.39948631,8.0
OA 214,0.86218238,0.08383973,-0.49961230,8.0
OA 215,0.95223277,0.09304193,-0.29085384,9.0
OA 216,0.86540263,0.08518316,-0.49378348,8.5
OA 218,0.89948059,0.08900536,-0.42779986,7.0
OA 219,0.90490410,0.08982485,-0.41602893,9.0
OA 221,0.94686193,0.09434983,-0.30749079,9.0
OA 222,0.88098883,0.08825242,-0.46483351,8.5
OA 223,0.95761585,0.09608788,-0.27154925,7.5
OA 224,0.89716695,0.09033302,-0.43235565,8.5
OA 225,0.94662827,0.09725912,-0.30730372,9.0
OA 226,0.93627280,0.09690338,-0.33764326,9.0
OA 227,0.87874824,0.09119957,-0.46849138,9.0
OA 228,0.92114386,0.09639943,-0.37709567,9.0
OA 229,0.93530963,0.09814675,-0.33994573,8.5
OA 230,0.95299148,0.10060822,-0.28580627,8.0
OA 232,0.90507352,0.09563009,-0.41436315,6.0
OA 235,0.95681646,0.10118649,-0.27251342,8.0
OA 236,0.93843054,0.09993027,-0.33069935,7.5
OA 237,0.86774391,0.09277518,-0.48827581,8.5
OA 238,0.87279397,0.09332073,-0.47908447,8.5
OA 241,0.92143782,0.10062594,-0.37526892,8.0
OA 242,0.94814819,0.10376306,-0.30041345,8.0
OA 243,0.88781600,0.09856123,-0.44952022,9.0
OA 244,0.95301672,0.10603836,-0.28375164,9.0
OA 245,0.94004269,0.10620987,-0.32409751,6.5
OA 247,0.89794400,0.10273513,-0.42795100,7.5
OA 248,0.94042719,0.10837209,-0.32226105,8.0
OA 250,0.86514870,0.09991384,-0.49146205,8.0
OA 252,0.89245839,0.10335177,-0.43913146,7.0
OA 253,0.90026154,0.10468785,-0.42257497,9.0
OA 254,0.91578805,0.10660155,-0.38725749,9.0
OA 255,0.89801348,0.10507546,-0.42723640,9.0
OA 256,0.94018767,0.11026171,-0.32231894,9.0
OA 258,0.94063644,0.11111937,-0.32071104,9.0
OA 260,0.86799739,0.10278105,-0.48581538,8.5
OA 261,0.88636245,0.10641610,-0.45059651,7.0
OA 262,0.93986971,0.11288935,-0.32233667,8.5
OA 265,0.95892616,0.11524550,-0.25918929,9.0
OA 266,0.86822236,0.10428330,-0.48509270,9.0
OA 267,0.90639479,0.10899850,-0.40812720,9.0
OA 268,0.85765297,0.10340486,-0.50372494,6.0
OA 269,0.95149700,0.11615488,-0.28488857,9.5
OA 270,0.85075295,0.10378653,-0.51521624,9.0
OA 271,0.94714709,0.11566333,-0.29922297,9.0
OA 272,0.93248095,0.11518720,-0.34236118,9.0
OA 273,0.86332362,0.10713499,-0.49314747,8.0
OA 274,0.91623765,0.11489656,-0.38380640,9.0
OA 275,0.88647177,0.11155995,-0.44913493,9.0
OA 276,0.90513126,0.11426089,-0.40948974,8.5
OA 277,0.88053632,0.11128486,-0.46072928,9.0
OA 278,0.88541655,0.11195757,-0.45111311,7.5
OA 279,0.93731290,0.11935723,-0.32741165,8.5
OA 280,0.93651576,0.11935384,-0.32968606,8.0
