name,x,y,z,mag
T 1,0.99865215,0.01009321,-0.05091172,7.0
T 2,0.52302867,0.00565073,0.85229636,2.5
T 3,0.95356429,0.01077493,0.30099674,6.0
T 4,0.57783013,0.00688354,-0.81612803,7.0
T 5,0.87720734,0.01138882,-0.47997664,6.0
T 6,0.68911366,0.00919333,-0.72459495,4.0
T 7,0.99826777,0.01532739,-0.05680263,7.0
T 8,0.98329253,0.01550260,0.18137108,6.0
T 9,0.70252083,0.01112148,-0.71157627,7.5
T 10,0.70234179,0.01173622,0.71174312,5.0
T 11,0.99447966,0.01699617,-0.10354384,6.5
T 12,0.88316229,0.01541414,0.46881422,7.5
T 13,0.97621769,0.01703604,-0.21612216,9.0
T 14,0.99732838,0.02072541,-0.07004690,0.0
T 15,0.96031284,0.02057789,-0.27816505,6.0
T 16,0.87862003,0.02004127,-0.47710081,5.5
T 17,0.81049023,0.01900316,-0.58544382,6.0
T 18,0.88338180,0.02146072,0.46816240,7.5
T 19,0.73272831,0.01808141,-0.68028104,7.0
T 20,0.51166285,0.01306939,-0.85908691,7.5
T 21,0.96777000,0.02872947,0.25019160,2.5
T 22,0.99419658,0.02958355,-0.10343097,8.0
T 23,0.78205378,0.02364730,-0.62276214,8.0
T 24,0.76178471,0.02338744,0.64740798,6.5
T 25,0.65070658,0.02134003,-0.75902935,7.0
T 26,0.53409344,0.01785975,-0.84523679,8.0
T 27,0.76179379,0.02671118,0.64726867,8.0
T 28,0.94197965,0.03344636,0.33399953,6.0
T 29,0.94129441,0.03408533,-0.33586162,5.5
T 30,0.98926943,0.03689059,0.14136859,6.0
T 31,0.98927668,0.03690743,0.14131344,8.5
T 32,0.85798833,0.03230029,0.51265263,7.5
T 33,0.81252959,0.03070466,-0.58211071,7.5
T 34,0.89359703,0.03392444,0.44758627,7.5
T 35,0.99215391,0.03853428,-0.11893584,7.5
T 36,0.99074189,0.04177978,0.12917029,7.5
T 37,0.84597164,0.03627419,-0.53199263,7.0
T 38,0.99036748,0.04388823,0.13132430,6.5
T 39,0.48678445,0.02179821,0.87325010,7.0
T 40,0.99879683,0.04470729,0.02015329,7.5
T 41,0.97250361,0.04381635,0.22872877,7.0
T 42,0.83417360,0.03794031,-0.55019536,7.0
T 43,0.78730658,0.03633081,0.61549039,5.0
T 44,0.97432661,0.04572458,-0.22044708,8.5
T 45,0.98869762,0.04735065,0.14224955,7.0
T 46,0.94007626,0.04598030,-0.33784972,7.0
T 47,0.96180763,0.04763609,0.26954942,7.5
T 48,0.99861782,0.04961566,0.01734187,6.5
T 49,0.99776531,0.04972896,-0.04462521,7.5
T 50,0.80699666,0.04161168,0.58908816,6.0
T 51,0.99753394,0.05187592,-0.04727512,7.5
T 53,0.79539326,0.04184650,-0.60464737,7.0
T 52,0.72918630,0.03859777,0.68322584,7.0
T 54,0.85755914,0.04534762,0.51238259,7.5
T 55,0.97798369,0.05310097,-0.20181226,8.0
T 56,0.71911464,0.03918620,-0.69378568,6.0
T 57,0.89920215,0.05056287,0.43460200,8.0
T 58,0.98463565,0.05617630,-0.16533862,4.0
T 59,0.96169569,0.05664135,0.26820359,6.0
T 60,0.41204023,0.02406763,-0.91084773,5.0
T 61,0.96955030,0.05852273,-0.23779677,7.5
T 62,0.98955986,0.06125707,0.13045634,5.5
T 63,0.79412617,0.05043676,0.60565647,6.0
