name,x,y,z,mag
1G Ant,-0.63722410,0.52318900,-0.56587872,7.0
epsilon Ant,-0.63362046,0.51271437,-0.57935230,5.0
3G Ant,-0.69914002,0.56430279,-0.43905079,6.0
4G Ant,-0.61413603,0.49620932,-0.61368823,6.6
5G Ant,-0.68928522,0.55576937,-0.46476478,7.0
6G Ant,-0.66850712,0.53645376,-0.51508794,7.0
7G Ant,-0.68768871,0.55094254,-0.47280711,7.0
zeta1 Ant,-0.66706699,0.53338681,-0.52011551,6.1
zeta2 Ant,-0.66901647,0.53120717,-0.51984219,6.3
11G Ant,-0.64057171,0.50801434,-0.57583792,6.4
S Ant,-0.69249158,0.54673337,-0.47067827,6.9
13G Ant,-0.61625665,0.48103958,-0.62356128,6.8
14G Ant,-0.64775209,0.49703766,-0.57738272,6.8
15G Ant,-0.72620163,0.55255002,-0.40904727,6.8
16G Ant,-0.72387012,0.54853521,-0.41847481,6.4
17G Ant,-0.67961281,0.51313304,-0.52423364,6.2
18G Ant,-0.65046753,0.48897685,-0.58120016,6.4
19G Ant,-0.62354728,0.46294638,-0.62997575,7.0
20G Ant,-0.67995951,0.49371737,-0.54212381,7.0
21G Ant,-0.70338240,0.50916394,-0.49598919,7.0
22G Ant,-0.66622691,0.47777819,-0.57259907,6.5
theta Ant,-0.72552303,0.51449147,-0.45707205,5.1
24G Ant,-0.63499065,0.44807496,-0.62929778,7.0
25G Ant,-0.71175819,0.49899581,-0.49437178,6.7
26G Ant,-0.69390633,0.48580324,-0.53149714,7.0
27G Ant,-0.67012550,0.46611081,-0.57764394,7.0
28G Ant,-0.68941551,0.47871028,-0.54363841,7.0
29G Ant,-0.69421171,0.47622705,-0.53970168,7.0
30G Ant,-0.74415850,0.50628356,-0.43578099,6.9
31G Ant,-0.66597940,0.44822293,-0.59629493,6.4
32G Ant,-0.67448126,0.45252097,-0.58335222,6.7
33G Ant,-0.74761478,0.48837171,-0.45007247,6.6
34G Ant,-0.74550022,0.48197816,-0.46035473,7.0
35G Ant,-0.72818076,0.46063329,-0.50751330,6.9
36G Ant,-0.71095135,0.44799883,-0.54207493,6.4
37G Ant,-0.75489366,0.47507530,-0.45214933,6.7
eta Ant,-0.69502808,0.42793257,-0.57776266,5.6
39G Ant,-0.74490575,0.44214614,-0.49962208,6.8
40G Ant,-0.72542479,0.42773432,-0.53926081,6.9
41G Ant,-0.76594258,0.44601296,-0.46303823,6.9
42G Ant,-0.76664090,0.44470418,-0.46314136,6.9
43G Ant,-0.66802816,0.38906186,-0.63432582,6.9
44G Ant,-0.70234247,0.40611075,-0.58462733,6.6
45G Ant,-0.71559075,0.41321590,-0.56318958,7.0
46G Ant,-0.72816652,0.42019535,-0.54148813,6.9
47G Ant,-0.74816334,0.43122717,-0.50427645,6.9
48G Ant,-0.69870616,0.39276401,-0.59795162,6.6
49G Ant,-0.71456852,0.39548064,-0.57705017,6.5
R Ant,-0.69803137,0.38546649,-0.60346317,0.0
51G Ant,-0.68864173,0.37643473,-0.61973337,6.9
52G Ant,-0.73148376,0.39599316,-0.55508641,6.9
53G Ant,-0.77666401,0.42015967,-0.46931745,6.4
54G Ant,-0.74520043,0.39664727,-0.53604782,6.7
55G Ant,-0.67978457,0.35973754,-0.63912584,6.4
56G Ant,-0.68039108,0.35942539,-0.63865591,6.8
57G Ant,-0.69252007,0.36493135,-0.62228696,6.9
58G Ant,-0.71832823,0.37446933,-0.58632523,6.6
59G Ant,-0.78470273,0.39810242,-0.47513797,5.8
60G Ant,-0.72099386,0.36288495,-0.59032395,6.9
61G Ant,-0.74138717,0.37119161,-0.55907232,6.8
62G Ant,-0.76715089,0.37859442,-0.51782794,6.9
63G Ant,-0.78449096,0.37635623,-0.49287921,6.6
64G Ant,-0.71727502,0.34205861,-0.60705227,5.7
65G Ant,-0.71659338,0.33624897,-0.61108965,7.0
66G Ant,-0.70840693,0.32676748,-0.62560582,6.9
alpha Ant,-0.78371293,0.35950142,-0.50651039,4.4
delta Ant,-0.79114946,0.35293204,-0.49952128,6.0
69G Ant,-0.70932945,0.30109249,-0.63733433,7.0
70G Ant,-0.73856841,0.31090807,-0.59820806,6.9
U Ant,-0.71840030,0.29879603,-0.62818941,5.9
72G Ant,-0.77933501,0.31936378,-0.53911382,6.9
73G Ant,-0.79301967,0.32261667,-0.51675748,7.0
74G Ant,-0.75886105,0.30653557,-0.57460060,7.0
75G Ant,-0.75197219,0.29766360,-0.58816172,6.9
76G Ant,-0.76280944,0.29606575,-0.57486245,6.5
77G Ant,-0.76375528,0.29394315,-0.57469582,6.9
78G Ant,-0.79241845,0.30048412,-0.53083170,5.9
79G Ant,-0.75629215,0.27926087,-0.59163802,6.8
80G Ant,-0.78955244,0.27135101,-0.55043217,5.8
81G Ant,-0.77985081,0.25633906,-0.57107181,6.7
82G Ant,-0.77163052,0.25009771,-0.58483970,6.9
83G Ant,-0.74941896,0.24043177,-0.61689852,7.0
iota Ant,-0.76792556,0.23881465,-0.59435502,5.1
85G Ant,-0.78903375,0.21511529,-0.57545735,5.8
1G Aps,-0.27167379,-0.12812968,-0.95382186,7.0
2G Aps,-0.26887114,-0.12911008,-0.95448358,7.0
3G Aps,-0.18569013,-0.09434186,-0.97806891,6.5
theta Aps,-0.21013944,-0.11316814,-0.97109958,0.0
5G Aps,-0.23671371,-0.13261128,-0.96248681,6.4
eta Aps,-0.14317461,-0.08489824,-0.98604935,5.3
7G Aps,-0.19178666,-0.11504731,-0.97467020,6.9
8G Aps,-0.11467318,-0.07035214,-0.99090900,6.8
epsilon Aps,-0.15439072,-0.09589737,-0.98334490,5.5
10G Aps,-0.24224444,-0.15181240,-0.95826438,6.7
11G Aps,-0.19798591,-0.13415156,-0.97098143,6.5
12G Aps,-0.18673372,-0.14099093,-0.97224075,6.7
13G Aps,-0.21146292,-0.16072734,-0.96407995,6.9
alpha Aps,-0.15673714,-0.12293443,-0.97995949,4.0
15G Aps,-0.17865759,-0.14627294,-0.97297775,6.7
16G Aps,-0.20707675,-0.17130879,-0.96320949,6.9
17G Aps,-0.22752230,-0.19221453,-0.95461363,6.1
R Aps,-0.18086843,-0.15681134,-0.97092575,0.0
19G Aps,-0.17316847,-0.15264616,-0.97299118,6.4
20G Aps,-0.19943570,-0.17724894,-0.96374697,6.5
21G Aps,-0.24084704,-0.21934612,-0.94545226,6.8
22G Aps,-0.12984608,-0.11990596,-0.98425736,7.0
23G Aps,-0.22401040,-0.21717596,-0.95008102,6.8
24G Aps,-0.13982550,-0.13828838,-0.98047190,7.0
25G Aps,-0.21533193,-0.21483141,-0.95261725,6.4
26G Aps,-0.21951017,-0.23304037,-0.94736871,6.8
27G Aps,-0.18803280,-0.20287931,-0.96098057,6.7
28G Aps,-0.21118051,-0.23471129,-0.94884846,6.9
kappa1 Aps,-0.19046893,-0.22287914,-0.95605778,5.8
30G Aps,-0.20915159,-0.24481294,-0.94674296,6.7
31G Aps,-0.21455446,-0.25299394,-0.94337715,6.9
32G Aps,-0.13717865,-0.16759956,-0.97626452,6.7
kappa2 Aps,-0.18116188,-0.22884278,-0.95645771,6.0
34G Aps,-0.15358955,-0.19415857,-0.96887187,6.3
35G Aps,-0.12066352,-0.17652739,-0.97687174,6.7
36G Aps,-0.16857412,-0.25703672,-0.95158546,7.0
37G Aps,-0.15794615,-0.24302225,-0.95707534,6.8
38G Aps,-0.16326151,-0.26135761,-0.95133479,6.1
39G Aps,-0.16466647,-0.26932637,-0.94886683,7.0
delta1 Aps,-0.09941722,-0.17527296,-0.97948742,5.2
delta2 Aps,-0.09956673,-0.17574496,-0.97938765,5.5
42G Aps,-0.14402488,-0.25969412,-0.95489046,6.7
43G Aps,-0.14885898,-0.27903224,-0.94867382,7.0
gamma Aps,-0.08784792,-0.17687159,-0.98030566,3.9
45G Aps,-0.13886981,-0.29968283,-0.94387784,5.9
46G Aps,-0.13117522,-0.28667675,-0.94900448,6.7
beta Aps,-0.08863536,-0.20211663,-0.97534232,4.5
48G Aps,-0.12251105,-0.28288054,-0.95129892,6.8
49G Aps,-0.10132961,-0.26541394,-0.95879495,6.7
50G Aps,-0.10801546,-0.30887572,-0.94494891,6.6
51G Aps,-0.07893961,-0.22850127,-0.97033793,6.8
52G Aps,-0.04468225,-0.12946077,-0.99057731,7.0
53G Aps,-0.09325593,-0.27322087,-0.95742033,6.8
54G Aps,-0.07252711,-0.23014331,-0.97045035,6.8
55G Aps,-0.08866814,-0.32090475,-0.94295180,6.6
56G Aps,-0.06919937,-0.26029889,-0.96304514,6.4
57G Aps,-0.07972802,-0.33433962,-0.93907426,7.0
iota Aps,-0.07674446,-0.33352315,-0.93961300,5.8
59G Aps,-0.03611962,-0.15686758,-0.98695893,6.4
zeta Aps,-0.08408455,-0.37109871,-0.92477864,5.4
61G Aps,-0.05334961,-0.37446348,-0.92570563,7.0
62G Aps,-0.04092662,-0.30369776,-0.95188901,6.6
63G Aps,-0.02087326,-0.23858247,-0.97089789,6.3
64G Aps,-0.01836681,-0.21063929,-0.97739130,6.9
65G Aps,-0.01264722,-0.14790256,-0.98892107,7.0
66G Aps,-0.00661268,-0.24372280,-0.96982239,6.0
67G Aps,-0.00404640,-0.28100051,-0.95969909,6.1
1G Aqr,0.61467125,-0.78321526,-0.09355806,6.8
2G Aqr,0.61735718,-0.78510828,-0.04975043,6.5
1 Aqr,0.61909373,-0.78531665,0.00084358,5.6
4G Aqr,0.62058511,-0.78228210,-0.05393358,7.0
5G Aqr,0.61331829,-0.76474823,-0.19748625,7.0
6G Aqr,0.62847129,-0.77632825,-0.04835584,7.0
7G Aqr,0.64383023,-0.76344546,-0.05131922,6.7
epsilon Aqr,0.63607425,-0.75202640,-0.17281736,3.8
