name,x,y,z,mag
U 1,0.78124080,0.00264800,-0.62422416,7.5
U 2,0.91488577,0.00322614,-0.40369991,8.8
U 3,0.97911101,0.00423980,-0.20328222,9.0
U 4,0.80394383,0.00446225,0.59468849,7.0
U 5,0.99838003,0.00579470,-0.05660159,5.5
U 6,0.99934634,0.00592253,-0.03566240,8.5
U 7,0.91910054,0.00557832,-0.39398361,6.5
U 8,0.78770685,0.00482309,0.61603138,7.6
U 9,0.97876007,0.00603927,-0.20492010,9.0
U 10,0.60037166,0.00414321,0.79971039,7.9
U 11,0.80303941,0.00560080,0.59589960,9.0
U 12,0.82680546,0.00613952,-0.56245447,6.1
U 13,0.99846443,0.00784565,-0.05483817,5.5
U 14,0.87960684,0.00738954,0.47564399,2.0
U 15,0.94021311,0.00795462,-0.34049380,8.5
U 16,0.99881507,0.00853220,0.04791293,8.2
U 17,0.99462709,0.00870245,0.10315632,8.0
U 18,0.94013523,0.00823550,-0.34070211,9.2
U 19,0.60014422,0.00580782,0.79987073,8.1
U 20,0.99699660,0.01042854,0.07673997,8.5
U 21,0.99693743,0.01046999,0.07749935,8.5
U 22,0.81416348,0.00856288,-0.58057257,7.0
U 23,0.99994217,0.01075436,-0.00005705,7.5
U 24,0.52304830,0.00567669,0.85228414,2.5
U 25,0.97768856,0.01074684,0.20978462,8.0
U 26,0.92130008,0.01014382,-0.38872004,7.0
U 27,0.97765724,0.01166050,0.20988178,8.0
U 28,0.87720676,0.01139405,-0.47997758,5.8
U 29,0.99951522,0.01342624,0.02809040,9.1
U 30,0.98192204,0.01336328,-0.18881349,8.5
U 31,0.97797899,0.01474819,0.20818160,8.0
U 32,0.99826774,0.01531826,-0.05680549,7.0
U 33,0.99804677,0.01543192,0.06053518,8.5
U 34,0.89427151,0.01410457,-0.44730249,7.2
U 35,0.98566465,0.01571614,-0.16798274,8.0
U 36,0.99447973,0.01698641,-0.10354477,6.5
U 37,0.51528815,0.00904664,0.85696924,7.0
U 38,0.98469244,0.01757315,-0.17341277,8.7
U 39,0.92148922,0.01696913,-0.38803306,8.0
U 40,0.99943578,0.01852889,0.02801421,8.3
U 41,0.80082162,0.01502068,0.59871454,6.8
U 42,0.77624317,0.01498721,0.63025545,8.0
U 43,0.81338854,0.01570915,-0.58150865,5.8
U 44,0.99687400,0.01927534,0.07662041,7.8
U 45,0.99799170,0.02039367,0.05997225,7.8
U 46,0.98906501,0.02109602,0.14596354,8.3
U 47,0.83372500,0.01812093,-0.55188247,8.5
U 48,0.87862380,0.02002607,-0.47709452,5.5
U 49,0.99395873,0.02219234,0.10748739,8.8
U 50,0.98888429,0.02321157,0.14686414,7.0
U 51,0.81049673,0.01900842,-0.58543465,5.0
U 52,0.99957277,0.02436563,-0.01614279,9.0
U 53,0.78405984,0.01921148,0.62038785,7.2
U 54,0.73271489,0.01805740,-0.68029612,5.5
U 55,0.94728360,0.02393873,-0.31950072,5.2
U 56,0.96161739,0.02459019,-0.27328979,8.2
U 57,0.78132206,0.02096156,0.62377596,6.0
U 58,0.88625438,0.02421013,-0.46256572,7.0
U 59,0.93998789,0.02580942,-0.34023028,9.0
U 60,0.79834713,0.02210801,0.60179157,7.0
U 61,0.99504195,0.02769888,0.09552117,9.0
U 62,0.72075595,0.02003978,-0.69289917,7.2
U 63,0.80119479,0.02302022,0.59796069,8.0
U 64,0.99881270,0.02874385,0.03933168,8.8
U 65,0.99373646,0.02868295,0.10800530,8.8
U 66,0.99846811,0.02910416,0.04705720,8.7
U 67,0.96777146,0.02872283,0.25018674,3.6
U 68,0.95137240,0.02840320,-0.30673085,9.0
U 69,0.95127509,0.02849164,-0.30702432,7.6
U 70,0.72190386,0.02162171,-0.69165549,7.8
U 71,0.89043826,0.02687182,-0.45431003,6.9
U 72,0.78205472,0.02363263,-0.62276152,6.0
U 73,0.76179222,0.02336072,0.64740010,5.5
U 74,0.99951267,0.03110152,0.00266945,9.2
U 75,0.99423102,0.03148073,0.10253602,8.5
U 76,0.99356182,0.03168262,0.10877100,8.5
U 77,0.91372482,0.02947016,-0.40526346,7.5
U 78,0.89069666,0.02877082,-0.45368678,6.6
U 79,0.99944298,0.03323261,0.00305284,9.0
U 80,0.97760735,0.03256586,-0.20790224,8.5
U 81,0.99936033,0.03342630,-0.01271296,8.1
U 82,0.99362369,0.03330077,0.10771736,9.0
U 83,0.99820652,0.03518870,0.04843030,8.8
U 84,0.99826240,0.03610579,0.04656776,9.0
U 85,0.99830938,0.03663013,0.04512887,8.2
U 86,0.98927030,0.03688777,0.14136321,6.0
U 87,0.98927563,0.03691606,0.14131858,7.0
U 88,0.79409440,0.02967044,0.60706981,7.5
U 89,0.83953434,0.03141297,-0.54239774,7.5
U 90,0.81252616,0.03069379,-0.58211608,5.8
U 91,0.99215351,0.03850463,-0.11894872,6.9
U 92,0.84046890,0.03321846,-0.54084061,8.2
U 93,0.23739259,0.00950109,0.97136733,6.0
U 94,0.78386048,0.03154564,0.62013517,7.8
U 95,0.99515916,0.04005490,0.08974329,7.2
U 96,0.75241485,0.03028145,-0.65799310,6.5
U 97,0.78664699,0.03244166,0.61655012,8.0
U 98,0.80991418,0.03334208,-0.58559997,7.9
U 99,0.99720859,0.04153282,0.06204877,7.0
U 100,0.99074053,0.04178569,0.12917876,7.6
U 101,0.84596461,0.03626172,-0.53200467,5.6
U 102,0.96425828,0.04187410,-0.26163434,8.0
U 103,0.99036722,0.04387527,0.13133065,6.0
U 104,0.80886896,0.03602010,0.58688462,7.5
U 105,0.81031608,0.03609262,0.58488048,7.5
U 106,0.83348481,0.03725102,-0.55128526,7.0
U 107,0.99879702,0.04469736,0.02016575,7.5
U 108,0.79227488,0.03563641,0.60912277,8.9
U 109,0.77518490,0.03515663,0.63075541,7.5
U 110,0.83415267,0.03791069,-0.55022914,6.9
U 111,0.99896501,0.04546513,0.00135290,0.0
U 112,0.78730664,0.03631479,0.61549126,5.5
U 113,0.80955636,0.03741657,0.58584853,8.6
U 114,0.80955105,0.03894138,0.58575649,7.8
U 115,0.99881112,0.04830171,-0.00658025,7.9
U 116,0.72673434,0.03565495,0.68599266,8.1
U 117,0.99861863,0.04959930,0.01734188,6.6
U 118,0.99163394,0.04945100,-0.11923389,8.3
U 119,0.99156219,0.04946111,-0.11982497,9.0
U 120,0.99871270,0.05062307,0.00320163,9.2
U 121,0.80699898,0.04158937,0.58908656,4.8
U 122,0.79538518,0.04181318,-0.60466030,5.7
U 123,0.85903485,0.04648435,-0.50980224,7.6
U 124,0.97798482,0.05309403,-0.20180862,8.0
U 125,0.99870710,0.05081615,-0.00136193,8.0
U 126,0.99187365,0.05499992,0.11472433,8.8
U 127,0.99755304,0.05624058,0.04153220,8.8
U 128,0.98463627,0.05617026,-0.16533696,3.4
U 129,0.94746013,0.05436922,-0.31521944,7.7
U 130,0.80490351,0.04653194,0.59157850,6.8
U 131,0.98882837,0.05713374,-0.13767422,7.5
U 132,0.97386346,0.05713625,0.21983040,9.0
U 133,0.79152875,0.04657513,0.60935457,6.2
U 134,0.99346367,0.05928282,0.09754739,7.2
U 135,0.89863061,0.05361367,-0.43541773,7.4
U 136,0.94721095,0.05671626,-0.31555456,7.0
U 137,0.99736968,0.05988743,0.04083145,7.6
U 138,0.71505264,0.04331599,0.69772734,8.0
U 139,0.80137763,0.04870877,-0.59617225,7.0
U 140,0.83270625,0.05090606,-0.55137000,7.9
U 141,0.98956095,0.06124531,0.13045362,5.0
U 142,0.90940772,0.05762123,-0.41189488,6.9
U 143,0.79412451,0.05044309,0.60565812,4.8
U 144,0.97589737,0.06198465,0.20924202,7.5
U 145,0.71492971,0.04548959,0.69771499,7.0
U 146,0.78949756,0.05031740,0.61168763,8.0
U 147,0.81562722,0.05202420,0.57623409,6.8
U 148,0.86092794,0.05507419,-0.50573700,7.6
U 149,0.76522391,0.04907732,-0.64189079,6.8
