name,component,gcvs_number,source_line,ra_deg,dec_deg,equinox,coordinate_epoch,coordinate_flag,identification_flag,variability_type,band,mag_bright,mag_faint,mag_faint_truncated,amplitude_full,amplitude_truncated,faint_from_amplitude,bright_uncertain,faint_uncertain,has_gcvs_remarks,reference1,reference2
W Cet,,210006,14790,0.530791667,-14.675861111,J2000,2000.0,,,M,V,7.1,14.8,13,7.7,5.9,0,,,*,00001,00002
V Scl,,740005,53984,2.155583333,-39.218055556,J2000,1991.25,,,M,V,8.7,15.0,13,6.3,4.3,0,,,*,00001,00002
RU Oct,,580013,32006,2.192458333,-86.1885,J2000,2000.0,,,M,p,10.2,15.0,13,4.8,2.8,0,,,,00440,08613
WW Cet,,210045,14829,2.853041667,-11.478611111,J2000,2000.0,,,UG,p,9.3,16.8,13,7.5,3.7,0,,,*,08810,08852
S Scl,,740002,53981,3.842791667,-32.045277778,J2000,2000.0,,,M,V,5.5,13.6,13,8.1,7.5,0,,,*,00001,00002
S Tuc,,820002,58095,5.782,-61.671388889,J2000,2000.0,,,M,V,8.2,15.0,13,6.8,4.8,0,,,,00001,00002
S Cet,,210002,14786,6.014833333,-9.327972222,J2000,2000.0,,,M,V,7.6,14.7,13,7.1,5.4,0,,,,00001,00002
T Scl,,740003,53982,7.300541667,-37.908527778,J2000,2000.0,,,M,V,8.47,13.5,13,5.03,4.53,0,,,*,00001,00002
T Phe,,640003,42190,7.60925,-46.40925,J2000,2000.0,,,M,V,8.7,14.6,13,5.9,4.3,0,,,*,00001,00002
Y Hyi,,430008,25634,11.461208333,-78.821361111,J2000,2000.0,,,EA/SD,p,10.4,14.0,13,3.6,2.6,0,,,*,00193,06286
X Scl,,740007,53986,12.373,-34.912777778,J2000,2000.0,,,M,V,10.1,14.7,13,4.6,2.9,0,,,*,00001,00002
U Tuc,,820004,58097,14.30475,-75.000111111,J2000,2000.0,,,M,V,8.0,14.8,13,6.8,5.0,0,,,*,00001,00002
AD Scl,,740058,54037,16.369666667,-31.693666667,J2000,2000.0,,,M:,p,10.5,13.0,13.0,2.5,2.5,0,,,,00085,08588
Z Cet,,210009,14793,16.688041667,-1.481416667,J2000,2000.0,,,M,V,8.4,14.2,13,5.8,4.6,0,,,,00001,00002
RS Hyi,,430011,25637,17.616,-76.848694444,J2000,1976.654,,,M,p,10.0,16.0,13,6.0,3.0,0,,,*,00193,06286
U Scl,,740004,53983,17.901583333,-30.107916667,J2000,2000.0,,,M,V,8.3,15.21,13,6.91,4.7,0,,,,00001,00002
WX Cet,,210046,14830,19.267416667,-17.939611111,J2000,1988.759,,,UG,p,9.5,18.0,13,8.5,3.5,0,,,,08928,08927
