index1,index2,dist
W 1,PPM 242531,5.94
W 2,PPM 208380,1.68
W 3,PPM 208383,4.97
W 4,PPM 208389,1.48
W 5,PPM 208392,13.07
W 6,PPM 242535,3.32
W 7,PPM 208393,3.97
W 8,PPM 242540,3.09
W 9,PPM 242542,2.87
W 10,PPM 208398,2.61
W 11,PPM 208403,1.07
W 12,PPM 242549,1.80
W 13,PPM 242552,5.14
W 14,PPM 242553,4.71
W 15,PPM 242558,0.96
W 16,PPM 242561,4.34
W 17,PPM 208419,6.99
W 18,PPM 242564,4.88
W 19,PPM 208422,3.73
W 20,PPM 242567,2.62
W 21,PPM 208428,4.49
W 22,PPM 242571,0.46
W 23,PPM 208429,4.77
W 24,PPM 208430,5.18
W 25,PPM 208433,3.69
W 26,PPM 208435,3.29
W 27,PPM 208438,1.06
W 28,PPM 208439,3.40
W 29,PPM 242578,2.56
W 30,PPM 208446,1.67
W 31,PPM 208450,2.14
W 32,PPM 242587,1.57
W 33,PPM 242586,2.18
W 34,PPM 242588,5.99
W 35,PPM 242590,3.13
W 36,PPM 242593,2.32
W 37,PPM 208469,4.96
W 38,PPM 208470,7.87
W 39,PPM 242597,2.40
W 40,PPM 723483,8.96
W 41,PPM 208476,4.74
W 42,PPM 208477,2.96
W 43,PPM 208480,3.57
W 44,PPM 242605,2.65
W 45,PPM 242608,3.12
W 46,PPM 208490,2.45
W 47,PPM 242611,2.54
W 48,PPM 275811,8.02
W 49,PPM 242617,6.58
W 50,PPM 242622,0.27
W 51,PPM 242624,1.48
W 52,PPM 709784,4.46
W 53,PPM 208505,1.28
W 54,PPM 242628,5.39
W 55,PPM 242631,0.99
W 56,PPM 242633,2.19
W 57,PPM 242632,4.00
W 58,PPM 208512,2.22
W 59,PPM 208521,8.31
W 60,PPM 242642,2.28
W 61,PPM 242643,2.64
W 62,PPM 242644,9.08
W 63,PPM 208532,13.93
W 64,PPM 242645,2.33
W 65,PPM 208531,3.54
W 66,PPM 208541,1.70
W 67,PPM 208549,0.42
W 68,PPM 242651,8.93
W 69,PPM 208551,5.60
W 70,PPM 242652,9.19
W 71,PPM 242654,2.40
W 72,PPM 242656,3.19
W 73,PPM 242660,2.00
W 74,PPM 242667,6.92
W 75,PPM 208574,1.38
W 76,PPM 242671,5.75
W 77,PPM 242672,3.34
W 78,PPM 208577,3.75
W 79,PPM 242676,3.50
W 80,PPM 208581,4.43
W 81,PPM 208582,1.02
W 82,PPM 242679,15.18
W 83,PPM 242678,7.70
W 84,PPM 208595,2.09
