index1,index2,mag,dist
BAC 1,HD 315,7.0,4.75
BAC 2,HD 344,6.0,4.83
BAC 3,HD 352,7.0,4.84
BAC 4,HD 358,1.0,2.10
BAC 5,HD 406,7.0,3.56
BAC 6,HD 431,7.5,7.39
BAC 7,HD 432,2.5,1.53
BAC 8,HD 448,6.0,3.48
BAC 9,HD 469,6.0,6.96
BAC 10,HD 493,6.0,3.96
BAC 11,HD 496,4.0,6.76
BAC 12,HD 545,7.0,2.61
BAC 14,HD 560,6.0,4.46
BAC 15,HD 565,6.0,57.99
BAC 16,HD 571,5.0,2.43
BAC 17,HD 587,6.5,1.35
BAC 18,HD 593,7.0,1.85
BAC 19,HD 636,5.0,4.38
BAC 21,HD 693,6.0,2.15
BAC 22,HD 706,7.0,7.56
BAC 23,HD 720,5.5,2.78
BAC 24,HD 739,5.5,5.47
BAC 25,HD 770,6.0,7.56
BAC 26,HD 886,2.0,0.54
BAC 27,HD 902,6.0,5.06
BAC 28,HD 905,6.0,3.81
BAC 30,HD 980,6.0,8.71
BAC 31,HD 1004,6.0,3.36
BAC 32,HD 1013,6.0,0.40
BAC 33,HD 1038,5.5,5.43
BAC 34,HD 1066,6.0,12.36
BAC 35,HD 1064,6.0,4.78
BAC 36,HD 1061,6.0,2.24
BAC 37,HD 1089,6.0,7.99
BAC 38,HD 1116,7.0,22.82
BAC 39,HD 1141,6.0,5.15
BAC 40,HD 1032,6.0,34.23
BAC 41,HD 1138,7.0,17.05
BAC 42,HD 1160,0.0,1.04
BAC 43,HD 1187,6.0,4.07
BAC 44,HD 1227,6.5,1.65
BAC 45,HD 1221,5.5,22.10
BAC 46,HD 1239,6.0,4.78
BAC 47,HD 1228,7.5,2.23
BAC 48,HD 1243,7.0,5.78
BAC 49,HD 1259,6.5,6.50
BAC 50,HD 1261,6.0,6.71
BAC 51,HD 1279,6.0,3.89
BAC 52,HD 1280,5.0,1.73
BAC 53,HD 1317,7.5,3.50
BAC 54,HD 1337,6.0,3.35
BAC 55,HD 1352,7.5,4.55
BAC 56,HD 1324,5.5,2.68
BAC 57,HD 1367,6.5,3.73
BAC 58,HD 1404,5.5,2.90
BAC 59,HD 1434,6.0,9.33
BAC 60,HD 1438,6.5,3.29
BAC 61,HD 1483,6.0,1.88
BAC 62,HD 1522,4.0,2.63
BAC 63,HD 1563,6.0,2.64
BAC 64,HD 1581,5.0,8.03
BAC 65,HD 1613,6.0,2.67
BAC 66,HD 1635,5.5,3.72
BAC 67,HD 1671,5.5,2.90
BAC 68,HD 1695,7.0,2.72
BAC 69,HD 1683,6.5,4.81
BAC 70,HD 1685,4.5,11.58
BAC 71,HD 1348,6.5,6.09
BAC 72,HD 1737,5.0,2.18
BAC 73,HD 1796,6.0,4.35
BAC 74,HD 1801,6.0,8.81
BAC 75,HD 1835,6.0,3.30
BAC 76,HD 1860,7.0,9.98
BAC 77,HD 1909,6.5,1.83
BAC 78,HD 1952,5.5,1.65
BAC 79,HD 1976,5.5,3.90
BAC 80,HD 2011,5.5,3.15
BAC 81,HD 2023,6.5,3.59
BAC 82,HD 2035,6.0,1.90
BAC 83,HD 2054,6.0,4.04
BAC 84,HD 2070,6.0,11.61
BAC 86,HD 2169,6.0,1.13
BAC 87,HD 2114,6.0,1.47
BAC 88,HD 2151,3.0,5.98
BAC 89,HD 2140,6.0,0.94
BAC 91,HD 2191,7.0,3.97
BAC 92,HD 2244,7.0,3.30
BAC 93,HD 2262,4.0,9.02
BAC 94,HD 2261,2.0,3.71
BAC 95,HD 2273,6.0,0.92
BAC 96,HD 2324,7.0,4.25
BAC 97,HD 2344,7.5,0.88
BAC 98,HD 2358,7.0,6.09
BAC 99,HD 2410,6.5,1.21
BAC 100,HD 2421,5.5,2.20
BAC 101,HD 2411,6.0,5.99
BAC 102,HD 2436,6.0,2.45
BAC 103,HD 2429,5.0,4.80
BAC 104,HD 2490,6.0,4.36
BAC 105,HD 2589,6.5,3.26
BAC 106,HD 2529,6.0,5.91
BAC 107,HD 2593,7.0,2.94
BAC 108,HD 2608,5.5,6.17
BAC 109,HD 2628,6.0,1.95
BAC 110,HD 2629,7.5,7.97
BAC 111,HD 2630,6.0,2.24
BAC 112,HD 2637,6.0,2.22
BAC 113,HD 2648,7.0,5.96
BAC 114,HD 2729,6.0,4.68
BAC 115,HD 2696,6.0,4.14
BAC 116,HD 2714,7.0,3.98
BAC 117,HD 2724,5.5,3.54
BAC 118,HD 2723,6.0,9.39
BAC 119,HD 2726,5.5,5.43
BAC 120,HD 2767,6.0,10.87
BAC 121,HD 2772,5.0,1.08
BAC 122,HD 2806,7.0,3.62
BAC 123,HD 2825,7.5,4.12
BAC 124,HD 2834,5.0,2.11
BAC 125,HD 2904,7.0,0.29
BAC 126,HD 2905,4.0,0.85
BAC 127,HD 2884,4.0,3.95
BAC 128,HD 2885,4.0,1.79
BAC 129,HD 2913,6.5,4.16
BAC 130,HD 2910,6.0,1.35
BAC 131,HD 3038,5.5,1.34
BAC 132,HD 3024,8.0,0.97
BAC 133,HD 3029,8.0,3.88
BAC 134,HD 3003,5.0,8.31
BAC 135,HD 3059,5.5,1.11
BAC 136,HD 3074,6.0,10.84
BAC 137,HD 3088,7.0,4.41
BAC 138,HD 3125,7.0,5.26
BAC 139,HD 3140,8.0,1.96
BAC 140,HD 3112,5.5,35.21
BAC 141,HD 3136,6.0,2.77
BAC 142,HD 3166,6.5,4.47
BAC 143,HD 3158,5.0,9.09
BAC 144,HD 3173,6.0,6.91
BAC 145,HD 3196,6.0,0.84
BAC 146,HD 3240,5.5,1.31
BAC 147,HD 3229,6.5,1.77
BAC 148,HD 3283,6.0,0.45
BAC 149,HD 3268,6.0,15.48
BAC 150,HD 3302,5.5,3.49
BAC 151,HD 3303,6.0,6.24
BAC 152,HD 3346,5.5,2.03
BAC 153,HD 3360,4.0,1.16
BAC 154,HD 3440,6.0,2.92
BAC 155,HD 3369,4.5,0.93
BAC 156,HD 3379,6.0,3.60
BAC 157,HD 3375,6.0,46.05
BAC 158,HD 3421,6.0,2.72
BAC 159,HD 3376,6.0,34.55
BAC 160,HD 3443,6.0,4.55
