index1,index2,mag,dist
BAC 1,PPM 181879,7.0,4.75
BAC 2,PPM 275726,6.0,4.83
BAC 3,PPM 181887,7.0,4.84
BAC 4,PPM 89441,1.0,2.10
BAC 5,PPM 181899,7.0,3.56
BAC 6,PPM 4304,7.5,7.39
BAC 7,PPM 25054,2.5,1.53
BAC 8,PPM 116172,6.0,3.48
BAC 9,PPM 329972,6.0,6.96
BAC 10,PPM 242561,6.0,3.96
BAC 11,PPM 304618,4.0,6.76
BAC 12,PPM 181921,7.0,2.61
BAC 13,PPM 400005,6.0,1.63
BAC 14,PPM 116192,6.0,4.46
BAC 15,PPM 351661,6.0,57.99
BAC 16,PPM 42645,5.0,2.43
BAC 17,PPM 181928,6.5,1.35
BAC 18,PPM 25084,7.0,1.85
BAC 19,PPM 375917,5.0,4.38
BAC 20,PPM 366823,6.0,13.22
BAC 21,PPM 208457,6.0,2.15
BAC 22,PPM 304644,7.0,7.56
BAC 23,PPM 242592,5.5,2.78
BAC 24,PPM 275790,5.5,5.47
BAC 25,PPM 304655,6.0,7.56
BAC 26,PPM 116243,2.0,0.54
BAC 27,PPM 275815,6.0,5.06
BAC 28,PPM 42707,6.0,3.81
BAC 30,PPM 330048,6.0,8.71
BAC 31,PPM 330053,6.0,3.36
BAC 32,PPM 89542,6.0,0.40
BAC 33,PPM 208536,5.5,5.43
BAC 34,PPM 304698,6.0,12.36
BAC 35,PPM 182020,6.0,4.78
BAC 36,PPM 143293,6.0,2.24
BAC 37,PPM 275835,6.0,7.99
BAC 38,PPM 304705,7.0,22.82
BAC 39,PPM 4330,6.0,5.15
BAC 40,PPM 375924,6.0,34.23
BAC 41,PPM 304711,7.0,17.05
BAC 42,PPM 143311,0.0,1.04
BAC 43,PPM 275854,6.0,4.07
BAC 44,PPM 143320,6.5,1.65
BAC 45,PPM 366853,5.5,22.10
BAC 46,PPM 12067,6.0,4.78
BAC 47,PPM 143321,7.5,2.23
BAC 48,PPM 116289,7.0,5.78
BAC 49,PPM 275867,6.5,6.50
BAC 50,PPM 366858,6.0,6.71
BAC 51,PPM 42778,6.0,3.89
BAC 52,PPM 65154,5.0,1.73
BAC 53,PPM 143338,7.5,3.50
BAC 54,PPM 25200,6.0,3.35
BAC 55,PPM 116312,7.5,4.55
BAC 56,PPM 366860,5.5,2.68
BAC 57,PPM 143346,6.5,3.73
BAC 58,PPM 65183,5.5,2.90
BAC 59,PPM 275891,6.0,9.33
BAC 60,PPM 42805,6.5,3.29
BAC 61,PPM 304767,6.0,1.88
BAC 62,PPM 182115,4.0,2.63
