index1,index2,mag,dist
BAC 1,SAO 128595,7.0,4.75
BAC 2,SAO 192367,6.0,4.83
BAC 3,SAO 128602,7.0,4.84
BAC 4,SAO 73765,1.0,2.10
BAC 5,SAO 128607,7.0,3.56
BAC 6,SAO 4048,7.5,7.39
BAC 7,SAO 21133,2.5,1.53
BAC 8,SAO 91734,6.0,3.48
BAC 9,SAO 231943,6.0,6.96
BAC 10,SAO 166083,6.0,3.96
BAC 11,SAO 214983,4.0,6.76
BAC 12,SAO 128618,7.0,2.61
BAC 14,SAO 91750,6.0,4.46
BAC 15,SAO 248130,6.0,57.99
BAC 16,SAO 36123,5.0,2.43
BAC 17,SAO 128621,6.5,1.35
BAC 18,SAO 21164,7.0,1.85
BAC 19,SAO 258215,5.0,4.38
BAC 20,SAO 255642,6.0,13.22
BAC 21,SAO 147133,6.0,2.15
BAC 22,SAO 214994,7.0,7.56
BAC 23,SAO 166103,5.5,2.78
BAC 24,SAO 192388,5.5,5.47
BAC 25,SAO 214999,6.0,7.56
BAC 26,SAO 91781,2.0,0.54
BAC 27,SAO 192406,6.0,5.06
BAC 28,SAO 36173,6.0,3.81
BAC 30,SAO 231976,6.0,8.71
BAC 31,SAO 231979,6.0,3.36
BAC 32,SAO 91792,6.0,0.40
BAC 33,SAO 147169,5.5,5.43
BAC 34,SAO 215018,6.0,12.36
BAC 35,SAO 128660,6.0,4.78
BAC 36,SAO 109087,6.0,2.24
BAC 37,SAO 192418,6.0,7.99
BAC 38,SAO 215021,7.0,22.82
BAC 39,SAO 4071,6.0,5.15
BAC 40,SAO 258217,6.0,34.23
BAC 41,SAO 215023,7.0,17.05
BAC 42,SAO 109094,0.0,1.04
BAC 43,SAO 192430,6.0,4.07
BAC 44,SAO 109100,6.5,1.65
BAC 45,SAO 255650,5.5,22.10
BAC 46,SAO 11084,6.0,4.78
BAC 47,SAO 109101,7.5,2.23
BAC 48,SAO 91812,7.0,5.78
BAC 49,SAO 192442,6.5,6.50
BAC 50,SAO 255651,6.0,6.71
BAC 51,SAO 36236,6.0,3.89
BAC 52,SAO 53777,5.0,1.73
BAC 53,SAO 109111,7.5,3.50
BAC 54,SAO 21273,6.0,3.35
BAC 55,SAO 91825,7.5,4.55
BAC 56,SAO 255652,5.5,2.68
BAC 57,SAO 109119,6.5,3.73
BAC 58,SAO 53798,5.5,2.90
BAC 59,SAO 192453,6.0,9.33
BAC 60,SAO 36256,6.5,3.29
BAC 61,SAO 215047,6.0,1.88
BAC 62,SAO 128694,4.0,2.63
BAC 63,SAO 91850,6.0,2.64
BAC 64,SAO 248163,5.0,8.03
BAC 65,SAO 11123,6.0,2.67
BAC 66,SAO 109152,5.5,3.72
BAC 67,SAO 53828,5.5,2.90
BAC 68,SAO 11130,7.0,2.72
BAC 69,SAO 192474,6.5,4.81
BAC 70,SAO 248167,4.5,11.58
BAC 71,SAO 258218,6.5,6.09
BAC 72,SAO 166207,5.0,2.18
BAC 73,SAO 91866,6.0,4.35
BAC 74,SAO 255663,6.0,8.81
BAC 75,SAO 147237,6.0,3.30
BAC 76,SAO 248174,7.0,9.98
BAC 77,SAO 192495,6.5,1.83
BAC 78,SAO 36330,5.5,1.65
BAC 79,SAO 21366,5.5,3.90
BAC 80,SAO 11172,5.5,3.15
BAC 81,SAO 128743,6.5,3.59
BAC 82,SAO 91881,6.0,1.90
BAC 83,SAO 21381,6.0,4.04
BAC 84,SAO 232027,6.0,11.61
BAC 86,SAO 4118,6.0,1.13
BAC 87,SAO 109192,6.0,1.47
BAC 88,SAO 255670,3.0,5.98
