index1,index2,mag,dist
B 1,HD 469,6.0,15.44
B 3,HD 496,4.0,16.82
B 4,HD 563,7.0,4.25
B 7,HD 720,6.0,8.93
B 8,HD 739,6.0,29.50
B 10,HD 791,7.0,10.58
B 12,HD 902,6.0,28.11
B 13,HD 957,7.0,12.20
B 14,HD 980,6.0,14.98
B 15,HD 1004,6.0,12.19
B 16,HD 1066,6.0,5.73
B 17,HD 1089,6.0,18.66
B 19,HD 1187,6.0,13.27
B 20,HD 1221,6.0,17.02
B 21,HD 1259,6.0,5.22
B 25,HD 1483,6.0,20.20
B 26,HD 1581,5.0,8.60
B 27,HD 1683,6.0,20.99
B 28,HD 1707,7.0,1.94
B 29,HD 1685,6.0,0.68
B 30,HD 1707,7.5,5.49
B 31,HD 1737,6.0,31.07
B 33,HD 1801,6.0,7.17
B 34,HD 1909,6.0,23.01
B 35,HD 2070,6.0,23.12
B 36,HD 2041,8.0,22.63
B 37,HD 2041,8.0,9.31
B 39,HD 2072,9.0,2.67
B 40,HD 2151,3.0,9.63
B 41,HD 2072,8.5,4.28
B 42,HD 2168,8.0,17.41
B 43,HD 2262,5.0,23.69
B 44,HD 2261,2.0,22.81
B 45,HD 2429,6.0,3.67
B 46,HD 2490,6.0,40.14
B 47,HD 2481,8.0,26.07
B 48,HD 2466,7.5,9.84
B 49,HD 2529,6.0,19.38
B 51,HD 2587,7.0,23.81
B 52,HD 2608,6.0,32.13
B 58,HD 2884,5.0,8.08
B 59,HD 2885,5.0,8.89
B 60,HD 2898,9.0,57.80
B 61,HD 3003,5.5,10.47
B 64,HD 3075,7.0,25.20
B 65,HD 3136,6.0,7.63
B 66,HD 3112,6.0,18.83
B 69,HD 3302,6.0,26.18
B 70,HD 3303,6.0,17.30
B 73,HD 3376,6.0,27.12
B 74,HD 3395,7.5,7.56
B 75,HD 3439,8.0,18.15
B 76,HD 3439,8.0,23.76
B 77,HD 3488,6.0,9.90
B 79,HD 3750,6.0,5.15
B 80,HD 3719,6.0,5.54
B 82,HD 3867,6.0,28.62
B 85,HD 3689,6.5,20.37
B 88,HD 3880,7.0,6.64
B 90,HD 3880,9.0,9.09
B 91,HD 4090,8.0,50.46
B 92,HD 4150,5.0,11.15
B 95,HD 4262,7.5,18.58
B 96,HD 4293,6.0,21.37
B 97,HD 4304,6.0,21.36
B 98,HD 4252,8.0,40.15
B 99,HD 4343,6.0,11.43
B 101,HD 4333,7.0,14.39
B 102,HD 4319,8.0,7.51
B 104,HD 4511,9.0,44.22
B 105,HD 4590,9.0,8.82
B 106,HD 4737,6.0,18.18
B 108,HD 4815,6.0,12.45
B 110,HD 4893,7.0,47.81
B 111,HD 4921,8.0,9.35
B 112,HD 5028,6.0,4.94
B 117,HD 5271,6.0,35.28
B 120,HD 5370,7.0,17.22
B 121,HD 5474,6.0,12.22
B 122,HD 5457,6.0,15.94
B 123,HD 5499,6.0,40.89
B 125,HD 5737,5.0,21.14
B 126,HD 5636,7.5,29.97
B 127,HD 5771,6.0,6.01
B 128,HD 5756,6.0,2.38
B 129,HD 5688,7.0,19.99
B 130,HD 5994,7.0,20.28
B 132,HD 6080,6.0,25.91
B 133,HD 6178,6.0,13.92
B 134,HD 6107,7.0,12.09
B 136,HD 6192,6.0,12.28
B 137,HD 6245,6.0,27.85
B 138,HD 6269,6.0,22.66
B 139,HD 6172,6.5,16.13
B 140,HD 6222,7.0,8.53
B 141,HD 6311,6.0,20.23
B 143,HD 6406,9.0,9.29
B 144,HD 6619,6.0,13.17
B 145,HD 6595,4.0,23.29
B 146,HD 6536,7.0,10.12
B 148,HD 6623,6.5,7.82
B 149,HD 6735,6.0,20.27
B 150,HD 6655,7.0,14.49
B 151,HD 6655,7.0,11.87
B 155,HD 6793,6.0,8.91
B 156,HD 6882,5.0,27.64
B 157,HD 6870,7.0,8.53
B 158,HD 6996,6.0,29.01
B 159,HD 7008,7.5,13.83
B 161,HD 6997,7.5,4.20
B 163,HD 7097,6.0,18.55
B 164,HD 7031,7.5,2.02
B 165,HD 7053,8.0,52.99
B 166,HD 7259,6.0,17.93
B 169,HD 7187,6.0,7.09
B 170,HD 7305,8.0,10.70
B 171,HD 7305,8.0,23.51
B 172,HD 7570,6.0,27.26
B 173,HD 7518,7.0,3.66
B 176,HD 7693,7.0,10.06
B 178,HD 7788,6.0,10.31
B 179,HD 7858,6.0,15.82
B 180,HD 7916,6.0,24.04
B 181,HD 8001,6.0,23.77
B 182,HD 8025,6.0,32.77
B 183,HD 8107,7.0,17.29
B 184,HD 8149,8.0,42.39
B 185,HD 8190,8.0,4.52
B 189,HD 8271,8.0,30.54
B 190,HD 8410,6.0,27.77
B 191,HD 8287,8.5,42.14
B 193,HD 8436,6.0,5.22
B 194,HD 8353,6.5,3.06
B 197,HD 8558,8.0,1.93
B 198,HD 8478,8.0,24.23
B 200,HD 8479,7.0,1.82
B 201,HD 8681,6.0,21.29
B 202,HD 8720,8.0,9.37
B 203,HD 8214,6.0,20.63
B 204,HD 8781,0.0,14.77
B 205,HD 8810,6.0,15.93
B 206,HD 8782,0.0,35.49
B 207,HD 8783,0.0,33.73
B 208,HD 8953,7.0,37.90
B 209,HD 9053,3.0,24.03
