index1,index2,mag,dist
B 1,PPM 329972,6.0,15.44
B 3,PPM 304618,4.0,16.82
B 4,PPM 304626,7.0,4.25
B 6,PPM 366823,6.0,4.97
B 7,PPM 242592,6.0,8.93
B 8,PPM 275790,6.0,29.50
B 10,PPM 330019,7.0,10.58
B 12,PPM 275815,6.0,28.11
B 13,PPM 304679,7.0,12.20
B 14,PPM 330048,6.0,14.98
B 15,PPM 330053,6.0,12.19
B 16,PPM 304698,6.0,5.73
B 17,PPM 275835,6.0,18.66
B 19,PPM 275854,6.0,13.27
B 20,PPM 366853,6.0,17.02
B 21,PPM 275867,6.0,5.22
B 25,PPM 304767,6.0,20.20
B 26,PPM 351761,5.0,8.60
B 27,PPM 275926,6.0,20.99
B 28,PPM 366884,7.0,1.94
B 29,PPM 351766,6.0,0.68
B 30,PPM 366884,7.5,5.49
B 31,PPM 242755,6.0,31.07
B 33,PPM 366888,6.0,7.17
B 34,PPM 275965,6.0,23.01
B 35,PPM 330183,6.0,23.12
B 36,PPM 366901,8.0,22.63
B 37,PPM 366901,8.0,9.31
B 39,PPM 366905,9.0,2.67
B 40,PPM 366918,3.0,9.63
B 41,PPM 366905,8.5,4.28
B 42,PPM 783688,8.0,17.41
B 43,PPM 304874,5.0,23.69
B 44,PPM 304876,2.0,22.81
B 45,PPM 276040,6.0,3.67
B 46,PPM 276048,6.0,40.14
B 47,PPM 330244,8.0,26.07
B 48,PPM 366934,7.5,9.84
B 49,PPM 330252,6.0,19.38
B 51,PPM 330263,7.0,23.81
B 52,PPM 304931,6.0,32.13
B 58,PPM 351869,5.0,8.08
B 59,PPM 351870,5.0,8.89
B 60,PPM 366951,9.0,57.80
B 61,PPM 351888,5.5,10.47
B 64,PPM 330322,7.0,25.20
B 65,PPM 305009,6.0,7.63
B 66,PPM 366965,6.0,18.83
B 69,PPM 305030,6.0,26.18
B 70,PPM 330343,6.0,17.30
B 73,PPM 366977,6.0,27.12
B 74,PPM 366979,7.5,7.56
B 75,PPM 366983,8.0,18.15
B 76,PPM 366983,8.0,23.76
B 77,PPM 330376,6.0,9.90
B 79,PPM 305122,6.0,5.15
B 80,PPM 367001,6.0,5.54
B 82,PPM 305138,6.0,28.62
B 85,PPM 366999,6.5,20.37
B 88,PPM 367011,7.0,6.64
B 90,PPM 367011,9.0,9.09
B 91,PPM 783715,8.0,50.46
