index1,index2,mag,dist
CD -36°16128,PPM 275564,8.0,23.06
CD -36°16129,PPM 275565,8.3,18.81
CD -36°16130,PPM 275568,9.1,4.51
CD -36°16132,PPM 275571,9.5,18.82
CD -38°15705,PPM 275575,9.1,17.35
CD -35°16026,PPM 275576,9.0,23.45
CD -33°16802,PPM 275578,9.1,16.64
CD -35°16027,PPM 275579,8.7,14.78
CD -33°16803,PPM 275580,9.0,6.15
CD -33°16804,PPM 275581,8.5,30.14
CD -37°15462,PPM 275585,9.3,27.77
CD -36°16137,PPM 275587,9.4,12.75
CD -32°17778,PPM 275588,8.5,13.94
CD -35°16031,PPM 275589,9.1,6.95
CD -39°15232,PPM 275591,9.1,14.84
CD -38°15712,PPM 275592,9.5,8.97
CD -34°16269,PPM 275594,8.3,17.60
CD -33°16811,PPM 275596,9.3,13.60
CD -40°15310,PPM 275597,8.5,31.10
CD -35°16037,PPM 275599,9.3,17.38
CD -36°16140,PPM 275600,8.9,22.07
CD -37°15469,PPM 275602,6.9,8.03
CD -38°15713,PPM 275604,6.9,13.83
CD -36°16141,PPM 275605,9.0,6.81
CD -37°15471,PPM 275607,9.6,37.93
CD -34°16272,PPM 275611,9.3,25.05
CD -32°17782,PPM 275612,9.0,16.91
CD -39°15238,PPM 275615,9.1,11.29
CD -34°16275,PPM 275616,8.7,15.31
CD -38°15719,PPM 275618,9.2,9.29
CD -32°17789,PPM 275620,8.3,4.30
CD -38°15721,PPM 275622,8.5,5.51
CD -40°15315,PPM 275623,8.6,20.39
CD -35°16047,PPM 275624,7.3,6.24
CD -35°16049,PPM 275626,9.1,2.78
CD -34°16280,PPM 275627,8.5,3.16
CD -37°15480,PPM 275629,9.6,17.56
CD -36°16147,PPM 275633,9.0,3.69
CD -35°16050,PPM 275634,8.7,8.37
CD -36°16149,PPM 275637,9.0,12.73
CD -36°16150,PPM 275638,6.8,12.25
CD -36°16151,PPM 275639,9.5,9.22
CD -36°16152,PPM 275641,7.8,6.32
CD -35°16052,PPM 275644,9.2,14.28
CD -36°16154,PPM 275645,9.5,23.15
CD -39°15246,PPM 275647,8.9,16.69
CD -34°16287,PPM 275648,9.3,12.62
CD -34°16288,PPM 275649,9.3,21.23
CD -33°16829,PPM 275650,9.0,20.65
CD -35°16053,PPM 275653,9.1,21.72
CD -35°16055,PPM 275654,7.7,11.42
CD -36°16156,PPM 275655,9.5,36.79
CD -32°17802,PPM 275656,8.3,11.03
CD -33°16830,PPM 275657,9.1,29.06
CD -33°16834,PPM 275661,8.9,23.95
CD -35°16056,PPM 275663,9.0,8.86
CD -32°17805,PPM 275666,7.5,8.66
CD -37°15495,PPM 275667,9.4,4.97
CD -36°16162,PPM 275668,7.5,42.38
CD -33°16836,PPM 275669,7.0,5.39
CD -39°15250,PPM 275671,6.7,4.36
CD -34°16293,PPM 275673,8.5,1.64
CD -37°15500,PPM 275675,7.5,7.68
CD -35°16061,PPM 275677,8.6,3.64
CD -36°16164,PPM 275678,9.0,20.74
CD -37°15503,PPM 275681,9.4,14.06
CD -39°15253,PPM 275684,8.7,50.77
CD -32°17812,PPM 275685,8.8,32.06
CD -33°16843,PPM 275687,8.2,21.33
CD -34°3,PPM 275693,9.3,14.18
CD -33°3,PPM 275694,8.5,24.66
CD -38°2,PPM 275695,9.0,19.69
CD -36°4,PPM 275696,7.5,14.68
CD -35°3,PPM 275697,9.0,23.03
CD -34°6,PPM 275698,8.8,9.91
CD -39°4,PPM 275701,6.7,9.40
CD -35°4,PPM 275703,9.3,9.77
CD -38°4,PPM 275705,8.9,18.40
CD -38°7,PPM 275709,8.3,35.18
CD -35°8,PPM 275710,9.0,8.94
CD -39°10,PPM 275717,9.0,4.33
CD -36°12,PPM 275718,8.6,2.54
CD -40°11,PPM 275723,9.2,15.50
CD -34°17,PPM 275726,5.7,10.88
CD -38°11,PPM 275728,9.1,15.86
CD -33°12,PPM 275729,8.0,11.32
CD -36°17,PPM 275733,9.5,23.22
CD -33°15,PPM 275735,8.6,2.51
CD -35°20,PPM 275737,7.3,3.18
CD -37°16,PPM 275738,8.0,19.41
CD -36°19,PPM 275739,8.4,11.13
CD -33°17,PPM 275740,8.9,5.60
CD -40°15,PPM 275741,7.6,3.19
CD -35°22,PPM 275742,7.1,26.93
CD -35°24,PPM 275746,9.0,27.77
CD -38°17,PPM 275747,8.3,17.89
CD -32°18,PPM 275748,8.8,13.90
CD -35°27,PPM 275749,9.1,6.15
CD -33°21,PPM 275751,9.3,11.47
CD -34°26,PPM 275754,8.7,7.72
CD -38°21,PPM 275755,8.7,5.33
CD -32°23,PPM 275757,8.9,26.53
CD -36°23,PPM 275758,9.4,3.96
CD -38°23,PPM 275760,7.6,23.66
CD -36°24,PPM 275761,9.1,33.90
CD -32°24,PPM 275762,8.9,10.48
CD -34°29,PPM 275764,8.5,18.53
CD -33°26,PPM 275769,9.3,5.72
CD -34°32,PPM 275773,9.5,22.43
CD -33°28,PPM 275775,9.4,20.88
CD -39°27,PPM 275776,8.5,27.82
CD -35°36,PPM 275777,7.2,8.28
CD -35°37,PPM 275778,8.5,3.29
CD -33°30,PPM 275779,9.4,26.44
CD -32°32,PPM 275782,9.2,12.39
CD -36°33,PPM 275783,9.1,12.07
CD -33°35,PPM 275784,8.4,10.01
CD -35°40,PPM 275785,9.5,18.16
CD -33°36,PPM 275786,8.2,31.83
CD -35°41,PPM 275788,7.5,9.60
CD -33°37,PPM 275791,8.6,4.98
CD -36°37,PPM 275792,8.5,18.89
CD -33°39,PPM 275794,8.7,14.01
CD -36°42,PPM 275797,8.8,8.64
CD -32°41,PPM 275798,8.8,13.33
CD -33°42,PPM 275802,8.8,12.18
CD -38°39,PPM 275804,9.0,13.59
CD -37°30,PPM 275805,9.3,47.84
CD -37°31,PPM 275806,9.1,51.37
CD -33°43,PPM 275807,8.4,11.34
CD -32°50,PPM 275809,9.7,11.86
CD -32°49,PPM 275810,8.4,27.03
CD -36°51,PPM 275812,9.3,25.34
CD -40°32,PPM 275813,9.6,8.29
CD -38°40,PPM 275815,6.9,12.39
CD -33°47,PPM 275816,8.9,28.09
CD -35°51,PPM 275817,9.3,27.86
CD -36°52,PPM 275818,9.1,26.66
CD -37°36,PPM 275821,9.4,17.18
CD -37°38,PPM 275822,9.3,27.27
CD -38°44,PPM 275823,9.5,10.82
CD -36°59,PPM 275826,7.3,10.28
CD -40°37,PPM 275828,9.0,30.25
CD -33°60,PPM 275829,8.4,15.07
CD -36°63,PPM 275830,9.6,21.26
CD -38°49,PPM 275831,9.2,10.69
CD -32°66,PPM 275833,7.6,8.37
CD -35°65,PPM 275835,6.4,3.43
CD -36°68,PPM 275836,7.6,4.00
CD -34°55,PPM 275838,9.6,17.07
CD -34°56,PPM 275839,9.0,27.80
CD -35°67,PPM 275840,8.0,0.74
CD -32°68,PPM 275843,9.3,26.75
CD -32°69,PPM 275844,7.5,18.74
CD -37°50,PPM 275846,9.3,8.51
CD -33°64,PPM 275848,9.0,14.51
CD -35°69,PPM 275850,7.9,19.02
CD -36°75,PPM 275851,9.0,1.94
CD -32°71,PPM 275852,9.4,11.42
CD -38°51,PPM 275853,8.6,6.96
CD -32°72,PPM 275854,5.9,26.53
CD -34°67,PPM 275856,8.9,13.00
CD -35°72,PPM 275857,8.6,9.58
CD -36°78,PPM 275858,9.0,21.56
CD -40°42,PPM 275859,9.0,20.38
CD -37°56,PPM 275860,8.7,27.82
CD -40°43,PPM 275861,9.3,34.81
CD -33°71,PPM 275862,7.3,7.60
CD -39°51,PPM 275863,9.3,6.55
CD -35°73,PPM 275864,8.0,10.25
CD -40°44,PPM 275865,8.7,5.03
CD -33°73,PPM 275867,6.5,3.49
CD -34°71,PPM 275868,9.3,17.40
CD -39°52,PPM 275869,9.6,35.12
CD -33°74,PPM 275870,9.4,16.46
CD -36°85,PPM 275871,9.6,9.84
CD -35°76,PPM 275873,9.3,18.97
CD -38°55,PPM 275874,8.8,6.95
CD -37°65,PPM 275876,9.4,43.00
CD -39°54,PPM 275878,9.3,34.03
CD -38°57,PPM 275880,9.4,22.14
CD -32°79,PPM 275881,9.0,11.64
CD -32°81,PPM 275882,8.6,31.30
CD -38°60,PPM 275883,9.3,24.56
CD -37°68,PPM 275885,8.4,6.75
CD -35°79,PPM 275886,9.4,14.71
CD -36°90,PPM 275888,9.0,8.27
CD -34°81,PPM 275890,8.3,11.03
CD -37°76,PPM 275893,9.0,36.83
CD -32°90,PPM 275894,9.0,3.48
CD -40°54,PPM 275895,8.6,10.51
CD -35°85,PPM 275896,8.9,18.58
CD -34°88,PPM 275897,8.5,4.07
CD -38°67,PPM 275898,9.4,22.72
CD -35°87,PPM 275900,9.5,7.57
CD -32°94,PPM 275901,9.3,8.55
CD -34°93,PPM 275903,8.5,16.09
CD -38°68,PPM 275905,9.0,3.53
CD -33°89,PPM 275908,9.3,21.78
CD -33°91,PPM 275911,9.0,8.90
CD -35°92,PPM 275912,8.8,13.14
CD -32°98,PPM 275913,8.3,11.69
CD -38°71,PPM 275914,8.8,30.28
CD -36°100,PPM 275915,7.5,11.79
CD -33°95,PPM 275917,8.1,18.76
CD -40°59,PPM 275918,9.6,22.82
CD -37°86,PPM 275920,8.4,16.13
CD -34°98,PPM 275921,9.5,23.85
CD -37°89,PPM 275923,8.5,10.93
CD -35°97,PPM 275925,9.1,13.72
CD -39°72,PPM 275926,6.7,6.51
CD -34°102,PPM 275927,9.3,21.20
CD -35°98,PPM 275928,7.4,4.56
CD -33°104,PPM 275930,8.5,7.15
CD -38°78,PPM 275931,9.5,9.92
CD -34°103,PPM 275932,9.5,35.21
CD -35°99,PPM 275933,9.3,32.58
CD -36°104,PPM 275935,7.1,6.66
CD -39°75,PPM 275936,9.1,11.29
CD -38°84,PPM 275937,8.5,4.69
CD -34°104,PPM 275938,8.0,22.00
CD -36°106,PPM 275939,8.3,31.95
CD -40°64,PPM 275940,9.5,21.62
CD -33°108,PPM 275941,9.0,18.64
CD -33°109,PPM 275942,8.5,7.07
CD -33°110,PPM 275943,8.5,29.02
CD -39°78,PPM 275945,9.5,7.83
CD -35°103,PPM 275946,9.3,13.39
CD -39°79,PPM 275947,9.2,14.19
CD -39°80,PPM 275949,8.1,9.37
CD -37°102,PPM 275950,9.4,40.23
CD -38°88,PPM 275952,8.9,29.92
CD -34°112,PPM 275955,9.5,2.53
CD -38°91,PPM 275956,9.2,16.43
CD -35°107,PPM 275957,8.5,16.11
CD -32°108,PPM 275958,8.0,12.06
CD -36°112,PPM 275959,7.5,21.57
CD -39°83,PPM 275960,6.6,0.70
CD -36°113,PPM 275961,8.8,18.36
CD -38°93,PPM 275962,6.9,18.30
CD -35°109,PPM 275963,9.5,8.99
CD -35°110,PPM 275964,8.6,6.61
CD -33°118,PPM 275966,8.5,16.58
CD -38°98,PPM 275967,10.0,38.20
CD -36°115,PPM 275969,8.9,24.28
CD -35°112,PPM 275971,9.4,21.08
CD -33°121,PPM 275972,8.4,19.08
CD -37°108,PPM 275973,9.6,20.48
CD -38°103,PPM 275974,9.1,21.67
CD -38°105,PPM 275976,7.8,20.08
CD -40°73,PPM 275977,9.0,7.12
CD -38°107,PPM 275978,9.3,17.90
CD -36°119,PPM 275979,8.2,16.71
CD -37°114,PPM 275980,9.5,35.07
CD -37°115,PPM 275981,9.3,18.27
CD -37°116,PPM 275982,9.1,7.58
CD -34°126,PPM 275983,8.7,16.47
CD -40°75,PPM 275984,9.4,21.02
CD -32°119,PPM 275986,8.2,11.00
CD -38°113,PPM 275987,9.3,11.26
CD -35°124,PPM 275988,8.8,5.36
CD -39°92,PPM 275989,6.8,8.60
CD -33°134,PPM 275990,9.0,11.04
CD -35°125,PPM 275991,8.7,6.45
CD -33°136,PPM 275993,9.7,7.89
CD -34°132,PPM 275996,9.4,22.03
CD -35°128,PPM 275997,9.3,22.89
CD -38°115,PPM 275999,9.3,14.48
CD -35°130,PPM 276003,9.1,3.64
CD -32°125,PPM 276004,8.8,25.39
CD -40°81,PPM 276005,7.0,13.26
CD -38°119,PPM 276007,8.9,17.10
CD -40°82,PPM 276008,8.5,9.17
CD -37°125,PPM 276009,9.5,7.52
CD -33°141,PPM 276010,9.0,10.35
CD -35°134,PPM 276011,9.3,15.45
CD -40°84,PPM 276013,8.7,29.18
CD -40°85,PPM 276014,8.6,5.56
CD -37°132,PPM 276015,8.8,6.94
CD -39°98,PPM 276016,9.4,17.26
CD -33°148,PPM 276017,8.5,14.55
CD -34°145,PPM 276018,9.5,17.66
CD -38°126,PPM 276021,9.3,24.05
CD -37°134,PPM 276022,8.5,6.63
CD -34°146,PPM 276023,7.7,6.71
CD -35°136,PPM 276024,9.5,14.63
CD -36°135,PPM 276026,9.5,10.19
CD -34°147,PPM 276028,9.0,32.02
CD -32°135,PPM 276029,9.6,9.17
CD -32°136,PPM 276030,7.5,34.96
CD -34°148,PPM 276031,8.5,10.20
CD -32°137,PPM 276033,9.2,19.54
CD -32°138,PPM 276034,9.0,14.80
CD -39°100,PPM 276036,9.5,18.43
CD -33°151,PPM 276037,8.6,4.14
CD -36°140,PPM 276038,9.7,24.87
CD -37°139,PPM 276039,9.2,45.46
CD -32°142,PPM 276042,9.2,8.43
CD -37°140,PPM 276044,9.4,6.19
CD -35°144,PPM 276045,9.7,5.07
CD -37°142,PPM 276047,9.3,10.45
CD -40°93,PPM 276048,5.9,32.25
CD -36°144,PPM 276049,8.3,3.48
CD -34°156,PPM 276051,8.3,19.25
CD -33°156,PPM 276052,8.9,3.07
CD -37°144,PPM 276053,9.0,15.50
CD -37°146,PPM 276054,9.3,5.65
CD -37°148,PPM 276055,9.5,16.33
CD -35°146,PPM 276057,9.3,13.82
CD -35°147,PPM 276058,7.9,6.63
CD -33°157,PPM 276059,9.3,27.05
CD -37°152,PPM 276061,9.4,14.18
CD -32°151,PPM 276062,8.3,16.88
CD -34°159,PPM 276063,8.7,30.27
CD -38°141,PPM 276065,8.9,17.89
CD -36°149,PPM 276066,8.3,17.72
CD -36°150,PPM 276067,9.7,12.91
CD -40°96,PPM 276068,9.7,12.33
CD -33°162,PPM 276069,9.8,17.66
CD -36°152,PPM 276070,8.8,3.79
CD -33°163,PPM 276072,7.4,9.20
CD -34°162,PPM 276073,9.1,22.96
CD -32°154,PPM 276074,6.5,6.23
CD -34°163,PPM 276075,8.7,4.67
CD -36°155,PPM 276076,9.7,12.21
CD -32°156,PPM 276078,7.6,20.32
CD -40°99,PPM 276082,9.6,13.08
CD -39°108,PPM 276083,9.3,14.59
CD -35°155,PPM 276084,9.6,20.21
CD -33°166,PPM 276085,8.8,2.84
CD -40°102,PPM 276086,9.5,11.68
CD -36°159,PPM 276087,9.1,10.79
CD -39°110,PPM 276088,9.4,16.91
CD -40°103,PPM 276089,6.8,11.72
CD -39°112,PPM 276094,9.3,29.09
CD -39°113,PPM 276096,9.2,5.51
CD -36°163,PPM 276097,8.2,5.79
CD -38°149,PPM 276098,8.0,16.81
CD -35°158,PPM 276100,9.5,5.60
CD -32°163,PPM 276101,8.6,25.69
CD -33°171,PPM 276102,9.2,11.06
CD -38°151,PPM 276104,7.5,2.71
CD -34°169,PPM 276105,9.5,14.63
CD -36°166,PPM 276106,9.5,20.33
CD -34°171,PPM 276108,9.5,9.55
CD -37°165,PPM 276109,7.5,28.26
CD -36°169,PPM 276110,8.7,8.19
CD -40°108,PPM 276112,9.5,19.10
CD -39°115,PPM 276114,9.4,9.46
CD -37°167,PPM 276116,8.4,11.41
CD -35°162,PPM 276119,9.5,10.69
CD -33°176,PPM 276120,9.0,3.59
CD -36°174,PPM 276122,9.3,22.78
CD -32°175,PPM 276123,9.3,16.61
CD -39°120,PPM 276124,9.6,15.54
CD -32°176,PPM 276126,8.1,14.19
CD -38°159,PPM 276127,9.1,11.43
CD -39°123,PPM 276129,9.3,11.63
CD -37°170,PPM 276130,9.4,6.86
CD -38°160,PPM 276131,9.4,15.20
CD -34°176,PPM 276132,8.9,1.71
CD -36°178,PPM 276133,8.7,1.89
CD -40°116,PPM 276135,8.3,11.39
CD -36°180,PPM 276136,9.3,8.88
CD -37°173,PPM 276137,9.5,29.77
CD -38°161,PPM 276138,9.0,12.90
CD -34°179,PPM 276139,8.5,9.59
CD -34°181,PPM 276140,9.0,4.14
CD -37°176,PPM 276141,8.0,5.36
CD -40°118,PPM 276142,7.7,29.84
CD -32°180,PPM 276143,9.1,16.48
CD -37°178,PPM 276144,9.0,6.59
