index1,index2,mag,dist
G2 2,CD -25°16784,9.0,13.41
G2 3,CD -22°16570,10.0,19.21
G2 4,CD -25°16792,9.5,23.02
G2 5,CD -22°1,8.5,9.61
G2 6,CD -25°4,8.5,53.12
G2 7,CD -22°3,8.4,3.48
G2 8,CD -24°8,8.5,20.86
G2 10,CD -22°11,8.2,13.24
G2 11,CD -22°12,8.2,23.98
G2 13,CD -26°29,9.0,38.75
G2 14,CD -22°15,9.1,0.98
G2 15,CD -46°18,4.0,3.19
G2 16,CD -22°18,8.3,21.06
G2 17,CD -22°19,9.0,8.48
G2 18,CD -22°20,9.0,6.41
G2 20,CD -22°24,8.5,22.04
G2 21,CD -82°4,5.6,3.04
G2 22,CD -28°26,5.5,22.61
G2 23,CD -35°42,5.5,22.18
G2 25,CD -24°39,9.0,7.35
G2 27,CD -24°48,9.0,13.85
G2 28,CD -25°54,9.0,51.22
G2 31,CD -22°44,9.0,38.84
G2 33,CD -22°59,9.7,26.07
G2 34,CD -22°60,9.0,21.76
G2 35,CD -22°61,8.9,6.62
G2 36,CD -24°77,9.2,32.00
G2 37,CD -22°71,8.2,3.11
G2 38,CD -22°77,9.1,3.66
G2 39,CD -25°91,8.0,13.18
G2 40,CD -22°83,9.5,28.16
G2 41,CD -22°84,7.5,28.53
G2 43,CD -22°86,9.3,9.45
G2 44,CD -25°99,8.0,3.42
G2 45,CD -24°107,9.5,13.50
G2 46,CD -24°110,9.0,41.85
G2 47,CD -24°112,7.5,19.96
G2 48,CD -24°113,8.0,15.23
G2 49,CD -22°99,9.0,22.00
G2 50,CD -25°123,9.0,4.29
G2 51,CD -25°127,8.2,15.41
G2 52,CD -22°117,9.3,22.43
G2 53,CD -77°15,2.7,27.48
G2 54,CD -22°122,9.2,28.66
G2 55,CD -22°125,9.5,61.76
G2 56,CD -25°140,8.5,75.20
G2 57,CD -22°127,8.7,8.91
G2 58,CD -42°116,2.5,5.90
G2 59,CD -25°151,7.8,18.91
G2 61,CD -24°157,9.0,42.02
G2 62,CD -22°137,9.1,14.32
G2 63,CD -25°155,7.8,33.38
G2 64,CD -24°168,9.0,41.56
G2 65,CD -25°162,8.5,5.15
G2 67,CD -22°143,8.5,9.68
G2 68,CD -24°179,5.5,12.35
G2 69,CD -24°180,9.8,52.62
G2 70,CD -25°171,9.5,28.88
G2 71,CD -22°149,8.0,23.47
G2 72,CD -49°115,4.5,5.83
G2 73,CD -24°191,9.0,29.21
G2 74,CD -25°185,7.2,7.32
G2 75,CD -24°196,9.0,25.05
G2 76,CD -22°160,8.6,22.77
G2 77,CD -24°198,9.0,7.77
G2 78,CD -24°201,9.0,52.43
G2 79,CD -22°164,8.3,2.79
G2 80,CD -22°166,9.1,15.29
G2 81,CD -30°156,5.8,19.63
G2 82,CD -24°212,9.5,9.15
G2 83,CD -53°109,5.8,2.65
G2 84,CD -22°172,8.8,37.28
G2 85,CD -25°205,9.0,29.93
G2 86,CD -22°174,9.1,9.61
G2 87,CD -22°177,9.0,35.43
G2 88,CD -24°223,9.0,24.72
G2 89,CD -25°212,7.2,4.77
G2 90,CD -22°181,9.4,11.57
G2 91,CD -25°213,8.8,10.57
G2 92,CD -22°185,8.8,14.29
G2 93,CD -22°187,9.4,41.49
G2 94,CD -27°176,8.5,10.23
G2 95,CD -25°221,8.2,14.57
G2 96,CD -25°225,5.5,16.30
G2 97,CD -24°234,9.0,34.98
G2 98,CD -55°147,7.0,5.43
G2 99,CD -24°237,9.2,35.37
G2 100,CD -22°196,9.0,45.95
G2 101,CD -25°233,8.2,8.23
G2 102,CD -26°195,9.0,45.03
G2 103,CD -26°196,7.8,12.76
G2 104,CD -25°242,8.8,7.89
G2 105,CD -22°207,8.5,5.40
G2 106,CD -24°255,9.0,11.46
G2 107,CD -24°263,6.2,11.90
G2 108,CD -30°194,9.0,13.09
G2 109,CD -46°180,0.0,11.60
G2 110,CD -25°267,9.8,9.00
G2 111,CD -39°175,6.0,7.43
G2 112,CD -28°210,9.0,20.53
G2 113,CD -22°225,9.0,7.45
G2 114,CD -22°227,8.3,13.30
G2 116,CD -58°126,4.5,4.79
G2 117,CD -22°234,8.0,7.17
G2 118,CD -39°181,5.8,8.38
G2 119,CD -22°238,9.0,19.34
G2 120,CD -22°239,5.5,7.02
G2 121,CD -22°240,8.7,11.01
G2 122,CD -25°285,9.0,26.57
G2 123,CD -24°301,9.5,26.44
G2 124,CD -22°250,9.0,2.89
G2 125,CD -24°316,9.0,12.31
G2 126,CD -24°324,8.0,4.38
G2 127,CD -32°302,7.5,14.23
G2 128,CD -24°328,9.5,23.53
G2 129,CD -22°261,6.0,17.93
G2 130,CD -32°307,8.2,2.72
G2 131,CD -24°339,8.8,30.38
G2 132,CD -24°343,9.8,38.52
G2 133,CD -24°345,7.0,24.07
G2 134,CD -22°266,8.0,3.25
G2 135,CD -31°300,9.8,27.72
G2 137,CD -22°270,7.8,6.07
G2 138,CD -24°351,8.2,9.55
G2 139,CD -75°23,5.6,14.78
G2 140,CD -58°149,8.0,3.37
G2 141,CD -24°359,9.2,39.01
G2 142,CD -22°276,9.5,6.71
G2 143,CD -30°258,8.8,28.07
G2 144,CD -24°365,8.0,2.20
G2 145,CD -22°283,9.1,8.67
G2 146,CD -25°330,9.9,21.32
G2 147,CD -22°285,7.8,11.87
G2 149,CD -22°291,8.5,16.08
G2 150,CD -39°217,9.0,6.52
G2 151,CD -24°383,9.2,12.24
G2 152,CD -23°344,9.5,27.25
G2 153,CD -22°293,9.0,16.54
G2 154,CD -22°297,8.8,5.86
G2 155,CD -24°388,9.5,23.25
G2 156,CD -24°389,8.5,6.24
G2 157,CD -22°301,9.3,35.03
G2 158,CD -22°302,9.2,22.51
G2 159,CD -22°305,8.0,5.86
G2 160,CD -22°308,9.4,23.47
G2 162,CD -70°42,0.0,32.50
G2 163,CD -24°401,9.0,44.39
G2 164,CD -24°407,9.0,21.63
G2 166,CD -22°320,9.4,17.84
G2 167,CD -23°367,8.0,15.72
G2 168,CD -24°418,9.2,7.36
G2 169,CD -30°297,4.2,16.33
G2 170,CD -24°420,9.0,28.75
G2 171,CD -22°334,9.3,24.42
G2 172,CD -22°337,9.0,11.09
G2 173,CD -25°399,8.8,19.16
G2 174,CD -22°349,9.1,5.28
G2 175,CD -24°448,7.5,18.78
G2 176,CD -35°347,9.5,5.33
G2 177,CD -57°204,6.2,16.42
G2 178,CD -24°457,9.0,27.82
G2 179,CD -23°383,9.0,6.19
G2 181,CD -22°373,9.2,11.72
G2 182,CD -24°471,9.0,0.89
