index1,index2,mag,dist
G2 2,CPD -25°7615,9.0,8.82
G2 3,CPD -22°8432,10.0,7.99
G2 4,CPD -25°1,9.5,14.13
G2 5,CPD -22°1,8.5,3.98
G2 6,CPD -25°4,8.5,6.73
G2 7,CPD -22°2,8.4,11.70
G2 8,CPD -24°3,8.5,4.65
G2 10,CPD -22°4,8.2,6.69
G2 11,CPD -22°5,8.2,5.11
G2 13,CPD -26°8,9.0,6.51
G2 14,CPD -22°7,9.1,5.95
G2 15,CPD -46°7,4.0,9.58
G2 16,CPD -22°8,8.3,6.73
G2 17,CPD -22°9,9.0,6.15
G2 18,CPD -22°10,9.0,4.78
G2 20,CPD -22°11,8.5,3.59
G2 21,CPD -82°4,5.6,3.04
G2 22,CPD -28°6,5.5,6.49
G2 23,CPD -35°16,5.5,7.00
G2 25,CPD -24°11,9.0,8.13
G2 26,CPD -19°12,8.2,9.98
G2 27,CPD -24°14,9.0,8.85
G2 28,CPD -25°18,9.0,9.75
G2 30,CPD -19°14,8.5,6.72
G2 31,CPD -22°18,9.0,2.42
G2 32,CPD -19°18,5.0,7.34
G2 34,CPD -22°20,9.0,9.28
G2 35,CPD -22°21,8.9,11.81
G2 37,CPD -22°24,8.2,7.16
G2 38,CPD -22°25,9.1,4.45
G2 39,CPD -25°23,8.0,6.38
G2 41,CPD -22°26,7.5,1.55
G2 42,CPD -65°13,4.0,0.93
G2 43,CPD -22°28,9.3,11.21
G2 44,CPD -25°27,8.0,10.29
G2 45,CPD -24°24,9.5,7.56
G2 47,CPD -24°26,7.5,8.50
G2 48,CPD -24°27,8.0,4.15
G2 49,CPD -22°30,9.0,5.08
G2 50,CPD -25°34,9.0,5.04
G2 51,CPD -25°36,8.2,8.45
G2 53,CPD -77°16,2.7,3.15
G2 54,CPD -22°33,9.2,15.37
G2 57,CPD -22°36,8.7,3.75
G2 58,CPD -42°34,2.5,6.84
G2 59,CPD -25°41,7.8,11.39
G2 60,CPD -24°35,9.2,6.59
G2 61,CPD -24°36,9.0,10.04
G2 62,CPD -22°39,9.1,11.96
G2 63,CPD -25°43,7.8,11.08
G2 64,CPD -24°38,9.0,5.81
G2 65,CPD -25°44,8.5,1.16
G2 67,CPD -22°40,8.5,6.81
G2 68,CPD -24°39,5.5,12.00
G2 71,CPD -22°41,8.0,3.40
G2 72,CPD -49°63,4.5,13.38
G2 73,CPD -24°44,9.0,5.16
G2 74,CPD -25°48,7.2,12.31
G2 75,CPD -25°51,9.0,2.98
G2 76,CPD -22°42,8.6,13.29
G2 77,CPD -24°46,9.0,6.83
G2 79,CPD -22°43,8.3,5.81
G2 80,CPD -22°45,9.1,3.89
G2 81,CPD -30°60,5.8,1.44
G2 83,CPD -53°117,5.8,4.30
G2 84,CPD -22°48,8.8,0.86
G2 85,CPD -25°54,9.0,7.57
G2 86,CPD -22°49,9.1,5.37
G2 87,CPD -22°50,9.0,8.26
G2 88,CPD -24°53,9.0,3.68
G2 89,CPD -25°58,7.2,5.65
G2 90,CPD -22°51,9.4,4.52
G2 91,CPD -25°59,8.8,6.31
G2 92,CPD -22°53,8.8,6.07
G2 93,CPD -22°55,9.4,4.76
G2 94,CPD -27°41,8.5,10.08
G2 95,CPD -25°62,8.2,2.59
G2 96,CPD -25°64,5.5,1.05
G2 97,CPD -24°55,9.0,4.64
G2 98,CPD -55°130,7.0,6.13
G2 100,CPD -22°58,9.0,4.10
G2 101,CPD -25°66,8.2,13.22
G2 102,CPD -26°50,9.0,3.47
G2 103,CPD -26°51,7.8,9.66
G2 104,CPD -25°71,8.8,7.75
G2 105,CPD -22°63,8.5,4.76
G2 106,CPD -24°58,9.0,7.79
G2 107,CPD -24°60,6.2,3.65
G2 108,CPD -30°71,9.0,2.32
G2 109,CPD -46°63,0.0,2.88
G2 111,CPD -39°46,6.0,2.96
G2 112,CPD -28°55,9.0,2.68
G2 113,CPD -22°70,9.0,6.83
G2 114,CPD -22°72,8.3,9.44
G2 116,CPD -58°42,4.5,10.60
G2 117,CPD -22°74,8.0,4.11
G2 118,CPD -39°49,5.8,5.41
G2 119,CPD -22°76,9.0,6.66
G2 120,CPD -22°77,5.5,6.61
G2 121,CPD -22°78,8.7,4.03
G2 122,CPD -25°82,9.0,17.07
G2 124,CPD -22°82,9.0,9.08
G2 126,CPD -24°74,8.0,11.21
G2 127,CPD -32°82,7.5,4.38
G2 129,CPD -22°85,6.0,9.49
G2 130,CPD -32°84,8.2,5.43
G2 133,CPD -24°78,7.0,8.20
G2 134,CPD -22°87,8.0,3.49
G2 135,CPD -31°85,9.8,3.84
G2 137,CPD -22°89,7.8,5.66
G2 138,CPD -24°81,8.2,8.26
G2 139,CPD -75°64,5.6,3.71
G2 140,CPD -58°51,8.0,9.26
G2 141,CPD -24°84,9.2,13.33
G2 142,CPD -22°93,9.5,6.71
G2 143,CPD -30°87,8.8,10.19
G2 144,CPD -24°86,8.0,2.20
G2 145,CPD -22°95,9.1,8.15
G2 147,CPD -22°97,7.8,6.58
G2 149,CPD -22°100,8.5,6.49
G2 150,CPD -39°66,9.0,4.10
G2 151,CPD -24°91,9.2,4.58
G2 152,CPD -23°108,9.5,4.24
G2 153,CPD -22°101,9.0,3.94
G2 154,CPD -22°103,8.8,1.74
G2 156,CPD -24°93,8.5,0.71
G2 157,CPD -22°105,9.3,11.67
G2 158,CPD -22°106,9.2,3.79
G2 159,CPD -22°109,8.0,5.55
G2 160,CPD -22°110,9.4,5.68
G2 162,CPD -70°40,0.0,5.36
G2 163,CPD -24°94,9.0,5.62
G2 164,CPD -24°95,9.0,6.11
G2 165,CPD -21°93,0.0,13.89
G2 166,CPD -22°111,9.4,5.93
G2 167,CPD -23°117,8.0,6.98
G2 169,CPD -30°99,4.2,8.28
G2 170,CPD -24°98,9.0,12.06
G2 171,CPD -22°113,9.3,3.40
G2 172,CPD -22°115,9.0,1.85
G2 173,CPD -25°107,8.8,7.67
G2 174,CPD -22°119,9.1,9.61
G2 175,CPD -24°103,7.5,11.27
G2 176,CPD -35°102,9.5,2.78
G2 177,CPD -57°220,6.2,3.41
G2 179,CPD -23°123,9.0,6.19
G2 181,CPD -22°125,9.2,6.26
G2 182,CPD -24°110,9.0,7.95
G2 183,CPD -23°126,8.5,9.37
G2 184,CPD -22°127,8.2,2.14
G2 185,CPD -22°128,9.0,2.70
G2 186,CPD -47°129,0.0,7.16
G2 187,CPD -22°129,9.1,6.00
G2 188,CPD -22°130,9.0,5.92
G2 189,CPD -22°131,8.0,7.55
G2 190,CPD -24°122,9.0,1.90
G2 191,CPD -35°113,10.0,1.55
G2 192,CPD -24°126,9.8,5.97
G2 193,CPD -25°114,8.8,3.85
G2 194,CPD -22°133,9.3,7.68
G2 195,CPD -22°134,8.7,3.68
G2 196,CPD -62°89,5.5,1.15
G2 197,CPD -25°115,9.2,11.11
G2 198,CPD -24°127,7.5,8.24
G2 199,CPD -24°128,9.0,4.31
G2 200,CPD -22°138,9.1,16.01
G2 201,CPD -24°131,9.2,8.35
G2 202,CPD -45°129,9.0,3.75
G2 203,CPD -23°138,9.5,4.60
G2 204,CPD -25°122,9.0,5.35
