index1,index2,mag,dist
G2 1,HD 28,4.9,0.98
G2 3,HD 103,10.0,1.90
G2 5,HD 171,8.5,0.82
G2 6,HD 189,8.5,2.17
G2 7,HD 226,8.4,0.87
G2 8,HD 283,8.5,2.57
G2 10,HD 363,8.2,1.67
G2 11,HD 382,8.2,0.57
G2 12,HD 402,6.2,1.27
G2 13,HD 453,9.0,1.39
G2 14,HD 474,9.1,1.88
G2 15,HD 496,4.0,3.53
G2 16,HD 511,8.3,1.27
G2 17,HD 519,9.0,2.06
G2 18,HD 534,9.0,2.76
G2 20,HD 634,8.5,1.17
G2 21,HD 636,5.6,1.31
G2 22,HD 720,5.5,1.44
G2 23,HD 739,5.5,1.66
G2 24,HD 787,5.9,0.87
G2 26,HD 806,8.2,1.00
G2 27,HD 878,9.0,1.41
G2 31,HD 1001,9.0,1.41
G2 32,HD 1038,5.0,2.47
G2 34,HD 1245,9.0,1.96
G2 35,HD 1244,8.9,2.14
G2 37,HD 1396,8.2,1.31
G2 38,HD 1462,9.1,1.29
G2 39,HD 1498,8.0,0.58
G2 41,HD 1540,7.5,1.41
G2 44,HD 1619,8.0,1.72
G2 47,HD 1803,7.5,1.11
G2 48,HD 1813,8.0,1.72
G2 51,HD 2050,8.2,1.52
G2 54,HD 2162,9.2,2.09
G2 57,HD 2247,8.7,1.20
G2 58,HD 2261,2.5,4.04
G2 59,HD 2425,7.8,2.41
G2 63,HD 2527,7.8,2.75
G2 65,HD 2582,8.5,2.29
G2 66,HD 2637,6.0,1.06
G2 67,HD 2671,8.5,1.16
G2 68,HD 2696,5.5,1.71
G2 71,HD 2783,8.0,0.90
G2 72,HD 2834,4.5,1.34
G2 73,HD 2902,9.0,0.40
G2 74,HD 2916,7.2,2.48
G2 75,HD 2968,9.0,2.35
G2 76,HD 2978,8.6,2.13
G2 77,HD 2987,9.0,0.24
G2 79,HD 3019,8.3,1.70
G2 80,HD 3044,9.1,2.14
G2 81,HD 3059,5.8,1.44
G2 83,HD 3158,5.8,1.90
G2 84,HD 3179,8.8,1.80
G2 85,HD 3180,9.0,1.30
G2 87,HD 3233,9.0,1.53
G2 88,HD 3275,9.0,2.05
G2 89,HD 3287,7.2,1.52
G2 91,HD 3313,8.8,0.49
G2 92,HD 3355,8.8,0.96
G2 94,HD 3363,8.5,1.00
G2 95,HD 3404,8.2,1.25
G2 96,HD 3443,5.5,15.42
G2 98,HD 3488,7.0,0.74
G2 100,HD 3514,9.0,3.04
G2 101,HD 3559,8.2,1.11
G2 103,HD 3622,7.8,2.90
G2 104,HD 3677,8.8,0.36
G2 105,HD 3693,8.5,1.85
G2 106,HD 3709,9.0,0.83
G2 107,HD 3795,6.2,9.94
G2 108,HD 3810,9.0,2.02
G2 109,HD 3919,0.0,1.95
G2 111,HD 4065,6.0,1.26
G2 112,HD 4064,9.0,0.30
G2 114,HD 4079,8.3,1.22
G2 115,HD 4128,2.3,3.53
G2 116,HD 4150,4.5,0.27
G2 117,HD 4198,8.0,0.81
G2 118,HD 4211,5.8,2.13
G2 119,HD 4235,9.0,2.19
G2 120,HD 4247,5.5,0.86
G2 121,HD 4260,8.7,1.93
G2 124,HD 4413,9.0,2.68
G2 126,HD 4571,8.0,2.84
G2 127,HD 4595,7.5,0.57
G2 129,HD 4622,6.0,1.43
G2 130,HD 4660,8.2,1.41
G2 133,HD 4732,7.0,3.02
G2 134,HD 4731,8.0,1.33
G2 136,HD 4790,6.5,1.80
G2 137,HD 4808,7.8,1.53
G2 138,HD 4809,8.2,2.69
G2 139,HD 4815,5.6,3.37
G2 140,HD 4860,8.0,1.34
G2 142,HD 4953,9.5,2.16
G2 143,HD 4954,8.8,0.72
G2 144,HD 4973,8.0,0.55
G2 145,HD 5010,9.1,1.69
G2 147,HD 5097,7.8,1.14
G2 148,HD 5112,5.0,1.46
G2 149,HD 5185,8.5,2.60
G2 150,HD 5205,9.0,1.30
G2 151,HD 5263,9.2,2.91
G2 152,HD 5269,9.5,3.30
G2 154,HD 5300,8.8,2.04
G2 156,HD 5310,8.5,2.18
G2 159,HD 5365,8.0,1.43
G2 161,HD 5437,5.5,2.37
G2 162,HD 5457,0.0,1.29
G2 167,HD 5660,8.0,2.88
G2 169,HD 5737,4.2,1.01
G2 170,HD 5766,9.0,4.86
G2 171,HD 5865,9.3,1.28
G2 173,HD 6001,8.8,3.12
G2 174,HD 6039,9.1,1.83
G2 175,HD 6079,7.5,2.75
G2 177,HD 6192,6.2,0.83
G2 179,HD 6244,9.0,2.23
G2 180,HD 6278,9.5,1.81
G2 182,HD 6353,9.0,2.52
G2 183,HD 6401,8.5,1.48
G2 184,HD 6515,8.2,0.87
G2 185,HD 6574,9.0,3.59
G2 186,HD 6595,0.0,1.38
G2 189,HD 6640,8.0,2.31
G2 192,HD 6721,9.8,2.28
G2 193,HD 6751,8.8,2.05
G2 195,HD 6766,8.7,1.87
G2 196,HD 6793,5.5,1.37
G2 198,HD 6806,7.5,0.90
G2 202,HD 6937,9.0,1.14
G2 204,HD 7058,9.0,3.17
G2 206,HD 7079,9.0,2.21
G2 209,HD 7142,8.5,1.96
G2 213,HD 7259,6.5,2.41
G2 215,HD 7312,0.0,0.51
G2 218,HD 7400,9.2,1.94
G2 220,HD 7427,9.2,2.30
G2 222,HD 7452,8.8,1.10
G2 223,HD 7467,9.0,1.24
G2 224,HD 7497,9.0,1.02
