index1,index2,mag,dist
G2 1,PPM 181831,4.9,0.98
G2 2,PPM 242491,9.0,1.30
G2 3,PPM 242496,10.0,1.90
G2 4,PPM 242504,9.5,3.39
G2 5,PPM 242509,8.5,0.82
G2 6,PPM 242514,8.5,2.17
G2 7,PPM 242520,8.4,0.87
G2 8,PPM 242528,8.5,2.57
G2 9,PPM 208387,9.2,1.94
G2 10,PPM 242535,8.2,1.67
G2 11,PPM 242539,8.2,0.57
G2 12,PPM 208398,6.2,1.27
G2 13,PPM 242552,9.0,1.39
G2 14,PPM 242560,9.1,1.88
G2 15,PPM 304618,4.0,3.53
G2 16,PPM 242564,8.3,1.27
G2 17,PPM 242566,9.0,2.06
G2 18,PPM 242567,9.0,2.76
G2 19,PPM 208428,9.0,1.45
G2 20,PPM 242578,8.5,1.17
G2 21,PPM 375917,5.6,1.31
G2 22,PPM 242592,5.5,1.44
G2 23,PPM 275790,5.5,1.66
G2 24,PPM 208476,5.9,0.87
G2 25,PPM 242601,9.0,0.28
G2 26,PPM 208480,8.2,1.00
G2 27,PPM 242619,9.0,1.41
G2 28,PPM 242623,9.0,3.19
G2 29,PPM 709784,9.2,1.47
G2 30,PPM 208521,8.5,1.57
G2 31,PPM 242642,9.0,1.41
G2 32,PPM 208536,5.0,2.47
G2 33,PPM 723503,9.7,0.65
G2 34,PPM 242678,9.0,1.96
G2 35,PPM 242679,8.9,2.14
G2 36,PPM 723506,9.2,4.46
G2 37,PPM 242694,8.2,1.31
G2 38,PPM 242704,9.1,1.29
G2 39,PPM 242711,8.0,0.58
G2 41,PPM 242725,7.5,1.41
G2 43,PPM 242732,9.3,2.12
G2 44,PPM 242737,8.0,1.72
G2 45,PPM 242749,9.5,4.18
G2 46,PPM 242770,9.0,3.55
G2 47,PPM 242771,7.5,1.11
G2 48,PPM 242774,8.0,1.72
G2 49,PPM 242778,9.0,1.39
G2 50,PPM 242795,9.0,3.72
G2 51,PPM 242806,8.2,1.52
G2 54,PPM 242821,9.2,2.09
G2 57,PPM 242830,8.7,1.20
G2 58,PPM 304876,2.5,4.04
G2 59,PPM 242858,7.8,2.41
G2 60,PPM 242857,9.2,2.25
G2 61,PPM 242862,9.0,0.89
