index1,index2,mag,dist
G2 1,SAO 128572,4.9,0.98
G2 3,SAO 166042,10.0,1.90
G2 4,SAO 166046,9.5,3.39
G2 5,SAO 166047,8.5,0.82
G2 6,SAO 166051,8.5,2.17
G2 7,SAO 166057,8.4,0.87
G2 8,SAO 166064,8.5,2.57
G2 10,SAO 166070,8.2,1.67
G2 11,SAO 166072,8.2,0.57
G2 12,SAO 147103,6.2,1.27
G2 13,SAO 166079,9.0,1.39
G2 14,SAO 166082,9.1,1.88
G2 15,SAO 214983,4.0,3.53
G2 16,SAO 166085,8.3,1.27
G2 17,SAO 166086,9.0,2.06
G2 18,SAO 166087,9.0,2.76
G2 19,SAO 147117,9.0,1.45
G2 20,SAO 166094,8.5,1.17
G2 21,SAO 258215,5.6,1.31
G2 22,SAO 166103,5.5,1.44
G2 23,SAO 192388,5.5,1.66
G2 24,SAO 147144,5.9,0.87
G2 25,SAO 166110,9.0,0.28
G2 26,SAO 147146,8.2,1.00
G2 27,SAO 166121,9.0,1.41
G2 30,SAO 147162,8.5,1.57
G2 31,SAO 166136,9.0,1.41
G2 32,SAO 147169,5.0,2.47
G2 34,SAO 166165,9.0,1.96
G2 35,SAO 166166,8.9,2.14
G2 37,SAO 166172,8.2,1.31
G2 38,SAO 166178,9.1,1.29
G2 39,SAO 166182,8.0,0.58
G2 41,SAO 166190,7.5,1.41
G2 44,SAO 166196,8.0,1.72
G2 46,SAO 166221,9.0,3.55
G2 47,SAO 166222,7.5,1.11
G2 48,SAO 166225,8.0,1.72
G2 49,SAO 166227,9.0,1.39
G2 50,SAO 166233,9.0,3.72
G2 51,SAO 166245,8.2,1.52
G2 54,SAO 166258,9.2,2.09
G2 57,SAO 166266,8.7,1.20
G2 58,SAO 215093,2.5,4.04
G2 59,SAO 166288,7.8,2.41
G2 60,SAO 166287,9.2,2.25
G2 61,SAO 166291,9.0,0.89
G2 63,SAO 166303,7.8,2.75
G2 64,SAO 166304,9.0,0.54
G2 65,SAO 166308,8.5,2.29
G2 66,SAO 128791,6.0,1.06
G2 67,SAO 166313,8.5,1.16
G2 68,SAO 166318,5.5,1.71
G2 71,SAO 166327,8.0,0.90
G2 72,SAO 215131,4.5,1.34
G2 73,SAO 166337,9.0,0.40
G2 74,SAO 166339,7.2,2.48
G2 75,SAO 166347,9.0,2.35
G2 76,SAO 166350,8.6,2.13
G2 77,SAO 166352,9.0,0.24
G2 78,SAO 166356,9.0,2.22
G2 79,SAO 166358,8.3,1.70
G2 80,SAO 166360,9.1,2.14
G2 81,SAO 166367,5.8,1.44
G2 83,SAO 232091,5.8,1.90
G2 84,SAO 166375,8.8,1.80
G2 85,SAO 166377,9.0,1.30
G2 86,SAO 166378,9.1,0.82
G2 87,SAO 166385,9.0,1.53
G2 88,SAO 166392,9.0,2.05
G2 89,SAO 166393,7.2,1.52
G2 90,SAO 166394,9.4,1.16
G2 91,SAO 166397,8.8,0.49
G2 92,SAO 166401,8.8,0.96
G2 93,SAO 166403,9.4,0.96
G2 94,SAO 166404,8.5,1.00
G2 95,SAO 166411,8.2,1.25
G2 96,SAO 166418,5.5,15.42
G2 97,SAO 166420,9.0,1.22
G2 98,SAO 232114,7.0,0.74
G2 100,SAO 166429,9.0,3.04
G2 101,SAO 166437,8.2,1.11
G2 102,SAO 166444,9.0,2.32
G2 103,SAO 166446,7.8,2.90
G2 104,SAO 166459,8.8,0.36
G2 105,SAO 166461,8.5,1.85
G2 106,SAO 166463,9.0,0.83
G2 107,SAO 166475,6.2,9.94
G2 108,SAO 192672,9.0,2.02
G2 109,SAO 215194,0.0,1.95
G2 111,SAO 192690,6.0,1.26
G2 112,SAO 166508,9.0,0.30
G2 113,SAO 166512,9.0,2.05
G2 114,SAO 166513,8.3,1.22
G2 115,SAO 147420,2.3,3.53
G2 116,SAO 232162,4.5,0.27
G2 117,SAO 166522,8.0,0.81
G2 118,SAO 192703,5.8,2.13
G2 120,SAO 166528,5.5,0.86
G2 121,SAO 166531,8.7,1.93
G2 124,SAO 166556,9.0,2.68
G2 126,SAO 166580,8.0,2.84
G2 127,SAO 192746,7.5,0.57
G2 129,SAO 166585,6.0,1.43
G2 130,SAO 192754,8.2,1.41
G2 133,SAO 166602,7.0,3.02
G2 134,SAO 166603,8.0,1.33
G2 135,SAO 192764,9.8,3.08
