index1,index2,mag,dist
GC 1,CD -48°1,9.0,9.64
GC 2,CD -53°1,8.5,15.47
GC 3,CD -33°3,8.7,25.23
GC 4,CD -48°2,9.0,2.40
GC 5,CD -36°4,7.2,14.39
GC 6,CD -25°4,8.5,52.73
GC 7,CD -23°4,6.3,6.22
GC 8,CD -39°4,6.7,9.27
GC 9,CD -44°5,8.0,6.38
GC 10,CD -38°7,8.0,35.05
GC 11,CD -23°7,9.0,28.20
GC 12,CD -28°6,8.5,23.53
GC 13,CD -42°3,8.5,2.30
GC 15,CD -26°8,6.9,1.25
GC 16,CD -77°1,8.0,10.61
GC 17,CD -57°4,7.7,26.50
GC 18,CD -24°8,8.5,20.33
GC 19,CD -56°7,8.0,5.02
GC 20,CD -45°7,8.2,2.30
GC 21,CD -63°1,7.2,21.57
GC 23,CD -56°11,8.5,8.17
GC 24,CD -47°13,8.5,6.44
GC 25,CD -36°12,8.5,2.58
GC 26,CD -67°1,8.5,13.91
GC 27,CD -23°13,5.9,7.71
GC 28,CD -66°2,7.0,24.93
GC 29,CD -51°12,8.2,0.21
GC 30,CD -34°17,5.7,10.27
GC 32,CD -78°2,8.0,8.58
GC 33,CD -38°11,9.5,16.40
GC 35,CD -79°1,7.2,12.22
GC 36,CD -33°12,8.0,11.77
GC 37,CD -24°14,7.7,8.69
GC 38,CD -86°1,7.7,0.56
GC 39,CD -26°22,8.2,27.17
GC 42,CD -35°20,7.7,3.79
GC 43,CD -37°16,8.5,19.61
GC 44,CD -47°16,7.7,3.28
GC 45,CD -74°2,8.0,3.20
GC 46,CD -22°13,7.5,13.71
GC 47,CD -33°17,8.7,5.11
GC 48,CD -40°15,8.0,3.55
GC 49,CD -35°22,7.7,26.58
GC 50,CD -54°20,6.4,7.37
GC 52,CD -35°24,8.7,26.87
GC 53,CD -50°18,7.5,3.15
GC 54,CD -50°19,10.0,5.35
GC 55,CD -50°20,7.0,5.42
GC 56,CD -28°16,5.5,6.71
GC 57,CD -46°18,3.8,5.03
GC 58,CD -33°21,9.0,12.48
GC 59,CD -25°28,9.5,16.42
GC 60,CD -56°16,8.5,22.65
GC 61,CD -38°23,8.5,24.10
GC 62,CD -33°24,9.2,7.20
GC 63,CD -34°29,8.7,20.06
GC 65,CD -50°22,7.7,2.28
GC 66,CD -26°35,7.2,15.74
GC 67,CD -62°4,6.6,26.20
GC 68,CD -45°17,8.0,13.21
GC 69,CD -33°26,8.7,5.95
GC 72,CD -79°4,7.5,8.98
GC 73,CD -78°4,8.0,15.62
GC 74,CD -57°17,8.7,11.83
GC 75,CD -22°24,8.5,21.50
GC 76,CD -31°36,7.0,23.11
GC 78,CD -82°4,5.6,2.75
GC 79,CD -39°27,8.5,28.65
GC 80,CD -22°25,8.0,11.69
GC 81,CD -55°15,8.2,12.71
GC 82,CD -35°36,7.2,5.00
GC 83,CD -73°3,6.9,20.34
GC 84,CD -59°12,9.2,7.41
GC 85,CD -32°32,9.5,11.85
GC 86,CD -24°27,8.5,28.66
GC 89,CD -41°28,7.5,5.64
GC 91,CD -28°26,5.4,23.30
GC 92,CD -24°35,8.5,26.32
GC 93,CD -59°14,8.5,6.40
GC 94,CD -56°24,8.5,30.51
GC 95,CD -35°42,5.4,24.93
GC 96,CD -23°37,8.0,6.22
GC 97,CD -54°35,8.2,15.42
GC 98,CD -42°32,6.6,1.40
GC 100,CD -55°20,8.0,13.83
GC 102,CD -59°16,8.0,27.44
GC 103,CD -55°22,8.5,24.23
GC 104,CD -80°4,7.7,13.73
GC 105,CD -76°2,7.5,8.91
GC 107,CD -27°37,7.7,9.06
GC 108,CD -43°30,7.5,7.38
GC 109,CD -62°6,8.2,28.47
GC 110,CD -32°49,9.0,27.31
