index1,index2,mag,dist
GC 1,CPD -48°1,9.0,2.92
GC 2,CPD -53°2,8.5,6.10
GC 3,CPD -33°1,8.7,6.82
GC 4,CPD -48°2,9.0,2.56
GC 5,CPD -36°1,7.2,2.31
GC 6,CPD -25°4,8.5,4.67
GC 7,CPD -23°1,6.3,6.22
GC 8,CPD -39°1,6.7,3.48
GC 9,CPD -44°3,8.0,0.47
GC 10,CPD -38°3,8.0,5.26
GC 11,CPD -23°3,9.0,3.63
GC 12,CPD -28°2,8.5,12.13
GC 13,CPD -42°3,8.5,7.20
GC 15,CPD -26°3,6.9,13.34
GC 16,CPD -77°1,8.0,7.03
GC 17,CPD -57°6,7.7,2.17
GC 18,CPD -24°3,8.5,3.86
GC 19,CPD -56°10,8.0,7.60
GC 20,CPD -45°4,8.2,2.30
GC 21,CPD -63°5,7.2,6.42
GC 23,CPD -56°13,8.5,3.94
GC 24,CPD -47°4,8.5,1.36
GC 25,CPD -36°3,8.5,7.13
GC 26,CPD -67°1,8.5,1.74
GC 27,CPD -23°4,5.9,7.45
GC 28,CPD -66°2,7.0,5.12
GC 29,CPD -51°8,8.2,0.21
GC 30,CPD -34°5,5.7,2.37
GC 32,CPD -78°2,8.0,1.68
GC 33,CPD -38°4,9.5,8.19
GC 35,CPD -79°1,7.2,4.82
GC 36,CPD -33°2,8.0,8.05
GC 37,CPD -24°4,7.7,6.05
GC 38,CPD -86°2,7.7,0.56
GC 39,CPD -26°5,8.2,3.76
GC 42,CPD -35°8,7.7,2.45
GC 43,CPD -37°5,8.5,7.61
GC 44,CPD -47°6,7.7,9.09
GC 45,CPD -74°7,8.0,2.55
GC 46,CPD -22°6,7.5,3.56
GC 47,CPD -33°5,8.7,7.53
GC 48,CPD -40°5,8.0,3.79
GC 49,CPD -35°9,7.7,4.58
GC 50,CPD -54°19,6.4,9.70
GC 51,CPD -37°6,9.5,5.83
GC 52,CPD -35°10,8.7,4.28
GC 53,CPD -50°11,7.5,4.14
GC 54,CPD -50°12,10.0,3.74
GC 55,CPD -50°13,7.0,5.59
GC 56,CPD -28°4,5.5,14.82
GC 57,CPD -46°7,3.8,7.71
GC 58,CPD -33°6,9.0,4.33
GC 59,CPD -25°14,9.5,8.01
GC 60,CPD -56°20,8.5,1.41
GC 61,CPD -38°8,8.5,2.13
GC 62,CPD -33°8,9.2,7.03
GC 63,CPD -34°10,8.7,6.40
GC 65,CPD -50°15,7.7,8.83
GC 66,CPD -26°9,7.2,3.85
GC 67,CPD -62°9,6.6,4.94
GC 68,CPD -45°9,8.0,5.81
GC 69,CPD -33°10,8.7,4.35
GC 72,CPD -79°4,7.5,4.27
GC 73,CPD -78°4,8.0,3.22
GC 74,CPD -57°24,8.7,1.63
GC 75,CPD -22°11,8.5,2.73
GC 76,CPD -31°16,7.0,8.14
GC 78,CPD -82°4,5.6,2.75
GC 79,CPD -39°5,8.5,9.69
GC 80,CPD -22°12,8.0,8.48
GC 81,CPD -55°16,8.2,2.34
GC 82,CPD -35°12,7.2,6.53
GC 83,CPD -73°4,6.9,9.84
GC 84,CPD -59°6,9.2,5.26
GC 85,CPD -32°18,9.5,0.70
GC 86,CPD -24°8,8.5,4.93
GC 89,CPD -41°13,7.5,10.08
GC 90,CPD -19°11,7.0,14.83
GC 91,CPD -28°6,5.4,6.89
GC 92,CPD -24°10,8.5,1.61
GC 93,CPD -59°8,8.5,8.31
GC 94,CPD -56°29,8.5,5.55
GC 95,CPD -35°16,5.4,4.16
GC 96,CPD -23°7,8.0,0.17
GC 97,CPD -54°36,8.2,4.37
GC 98,CPD -42°10,6.6,1.78
GC 100,CPD -55°22,8.0,3.21
