index1,index2,mag,dist
GC 1,PPM 304556,9.0,1.11
GC 2,PPM 329929,8.5,0.91
GC 3,PPM 275694,8.7,0.76
GC 4,PPM 304562,9.0,1.40
GC 5,PPM 275696,7.2,0.33
GC 6,PPM 242514,8.5,1.47
GC 7,PPM 242517,6.3,0.35
GC 8,PPM 275701,6.7,0.82
GC 9,PPM 304569,8.0,1.12
GC 10,PPM 275709,8.0,0.17
GC 11,PPM 242523,9.0,1.07
GC 12,PPM 242525,8.5,1.46
GC 13,PPM 304574,8.5,0.44
GC 14,PPM 208364,6.3,0.53
GC 15,PPM 242526,6.9,1.10
GC 16,PPM 366793,8.0,0.10
GC 17,PPM 329942,7.7,0.55
GC 18,PPM 242528,8.5,1.78
GC 19,PPM 329946,8.0,1.25
GC 20,PPM 304583,8.2,0.68
GC 21,PPM 351636,7.2,1.07
GC 22,PPM 181879,6.5,0.44
GC 23,PPM 329950,8.5,0.51
GC 24,PPM 304586,8.5,0.23
GC 25,PPM 275718,8.5,0.82
GC 26,PPM 351638,8.5,1.67
GC 27,PPM 242530,5.9,0.40
GC 28,PPM 351639,7.0,0.66
GC 29,PPM 329953,8.2,0.63
GC 30,PPM 275726,5.7,1.23
GC 31,PPM 181887,6.4,1.69
GC 32,PPM 366799,8.0,1.13
GC 33,PPM 275728,9.5,0.59
GC 34,PPM 181892,6.2,1.55
GC 35,PPM 366801,7.2,0.40
GC 36,PPM 275729,8.0,1.50
GC 37,PPM 242540,7.7,1.42
GC 38,PPM 375912,7.7,0.61
GC 39,PPM 242542,8.2,1.21
GC 40,PPM 208398,6.2,0.49
GC 41,PPM 181899,7.5,1.97
GC 42,PPM 275737,7.7,0.66
GC 43,PPM 275738,8.5,0.37
GC 44,PPM 304605,7.7,0.75
GC 45,PPM 366805,8.0,0.93
GC 46,PPM 242549,7.5,0.22
GC 47,PPM 275740,8.7,1.38
GC 48,PPM 275741,8.0,0.82
GC 49,PPM 275742,7.7,0.36
GC 50,PPM 329972,6.4,1.07
GC 51,PPM 275745,9.5,0.81
GC 52,PPM 275746,8.7,1.02
GC 53,PPM 329977,7.5,0.33
GC 54,PPM 329979,10.0,1.19
GC 55,PPM 329978,7.0,1.03
GC 56,PPM 242561,5.5,1.41
GC 57,PPM 304618,3.8,0.45
GC 58,PPM 275751,9.0,1.41
GC 59,PPM 242565,9.5,1.29
GC 60,PPM 329984,8.5,0.40
GC 61,PPM 275760,8.5,0.58
GC 63,PPM 275764,8.7,1.60
GC 64,PPM 181921,7.5,0.27
GC 65,PPM 329988,7.7,0.70
GC 66,PPM 242571,7.2,1.27
GC 67,PPM 351661,6.6,1.04
GC 68,PPM 304626,8.0,1.00
GC 69,PPM 275769,8.7,0.47
GC 70,PPM 181928,6.1,1.71
GC 71,PPM 208437,8.5,0.79
GC 72,PPM 366818,7.5,0.60
GC 73,PPM 366819,8.0,1.13
GC 74,PPM 329993,8.7,0.71
GC 75,PPM 242578,8.5,1.48
GC 76,PPM 275774,7.0,1.99
GC 77,PPM 208443,5.9,1.01
GC 78,PPM 375917,5.6,0.80
GC 79,PPM 275776,8.5,0.94
GC 80,PPM 242579,8.0,0.30
GC 81,PPM 329997,8.2,1.52
GC 82,PPM 275777,7.2,3.43
GC 83,PPM 366823,6.9,1.19
GC 84,PPM 329998,9.2,0.21
GC 85,PPM 275782,9.5,0.55
GC 86,PPM 242584,8.5,0.18
GC 87,PPM 181949,7.5,0.81
GC 88,PPM 208457,5.1,1.57
GC 89,PPM 304644,7.5,1.16
GC 90,PPM 208465,7.0,0.86
GC 91,PPM 242592,5.4,1.52
GC 92,PPM 242593,8.5,0.45
GC 93,PPM 330009,8.5,1.86
GC 94,PPM 330008,8.5,1.45
GC 95,PPM 275790,5.4,1.01
GC 96,PPM 242597,8.0,1.07
GC 97,PPM 330014,8.2,0.99
GC 98,PPM 304655,6.6,1.19
GC 99,PPM 208473,6.8,1.46
GC 100,PPM 330016,8.0,1.49
GC 101,PPM 208476,5.4,2.54
GC 102,PPM 330019,8.0,1.00
GC 103,PPM 330020,8.5,0.94
GC 104,PPM 375922,7.7,1.14
GC 105,PPM 366829,7.5,2.17
GC 106,PPM 208488,8.5,0.92
GC 107,PPM 242608,7.7,0.69
GC 108,PPM 304663,7.5,1.46
GC 109,PPM 351682,8.2,1.22
GC 110,PPM 275810,9.0,0.29
GC 111,PPM 242611,8.5,0.93
GC 112,PPM 275811,8.5,0.85
GC 113,PPM 330034,7.5,0.58
GC 114,PPM 242617,6.9,0.59
GC 115,PPM 181987,8.0,0.91
GC 116,PPM 304671,7.2,2.27
GC 117,PPM 242622,7.7,1.18
GC 118,PPM 275815,7.0,0.59
GC 119,PPM 242624,8.7,1.25
GC 120,PPM 242628,8.5,0.25
GC 121,PPM 330041,9.0,0.54
GC 122,PPM 242631,6.0,0.79
GC 123,PPM 242633,7.0,1.03
GC 124,PPM 242632,6.3,1.25
GC 125,PPM 304679,6.9,0.56
GC 126,PPM 304681,8.7,0.92
GC 127,PPM 330048,7.2,0.88
GC 128,PPM 242637,9.2,1.64
GC 129,PPM 275826,7.2,0.48
GC 130,PPM 208523,9.0,0.63
GC 131,PPM 242641,8.0,5.84
GC 132,PPM 242643,7.0,1.11
GC 133,PPM 182012,7.0,1.66
GC 134,PPM 330053,6.6,0.95
GC 135,PPM 182013,5.4,1.08
GC 136,PPM 242645,9.0,2.32
GC 137,PPM 208533,7.7,1.89
GC 138,PPM 304692,8.0,0.72
GC 139,PPM 366843,7.5,0.75
GC 140,PPM 351699,7.0,1.96
GC 141,PPM 304693,8.5,0.66
GC 142,PPM 208536,4.3,0.42
GC 143,PPM 208537,6.8,1.91
GC 144,PPM 208544,7.0,0.97
GC 145,PPM 304698,7.2,1.02
GC 146,PPM 182020,5.9,1.38
GC 147,PPM 375924,6.4,2.39
GC 148,PPM 275833,7.2,2.14
GC 149,PPM 275835,6.4,2.54
GC 150,PPM 275836,7.7,0.70
GC 151,PPM 242652,9.0,0.96
GC 152,PPM 242654,8.7,0.80
GC 153,PPM 182030,8.2,0.61
GC 154,PPM 242656,8.2,0.89
GC 155,PPM 304705,7.5,0.66
GC 156,PPM 304705,10.0,15.26
GC 157,PPM 275844,8.0,1.25
GC 158,PPM 275847,8.5,2.46
GC 159,PPM 351704,8.5,0.38
GC 160,PPM 304711,7.5,0.93
GC 161,PPM 242660,9.2,1.69
GC 162,PPM 275850,8.0,1.45
GC 163,PPM 275851,9.2,0.91
GC 164,PPM 304715,8.5,1.04
GC 165,PPM 330076,8.5,1.85
GC 166,PPM 304720,8.0,1.26
GC 167,PPM 275854,5.9,1.09
GC 168,PPM 275853,9.0,0.46
GC 169,PPM 330078,8.7,0.75
GC 170,PPM 242672,9.5,0.71
GC 171,PPM 351715,8.5,1.57
GC 172,PPM 242676,8.2,0.65
GC 173,PPM 304726,8.0,0.43
GC 174,PPM 304728,8.0,0.80
GC 175,PPM 366853,6.7,2.20
GC 176,PPM 275860,9.0,4.24
GC 177,PPM 208583,8.0,2.43
GC 178,PPM 275862,7.5,1.68
GC 179,PPM 304731,9.0,0.44
GC 180,PPM 242681,6.5,1.80
GC 181,PPM 330081,8.0,1.27
GC 182,PPM 366856,7.0,1.09
GC 183,PPM 275867,6.5,2.79
GC 184,PPM 366858,7.4,0.96
GC 185,PPM 304734,8.0,0.68
GC 186,PPM 775090,10.0,0.41
GC 187,PPM 330085,7.0,0.58
GC 188,PPM 208598,9.0,0.52
GC 189,PPM 351723,9.0,0.57
GC 190,PPM 304742,7.5,1.66
GC 191,PPM 351727,8.5,0.25
GC 192,PPM 304744,8.7,0.17
GC 193,PPM 775091,9.5,1.57
GC 194,PPM 208610,6.6,0.36
GC 195,PPM 366860,7.0,1.25
GC 196,PPM 304747,9.5,1.29
GC 197,PPM 351729,8.5,1.49
GC 198,PPM 174697,7.7,0.66
GC 199,PPM 723513,10.2,2.70
GC 200,PPM 275885,8.7,1.64
GC 201,PPM 208620,6.7,3.67
GC 202,PPM 351733,8.5,1.25
GC 203,PPM 242692,8.5,0.83
GC 204,PPM 182095,7.5,1.64
GC 205,PPM 242697,6.6,1.13
GC 206,PPM 275891,6.6,0.79
GC 207,PPM 351742,8.5,1.07
GC 208,PPM 242701,8.7,1.05
GC 209,PPM 304760,7.7,0.24
GC 210,PPM 242702,8.5,1.06
GC 211,PPM 182101,7.0,3.01
GC 212,PPM 304761,7.2,1.39
GC 213,PPM 330103,9.0,0.87
GC 214,PPM 351744,7.5,0.91
GC 215,PPM 242705,8.0,0.37
GC 216,PPM 366865,8.0,0.55
GC 217,PPM 208636,8.5,1.46
GC 218,PPM 304767,6.6,1.87
GC 219,PPM 351749,8.2,1.45
GC 220,PPM 242711,8.7,0.68
GC 221,PPM 242716,8.7,1.19
GC 222,PPM 375923,7.3,0.21
GC 223,PPM 182115,3.5,1.03
GC 224,PPM 304778,8.0,1.01
GC 225,PPM 304777,7.2,0.64
GC 226,PPM 182117,7.2,2.14
GC 227,PPM 330113,7.5,0.83
GC 228,PPM 330114,8.0,1.23
GC 229,PPM 330115,8.2,0.88
GC 230,PPM 783674,8.7,2.75
GC 231,PPM 330117,7.2,1.23
GC 232,PPM 182118,7.0,1.30
GC 233,PPM 351761,4.1,2.47
GC 234,PPM 366872,8.0,1.59
GC 235,PPM 242731,8.0,0.62
GC 236,PPM 351758,8.5,1.16
GC 237,PPM 208662,7.5,0.61
GC 238,PPM 275913,9.0,0.45
GC 239,PPM 275915,7.5,0.62
GC 240,PPM 366874,9.5,0.48
GC 241,PPM 242738,9.5,1.78
GC 242,PPM 242737,8.5,0.81
GC 243,PPM 330123,9.0,1.37
GC 244,PPM 275919,9.0,1.30
GC 245,PPM 242742,8.5,1.07
GC 246,PPM 242744,8.2,0.71
GC 247,PPM 242745,7.0,0.75
GC 249,PPM 182141,7.2,1.43
GC 250,PPM 275926,6.7,1.52
GC 251,PPM 275928,7.7,1.03
GC 252,PPM 242751,9.2,1.46
GC 253,PPM 351766,5.7,0.09
GC 254,PPM 366878,8.0,0.76
GC 255,PPM 366881,9.0,0.80
GC 256,PPM 366884,8.2,2.79
GC 257,PPM 351769,9.0,0.44
GC 258,PPM 275935,7.5,0.27
GC 259,PPM 330130,8.7,0.38
GC 260,PPM 275936,9.0,0.85
GC 261,PPM 304799,9.0,1.98
GC 262,PPM 304801,9.2,0.73
GC 263,PPM 242755,5.3,0.80
GC 264,PPM 208684,8.5,1.51
GC 265,PPM 242756,8.7,0.43
GC 266,PPM 242758,0.0,1.37
GC 267,PPM 330135,8.7,0.90
GC 268,PPM 242760,7.7,2.00
GC 269,PPM 242762,7.5,0.93
GC 270,PPM 242762,8.5,7.86
GC 271,PPM 351777,8.0,2.57
GC 272,PPM 242765,8.7,2.15
GC 273,PPM 275947,9.0,1.16
GC 274,PPM 275949,7.2,0.51
GC 275,PPM 242769,8.5,1.43
GC 276,PPM 242771,7.7,1.63
GC 277,PPM 275952,8.5,1.56
GC 278,PPM 242772,8.5,2.44
GC 279,PPM 366888,6.4,1.11
GC 280,PPM 242774,8.5,1.37
GC 281,PPM 242775,8.5,0.87
GC 282,PPM 351784,8.0,1.24
GC 283,PPM 330143,6.7,1.57
GC 284,PPM 208709,6.4,1.67
GC 285,PPM 275958,8.5,1.05
