index1,index2,mag,dist
GC 2,SAO 231926,8.5,0.91
GC 4,SAO 214964,9.0,1.40
GC 5,SAO 192358,7.2,0.33
GC 6,SAO 166051,8.5,1.47
GC 7,SAO 166053,6.3,0.35
GC 8,SAO 192359,6.7,0.82
GC 9,SAO 214967,8.0,1.12
GC 10,SAO 192362,8.0,0.17
GC 11,SAO 166060,9.0,1.07
GC 12,SAO 166062,8.5,1.46
GC 13,SAO 214969,8.5,0.44
GC 14,SAO 147090,6.3,0.53
GC 15,SAO 166063,6.9,1.10
GC 16,SAO 255632,8.0,0.10
GC 17,SAO 231930,7.7,0.55
GC 18,SAO 166064,8.5,1.78
GC 19,SAO 231932,8.0,1.25
GC 20,SAO 214973,8.2,0.68
GC 21,SAO 248120,7.2,1.07
GC 22,SAO 128595,6.5,0.44
GC 23,SAO 231934,8.5,0.51
GC 24,SAO 214974,8.5,0.23
GC 25,SAO 192365,8.5,0.82
GC 26,SAO 248122,8.5,1.67
GC 27,SAO 166066,5.9,0.40
GC 28,SAO 248123,7.0,0.66
GC 29,SAO 231935,8.2,0.63
GC 30,SAO 192367,5.7,1.23
GC 31,SAO 128602,6.4,1.69
GC 32,SAO 255635,8.0,1.13
GC 33,SAO 192368,9.5,0.59
GC 34,SAO 128604,6.2,1.55
GC 35,SAO 255636,7.2,0.40
GC 37,SAO 166073,7.7,1.42
GC 38,SAO 258214,7.7,0.61
GC 39,SAO 166074,8.2,1.21
GC 40,SAO 147103,6.2,0.49
GC 41,SAO 128607,7.5,1.97
GC 42,SAO 192369,7.7,0.66
GC 43,SAO 192370,8.5,0.37
GC 44,SAO 214978,7.7,0.75
GC 45,SAO 255638,8.0,0.93
GC 46,SAO 166077,7.5,0.22
GC 48,SAO 214980,8.0,0.82
GC 49,SAO 192372,7.7,0.36
GC 50,SAO 231943,6.4,1.07
GC 51,SAO 192373,9.5,0.81
GC 52,SAO 192374,8.7,1.02
GC 53,SAO 231946,7.5,0.33
GC 55,SAO 231947,7.0,1.03
GC 56,SAO 166083,5.5,1.41
GC 57,SAO 214983,3.8,0.45
GC 60,SAO 231950,8.5,0.40
GC 61,SAO 192378,8.5,0.58
GC 64,SAO 128618,7.5,0.27
GC 65,SAO 231952,7.7,0.70
GC 66,SAO 166089,7.2,1.27
GC 67,SAO 248130,6.6,1.04
GC 68,SAO 214987,8.0,1.00
GC 70,SAO 128621,6.1,1.71
GC 71,SAO 147124,8.5,0.79
GC 72,SAO 255639,7.5,0.60
GC 73,SAO 255640,8.0,1.13
GC 74,SAO 231954,8.7,0.71
GC 75,SAO 166094,8.5,1.48
GC 76,SAO 192380,7.0,1.99
GC 77,SAO 147127,5.9,1.01
GC 78,SAO 258215,5.6,0.80
GC 79,SAO 192381,8.5,0.94
GC 80,SAO 166095,8.0,0.30
GC 81,SAO 231957,8.2,1.52
GC 82,SAO 192382,7.2,3.43
GC 83,SAO 255642,6.9,1.19
GC 84,SAO 231958,9.2,0.21
GC 86,SAO 166098,8.5,0.18
GC 87,SAO 128628,7.5,0.81
GC 88,SAO 147133,5.1,1.57
GC 89,SAO 214994,7.5,1.16
GC 90,SAO 147136,7.0,0.86
GC 91,SAO 166103,5.4,1.52
GC 92,SAO 166104,8.5,0.45
GC 93,SAO 231962,8.5,1.86
GC 94,SAO 231961,8.5,1.45
GC 95,SAO 192388,5.4,1.01
GC 96,SAO 166107,8.0,1.07
GC 97,SAO 231964,8.2,0.99
GC 98,SAO 214999,6.6,1.19
GC 99,SAO 147142,6.8,1.46
GC 100,SAO 231966,8.0,1.49
GC 101,SAO 147144,5.4,2.54
GC 102,SAO 231967,8.0,1.00
GC 103,SAO 231968,8.5,0.94
GC 104,SAO 258216,7.7,1.14
GC 105,SAO 255644,7.5,2.17
GC 106,SAO 147149,8.5,0.92
GC 107,SAO 166114,7.7,0.69
GC 108,SAO 215002,7.5,1.46
GC 109,SAO 248136,8.2,1.22
GC 110,SAO 192403,9.0,0.29
GC 111,SAO 166116,8.5,0.93
GC 112,SAO 192404,8.5,0.85
GC 113,SAO 231973,7.5,0.58
GC 114,SAO 166120,6.9,0.59
GC 115,SAO 128644,8.0,0.91
GC 116,SAO 215005,7.2,2.27
GC 117,SAO 166124,7.7,1.18
GC 118,SAO 192406,7.0,0.59
GC 119,SAO 166125,8.7,1.25
GC 120,SAO 166128,8.5,0.25
GC 121,SAO 248137,9.0,0.54
GC 122,SAO 166130,6.0,0.79
GC 123,SAO 166132,7.0,1.03
GC 124,SAO 166131,6.3,1.25
GC 125,SAO 215009,6.9,0.56
GC 126,SAO 215010,8.7,0.92
GC 127,SAO 231976,7.2,0.88
GC 128,SAO 166133,9.2,1.64
GC 129,SAO 192412,7.2,0.48
GC 130,SAO 147164,9.0,0.63
GC 131,SAO 166137,8.0,5.84
GC 132,SAO 166138,7.0,1.11
GC 133,SAO 128654,7.0,1.66
