index1,index2,mag,dist
G 1,HD 310,7.0,2.19
G 2,HD 358,2.0,0.30
G 3,HD 369,7.5,1.15
G 4,HD 886,2.5,1.32
G 5,HD 2151,3.0,1.35
G 6,HD 3003,5.0,5.22
G 7,HD 3093,8.0,3.94
G 8,HD 3128,8.0,4.06
G 9,HD 3145,7.5,3.96
G 10,HD 3196,5.5,3.77
G 12,HD 3277,7.0,1.53
G 13,HD 3888,7.5,3.43
G 14,HD 4082,8.0,2.27
G 15,HD 4083,7.5,2.65
G 16,HD 4089,6.0,1.01
G 17,HD 4128,2.0,1.08
G 18,HD 4125,7.5,1.59
G 20,HD 4656,4.5,2.73
G 21,HD 4814,7.5,3.15
G 22,HD 4815,5.5,1.58
G 23,HD 5112,5.5,3.16
G 24,HD 5168,7.0,2.43
G 27,HD 5756,7.0,1.78
G 28,HD 5904,7.0,1.76
G 29,HD 5936,8.0,1.99
G 31,HD 6629,7.0,0.28
G 32,HD 6869,7.5,3.35
G 33,HD 7014,6.0,4.01
G 36,HD 7582,7.0,4.40
G 37,HD 7788,6.0,1.75
G 38,HD 7788,9.2,5.11
G 39,HD 8512,3.0,0.68
G 40,HD 9053,3.0,4.11
G 41,HD 9138,5.0,2.27
G 42,HD 9270,3.5,0.65
G 43,HD 9207,7.0,4.91
G 44,HD 9220,8.0,4.56
G 45,HD 9293,7.0,2.97
G 46,HD 10144,1.0,1.06
G 47,HD 10380,4.5,0.46
G 48,HD 10761,4.0,0.30
G 49,HD 10895,8.0,3.66
G 50,HD 10934,6.0,5.50
G 51,HD 10960,7.5,0.90
G 54,HD 11025,7.0,1.69
G 55,HD 11753,6.0,3.63
G 56,HD 11809,6.5,11.61
G 57,HD 11878,7.5,1.61
G 58,HD 12311,3.0,1.05
G 59,HD 12446,3.5,5.58
G 60,HD 12712,6.5,2.16
G 61,HD 12929,2.0,0.68
G 62,HD 13388,7.0,2.56
G 63,HD 13611,4.5,3.93
G 64,HD 13709,7.0,3.09
G 65,HD 14196,6.5,4.67
G 66,HD 14928,7.5,3.36
G 68,HD 15646,6.0,5.34
G 69,HD 15793,6.5,1.03
G 70,HD 16161,5.0,2.84
G 72,HD 16744,7.5,2.71
G 73,HD 16522,6.0,3.43
G 75,HD 17094,4.0,1.32
G 76,HD 17325,6.5,4.71
G 77,HD 17543,5.5,2.77
G 78,HD 17566,5.0,1.88
G 80,HD 18448,6.0,2.91
G 81,HD 18884,2.5,0.83
G 82,HD 19254,7.5,3.13
G 83,HD 19400,5.0,0.69
G 84,HD 19787,4.5,0.22
G 85,HD 20081,6.7,3.60
G 86,HD 20686,7.0,3.25
G 87,HD 20889,7.0,2.47
G 89,HD 21364,3.5,2.06
G 92,HD 22014,7.5,4.97
G 94,HD 22866,7.5,2.36
G 95,HD 23302,4.0,0.76
G 96,HD 23630,3.0,0.45
