index1,index2,mag,dist
G 1,PPM 351636,7.0,2.19
G 2,PPM 89441,2.0,0.30
G 3,PPM 366801,7.5,1.15
G 4,PPM 116243,2.5,1.32
G 5,PPM 366918,3.0,1.35
G 6,PPM 351888,5.0,5.22
G 7,PPM 351898,8.0,3.94
G 8,PPM 330324,8.0,4.06
G 9,PPM 305011,7.5,3.96
G 10,PPM 182410,5.5,3.77
G 12,PPM 276182,7.0,1.53
G 13,PPM 330427,7.5,3.43
G 14,PPM 330443,8.0,2.27
G 15,PPM 330444,7.5,2.65
G 16,PPM 351980,6.0,1.01
G 17,PPM 209214,2.0,1.08
G 18,PPM 351983,7.5,1.59
G 20,PPM 143916,4.5,2.73
G 21,PPM 330547,7.5,3.15
G 22,PPM 367064,5.5,1.58
G 23,PPM 174810,5.5,3.16
G 24,PPM 352066,7.0,2.43
G 25,PPM 352070,8.0,5.15
G 26,PPM 352070,8.0,11.83
G 27,PPM 352117,7.0,1.78
G 28,PPM 305448,7.0,1.76
G 29,PPM 330671,8.0,1.99
G 31,PPM 276697,7.0,0.28
G 32,PPM 305600,7.5,3.35
G 33,PPM 144336,6.0,4.01
G 35,PPM 352263,9.5,7.33
G 36,PPM 330891,7.0,4.40
G 37,PPM 352298,6.0,1.75
G 38,PPM 352298,9.2,5.11
G 39,PPM 183392,3.0,0.68
G 40,PPM 305902,3.0,4.11
G 41,PPM 144670,5.0,2.27
G 42,PPM 117418,3.5,0.65
G 43,PPM 331091,7.0,4.91
G 44,PPM 331094,8.0,4.56
G 45,PPM 331105,7.0,2.97
G 46,PPM 331199,1.0,1.06
G 47,PPM 144883,4.5,0.46
G 48,PPM 144950,4.0,0.30
G 49,PPM 306195,8.0,3.66
G 50,PPM 331315,6.0,5.50
G 51,PPM 306205,7.5,0.90
G 54,PPM 376068,7.0,1.69
G 55,PPM 306304,6.0,3.63
G 56,PPM 331433,6.5,11.61
G 57,PPM 277466,7.5,1.61
G 58,PPM 352685,3.0,1.05
G 59,PPM 145227,3.5,5.58
G 60,PPM 331558,6.5,2.16
G 61,PPM 91373,2.0,0.68
G 62,PPM 306503,7.0,2.56
G 63,PPM 145390,4.5,3.93
G 64,PPM 277734,7.0,3.09
G 65,PPM 331735,6.5,4.67
G 66,PPM 331812,7.5,3.36
G 68,PPM 352949,6.0,5.34
G 69,PPM 331934,6.5,1.03
G 70,PPM 145738,5.0,2.84
G 71,PPM 332031,8.0,5.38
G 72,PPM 332032,7.5,2.71
G 73,PPM 367696,6.0,3.43
G 74,PPM 400042,3.5,2.58
G 75,PPM 118503,4.0,1.32
G 76,PPM 307036,6.5,4.71
G 77,PPM 118581,5.5,2.77
G 78,PPM 353113,5.0,1.88
G 79,PPM 353195,8.0,1.93
G 80,PPM 353216,6.0,2.91
G 81,PPM 146172,2.5,0.83
G 82,PPM 332350,7.5,3.13
G 83,PPM 367896,5.0,0.69
G 84,PPM 118897,4.5,0.22
G 85,PPM 307399,6.7,3.60
G 86,PPM 307499,7.0,3.25
G 87,PPM 353434,7.0,2.47
G 89,PPM 146568,3.5,2.06
G 91,PPM 332699,8.0,4.54
G 92,PPM 332704,7.5,4.97
G 94,PPM 307832,7.5,2.36
G 95,PPM 92806,4.0,0.76
G 96,PPM 92898,3.0,0.45
G 98,PPM 119373,5.0,1.16
G 99,PPM 92934,4.0,1.37
G 100,PPM 332917,6.5,2.53
G 101,PPM 368173,8.5,4.91
G 102,PPM 213659,3.0,0.89
G 103,PPM 119535,3.5,1.71
G 104,PPM 353858,5.0,1.39
G 105,PPM 308262,7.5,3.91
G 106,PPM 368261,7.5,0.39
G 107,PPM 119792,4.0,2.02
G 108,PPM 353975,3.5,0.95
G 109,PPM 119835,4.0,0.68
G 110,PPM 119852,6.0,0.49
G 111,PPM 119898,5.0,2.51
G 112,PPM 354021,8.5,8.78
G 113,PPM 119934,3.5,0.86
G 114,PPM 120061,1.0,1.50
G 115,PPM 333592,3.0,3.76
G 116,PPM 354248,6.0,8.98
G 117,PPM 120349,5.5,1.69
G 118,PPM 280770,6.0,3.45
G 119,PPM 368575,7.0,2.26
G 120,PPM 120559,5.0,1.23
G 121,PPM 376437,7.0,2.94
G 122,PPM 120658,5.5,2.20
G 123,PPM 309351,7.5,2.07
G 124,PPM 47925,1.0,1.07
G 125,PPM 187839,1.0,1.61
G 126,PPM 334158,8.0,2.18
G 127,PPM 309561,8.0,4.96
G 128,PPM 309574,7.0,7.82
G 129,PPM 334230,7.0,5.19
G 130,PPM 94361,2.0,1.83
G 131,PPM 354663,8.0,3.74
G 132,PPM 281395,6.5,2.94
G 133,PPM 94380,6.0,1.65
G 134,PPM 354670,9.0,4.49
G 135,PPM 354682,10.0,1.96
G 136,PPM 354684,10.0,2.56
G 137,PPM 354685,11.0,3.86
G 138,PPM 334310,8.0,2.72
G 139,PPM 309702,8.0,3.75
G 140,PPM 309715,8.0,1.84
G 141,PPM 334337,8.0,2.90
G 142,PPM 334338,8.0,1.77
G 143,PPM 334341,7.0,1.71
G 144,PPM 175888,2.0,2.39
G 145,PPM 334373,8.0,3.54
G 146,PPM 215925,3.0,1.28
G 147,PPM 334392,7.0,5.69
G 148,PPM 281590,6.0,3.04
G 149,PPM 281583,5.5,3.70
G 150,PPM 334404,7.5,2.03
G 151,PPM 175945,2.0,3.20
G 152,PPM 94584,3.5,1.41
G 153,PPM 334451,7.0,3.73
G 154,PPM 309910,6.5,4.96
G 155,PPM 309910,9.0,8.22
G 156,PPM 281732,2.0,1.35
G 157,PPM 281735,6.0,2.09
G 158,PPM 281727,8.5,4.96
G 159,PPM 334494,7.5,2.45
G 160,PPM 334495,8.0,1.94
G 161,PPM 281748,7.5,2.44
G 162,PPM 334517,7.0,3.81
G 163,PPM 309969,8.0,1.84
G 164,PPM 281794,7.0,4.85
G 165,PPM 309983,7.0,3.86
G 166,PPM 310032,7.0,1.36
G 167,PPM 310030,6.5,3.58
G 168,PPM 334582,7.3,3.17
G 169,PPM 281875,6.5,1.18
G 170,PPM 354908,7.5,0.21
G 171,PPM 281880,8.0,3.60
G 172,PPM 334596,8.0,2.36
G 173,PPM 310071,8.0,1.52
G 174,PPM 310070,7.0,3.85
G 175,PPM 334599,7.5,2.94
G 177,PPM 281897,7.5,3.89
G 178,PPM 334609,8.5,2.33
G 179,PPM 310107,8.5,4.33
G 180,PPM 310108,9.0,5.70
G 181,PPM 310115,7.0,3.32
G 182,PPM 310125,7.5,3.03
G 183,PPM 281950,8.0,4.15
G 184,PPM 149643,1.0,1.48
G 185,PPM 334685,8.0,2.46
G 186,PPM 282016,8.0,4.32
G 187,PPM 310193,8.0,2.27
G 188,PPM 354970,9.5,4.78
