index1,index2,mag,dist
G 1,SAO 248120,7.0,2.19
G 2,SAO 73765,2.0,0.30
G 3,SAO 255636,7.5,1.15
G 4,SAO 91781,2.5,1.32
G 5,SAO 255670,3.0,1.35
G 6,SAO 248208,5.0,5.22
G 7,SAO 248212,8.0,3.94
G 8,SAO 232088,8.0,4.06
G 9,SAO 215148,7.5,3.96
G 10,SAO 128839,5.5,3.77
G 12,SAO 215155,7.0,1.53
G 13,SAO 232148,7.5,3.43
G 14,SAO 232156,8.0,2.27
G 15,SAO 232157,7.5,2.65
G 16,SAO 248237,6.0,1.01
G 17,SAO 147420,2.0,1.08
G 18,SAO 248239,7.5,1.59
G 20,SAO 109474,4.5,2.73
G 21,SAO 232199,7.5,3.15
G 22,SAO 255710,5.5,1.58
G 23,SAO 129009,5.5,3.16
G 24,SAO 248270,7.0,2.43
G 25,SAO 248272,8.0,5.15
G 26,SAO 248272,8.0,11.83
G 27,SAO 248291,7.0,1.78
G 28,SAO 232251,7.0,1.76
G 29,SAO 232254,8.0,1.99
G 31,SAO 215367,7.0,0.28
G 32,SAO 215379,7.5,3.35
G 33,SAO 109715,6.0,4.01
G 35,SAO 248335,9.5,7.33
G 36,SAO 232353,7.0,4.40
G 37,SAO 248346,6.0,1.75
G 38,SAO 248346,9.2,5.11
G 39,SAO 129274,3.0,0.68
G 40,SAO 215516,3.0,4.11
G 41,SAO 109926,5.0,2.27
G 42,SAO 92484,3.5,0.65
G 43,SAO 232437,7.0,4.91
G 44,SAO 232439,8.0,4.56
G 45,SAO 232443,7.0,2.97
G 46,SAO 232481,1.0,1.06
G 47,SAO 110065,4.5,0.46
G 48,SAO 110110,4.0,0.30
G 49,SAO 215638,8.0,3.66
G 50,SAO 232519,6.0,5.50
G 51,SAO 215646,7.5,0.90
G 54,SAO 258273,7.0,1.69
G 55,SAO 215697,6.0,3.63
G 56,SAO 232565,6.5,11.61
G 57,SAO 193387,7.5,1.61
G 58,SAO 248474,3.0,1.05
G 59,SAO 110291,3.5,5.58
G 60,SAO 232614,6.5,2.16
G 61,SAO 75151,2.0,0.68
G 62,SAO 215789,7.0,2.56
G 63,SAO 110408,4.5,3.93
G 64,SAO 193573,7.0,3.09
G 65,SAO 232692,6.5,4.67
G 66,SAO 232732,7.5,3.36
G 68,SAO 248567,6.0,5.34
G 69,SAO 232795,6.5,1.03
G 70,SAO 110635,5.0,2.84
G 71,SAO 232844,8.0,5.38
G 72,SAO 232845,7.5,2.71
G 73,SAO 255898,6.0,3.43
G 75,SAO 110723,4.0,1.32
G 76,SAO 216036,6.5,4.71
G 77,SAO 93127,5.5,2.77
G 78,SAO 248644,5.0,1.88
G 79,SAO 248671,8.0,1.93
G 80,SAO 248682,6.0,2.91
G 81,SAO 110920,2.5,0.83
G 82,SAO 232978,7.5,3.13
G 83,SAO 255945,5.0,0.69
G 84,SAO 93328,4.5,0.22
G 85,SAO 216207,6.7,3.60
G 86,SAO 216249,7.0,3.25
G 87,SAO 248775,7.0,2.47
G 89,SAO 111195,3.5,2.06
G 91,SAO 233135,8.0,4.54
G 92,SAO 233139,7.5,4.97
G 94,SAO 216420,7.5,2.36
G 95,SAO 76131,4.0,0.76
G 96,SAO 76199,3.0,0.45
G 98,SAO 93611,5.0,1.16
G 99,SAO 76228,4.0,1.37
G 100,SAO 233252,6.5,2.53
G 101,SAO 256028,8.5,4.91
G 102,SAO 149283,3.0,0.89
G 103,SAO 93719,3.5,1.71
G 104,SAO 248925,5.0,1.39
G 105,SAO 216623,7.5,3.91
G 106,SAO 256059,7.5,0.39
G 107,SAO 93868,4.0,2.02
G 108,SAO 248969,3.5,0.95
G 109,SAO 93897,4.0,0.68
G 110,SAO 93907,6.0,0.49
G 111,SAO 93935,5.0,2.51
G 112,SAO 248993,8.5,8.78
G 113,SAO 93954,3.5,0.86
G 114,SAO 94027,1.0,1.50
G 115,SAO 233564,3.0,3.76
G 116,SAO 249072,6.0,8.98
G 117,SAO 94176,5.5,1.69
G 118,SAO 195364,6.0,3.45
G 119,SAO 256139,7.0,2.26
G 120,SAO 94290,5.0,1.23
G 121,SAO 258384,7.0,2.94
G 122,SAO 94359,5.5,2.20
G 123,SAO 217175,7.5,2.07
G 124,SAO 40186,1.0,1.07
G 125,SAO 131907,1.0,1.61
G 126,SAO 233883,8.0,2.18
G 127,SAO 217274,8.0,4.96
G 128,SAO 217279,7.0,7.82
G 129,SAO 233925,7.0,5.19
G 130,SAO 77168,2.0,1.83
G 131,SAO 249241,8.0,3.74
G 132,SAO 195809,6.5,2.94
G 133,SAO 77184,6.0,1.65
G 134,SAO 249243,9.0,4.49
G 135,SAO 249246,10.0,1.96
G 136,SAO 249248,10.0,2.56
G 137,SAO 249249,11.0,3.86
G 138,SAO 233962,8.0,2.72
G 139,SAO 217330,8.0,3.75
G 140,SAO 217337,8.0,1.84
G 141,SAO 233974,8.0,2.90
G 142,SAO 233975,8.0,1.77
G 143,SAO 233977,7.0,1.71
G 144,SAO 132220,2.0,2.39
G 145,SAO 233988,8.0,3.54
G 146,SAO 150547,3.0,1.28
G 147,SAO 233998,7.0,5.69
G 148,SAO 195952,6.0,3.04
G 149,SAO 195948,5.5,3.70
G 150,SAO 234009,7.5,2.03
G 151,SAO 132346,2.0,3.20
G 152,SAO 77336,3.5,1.41
G 153,SAO 234037,7.0,3.73
G 154,SAO 217445,6.5,4.96
G 155,SAO 217445,9.0,8.22
G 156,SAO 196059,2.0,1.35
G 157,SAO 196061,6.0,2.09
G 158,SAO 196058,8.5,4.96
G 159,SAO 234056,7.5,2.45
G 160,SAO 234057,8.0,1.94
G 161,SAO 196075,7.5,2.44
G 162,SAO 234073,7.0,3.81
G 163,SAO 217478,8.0,1.84
G 164,SAO 196107,7.0,4.85
G 165,SAO 217485,7.0,3.86
G 166,SAO 217509,7.0,1.36
G 167,SAO 217510,6.5,3.58
G 168,SAO 234112,7.3,3.17
G 169,SAO 196171,6.5,1.18
G 170,SAO 249334,7.5,0.21
G 171,SAO 196175,8.0,3.60
G 172,SAO 234121,8.0,2.36
G 173,SAO 217531,8.0,1.52
G 174,SAO 217530,7.0,3.85
G 175,SAO 234123,7.5,2.94
G 177,SAO 196190,7.5,3.89
G 178,SAO 234129,8.5,2.33
G 179,SAO 217551,8.5,4.33
G 180,SAO 217553,9.0,5.70
G 181,SAO 217557,7.0,3.32
G 182,SAO 217563,7.5,3.03
G 183,SAO 196238,8.0,4.15
G 184,SAO 113271,1.0,1.48
G 185,SAO 234174,8.0,2.46
G 186,SAO 196294,8.0,4.32
G 187,SAO 217604,8.0,2.27
G 188,SAO 249363,9.5,4.78
G 189,SAO 196320,8.0,4.32
G 190,SAO 249367,9.0,1.97
G 191,SAO 249372,9.0,2.72
G 192,SAO 217636,7.0,2.63
G 193,SAO 217634,7.0,3.75
G 194,SAO 249378,7.5,2.29
G 195,SAO 196357,7.5,1.60
G 196,SAO 249380,9.5,0.46
G 197,SAO 217648,6.5,2.24
G 198,SAO 217650,6.0,2.93
G 199,SAO 196395,8.5,7.70
G 200,SAO 196402,8.0,7.48
G 201,SAO 217663,7.0,5.31
G 202,SAO 196410,6.5,9.71
G 203,SAO 217668,6.7,5.95
G 204,SAO 196432,7.0,1.27
G 205,SAO 196443,7.5,2.76
G 206,SAO 196445,7.0,4.13
G 207,SAO 249403,8.0,1.55
G 208,SAO 196459,6.0,5.99
G 209,SAO 95259,4.5,5.78
G 210,SAO 234261,7.0,2.54
G 211,SAO 249411,8.5,2.90
G 212,SAO 234271,7.5,1.78
G 213,SAO 196482,7.5,4.98
G 214,SAO 196483,6.0,3.24
G 215,SAO 217702,5.5,3.46
G 216,SAO 234272,6.5,1.89
G 217,SAO 217703,7.0,0.29
G 218,SAO 196484,8.5,2.30
G 219,SAO 234275,7.5,1.83
G 220,SAO 217706,6.0,2.14
G 222,SAO 217714,9.0,3.87
G 223,SAO 217715,7.7,4.42
G 224,SAO 217719,7.0,1.98
G 225,SAO 196512,8.0,2.08
G 226,SAO 196514,6.0,3.19
G 227,SAO 234298,7.0,3.20
G 228,SAO 217726,8.5,3.96
G 229,SAO 217725,7.3,1.03
G 230,SAO 217721,7.0,3.56
G 231,SAO 234308,8.0,3.29
G 232,SAO 196528,7.0,3.26
G 233,SAO 217738,7.5,3.17
G 234,SAO 217737,7.0,4.13
G 235,SAO 234327,8.5,1.46
G 236,SAO 217753,6.0,3.08
G 237,SAO 217747,7.0,4.24
G 238,SAO 78135,3.5,2.09
G 240,SAO 234350,8.0,4.02
G 241,SAO 234354,8.0,3.33
G 242,SAO 217760,7.5,2.50
G 243,SAO 217764,7.5,3.29
G 244,SAO 234359,5.5,2.45
G 245,SAO 234360,8.5,2.47
G 246,SAO 234367,8.5,1.95
G 247,SAO 234384,7.0,2.70
G 248,SAO 249475,6.5,3.15
G 249,SAO 217826,8.0,3.92
G 250,SAO 217830,8.5,2.23
G 251,SAO 249486,6.5,4.44
G 252,SAO 249498,9.0,3.45
G 253,SAO 78297,3.0,0.35
G 254,SAO 217843,7.0,4.54
G 255,SAO 234427,7.5,3.67
G 256,SAO 196693,6.5,3.59
G 257,SAO 234434,7.0,2.57
G 258,SAO 234425,10.0,6.07
G 259,SAO 234426,8.5,2.17
G 260,SAO 196701,8.5,3.28
G 261,SAO 234441,8.0,1.51
