index1,index2,mag,dist
G 1,CD -78°1,9.0,5.97
G 2,CD -66°1,9.0,8.71
G 3,CD -72°1,9.8,33.56
G 4,CD -67°1,9.0,14.00
G 5,CD -66°2,7.5,24.75
G 6,CD -78°2,8.8,8.94
G 7,CD -79°1,7.0,9.76
G 8,CD -70°3,9.0,24.13
G 9,CD -86°1,7.8,1.77
G 10,CD -67°2,9.0,34.82
G 11,CD -67°3,9.0,13.46
G 12,CD -77°2,9.8,23.19
G 13,CD -74°2,7.8,3.45
G 14,CD -84°2,9.3,5.37
G 15,CD -67°4,9.4,11.10
G 16,CD -66°3,9.0,8.20
G 17,CD -80°3,10.0,5.29
G 18,CD -75°2,9.8,15.02
G 19,CD -67°5,10.0,15.20
G 20,CD -66°4,9.0,2.86
G 21,CD -84°3,9.2,7.40
G 22,CD -68°1,9.8,13.06
G 23,CD -79°2,9.5,15.51
G 24,CD -66°5,8.5,26.87
G 25,CD -66°6,10.0,35.36
G 26,CD -72°3,10.0,20.37
G 27,CD -79°3,9.0,7.95
G 28,CD -82°3,9.0,6.25
G 30,CD -78°3,9.5,26.52
G 31,CD -79°4,8.8,10.14
G 32,CD -71°4,10.0,16.54
G 33,CD -78°4,8.2,18.08
G 34,CD -73°2,10.0,20.44
G 35,CD -82°4,6.5,4.89
G 36,CD -78°5,9.5,22.22
G 37,CD -74°3,10.0,16.82
G 38,CD -73°3,7.0,21.28
G 39,CD -69°1,10.0,11.70
G 40,CD -74°4,9.5,23.24
G 41,CD -81°1,10.0,16.86
G 42,CD -73°4,10.0,30.15
G 43,CD -72°4,9.8,18.78
G 44,CD -87°1,9.5,2.01
G 45,CD -72°5,9.0,13.59
G 46,CD -73°5,10.0,10.11
G 47,CD -80°4,7.7,12.43
G 48,CD -76°2,7.5,8.51
G 49,CD -85°1,9.6,2.45
G 50,CD -80°5,9.3,19.13
G 51,CD -78°6,9.5,10.70
G 52,CD -72°7,9.8,23.89
G 53,CD -70°4,10.0,15.47
G 54,CD -66°7,9.0,22.31
G 55,CD -70°5,9.8,11.92
G 56,CD -80°7,9.8,10.01
G 57,CD -68°3,9.2,27.68
G 58,CD -77°5,8.5,10.12
G 60,CD -65°2,9.0,12.06
G 61,CD -76°3,9.5,15.79
G 62,CD -75°4,9.2,9.23
G 63,CD -88°1,9.0,2.35
G 64,CD -69°3,9.8,40.51
G 66,CD -75°5,7.5,3.98
G 67,CD -66°8,9.2,22.91
G 68,CD -72°8,10.0,16.14
G 69,CD -69°4,8.5,12.05
G 70,CD -76°4,10.0,16.04
G 71,CD -82°5,9.5,6.49
