index1,index2,mag,dist
G 1,CPD -78°1,9.0,0.85
G 2,CPD -66°1,9.0,6.79
G 3,CPD -72°2,9.8,2.47
G 4,CPD -67°1,9.0,1.91
G 5,CPD -66°2,7.5,5.53
G 6,CPD -78°2,8.8,0.68
G 7,CPD -79°1,7.0,6.09
G 8,CPD -70°3,9.0,0.56
G 9,CPD -86°2,7.8,1.77
G 10,CPD -67°2,9.0,4.28
G 11,CPD -67°3,9.0,4.72
G 12,CPD -77°2,9.8,4.69
G 13,CPD -74°7,7.8,2.89
G 14,CPD -84°2,9.3,5.37
G 15,CPD -67°4,9.4,8.33
G 16,CPD -66°4,9.0,7.00
G 17,CPD -80°2,10.0,7.09
G 18,CPD -75°8,9.8,6.93
G 19,CPD -67°6,10.0,3.92
G 20,CPD -66°5,9.0,4.82
G 21,CPD -84°3,9.2,7.40
G 22,CPD -68°1,9.8,9.55
G 23,CPD -79°2,9.5,5.70
G 24,CPD -66°6,8.5,4.07
G 25,CPD -66°7,10.0,6.13
G 26,CPD -72°5,10.0,5.32
G 27,CPD -79°3,9.0,3.53
G 28,CPD -82°3,9.0,6.25
G 29,CPD -68°2,10.0,3.13
G 30,CPD -78°3,9.5,2.89
G 31,CPD -79°4,8.8,3.06
G 32,CPD -71°2,10.0,3.34
G 33,CPD -78°4,8.2,1.27
G 34,CPD -73°2,10.0,2.40
G 35,CPD -82°4,6.5,4.89
G 37,CPD -74°10,10.0,14.49
G 38,CPD -73°4,7.0,10.05
G 39,CPD -69°1,10.0,7.95
G 40,CPD -74°11,9.5,2.30
G 41,CPD -81°1,10.0,4.52
G 42,CPD -73°5,10.0,3.46
G 43,CPD -72°7,9.8,1.81
G 44,CPD -87°1,9.5,3.03
G 45,CPD -72°8,9.0,1.93
G 46,CPD -73°6,10.0,7.02
G 47,CPD -80°3,7.7,5.28
G 48,CPD -76°11,7.5,1.54
G 49,CPD -85°1,9.6,2.45
G 50,CPD -80°4,9.3,1.17
G 51,CPD -78°5,9.5,4.20
G 52,CPD -72°11,9.8,3.18
G 53,CPD -70°4,10.0,10.37
G 54,CPD -66°9,9.0,10.28
G 55,CPD -70°5,9.8,6.79
G 56,CPD -80°5,9.8,4.90
G 57,CPD -68°3,9.2,2.43
G 58,CPD -77°5,8.5,3.47
G 60,CPD -65°5,9.0,7.57
G 61,CPD -76°13,9.5,1.58
G 62,CPD -75°15,9.2,0.67
G 63,CPD -88°1,9.0,2.09
G 65,CPD -66°10,9.5,6.84
G 66,CPD -75°16,7.5,1.74
G 67,CPD -66°11,9.2,3.94
G 68,CPD -72°14,10.0,2.90
G 69,CPD -69°2,8.5,4.06
G 70,CPD -76°16,10.0,6.69
G 71,CPD -82°5,9.5,6.49
G 72,CPD -85°2,6.1,6.10
G 73,CPD -69°3,8.0,4.44
G 74,CPD -69°4,9.0,6.68
G 75,CPD -72°18,10.0,6.49
G 76,CPD -79°5,10.0,7.85
G 77,CPD -70°6,9.5,7.60
G 78,CPD -72°19,10.0,4.53
G 79,CPD -72°20,9.8,2.83
G 80,CPD -67°13,8.8,6.95
G 81,CPD -68°4,9.0,3.09
G 82,CPD -77°6,10.0,1.56
G 83,CPD -71°3,10.0,11.93
G 84,CPD -76°19,6.5,0.38
G 85,CPD -80°7,7.2,16.01
G 86,CPD -71°4,8.0,3.47
G 87,CPD -67°15,8.0,4.21
G 88,CPD -70°7,9.5,3.72
G 89,CPD -79°6,9.2,2.23
G 90,CPD -66°14,9.5,2.49
G 91,CPD -70°8,9.5,8.81
G 92,CPD -68°5,10.0,5.39
