index1,index2,mag,dist
G 1,HD 312,9.0,2.30
G 2,HD 311,9.0,1.82
G 3,HD 325,9.8,2.58
G 4,HD 324,9.0,2.35
G 5,HD 323,7.5,3.17
G 6,HD 368,8.8,1.30
G 7,HD 369,7.0,2.44
G 8,HD 384,9.0,0.86
G 9,HD 385,7.8,2.19
G 10,HD 403,9.0,2.72
G 11,HD 410,9.0,3.49
G 12,HD 411,9.8,1.20
G 13,HD 442,7.8,0.45
G 15,HD 441,9.4,2.59
G 16,HD 459,9.0,1.75
G 18,HD 498,9.8,2.67
G 19,HD 539,10.0,0.81
G 20,HD 525,9.0,1.12
G 21,HD 526,9.2,0.42
G 22,HD 566,9.8,0.71
G 23,HD 550,9.5,1.17
G 24,HD 569,8.5,1.48
G 25,HD 579,10.0,2.86
G 26,HD 591,10.0,0.97
G 27,HD 581,9.0,2.42
G 28,HD 582,9.0,4.22
G 29,HD 609,10.0,1.00
G 30,HD 592,9.5,0.97
G 31,HD 610,8.8,1.16
G 32,HD 624,10.0,1.22
G 33,HD 626,8.2,3.77
G 34,HD 625,10.0,1.46
G 35,HD 636,6.5,1.96
G 37,HD 635,10.0,1.43
G 39,HD 676,10.0,2.10
G 40,HD 677,9.5,1.41
G 42,HD 735,10.0,2.35
G 44,HD 708,9.5,1.70
G 45,HD 751,9.0,1.44
G 46,HD 760,10.0,0.84
G 47,HD 783,7.7,1.71
G 48,HD 793,7.5,2.76
G 50,HD 860,9.3,0.72
G 51,HD 882,9.5,2.48
G 52,HD 910,9.8,2.59
G 54,HD 935,9.0,2.03
G 56,HD 927,9.8,0.97
G 57,HD 945,9.2,0.31
G 58,HD 960,8.5,1.98
G 60,HD 971,9.0,0.30
G 61,HD 981,9.5,1.40
G 62,HD 987,9.2,2.46
G 63,HD 911,9.0,2.17
G 64,HD 1005,9.8,1.64
G 66,HD 1025,7.5,0.16
G 68,HD 1024,10.0,1.67
G 69,HD 1023,8.5,0.88
G 72,HD 1032,6.1,1.43
G 73,HD 1108,8.0,1.95
G 74,HD 1126,9.0,1.61
G 75,HD 1140,10.0,3.42
G 76,HD 1127,10.0,4.37
G 77,HD 1164,9.5,4.23
G 78,HD 1175,10.0,2.33
G 79,HD 1174,9.8,2.23
G 80,HD 1184,8.8,3.67
G 81,HD 1199,9.0,1.81
G 82,HD 1200,10.0,2.16
G 83,HD 1209,10.0,3.92
G 84,HD 1221,6.5,1.04
G 85,HD 1237,7.2,1.01
G 86,HD 1261,8.0,1.58
G 87,HD 1260,8.0,2.92
G 89,HD 1275,9.2,6.38
G 90,HD 1304,9.5,3.12
G 92,HD 1333,10.0,1.22
G 93,HD 1324,7.0,2.90
G 94,HD 1358,8.5,2.20
G 95,HD 1371,9.5,3.72
G 96,HD 1373,8.7,1.45
G 97,HD 1372,10.0,2.31
G 99,HD 1391,9.0,1.83
G 100,HD 1390,9.5,0.91
G 101,HD 1397,8.0,2.50
G 102,HD 1398,10.0,2.21
G 104,HD 1414,8.5,1.61
G 105,HD 1425,9.8,2.99
G 108,HD 1437,8.0,3.91
G 109,HD 1445,9.0,0.79
G 110,HD 1446,10.0,7.29
G 112,HD 1455,8.5,1.80
G 113,HD 1484,9.0,1.02
G 114,HD 1485,8.0,2.12
G 115,HD 1506,9.0,1.78
G 116,HD 1507,10.0,0.47
G 117,HD 1508,10.0,1.39
G 118,HD 1533,9.5,2.88
G 119,HD 1581,4.0,6.02
G 121,HD 1543,9.5,1.03
G 122,HD 1525,9.8,3.32
G 123,HD 1572,9.2,0.52
G 124,HD 1571,9.5,1.32
G 125,HD 1558,9.0,1.75
G 126,HD 1582,9.0,1.82
G 127,HD 1592,10.0,1.50
G 128,HD 1623,10.0,1.35
G 129,HD 1647,10.0,2.22
G 134,HD 1685,6.0,0.52
G 135,HD 1693,10.0,2.74
G 136,HD 1686,8.5,0.58
G 137,HD 1348,7.7,0.83
G 138,HD 1706,9.0,1.62
G 139,HD 1707,8.2,2.35
G 140,HD 1694,10.2,3.55
G 141,HD 1724,10.0,1.71
G 142,HD 1725,10.0,2.72
G 145,HD 1741,10.0,0.87
G 146,HD 1726,10.0,1.32
G 147,HD 1754,10.0,1.52
G 148,HD 1753,9.0,0.54
G 149,HD 1755,9.0,1.06
G 151,HD 1767,7.5,1.24
G 153,HD 1571,10.0,0.43
G 154,HD 1777,8.0,1.59
G 157,HD 1783,10.0,2.16
G 158,HD 1801,6.8,0.89
G 159,HD 1819,9.5,1.02
G 160,HD 1809,9.5,4.90
G 161,HD 1841,8.5,1.40
G 162,HD 1820,10.0,3.95
G 163,HD 1830,9.0,1.76
G 164,HD 1893,9.0,0.84
G 165,HD 1915,9.8,2.13
G 167,HD 1926,8.0,1.80
G 168,HD 1964,10.0,1.02
G 169,HD 1916,9.0,0.82
G 170,HD 2001,9.0,0.97
G 171,HD 1991,10.0,3.80
G 172,HD 1992,9.5,1.10
G 173,HD 2002,8.5,1.68
G 174,HD 2041,9.2,1.78
G 175,HD 2040,10.0,3.13
G 176,HD 2052,10.0,2.38
G 178,HD 2053,10.0,0.82
G 179,HD 2072,9.0,0.72
G 180,HD 2082,10.0,2.44
G 181,HD 2031,9.5,2.22
G 182,HD 2073,9.0,2.46
G 183,HD 2090,8.5,2.08
G 184,HD 2151,3.0,1.72
G 185,HD 2002,8.5,4.64
G 186,HD 2101,9.0,5.41
G 187,HD 2148,8.7,0.63
G 188,HD 2133,10.0,2.81
G 190,HD 2109,9.8,5.40
G 191,HD 2149,10.0,0.38
G 192,HD 2134,9.2,0.75
G 193,HD 2150,10.0,1.50
G 194,HD 2168,9.5,1.48
G 195,HD 2185,9.5,2.13
G 197,HD 2228,8.0,1.81
G 199,HD 2229,9.5,3.37
G 200,HD 2243,9.5,2.79
G 201,HD 2297,10.0,3.57
G 202,HD 2298,9.0,1.08
G 203,HD 2299,10.0,0.44
G 204,HD 2309,9.5,2.79
G 205,HD 2310,9.5,0.87
G 207,HD 2354,7.5,2.24
G 208,HD 2353,8.5,0.97
G 209,HD 2355,9.5,2.39
G 212,HD 2378,10.0,3.96
G 213,HD 2328,11.0,3.21
G 215,HD 2386,10.0,2.66
G 219,HD 2432,10.0,2.29
G 220,HD 2420,9.2,2.40
G 221,HD 2441,10.0,4.24
G 223,HD 2466,9.0,2.38
G 224,HD 2492,9.0,2.23
G 225,HD 2494,9.2,1.39
G 226,HD 2493,10.0,3.49
G 227,HD 2496,8.5,2.97
G 228,HD 2514,9.0,2.87
G 229,HD 2467,10.0,2.02
G 231,HD 2497,10.0,3.05
G 232,HD 2533,10.0,2.83
G 233,HD 2205,8.9,0.77
G 234,HD 2518,9.5,2.80
G 235,HD 2519,8.8,1.94
G 236,HD 2617,8.8,1.78
G 237,HD 2645,9.5,1.49
G 238,HD 2646,9.5,1.14
G 239,HD 2700,9.0,1.26
G 240,HD 2684,9.0,0.96
G 241,HD 2685,9.8,3.13
G 243,HD 2686,9.5,2.84
G 244,HD 2753,10.0,2.29
G 246,HD 2788,10.0,1.83
G 248,HD 2850,9.2,1.95
G 250,HD 2886,9.5,4.88
G 251,HD 2872,10.0,2.10
G 252,HD 2897,9.2,1.40
G 253,HD 2898,10.0,1.39
G 256,HD 2919,9.5,1.35
G 257,HD 2921,9.5,1.06
G 258,HD 2920,9.0,2.39
G 259,HD 2899,9.5,0.82
G 261,HD 2971,9.5,1.76
G 262,HD 2989,9.5,1.59
G 263,HD 3004,9.5,1.09
G 264,HD 3005,10.0,3.53
G 265,HD 3014,10.0,3.55
G 266,HD 3035,9.2,0.62
G 269,HD 3095,10.0,6.53
G 270,HD 3096,9.2,0.70
G 271,HD 3112,7.2,0.71
G 272,HD 3121,9.2,1.41
G 273,HD 3129,10.0,1.54
G 274,HD 2548,9.8,1.78
G 275,HD 3160,9.5,2.90
G 276,HD 3182,9.0,0.39
G 277,HD 3198,10.0,0.33
G 278,HD 3139,9.0,2.77
G 279,HD 3114,8.9,1.83
G 280,HD 3208,8.8,1.63
G 281,HD 3260,8.7,0.59
G 282,HD 3261,10.0,5.03
G 283,HD 3279,10.0,1.64
G 284,HD 3280,10.0,1.60
