index1,index2,mag,dist
G 1,PPM 366796,9.0,2.30
G 2,PPM 351637,9.0,1.82
G 3,PPM 366797,9.8,2.58
G 4,PPM 351638,9.0,2.35
G 5,PPM 351639,7.5,3.17
G 6,PPM 366799,8.8,1.30
G 7,PPM 366801,7.0,2.44
G 8,PPM 366802,9.0,0.86
G 9,PPM 375912,7.8,2.19
G 10,PPM 351643,9.0,2.72
G 11,PPM 351644,9.0,3.49
G 12,PPM 366803,9.8,1.20
G 13,PPM 366805,7.8,0.45
G 14,PPM 375914,9.3,2.45
G 15,PPM 351645,9.4,2.59
G 16,PPM 351648,9.0,1.75
G 17,PPM 366807,10.0,1.56
G 18,PPM 366810,9.8,2.67
G 19,PPM 351654,10.0,0.81
G 20,PPM 351653,9.0,1.12
G 21,PPM 375915,9.2,0.42
G 22,PPM 351659,9.8,0.71
G 23,PPM 366812,9.5,1.17
G 24,PPM 351662,8.5,1.48
G 25,PPM 351663,10.0,2.86
G 26,PPM 366815,10.0,0.97
G 27,PPM 366814,9.0,2.42
G 28,PPM 375916,9.0,4.22
G 29,PPM 351665,10.0,1.00
G 30,PPM 366817,9.5,0.97
G 31,PPM 366818,8.8,1.16
G 32,PPM 366820,10.0,1.22
G 33,PPM 366819,8.2,3.77
G 34,PPM 366821,10.0,1.46
G 35,PPM 375917,6.5,1.96
G 36,PPM 783653,9.5,3.54
G 37,PPM 366822,10.0,1.43
G 38,PPM 366823,7.0,2.60
G 39,PPM 351672,10.0,2.10
G 40,PPM 366824,9.5,1.41
G 41,PPM 375919,10.0,6.11
G 42,PPM 366826,10.0,2.35
G 43,PPM 783656,9.8,0.59
G 44,PPM 375918,9.5,1.70
G 45,PPM 783657,9.0,1.44
G 46,PPM 366827,10.0,0.84
G 47,PPM 375922,7.7,1.71
G 48,PPM 366829,7.5,2.76
G 49,PPM 375921,9.6,3.23
G 50,PPM 788406,9.3,0.72
G 51,PPM 366832,9.5,2.48
G 52,PPM 366836,9.8,2.59
G 53,PPM 351684,10.0,2.55
G 54,PPM 351689,9.0,2.03
G 55,PPM 366838,9.8,2.64
G 56,PPM 366835,9.8,0.97
G 57,PPM 351691,9.2,0.31
G 58,PPM 366839,8.5,1.98
G 60,PPM 351694,9.0,0.30
G 61,PPM 783662,9.5,1.40
G 62,PPM 366841,9.2,2.46
G 63,PPM 375920,9.0,2.17
G 64,PPM 775082,9.8,1.64
G 65,PPM 775083,9.5,1.47
G 66,PPM 366843,7.5,0.16
G 67,PPM 351698,9.2,1.39
G 68,PPM 783664,10.0,1.67
G 69,PPM 351697,8.5,0.88
G 70,PPM 366844,10.0,1.00
G 71,PPM 375926,9.5,1.54
G 72,PPM 375924,6.1,1.43
G 73,PPM 351703,8.0,1.95
G 74,PPM 351704,9.0,1.61
G 75,PPM 366847,10.0,3.42
G 76,PPM 366846,10.0,4.37
G 77,PPM 351705,9.5,4.23
G 78,PPM 366849,10.0,2.33
G 79,PPM 366851,9.8,2.23
G 80,PPM 351708,8.8,3.67
G 81,PPM 351715,9.0,1.81
G 82,PPM 366852,10.0,2.16
G 83,PPM 366854,10.0,3.92
G 84,PPM 366853,6.5,1.04
G 85,PPM 366856,7.2,1.01
G 86,PPM 366858,8.0,1.58
G 87,PPM 351720,8.0,2.92
G 88,PPM 775090,9.5,3.08
G 89,PPM 366857,9.2,6.38
G 90,PPM 351724,9.5,3.12
G 91,PPM 775091,9.5,0.19
G 92,PPM 351725,10.0,1.22
G 93,PPM 366860,7.0,2.90
G 94,PPM 351729,8.5,2.20
G 95,PPM 351730,9.5,3.72
G 96,PPM 366861,8.7,1.45
G 97,PPM 366862,10.0,2.31
G 98,PPM 788408,10.0,3.81
G 99,PPM 351731,9.0,1.83
G 100,PPM 351732,9.5,0.91
G 101,PPM 351736,8.0,2.50
G 102,PPM 351735,10.0,2.21
G 103,PPM 351738,9.5,1.19
G 104,PPM 366864,8.5,1.61
G 105,PPM 351739,9.8,2.99
G 107,PPM 375927,10.0,1.93
G 108,PPM 351740,8.0,3.91
G 109,PPM 351742,9.0,0.79
G 110,PPM 366866,10.0,7.29
G 111,PPM 775093,9.5,1.44
G 112,PPM 366865,8.5,1.80
G 113,PPM 366869,9.0,1.02
G 114,PPM 366868,8.0,2.12
G 115,PPM 351750,9.0,1.78
G 116,PPM 366870,10.0,0.47
G 117,PPM 783672,10.0,1.39
G 118,PPM 351753,9.5,2.88
G 119,PPM 351761,4.0,6.02
G 120,PPM 783673,9.5,2.01
G 121,PPM 783674,9.5,1.03
G 122,PPM 375928,9.8,3.32
G 123,PPM 366873,9.2,0.52
G 124,PPM 351754,9.5,1.32
G 125,PPM 366872,9.0,1.75
G 126,PPM 351757,9.0,1.82
G 127,PPM 366874,10.0,1.50
G 128,PPM 366876,10.0,1.35
G 129,PPM 351763,10.0,2.22
G 130,PPM 775100,10.0,0.34
G 132,PPM 783678,10.0,1.63
G 133,PPM 775101,10.0,6.16
G 134,PPM 351766,6.0,0.52
G 135,PPM 366881,10.0,2.74
G 136,PPM 366878,8.5,0.58
G 137,PPM 375923,7.7,0.83
G 138,PPM 351769,9.0,1.62
G 139,PPM 366884,8.2,2.35
G 140,PPM 366879,10.2,3.55
G 141,PPM 351770,10.0,1.71
G 142,PPM 366882,10.0,2.72
G 145,PPM 366886,10.0,0.87
G 146,PPM 366883,10.0,1.32
G 147,PPM 351772,10.0,1.52
G 148,PPM 351773,9.0,0.54
G 149,PPM 366885,9.0,1.06
G 150,PPM 375930,10.0,1.17
G 151,PPM 351776,7.5,1.24
G 152,PPM 351778,10.0,2.08
G 153,PPM 351754,10.0,0.43
G 154,PPM 351777,8.0,1.59
G 155,PPM 788414,10.0,1.95
G 156,PPM 375929,9.3,1.03
G 157,PPM 375932,10.0,2.16
G 158,PPM 366888,6.8,0.89
G 159,PPM 366891,9.5,1.02
G 160,PPM 366890,9.5,4.90
G 161,PPM 351786,8.5,1.40
G 162,PPM 366889,10.0,3.95
G 163,PPM 375933,9.0,1.76
G 164,PPM 366892,9.0,0.84
G 165,PPM 351792,9.8,2.13
G 166,PPM 375935,10.0,2.48
G 167,PPM 351795,8.0,1.80
G 168,PPM 366894,10.0,1.02
G 169,PPM 375936,9.0,0.82
G 170,PPM 351797,9.0,0.97
G 171,PPM 366897,10.0,3.80
G 172,PPM 366895,9.5,1.10
G 173,PPM 366896,8.5,1.68
G 174,PPM 366901,9.2,1.78
G 175,PPM 366903,10.0,3.13
G 176,PPM 366902,10.0,2.38
G 178,PPM 366898,10.0,0.82
G 179,PPM 366905,9.0,0.72
G 180,PPM 366906,10.0,2.44
G 181,PPM 375938,9.5,2.22
G 182,PPM 366899,9.0,2.46
G 183,PPM 366904,8.5,2.08
G 184,PPM 366918,3.0,1.72
G 185,PPM 366896,8.5,4.64
G 186,PPM 366907,9.0,5.41
G 187,PPM 351810,8.7,0.63
G 188,PPM 366909,10.0,2.81
G 189,PPM 775115,9.3,2.11
G 190,PPM 375939,9.8,5.40
G 191,PPM 366913,10.0,0.38
G 192,PPM 366908,9.2,0.75
G 193,PPM 366910,10.0,1.50
G 194,PPM 783688,9.5,1.48
G 195,PPM 366912,9.5,2.13
G 196,PPM 351814,10.0,5.72
G 197,PPM 351815,8.0,1.81
G 198,PPM 375937,9.9,0.85
G 199,PPM 351816,9.5,3.37
G 200,PPM 366916,9.5,2.79
G 201,PPM 366922,10.0,3.57
G 202,PPM 366921,9.0,1.08
G 203,PPM 366919,10.0,0.44
G 204,PPM 351822,9.5,2.79
G 205,PPM 783690,9.5,0.87
G 206,PPM 351823,10.0,2.45
G 207,PPM 351825,7.5,2.24
G 208,PPM 351828,8.5,0.97
G 209,PPM 783692,9.5,2.39
G 210,PPM 351827,10.0,1.74
G 212,PPM 351830,10.0,3.96
G 213,PPM 788419,11.0,3.21
G 214,PPM 366928,10.0,4.34
G 215,PPM 366923,10.0,2.66
G 216,PPM 351831,10.0,1.57
G 217,PPM 788420,11.0,6.05
G 218,PPM 351836,9.5,0.73
G 219,PPM 366925,10.0,2.29
G 220,PPM 366924,9.2,2.40
G 221,PPM 366932,10.0,4.24
G 222,PPM 351838,10.0,1.99
G 223,PPM 366934,9.0,2.38
G 224,PPM 351840,9.0,2.23
G 225,PPM 366937,9.2,1.39
G 226,PPM 351839,10.0,3.49
G 227,PPM 366933,8.5,2.97
G 228,PPM 351843,9.0,2.87
G 229,PPM 366927,10.0,2.02
G 230,PPM 775127,10.0,2.69
G 231,PPM 366931,10.0,3.05
G 232,PPM 351845,10.0,2.83
G 233,PPM 375931,8.9,0.77
G 234,PPM 783694,9.5,2.80
G 235,PPM 375944,8.8,1.94
G 236,PPM 351849,8.8,1.78
G 237,PPM 351850,9.5,1.49
G 238,PPM 366941,9.5,1.14
G 239,PPM 351854,9.0,1.26
G 240,PPM 366943,9.0,0.96
G 241,PPM 366942,9.8,3.13
G 242,PPM 375945,9.3,0.77
G 243,PPM 375946,9.5,2.84
G 244,PPM 351858,10.0,2.29
G 246,PPM 366944,10.0,1.83
G 247,PPM 351862,9.8,0.71
G 248,PPM 351866,9.2,1.95
G 249,PPM 375943,10.0,1.80
G 250,PPM 366950,9.5,4.88
G 251,PPM 366948,10.0,2.10
G 252,PPM 351868,9.2,1.40
G 253,PPM 366951,10.0,1.39
G 254,PPM 366949,9.5,1.03
G 255,PPM 351873,10.0,0.73
G 256,PPM 351877,9.5,1.35
G 257,PPM 351875,9.5,1.06
