index1,index2,mag,dist
G 1,SAO 255633,9.0,2.30
G 2,SAO 248121,9.0,1.82
G 3,SAO 255634,9.8,2.58
G 4,SAO 248122,9.0,2.35
G 5,SAO 248123,7.5,3.17
G 6,SAO 255635,8.8,1.30
G 7,SAO 255636,7.0,2.44
G 8,SAO 255637,9.0,0.86
G 9,SAO 258214,7.8,2.19
G 13,SAO 255638,7.8,0.45
G 15,SAO 248124,9.4,2.59
G 20,SAO 248127,9.0,1.12
G 24,SAO 248131,8.5,1.48
G 31,SAO 255639,8.8,1.16
G 32,SAO 255641,10.0,1.22
G 33,SAO 255640,8.2,3.77
G 35,SAO 258215,6.5,1.96
G 38,SAO 255642,7.0,2.60
G 46,SAO 255643,10.0,0.84
G 47,SAO 258216,7.7,1.71
G 48,SAO 255644,7.5,2.76
G 58,SAO 255645,8.5,1.98
G 62,SAO 255646,9.2,2.46
G 66,SAO 255647,7.5,0.16
G 69,SAO 248140,8.5,0.88
G 72,SAO 258217,6.1,1.43
G 73,SAO 248141,8.0,1.95
G 74,SAO 248142,9.0,1.61
G 77,SAO 255648,9.5,4.23
G 80,SAO 248143,8.8,3.67
G 81,SAO 248146,9.0,1.81
G 82,SAO 255649,10.0,2.16
G 84,SAO 255650,6.5,1.04
G 85,SAO 258219,7.2,1.01
G 86,SAO 255651,8.0,1.58
G 87,SAO 248149,8.0,2.92
G 93,SAO 255652,7.0,2.90
G 94,SAO 248152,8.5,2.20
G 95,SAO 248153,9.5,3.72
G 96,SAO 255653,8.7,1.45
G 99,SAO 255654,9.0,1.83
G 101,SAO 248155,8.0,2.50
G 102,SAO 248156,10.0,2.21
G 107,SAO 258220,10.0,1.93
G 108,SAO 248157,8.0,3.91
G 109,SAO 248158,9.0,0.79
G 110,SAO 255656,10.0,7.29
G 112,SAO 255655,8.5,1.80
G 119,SAO 248163,4.0,6.02
G 122,SAO 258221,9.8,3.32
G 123,SAO 255658,9.2,0.52
G 125,SAO 255657,9.0,1.75
G 134,SAO 248167,6.0,0.52
G 136,SAO 255659,8.5,0.58
G 137,SAO 258218,7.7,0.83
G 138,SAO 248168,9.0,1.62
G 139,SAO 255660,8.2,2.35
G 145,SAO 255661,10.0,0.87
G 149,SAO 255662,9.0,1.06
G 151,SAO 248169,7.5,1.24
G 154,SAO 248170,8.0,1.59
G 156,SAO 258222,9.3,1.03
G 158,SAO 255663,6.8,0.89
G 159,SAO 255664,9.5,1.02
G 161,SAO 248172,8.5,1.40
G 164,SAO 255665,9.0,0.84
G 165,SAO 248175,9.8,2.13
G 167,SAO 248177,8.0,1.80
G 169,SAO 258223,9.0,0.82
G 172,SAO 255666,9.5,1.10
G 173,SAO 255667,8.5,1.68
G 175,SAO 255668,10.0,3.13
G 184,SAO 255670,3.0,1.72
G 185,SAO 255667,8.5,4.64
G 186,SAO 255669,9.0,5.41
G 207,SAO 248186,7.5,2.24
G 208,SAO 248188,8.5,0.97
G 215,SAO 255671,10.0,2.66
G 219,SAO 255672,10.0,2.29
G 224,SAO 248192,9.0,2.23
G 225,SAO 255674,9.2,1.39
G 228,SAO 248193,9.0,2.87
G 229,SAO 258224,10.0,2.02
G 231,SAO 255673,10.0,3.05
G 235,SAO 258225,8.8,1.94
G 236,SAO 248196,8.8,1.78
G 238,SAO 255675,9.5,1.14
G 242,SAO 258226,9.3,0.77
G 243,SAO 258227,9.5,2.84
G 244,SAO 248199,10.0,2.29
G 248,SAO 248200,9.2,1.95
G 253,SAO 255677,10.0,1.39
G 259,SAO 255676,9.5,0.82
G 261,SAO 255678,9.5,1.76
G 266,SAO 248209,9.2,0.62
G 267,SAO 258228,9.9,1.90
G 269,SAO 248211,10.0,6.53
G 271,SAO 255679,7.2,0.71
G 272,SAO 248213,9.2,1.41
G 275,SAO 255680,9.5,2.90
G 278,SAO 258229,9.0,2.77
G 281,SAO 248216,8.7,0.59
G 283,SAO 248217,10.0,1.64
G 284,SAO 255682,10.0,1.60
G 285,SAO 255681,10.0,1.06
G 288,SAO 248220,9.0,1.50
G 290,SAO 255683,9.7,2.63
G 292,SAO 248222,10.0,0.83
G 295,SAO 255684,9.5,1.42
G 299,SAO 255685,8.0,1.53
G 300,SAO 248225,7.0,3.29
G 301,SAO 255686,9.0,2.60
G 305,SAO 248226,8.2,1.44
G 309,SAO 258230,10.0,0.52
G 311,SAO 255687,7.0,0.52
G 313,SAO 248227,9.5,0.98
G 315,SAO 248228,7.5,3.54
G 316,SAO 255688,8.0,0.38
G 323,SAO 255689,8.2,0.99
G 326,SAO 255690,7.0,0.69
G 327,SAO 255692,9.0,1.37
G 328,SAO 255692,9.0,1.96
G 330,SAO 255691,9.0,4.59
G 335,SAO 248231,10.0,0.84
G 337,SAO 255693,9.5,2.68
G 338,SAO 258231,10.5,0.62
G 341,SAO 258233,8.8,2.00
G 344,SAO 255694,9.5,2.17
G 349,SAO 248233,9.0,2.17
G 353,SAO 248234,9.0,2.19
G 359,SAO 258236,8.0,0.78
G 360,SAO 255696,9.2,2.00
G 362,SAO 248237,6.2,1.11
G 369,SAO 248239,7.0,2.11
G 370,SAO 258235,8.7,1.14
G 371,SAO 258234,8.1,0.41
G 373,SAO 255697,9.5,1.28
G 382,SAO 258232,9.0,1.95
G 385,SAO 248244,7.0,5.58
G 387,SAO 255698,8.8,2.91
G 388,SAO 255700,9.0,1.37
G 389,SAO 255699,9.5,0.55
G 392,SAO 258237,8.0,1.35
G 396,SAO 248246,10.0,0.76
G 398,SAO 255701,8.5,2.42
G 399,SAO 258238,7.5,0.41
G 408,SAO 248251,10.0,2.50
G 413,SAO 255702,9.0,3.90
G 415,SAO 255704,9.5,0.74
G 416,SAO 255703,9.5,1.38
G 417,SAO 248253,9.0,0.18
G 419,SAO 255705,9.0,2.29
G 420,SAO 255706,10.0,2.78
G 422,SAO 248254,10.0,3.65
G 425,SAO 248256,9.0,2.63
G 427,SAO 248259,10.0,2.20
G 429,SAO 248261,9.0,3.50
G 430,SAO 248260,8.5,2.23
G 431,SAO 255710,5.0,2.56
G 433,SAO 255708,9.8,1.45
G 434,SAO 255709,10.0,2.51
G 435,SAO 255711,9.0,0.82
G 442,SAO 258242,10.0,0.97
G 444,SAO 255713,8.0,2.26
G 446,SAO 258241,8.8,0.83
G 451,SAO 255712,9.5,1.10
G 455,SAO 258240,8.3,2.19
G 456,SAO 248269,7.5,1.72
G 458,SAO 248271,8.0,0.92
G 459,SAO 248274,9.5,0.97
G 461,SAO 255714,8.5,1.65
G 464,SAO 258239,9.2,0.63
G 465,SAO 248277,8.8,1.19
G 466,SAO 255715,10.0,0.56
G 468,SAO 255716,8.5,1.25
G 471,SAO 248278,9.0,1.16
G 472,SAO 255718,9.0,1.25
G 474,SAO 255717,9.2,1.88
G 475,SAO 248280,10.2,14.69
G 476,SAO 248280,8.2,0.80
G 485,SAO 258243,8.5,3.15
G 486,SAO 248281,6.2,1.31
G 488,SAO 248282,9.0,2.22
G 489,SAO 258244,10.0,1.03
G 491,SAO 255721,8.2,1.71
G 492,SAO 255720,10.0,1.87
G 493,SAO 255719,9.5,2.82
G 497,SAO 255722,9.8,1.94
G 498,SAO 248287,10.0,1.75
G 503,SAO 258245,8.7,0.56
G 509,SAO 255723,9.0,1.20
G 513,SAO 248291,7.0,2.59
G 515,SAO 248292,9.0,1.43
G 520,SAO 255724,7.0,0.98
G 521,SAO 258247,9.2,2.57
G 522,SAO 258246,9.5,1.31
G 524,SAO 248296,9.0,3.04
G 526,SAO 248297,9.0,0.46
G 528,SAO 255725,10.0,2.23
G 529,SAO 258248,9.8,2.48
G 532,SAO 255728,8.5,2.76
G 536,SAO 255726,8.8,2.24
G 537,SAO 248300,9.0,2.40
G 538,SAO 255727,9.5,1.31
G 542,SAO 255729,8.2,1.48
G 548,SAO 248307,9.0,3.08
G 551,SAO 255730,8.8,1.60
G 554,SAO 248308,7.2,0.76
G 564,SAO 248311,10.0,1.48
G 568,SAO 255731,7.5,2.71
G 572,SAO 255734,9.5,0.52
G 573,SAO 255733,9.0,0.59
G 578,SAO 255735,8.5,0.27
G 579,SAO 255738,9.0,1.27
G 580,SAO 255732,9.0,2.21
G 581,SAO 255736,8.5,0.32
G 582,SAO 248319,9.5,1.06
G 583,SAO 248321,9.5,1.62
G 588,SAO 255737,8.8,1.48
G 592,SAO 258249,9.8,1.27
G 593,SAO 255739,8.2,1.18
G 596,SAO 255740,9.5,1.20
G 597,SAO 255741,9.5,4.81
G 598,SAO 258252,10.0,2.51
G 600,SAO 255743,9.5,1.30
G 601,SAO 258251,9.5,4.55
G 603,SAO 258253,10.0,2.58
G 605,SAO 255745,9.5,1.42
G 607,SAO 248329,8.0,0.61
G 608,SAO 258250,8.2,0.59
G 610,SAO 255744,8.2,2.23
G 611,SAO 248328,9.0,1.26
G 612,SAO 255746,9.0,1.51
G 613,SAO 248330,10.0,0.45
G 614,SAO 255747,10.0,2.88
G 617,SAO 255742,10.0,3.20
G 624,SAO 248332,8.8,0.94
G 625,SAO 258256,9.5,0.97
G 628,SAO 248334,8.2,1.47
G 629,SAO 255748,6.8,2.83
G 630,SAO 255748,11.0,2.77
G 632,SAO 258257,8.0,3.41
G 634,SAO 248335,9.5,2.96
G 636,SAO 258255,7.9,1.55
G 637,SAO 255750,9.6,2.35
G 641,SAO 255749,9.0,1.53
G 644,SAO 258259,9.5,1.77
G 645,SAO 258258,9.0,0.99
G 646,SAO 255751,7.8,0.75
G 648,SAO 248337,9.0,1.50
G 651,SAO 255752,9.0,3.42
G 657,SAO 255754,9.0,1.51
G 658,SAO 248341,10.0,6.00
G 662,SAO 248342,7.8,2.73
G 663,SAO 258254,9.8,2.82
G 665,SAO 258260,9.0,0.81
G 667,SAO 255753,9.8,1.84
G 670,SAO 248346,5.5,2.37
G 671,SAO 248346,9.5,8.00
G 672,SAO 255755,10.0,1.58
G 674,SAO 248347,7.0,0.76
G 679,SAO 255756,9.9,1.35
G 680,SAO 248350,6.5,1.34
G 681,SAO 248350,10.0,2.96
G 682,SAO 248353,9.8,0.21
G 683,SAO 248354,8.0,1.20
G 685,SAO 255757,9.0,2.88
G 688,SAO 248356,8.0,2.51
G 692,SAO 248358,10.0,2.67
G 693,SAO 248359,8.8,3.12
G 695,SAO 255758,10.0,3.20
G 698,SAO 255759,10.0,0.80
G 702,SAO 255761,9.8,3.44
G 704,SAO 248361,9.0,0.98
G 705,SAO 248364,9.2,3.62
G 706,SAO 248360,8.0,2.39
G 711,SAO 255763,9.8,1.17
G 712,SAO 248367,9.0,3.08
G 716,SAO 255760,9.5,0.17
G 717,SAO 255762,8.3,1.38
G 718,SAO 255765,8.2,1.88
G 719,SAO 255764,8.0,1.18
G 722,SAO 258262,8.2,2.32
G 723,SAO 248369,6.8,0.46
G 725,SAO 255766,10.0,1.63
G 729,SAO 255768,9.5,1.23
G 730,SAO 255767,9.5,0.51
G 732,SAO 248370,8.0,2.95
G 739,SAO 255769,9.5,1.61
G 743,SAO 258261,9.3,2.54
G 744,SAO 248375,8.3,1.04
G 753,SAO 255770,10.0,2.11
G 756,SAO 255771,10.0,0.64
G 761,SAO 255774,8.8,0.20
G 763,SAO 248380,9.0,1.44
G 764,SAO 255773,8.5,2.39
G 767,SAO 258263,8.8,1.35
G 770,SAO 255772,9.0,0.46
G 777,SAO 248383,9.0,1.90
G 780,SAO 255777,10.0,2.78
