index1,index2,mag,dist
L 9721,CD -49°14337,0.0,8.82
L 9722,CD -33°16843,0.0,21.94
L 9723,CD -36°4,0.0,14.24
L 9724,CD -23°4,0.0,5.86
L 9725,CD -39°4,0.0,9.22
L 9726,CD -38°7,0.0,34.45
L 9728,CD -42°3,0.0,2.96
L 9729,CD -26°8,0.0,2.77
L 9727,CD -77°1,0.0,12.08
L 9730,CD -57°4,0.0,27.01
L 9731,CD -56°7,0.0,5.37
L 9733,CD -63°1,0.0,21.16
L 9732,CD -23°13,0.0,7.84
L 9735,CD -34°17,0.0,10.76
L 9736,CD -78°2,0.0,7.08
L 9734,CD -79°1,0.0,11.42
L 9745,CD -86°1,0.0,0.95
L 9737,CD -35°20,0.0,3.51
L 9743,CD -74°2,0.0,4.63
L 9738,CD -22°13,0.0,13.95
L 9739,CD -40°15,0.0,3.18
L 9740,CD -54°20,0.0,7.62
L 9741,CD -28°16,0.0,6.27
L 9742,CD -46°18,0.0,3.89
L 9746,CD -56°16,0.0,23.28
L 9744,CD -38°23,0.0,23.86
L 9747,CD -26°35,0.0,15.35
L 9749,CD -62°4,0.0,25.13
L 9748,CD -45°17,0.0,14.07
L 9750,CD -79°4,0.0,8.79
L 9752,CD -78°4,0.0,15.29
L 9751,CD -31°36,0.0,25.09
L 9756,CD -82°4,0.0,2.07
L 9753,CD -35°36,0.0,7.26
L 9754,CD -55°15,0.0,11.78
L 9755,CD -73°3,0.0,21.55
L 9757,CD -41°28,0.0,6.87
L 9758,CD -28°26,0.0,22.02
L 9759,CD -56°24,0.0,29.05
L 9760,CD -35°42,0.0,25.50
L 9761,CD -42°32,0.0,2.06
L 9762,CD -55°20,0.0,12.02
L 9764,CD -80°4,0.0,12.96
L 9763,CD -59°16,0.0,27.54
L 9765,CD -76°2,0.0,7.54
L 9766,CD -27°37,0.0,8.23
L 1,CD -43°30,0.0,6.51
L 3,CD -58°21,0.0,15.08
L 2,CD -23°46,0.0,14.23
L 4,CD -43°32,0.0,4.90
L 5,CD -27°38,0.0,40.29
L 6,CD -38°40,0.0,12.46
L 7,CD -26°56,0.0,3.10
L 8,CD -23°52,0.0,7.48
L 9,CD -26°57,0.0,7.29
L 10,CD -49°35,0.0,11.30
L 11,CD -57°31,0.0,8.15
L 12,CD -36°59,0.0,9.77
L 13,CD -55°35,0.0,22.49
L 15,CD -75°5,0.0,3.82
L 14,CD -41°52,0.0,17.01
L 16,CD -46°42,0.0,3.86
L 23,CD -85°2,0.0,7.61
