index1,index2,mag,dist
L 9721,HD 142,0.0,2.13
L 9722,HD 151,0.0,1.41
L 9723,HD 190,0.0,0.65
L 9724,HD 203,0.0,0.88
L 9725,HD 213,0.0,0.46
L 9726,HD 243,0.0,1.85
L 9728,HD 259,0.0,1.24
L 9729,HD 268,0.0,2.02
L 9727,HD 276,0.0,1.91
L 9730,HD 273,0.0,0.33
L 9731,HD 285,0.0,0.94
L 9733,HD 310,0.0,0.65
L 9732,HD 319,0.0,1.63
L 9735,HD 344,0.0,0.45
L 9736,HD 368,0.0,1.07
L 9734,HD 369,0.0,0.70
L 9745,HD 385,0.0,1.23
L 9737,HD 427,0.0,0.36
L 9743,HD 442,0.0,0.68
L 9738,HD 437,0.0,1.02
L 9739,HD 457,0.0,0.19
L 9740,HD 469,0.0,0.80
L 9741,HD 493,0.0,1.99
L 9742,HD 496,0.0,0.25
L 9746,HD 537,0.0,1.10
L 9744,HD 536,0.0,1.21
L 9747,HD 562,0.0,1.47
L 9749,HD 565,0.0,1.09
L 9748,HD 563,0.0,1.66
L 9750,HD 610,0.0,1.22
L 9752,HD 626,0.0,0.39
L 9751,HD 646,0.0,1.77
L 9756,HD 636,0.0,1.35
L 9753,HD 656,0.0,1.32
L 9754,HD 659,0.0,0.45
L 9757,HD 706,0.0,0.22
L 9758,HD 720,0.0,1.46
L 9759,HD 740,0.0,0.38
L 9760,HD 739,0.0,1.38
L 9761,HD 770,0.0,0.79
L 9762,HD 790,0.0,0.56
L 9764,HD 783,0.0,0.57
L 9763,HD 791,0.0,0.49
L 9765,HD 793,0.0,3.47
L 9766,HD 834,0.0,1.22
L 1,HD 845,0.0,0.82
L 3,HD 870,0.0,1.62
L 2,HD 877,0.0,0.96
L 4,HD 903,0.0,0.57
L 5,HD 901,0.0,0.46
L 6,HD 902,0.0,0.17
L 7,HD 942,0.0,1.46
L 8,HD 941,0.0,0.15
L 9,HD 943,0.0,1.07
L 10,HD 957,0.0,1.58
L 11,HD 980,0.0,1.37
L 12,HD 991,0.0,0.27
L 13,HD 1004,0.0,0.84
L 15,HD 1025,0.0,1.87
L 14,HD 1020,0.0,0.92
L 16,HD 1066,0.0,0.44
L 23,HD 1032,0.0,1.82
L 17,HD 1078,0.0,1.44
L 18,HD 1089,0.0,1.22
L 19,HD 1116,0.0,2.24
L 20,HD 1138,0.0,0.97
L 21,HD 1155,0.0,0.67
L 22,HD 1187,0.0,1.99
L 25,HD 1218,0.0,0.69
L 30,HD 1221,0.0,2.35
L 26,HD 1233,0.0,1.31
L 29,HD 1237,0.0,1.96
L 28,HD 1250,0.0,0.28
L 27,HD 1259,0.0,0.78
L 32,HD 1261,0.0,0.82
L 31,HD 1273,0.0,2.19
L 33,HD 1324,0.0,0.96
L 34,HD 1434,0.0,1.79
L 36,HD 1444,0.0,1.83
L 35,HD 1452,0.0,0.47
L 37,HD 1474,0.0,1.84
L 39,HD 1455,0.0,0.89
L 38,HD 1483,0.0,0.24
L 260,HD 1348,0.0,0.38
L 41,HD 1530,0.0,1.62
L 42,HD 1531,0.0,0.65
L 43,HD 1532,0.0,1.29
L 44,HD 1551,0.0,0.78
L 45,HD 1550,0.0,0.99
L 40,HD 1581,0.0,0.76
L 47,HD 1558,0.0,1.06
L 46,HD 1611,0.0,0.92
L 48,HD 1667,0.0,1.22
L 49,HD 1674,0.0,0.49
L 50,HD 1683,0.0,1.07
L 51,HD 1682,0.0,0.93
