index1,index2,mag,dist
L 9721,SAO 214963,0.0,2.13
L 9722,SAO 192357,0.0,1.41
L 9723,SAO 192358,0.0,0.65
L 9724,SAO 166053,0.0,0.88
L 9725,SAO 192359,0.0,0.46
L 9726,SAO 192362,0.0,1.85
L 9728,SAO 214969,0.0,1.24
L 9729,SAO 166063,0.0,2.02
L 9727,SAO 255632,0.0,1.91
L 9730,SAO 231930,0.0,0.33
L 9731,SAO 231932,0.0,0.94
L 9733,SAO 248120,0.0,0.65
L 9732,SAO 166066,0.0,1.63
L 9735,SAO 192367,0.0,0.45
L 9736,SAO 255635,0.0,1.07
L 9734,SAO 255636,0.0,0.70
L 9745,SAO 258214,0.0,1.23
L 9737,SAO 192369,0.0,0.36
L 9743,SAO 255638,0.0,0.68
L 9738,SAO 166077,0.0,1.02
L 9739,SAO 214980,0.0,0.19
L 9740,SAO 231943,0.0,0.80
L 9741,SAO 166083,0.0,1.99
L 9742,SAO 214983,0.0,0.25
L 9746,SAO 231950,0.0,1.10
L 9744,SAO 192378,0.0,1.21
L 9747,SAO 166089,0.0,1.47
L 9749,SAO 248130,0.0,1.09
L 9748,SAO 214987,0.0,1.66
L 9750,SAO 255639,0.0,1.22
L 9752,SAO 255640,0.0,0.39
L 9751,SAO 192380,0.0,1.77
L 9756,SAO 258215,0.0,1.35
L 9753,SAO 192382,0.0,1.32
L 9754,SAO 231957,0.0,0.45
L 9755,SAO 255642,0.0,1.26
L 9757,SAO 214994,0.0,0.22
L 9758,SAO 166103,0.0,1.46
L 9759,SAO 231961,0.0,0.38
L 9760,SAO 192388,0.0,1.38
L 9761,SAO 214999,0.0,0.79
L 9762,SAO 231966,0.0,0.56
L 9764,SAO 258216,0.0,0.57
L 9763,SAO 231967,0.0,0.49
L 9765,SAO 255644,0.0,3.47
L 9766,SAO 166114,0.0,1.22
L 1,SAO 215002,0.0,0.82
L 3,SAO 231973,0.0,1.62
L 2,SAO 166120,0.0,0.96
L 4,SAO 215005,0.0,0.57
L 5,SAO 166124,0.0,0.46
L 6,SAO 192406,0.0,0.17
L 7,SAO 166130,0.0,1.46
L 8,SAO 166132,0.0,0.15
L 9,SAO 166131,0.0,1.07
L 10,SAO 215009,0.0,1.58
L 11,SAO 231976,0.0,1.37
L 12,SAO 192412,0.0,0.27
L 13,SAO 231979,0.0,0.84
L 15,SAO 255647,0.0,1.87
L 14,SAO 215013,0.0,0.92
L 16,SAO 215018,0.0,0.44
L 23,SAO 258217,0.0,1.82
