index1,index2,mag,dist
Lal 1,HD 587,0.0,8.33
Lal 2,HD 584,0.0,41.46
Lal 3,HD 596,0.0,8.42
Lal 4,HD 598,0.0,2.57
Lal 5,HD 593,0.0,4.68
Lal 6,HD 602,0.0,7.86
Lal 7,HD 600,0.0,4.02
Lal 8,HD 595,0.0,3.49
Lal 9,HD 604,0.0,6.76
Lal 10,HD 613,0.0,1.31
Lal 11,HD 613,0.0,1.86
Lal 12,HD 615,0.0,7.93
Lal 13,HD 629,0.0,3.70
Lal 14,HD 632,0.0,4.05
Lal 15,HD 232122,0.0,6.75
Lal 16,HD 633,0.0,3.47
Lal 17,HD 639,0.0,2.51
Lal 18,HD 638,0.0,6.80
Lal 19,HD 645,0.0,2.68
Lal 20,HD 640,0.0,5.75
Lal 21,HD 640,0.0,2.45
Lal 22,HD 641,0.0,11.90
Lal 23,HD 641,0.0,4.16
Lal 24,HD 652,0.0,9.49
Lal 25,HD 653,0.0,14.68
Lal 27,HD 655,0.0,4.99
Lal 28,HD 655,0.0,1.98
Lal 29,HD 529,0.0,7.86
Lal 30,HD 664,0.0,8.57
Lal 31,HD 680,0.0,5.55
Lal 32,HD 688,0.0,6.68
Lal 33,HD 685,0.0,3.56
Lal 34,HD 691,0.0,7.08
Lal 35,HD 691,0.0,6.92
Lal 36,HD 685,0.0,6.00
Lal 37,HD 693,0.0,6.56
Lal 38,HD 693,0.0,4.21
Lal 39,HD 711,0.0,3.18
Lal 40,HD 709,0.0,3.95
Lal 41,HD 712,0.0,2.58
Lal 42,HD 716,0.0,7.93
Lal 43,HD 714,0.0,3.56
Lal 44,HD 717,0.0,1.02
Lal 45,HD 725,0.0,6.08
Lal 48,HD 731,0.0,4.24
Lal 49,HD 631,0.0,2.15
Lal 50,HD 720,0.0,8.41
Lal 51,HD 720,0.0,3.66
Lal 52,HD 738,0.0,10.31
Lal 53,HD 745,0.0,2.69
Lal 54,HD 744,0.0,4.39
Lal 55,HD 744,0.0,4.03
Lal 56,HD 743,0.0,3.40
Lal 57,HD 755,0.0,17.42
Lal 58,HD 761,0.0,0.82
Lal 59,HD 756,0.0,3.66
Lal 60,HD 768,0.0,8.14
Lal 61,HD 755,0.0,3.68
Lal 62,HD 768,0.0,2.02
Lal 63,HD 763,0.0,5.64
Lal 64,HD 762,0.0,5.77
Lal 65,HD 765,0.0,4.35
Lal 66,HD 232125,0.0,2.02
Lal 67,HD 780,0.0,4.74
Lal 68,HD 776,0.0,10.13
Lal 69,HD 776,0.0,3.33
Lal 70,HD 780,0.0,12.14
Lal 71,HD 778,0.0,2.81
Lal 72,HD 787,0.0,4.14
Lal 73,HD 787,0.0,5.57
Lal 74,HD 798,0.0,6.00
Lal 75,HD 798,0.0,9.79
Lal 76,HD 804,0.0,11.25
Lal 77,HD 800,0.0,5.07
Lal 78,HD 801,0.0,5.79
Lal 79,HD 811,0.0,0.83
Lal 80,HD 809,0.0,5.54
Lal 81,HD 810,0.0,9.39
