index1,index2,mag,dist
Lal 1,PPM 181928,6.5,8.33
Lal 2,PPM 25082,7.5,41.46
Lal 3,PPM 25081,8.0,8.42
Lal 4,PPM 89472,7.5,2.57
Lal 5,PPM 25084,7.5,4.68
Lal 6,PPM 208437,8.5,7.86
Lal 7,PPM 181931,9.0,4.02
Lal 8,PPM 25083,10.0,3.49
Lal 9,PPM 208439,8.5,6.76
Lal 10,PPM 65063,7.0,1.31
Lal 11,PPM 65063,7.5,1.86
Lal 12,PPM 116197,9.0,7.93
Lal 13,PPM 25092,9.0,3.70
Lal 14,PPM 143220,8.0,4.05
Lal 15,PPM 25094,9.0,6.75
Lal 16,PPM 143221,0.0,3.47
Lal 17,PPM 65066,8.0,2.51
Lal 18,PPM 25095,8.5,6.80
Lal 19,PPM 208443,6.5,2.68
Lal 20,PPM 65067,8.0,5.75
Lal 21,PPM 65067,8.0,2.45
Lal 22,PPM 65068,8.0,11.90
Lal 23,PPM 65068,8.0,4.16
Lal 24,PPM 42657,9.0,9.49
Lal 25,PPM 42656,9.0,14.68
Lal 26,PPM 65070,9.0,0.97
Lal 27,PPM 242579,8.0,4.99
Lal 28,PPM 242579,8.0,1.98
Lal 29,PPM 116191,8.5,7.86
Lal 30,PPM 89479,0.0,8.57
Lal 31,PPM 143227,8.0,5.55
Lal 32,PPM 181949,6.5,6.68
Lal 33,PPM 143232,8.0,3.56
Lal 34,PPM 65072,8.0,7.08
Lal 35,PPM 65072,8.0,6.92
Lal 36,PPM 143232,8.0,6.00
Lal 37,PPM 208457,5.0,6.56
Lal 38,PPM 208457,5.0,4.21
Lal 39,PPM 42670,8.0,3.18
Lal 40,PPM 25113,8.0,3.95
Lal 41,PPM 65078,8.5,2.58
Lal 42,PPM 174677,8.5,7.93
Lal 43,PPM 116219,7.5,3.56
Lal 44,PPM 181957,7.5,1.02
Lal 45,PPM 25115,8.0,6.08
Lal 46,PPM 89489,8.5,2.06
Lal 47,PPM 65087,8.5,4.20
Lal 48,PPM 208465,7.0,4.24
Lal 49,PPM 116203,9.0,2.15
Lal 50,PPM 242592,6.0,8.41
Lal 51,PPM 242592,5.0,3.66
Lal 52,PPM 181964,8.5,10.31
Lal 53,PPM 143241,8.0,2.69
Lal 54,PPM 89492,8.0,4.39
Lal 55,PPM 89492,7.0,4.03
Lal 56,PPM 42674,6.0,3.40
Lal 57,PPM 89495,7.5,17.42
Lal 58,PPM 25126,7.0,0.82
Lal 59,PPM 89494,7.5,3.66
Lal 60,PPM 242597,8.5,8.14
Lal 61,PPM 89495,7.0,3.68
Lal 62,PPM 242597,8.0,2.02
Lal 63,PPM 42678,8.0,5.64
Lal 64,PPM 42679,8.0,5.77
Lal 65,PPM 65083,8.0,4.35
Lal 66,PPM 25101,8.5,2.02
Lal 67,PPM 208473,7.5,4.74
Lal 68,PPM 65085,7.5,10.13
Lal 69,PPM 65085,0.0,3.33
Lal 70,PPM 208473,6.0,12.14
Lal 71,PPM 181969,9.0,2.81
Lal 72,PPM 208476,6.0,4.14
Lal 73,PPM 208476,6.5,5.57
Lal 74,PPM 242600,8.0,6.00
Lal 75,PPM 242600,7.5,9.79
Lal 76,PPM 89506,8.5,11.25
Lal 77,PPM 42687,6.0,5.07
Lal 78,PPM 42685,7.5,5.79
Lal 79,PPM 89509,9.0,0.83
Lal 80,PPM 25132,8.0,5.54
Lal 81,PPM 65092,8.0,9.39
Lal 82,PPM 208485,8.0,1.71
Lal 83,PPM 89510,8.5,8.12
Lal 84,PPM 42691,8.0,1.64
Lal 85,PPM 208488,8.5,6.49
Lal 86,PPM 208488,8.0,11.42
Lal 87,PPM 174681,7.5,5.89
Lal 88,PPM 89511,8.5,17.68
Lal 89,PPM 65095,6.5,4.73
Lal 90,PPM 181978,9.0,3.08
Lal 91,PPM 143258,9.5,5.80
Lal 92,PPM 25139,9.0,5.92
Lal 93,PPM 12013,9.0,13.20
Lal 94,PPM 42695,9.5,6.67
Lal 95,PPM 42695,7.0,2.39
Lal 96,PPM 42695,7.0,5.00
Lal 97,PPM 12017,7.0,3.16
Lal 98,PPM 181981,8.5,7.00
Lal 99,PPM 181982,0.0,11.98
Lal 100,PPM 65099,8.0,3.23
Lal 101,PPM 65098,7.5,12.75
Lal 102,PPM 89517,0.0,9.03
Lal 103,PPM 242617,7.5,3.10
Lal 104,PPM 42701,9.5,7.65
Lal 105,PPM 42701,7.0,5.74
Lal 106,PPM 42701,7.5,5.31
Lal 107,PPM 116243,2.0,4.76
Lal 108,PPM 116243,2.0,7.86
Lal 109,PPM 116243,2.0,3.53
Lal 110,PPM 116243,0.0,3.43
Lal 111,PPM 116243,0.0,1.74
Lal 112,PPM 12021,9.0,5.64
Lal 113,PPM 116243,0.0,2.95
Lal 114,PPM 116243,2.0,3.64
Lal 115,PPM 116243,2.0,2.67
Lal 116,PPM 116243,0.0,6.26
Lal 117,PPM 116243,0.0,11.23
Lal 118,PPM 242621,8.5,5.74
Lal 119,PPM 242621,8.0,9.35
Lal 120,PPM 143265,8.0,4.46
Lal 121,PPM 242622,8.0,13.38
Lal 122,PPM 42704,9.0,9.89
Lal 123,PPM 89523,6.0,1.17
Lal 124,PPM 242625,8.0,1.90
Lal 125,PPM 42707,6.0,2.94
Lal 126,PPM 25144,9.0,6.18
Lal 127,PPM 42714,8.5,4.25
Lal 128,PPM 65107,8.5,8.88
Lal 129,PPM 25150,8.0,0.94
Lal 130,PPM 143274,8.5,5.34
Lal 131,PPM 116247,8.0,5.23
Lal 132,PPM 143277,8.0,2.53
Lal 133,PPM 242631,6.0,5.15
Lal 134,PPM 143278,7.5,3.64
Lal 135,PPM 242633,8.0,3.45
Lal 136,PPM 12030,8.0,1.63
Lal 137,PPM 242632,6.0,8.50
Lal 138,PPM 143279,9.5,12.40
Lal 139,PPM 42719,8.5,4.07
Lal 140,PPM 65113,9.0,9.33
Lal 141,PPM 65114,6.5,2.02
Lal 142,PPM 182002,9.0,6.67
Lal 143,PPM 89532,8.5,2.51
Lal 144,PPM 25154,8.0,3.97
Lal 145,PPM 174682,8.0,6.24
Lal 146,PPM 143281,9.0,4.33
Lal 147,PPM 65118,8.5,11.73
Lal 148,PPM 25157,8.0,4.43
Lal 149,PPM 182008,8.0,4.79
Lal 150,PPM 89540,9.0,4.68
Lal 151,PPM 25158,8.5,7.95
Lal 152,PPM 174683,9.0,5.62
Lal 153,PPM 116256,8.0,2.54
Lal 154,PPM 42726,7.0,3.26
Lal 155,PPM 182012,7.0,5.55
Lal 156,PPM 242643,7.0,1.22
Lal 157,PPM 242641,8.0,9.44
Lal 158,PPM 182013,6.5,6.20
Lal 159,PPM 89542,5.5,4.55
Lal 160,PPM 89542,4.5,0.65
Lal 161,PPM 89542,6.0,5.16
Lal 162,PPM 208533,7.5,2.99
Lal 163,PPM 143288,7.5,5.70
Lal 164,PPM 42730,9.0,6.79
Lal 165,PPM 182015,9.0,5.36
Lal 166,PPM 143289,9.0,5.42
Lal 167,PPM 208537,7.5,10.99
Lal 168,PPM 25173,8.0,1.56
Lal 169,PPM 208536,5.0,14.09
Lal 170,PPM 208536,5.0,4.44
Lal 171,PPM 208536,5.0,7.15
Lal 172,PPM 208538,8.0,5.95
Lal 173,PPM 12050,8.5,1.48
Lal 174,PPM 25174,7.5,7.31
Lal 175,PPM 174685,8.0,3.04
Lal 176,GSC 0227201112,9.5,17.69
Lal 177,PPM 89549,7.0,6.22
Lal 178,PPM 242632,7.5,5.12
Lal 179,PPM 208544,7.5,3.16
Lal 180,PPM 42734,9.0,3.67
Lal 181,PPM 65127,8.5,8.08
Lal 182,PPM 143293,7.5,1.82
Lal 183,PPM 182020,6.0,3.49
Lal 184,PPM 25175,8.0,4.30
Lal 185,PPM 143293,9.0,14.41
Lal 186,PPM 65129,6.5,1.30
Lal 187,PPM 65128,7.5,2.54
Lal 188,PPM 65129,6.5,1.70
Lal 189,PPM 65131,8.0,4.68
Lal 190,PPM 42738,9.0,7.46
Lal 191,PPM 89554,6.0,7.24
Lal 192,PPM 89557,8.5,2.27
Lal 193,PPM 89559,7.0,3.36
Lal 194,PPM 42741,6.0,0.66
Lal 195,PPM 208553,9.5,12.72
Lal 196,PPM 25180,8.0,2.74
Lal 197,PPM 4330,6.5,3.72
Lal 198,PPM 116269,9.0,7.17
Lal 199,PPM 12056,7.0,3.58
Lal 200,PPM 25183,8.5,6.79
Lal 201,PPM 65134,8.5,6.53
Lal 202,PPM 65138,8.0,2.37
Lal 203,PPM 143308,9.0,3.14
Lal 204,PPM 182046,8.0,5.87
Lal 205,PPM 143311,8.0,2.48
Lal 206,PPM 182050,9.0,7.61
Lal 207,PPM 143313,8.0,0.72
Lal 208,PPM 400007,8.0,2.16
Lal 209,PPM 42761,6.5,1.31
Lal 210,PPM 400008,8.5,4.24
Lal 211,PPM 89584,8.0,4.60
Lal 212,PPM 242676,8.5,7.63
Lal 213,PPM 242676,8.0,5.54
Lal 214,PPM 42772,8.5,5.39
Lal 215,PPM 116284,8.5,2.60
Lal 216,PPM 42771,8.5,2.90
Lal 217,PPM 12067,7.0,2.81
Lal 218,PPM 143320,6.5,2.79
Lal 219,PPM 143320,6.5,6.91
Lal 220,PPM 65149,7.5,6.72
Lal 221,PPM 65147,7.5,2.37
Lal 222,PPM 42775,7.0,5.59
Lal 223,PPM 174690,8.0,8.01
Lal 224,PPM 208583,7.0,6.75
Lal 225,PPM 143321,8.0,7.04
Lal 226,PPM 42776,6.5,5.51
Lal 227,PPM 143321,8.0,3.78
Lal 228,PPM 116289,8.5,1.05
Lal 229,PPM 25194,8.0,3.02
Lal 230,PPM 116288,7.0,3.19
Lal 231,PPM 65153,8.0,4.48
Lal 232,PPM 25195,8.5,3.91
Lal 233,PPM 65152,8.5,11.76
Lal 234,PPM 242681,6.5,2.68
Lal 235,PPM 89593,7.0,6.14
Lal 236,PPM 42778,6.0,3.35
Lal 237,PPM 65154,4.0,3.23
Lal 238,PPM 65154,4.5,1.24
Lal 239,PPM 25197,9.0,2.10
Lal 240,PPM 65155,8.0,5.31
Lal 241,PPM 65155,7.5,1.58
Lal 242,PPM 116295,7.5,2.76
Lal 243,PPM 89597,8.5,10.62
Lal 244,PPM 116299,9.0,2.32
Lal 245,PPM 174692,8.0,3.26
Lal 246,PPM 89599,9.0,5.36
Lal 247,PPM 42762,5.5,7.12
Lal 248,PPM 42798,0.0,11.10
Lal 249,PPM 116303,8.0,10.31
Lal 250,PPM 143338,7.0,2.59
Lal 251,PPM 65164,8.0,4.63
Lal 252,PPM 25200,8.0,5.23
Lal 253,PPM 25200,6.0,3.59
Lal 254,PPM 4338,8.0,8.04
Lal 255,PPM 65170,9.5,9.26
Lal 256,PPM 42788,6.5,10.06
Lal 257,PPM 208610,7.0,3.98
Lal 258,PPM 116312,7.0,4.42
Lal 259,PPM 89611,7.0,7.21
Lal 260,PPM 143346,8.0,3.66
Lal 261,PPM 143346,6.5,6.86
Lal 262,PPM 65176,9.0,4.78
Lal 263,PPM 42794,7.5,3.25
Lal 264,PPM 174697,7.0,6.94
Lal 265,PPM 174697,6.5,3.76
Lal 266,PPM 12080,8.5,2.43
Lal 267,PPM 182083,8.5,4.31
Lal 268,PPM 143349,8.0,0.81
Lal 269,PPM 65177,0.0,11.40
Lal 270,PPM 65177,8.0,7.10
Lal 271,PPM 25212,8.5,6.38
Lal 272,PPM 116314,7.5,5.06
Lal 273,PPM 42795,6.0,2.58
Lal 274,PPM 25210,8.0,6.00
Lal 275,PPM 208620,6.0,5.48
Lal 276,PPM 182095,7.0,2.88
Lal 277,PPM 12084,8.5,2.56
Lal 278,GSC 0325501529,8.0,10.96
Lal 279,PPM 143359,7.5,0.94
Lal 280,PPM 143359,7.0,1.11
Lal 281,PPM 65183,5.0,5.50
Lal 282,PPM 65186,8.5,4.62
Lal 283,PPM 65183,5.0,1.45
Lal 284,PPM 12090,9.0,4.41
Lal 285,PPM 65187,9.0,8.23
Lal 286,PPM 116321,8.5,1.35
Lal 287,PPM 25215,8.0,5.05
Lal 288,PPM 182095,7.0,7.03
Lal 289,PPM 12092,9.0,6.41
