index1,index2,mag,dist
Lal 1,SAO 128621,0.0,8.33
Lal 2,SAO 21162,0.0,41.46
Lal 3,SAO 21163,0.0,8.42
Lal 4,SAO 73785,0.0,2.57
Lal 5,SAO 21164,0.0,4.68
Lal 6,SAO 147124,0.0,7.86
Lal 7,SAO 128622,0.0,4.02
Lal 8,SAO 21165,0.0,3.49
Lal 9,SAO 147125,0.0,6.76
Lal 10,SAO 53694,0.0,1.31
Lal 11,SAO 53694,0.0,1.86
Lal 12,SAO 91755,0.0,7.93
Lal 13,SAO 21172,0.0,3.70
Lal 14,SAO 109047,0.0,4.05
Lal 15,SAO 21174,0.0,6.75
Lal 16,SAO 109048,0.0,3.47
Lal 17,SAO 53697,0.0,2.51
Lal 18,SAO 21175,0.0,6.80
Lal 19,SAO 147127,0.0,2.68
Lal 20,SAO 53698,0.0,5.75
Lal 21,SAO 53698,0.0,2.45
Lal 22,SAO 53699,0.0,11.90
Lal 23,SAO 53699,0.0,4.16
Lal 24,SAO 36134,0.0,9.49
Lal 25,SAO 36133,0.0,14.68
Lal 26,SAO 53701,0.0,0.97
Lal 27,SAO 166095,0.0,4.99
Lal 28,SAO 166095,0.0,1.98
Lal 29,SAO 91749,0.0,7.86
Lal 30,SAO 73791,0.0,8.57
Lal 31,SAO 109052,0.0,5.55
Lal 32,SAO 128628,0.0,6.68
Lal 33,SAO 109054,0.0,3.56
Lal 34,SAO 53703,0.0,7.08
Lal 35,SAO 53703,0.0,6.92
Lal 36,SAO 109054,0.0,6.00
Lal 37,SAO 147133,0.0,6.56
Lal 38,SAO 147133,0.0,4.21
Lal 39,SAO 36144,0.0,3.18
Lal 40,SAO 21191,0.0,3.95
Lal 41,SAO 53710,0.0,2.58
Lal 42,SAO 128630,0.0,7.93
Lal 43,SAO 91767,0.0,3.56
Lal 44,SAO 128631,0.0,1.02
Lal 45,SAO 21193,0.0,6.08
Lal 46,SAO 73798,0.0,2.06
Lal 47,SAO 53717,0.0,4.20
Lal 48,SAO 147136,0.0,4.24
Lal 49,SAO 91759,0.0,2.15
Lal 50,SAO 166103,0.0,8.41
Lal 51,SAO 166103,0.0,3.66
Lal 52,SAO 128633,0.0,10.31
Lal 53,SAO 109059,0.0,2.69
Lal 54,SAO 73801,0.0,4.39
Lal 55,SAO 73801,0.0,4.03
Lal 56,SAO 36148,0.0,3.40
Lal 57,SAO 73803,0.0,17.42
Lal 58,SAO 21202,0.0,0.82
Lal 59,SAO 73802,0.0,3.66
Lal 60,SAO 166107,0.0,8.14
Lal 61,SAO 73803,0.0,3.68
Lal 62,SAO 166107,0.0,2.02
Lal 63,SAO 36150,0.0,5.64
Lal 64,SAO 36151,0.0,5.77
Lal 65,SAO 53713,0.0,4.35
Lal 66,SAO 21180,0.0,2.02
Lal 67,SAO 147142,0.0,4.74
Lal 68,SAO 53715,0.0,10.13
Lal 69,SAO 53715,0.0,3.33
Lal 70,SAO 147142,0.0,12.14
Lal 71,SAO 128635,0.0,2.81
Lal 72,SAO 147144,0.0,4.14
Lal 73,SAO 147144,0.0,5.57
Lal 74,SAO 166109,0.0,6.00
Lal 75,SAO 166109,0.0,9.79
Lal 76,SAO 91771,0.0,11.25
Lal 77,SAO 36157,0.0,5.07
Lal 78,SAO 36156,0.0,5.79
Lal 79,SAO 73814,0.0,0.83
Lal 80,SAO 21208,0.0,5.54
Lal 81,SAO 53722,0.0,9.39
Lal 82,SAO 147148,0.0,1.71
Lal 83,SAO 73815,0.0,8.12
Lal 84,SAO 36160,0.0,1.64
Lal 85,SAO 147149,0.0,6.49
Lal 86,SAO 147149,0.0,11.42
Lal 87,SAO 128639,0.0,5.89
Lal 88,SAO 73816,0.0,17.68
Lal 89,SAO 53725,0.0,4.73
Lal 90,SAO 128640,0.0,3.08
Lal 91,SAO 109064,0.0,5.80
Lal 92,SAO 21214,0.0,5.92
Lal 93,SAO 11041,0.0,13.20
Lal 94,SAO 36164,0.0,6.67
Lal 95,SAO 36164,0.0,2.39
Lal 96,SAO 36164,0.0,5.00
Lal 97,SAO 11044,0.0,3.16
Lal 98,SAO 128641,0.0,7.00
Lal 99,SAO 128642,0.0,11.98
Lal 100,SAO 53728,0.0,3.23
Lal 101,SAO 53729,0.0,12.75
Lal 102,SAO 91778,0.0,9.03
Lal 103,SAO 166120,0.0,3.10
Lal 104,SAO 36168,0.0,7.65
Lal 105,SAO 36168,0.0,5.74
Lal 106,SAO 36168,0.0,5.31
Lal 107,SAO 91781,0.0,4.76
