index1,index2,mag,dist
OA 2,CD -29°11,9.0,17.52
OA 7,CD -22°11,8.5,10.97
OA 10,CD -24°14,7.5,11.99
OA 11,CD -26°22,8.5,25.57
OA 13,CD -22°13,7.0,12.27
OA 15,CD -26°29,9.0,37.33
OA 5,CD -29°20,9.0,37.70
OA 18,CD -28°16,6.0,11.43
OA 22,CD -22°18,9.0,23.99
OA 25,CD -22°20,9.0,4.94
OA 27,CD -26°35,8.0,16.12
OA 36,CD -22°24,8.5,23.62
OA 35,CD -30°33,9.0,20.92
OA 40,CD -27°25,9.0,30.02
OA 41,CD -26°42,9.0,27.70
OA 42,CD -24°35,8.5,24.62
OA 45,CD -23°37,8.0,5.50
OA 46,CD -27°28,9.0,4.68
OA 50,CD -22°30,8.5,24.54
OA 51,CD -27°37,8.0,13.54
OA 53,CD -22°33,8.5,19.88
OA 54,CD -30°42,8.5,10.06
OA 55,CD -23°46,6.5,17.15
OA 57,CD -27°38,8.0,40.55
OA 59,CD -24°51,8.0,11.60
OA 62,CD -30°48,8.5,21.17
OA 64,CD -26°56,6.0,3.78
OA 65,CD -23°52,7.0,12.09
OA 66,CD -26°57,6.0,9.00
OA 71,CD -22°44,9.0,38.00
OA 73,CD -29°46,9.0,11.74
OA 70,CD -27°43,8.5,8.57
OA 78,CD -28°51,9.0,30.13
OA 80,CD -29°50,9.0,46.59
OA 82,CD -25°67,8.5,7.94
OA 83,CD -23°61,8.0,8.28
OA 84,CD -25°70,9.0,17.81
OA 86,CD -23°70,9.0,29.24
OA 88,CD -28°61,9.0,11.19
OA 89,CD -23°72,9.0,12.04
OA 91,CD -23°74,7.5,26.54
OA 95,CD -22°61,9.0,14.71
OA 96,CD -22°60,9.0,18.25
OA 102,CD -26°81,8.5,15.17
OA 104,CD -22°71,8.0,3.88
OA 107,CD -28°75,9.0,11.89
OA 108,CD -28°77,8.5,8.38
OA 109,CD -30°79,8.5,18.18
OA 111,CD -25°91,8.5,10.14
OA 112,CD -23°91,9.0,10.59
OA 113,CD -24°89,8.5,10.92
OA 118,CD -22°84,8.0,28.27
OA 120,CD -23°95,9.0,14.92
OA 124,CD -25°99,8.5,9.19
OA 125,CD -26°101,8.5,24.56
OA 129,CD -30°91,8.5,0.74
OA 130,CD -26°104,9.0,12.05
OA 131,CD -29°86,7.0,37.75
OA 135,CD -25°107,8.5,22.11
OA 138,CD -23°111,7.5,19.38
OA 139,CD -23°110,8.0,8.45
OA 140,CD -27°98,9.0,24.04
OA 142,CD -25°114,8.0,19.18
OA 143,CD -27°101,8.0,49.30
OA 144,CD -25°117,8.5,19.34
OA 150,CD -23°123,9.0,21.82
OA 152,CD -30°101,8.0,11.72
OA 155,CD -30°104,9.0,4.02
OA 159,CD -24°122,8.0,33.86
OA 161,CD -27°108,8.0,27.99
OA 162,CD -25°126,9.0,28.06
OA 163,CD -29°106,8.5,34.17
OA 165,CD -27°110,8.0,17.96
OA 166,CD -25°127,8.5,18.30
OA 167,CD -24°127,8.0,9.39
OA 169,CD -24°128,8.0,10.49
OA 176,CD -25°134,8.0,31.09
OA 180,CD -28°118,6.5,19.83
OA 182,CD -28°121,8.5,2.69
OA 186,CD -23°152,9.0,12.96
OA 188,CD -29°118,8.5,14.18
OA 192,CD -23°157,8.5,3.21
OA 195,CD -23°159,9.0,9.64
OA 196,CD -26°138,6.0,7.31
OA 199,CD -28°130,7.0,13.77
