index1,index2,mag,dist
OA 2,CPD -29°3,9.0,2.51
OA 4,CPD -19°3,7.0,10.91
OA 17,CPD -19°4,9.0,14.15
OA 7,CPD -22°4,8.9,10.69
OA 9,CPD -19°5,9.0,6.08
OA 10,CPD -24°4,7.8,7.16
OA 11,CPD -26°5,8.9,4.91
OA 13,CPD -22°6,7.0,3.82
OA 15,CPD -26°8,9.0,9.85
OA 24,CPD -21°3,7.0,0.34
OA 5,CPD -29°7,9.0,12.18
OA 18,CPD -28°4,6.0,16.01
OA 22,CPD -22°8,9.0,6.36
OA 25,CPD -22°10,9.0,6.57
OA 27,CPD -26°9,8.0,4.19
OA 28,CPD -20°3,9.0,10.85
OA 36,CPD -22°11,8.9,0.92
OA 38,CPD -19°9,8.0,3.38
OA 39,CPD -21°5,8.9,6.88
OA 35,CPD -30°15,9.0,9.58
OA 40,CPD -27°4,9.0,6.80
OA 41,CPD -26°10,9.0,6.29
OA 42,CPD -24°10,8.9,4.57
OA 44,CPD -20°4,9.0,30.27
OA 45,CPD -23°7,8.0,3.07
OA 46,CPD -27°5,9.0,5.58
OA 49,CPD -19°12,8.9,6.33
OA 50,CPD -22°14,8.9,6.72
OA 51,CPD -27°8,8.0,18.29
OA 52,CPD -19°13,9.0,8.40
OA 53,CPD -22°15,8.9,7.49
OA 54,CPD -30°18,8.9,7.05
OA 55,CPD -23°8,6.7,2.34
OA 57,CPD -27°9,8.0,6.23
OA 59,CPD -24°15,8.0,7.01
OA 62,CPD -30°20,8.9,6.14
OA 64,CPD -26°14,6.0,8.42
OA 65,CPD -23°11,7.0,2.71
OA 66,CPD -26°15,6.0,10.30
OA 69,CPD -19°14,9.0,6.51
OA 71,CPD -22°18,9.0,3.35
OA 72,CPD -21°8,7.0,10.45
OA 73,CPD -29°16,9.0,5.90
OA 74,CPD -19°17,9.0,4.18
OA 70,CPD -27°10,8.9,8.18
OA 78,CPD -28°15,9.0,15.36
OA 80,CPD -29°19,9.0,12.26
OA 82,CPD -25°19,8.9,4.74
OA 83,CPD -23°14,8.0,7.04
OA 84,CPD -25°21,9.0,12.91
OA 86,CPD -23°16,9.0,15.38
OA 88,CPD -28°17,9.0,2.78
OA 89,CPD -23°17,9.0,10.99
OA 91,CPD -23°18,7.8,3.58
OA 92,CPD -18°1,9.0,8.67
OA 95,CPD -22°21,9.0,8.30
OA 96,CPD -22°20,9.0,8.70
OA 100,CPD -19°23,7.0,9.02
OA 102,CPD -26°19,8.9,5.13
OA 104,CPD -22°24,8.0,5.14
OA 106,CPD -21°14,7.0,5.23
OA 107,CPD -28°20,9.0,1.69
OA 108,CPD -28°21,8.9,11.10
OA 109,CPD -30°34,8.9,18.72
OA 111,CPD -25°23,8.9,7.79
OA 112,CPD -23°21,9.0,11.00
OA 113,CPD -24°19,8.9,10.52
OA 116,CPD -20°12,9.0,4.86
OA 118,CPD -22°26,8.0,3.15
OA 119,CPD -20°13,9.0,5.58
OA 120,CPD -23°22,9.0,7.48
OA 124,CPD -25°27,8.9,6.32
OA 125,CPD -26°22,8.9,7.76
OA 127,CPD -20°17,8.0,4.37
OA 129,CPD -30°36,8.9,1.81
OA 130,CPD -26°24,9.0,4.57
OA 131,CPD -29°28,7.0,7.32
OA 135,CPD -25°29,8.9,10.95
OA 136,CPD -20°18,6.7,6.06
OA 138,CPD -23°24,7.8,4.89
OA 139,CPD -23°23,8.0,4.86
OA 140,CPD -27°23,9.0,17.01
OA 141,CPD -20°19,9.0,8.26
OA 142,CPD -25°31,8.0,6.86
OA 143,CPD -27°24,8.0,13.45
OA 144,CPD -25°33,8.9,15.99
OA 150,CPD -23°26,9.0,2.44
OA 151,CPD -19°29,7.8,6.62
OA 152,CPD -30°37,8.0,7.78
OA 154,CPD -21°22,9.0,3.32
OA 155,CPD -30°38,9.0,18.58
OA 159,CPD -24°29,8.0,8.42
OA 161,CPD -27°25,8.0,24.07
OA 162,CPD -25°35,9.0,4.03
OA 163,CPD -29°35,8.9,7.57
OA 165,CPD -27°26,8.0,3.78
OA 166,CPD -25°36,8.9,3.99
OA 167,CPD -24°30,8.0,10.45
OA 168,CPD -19°32,7.0,3.00
OA 169,CPD -24°31,8.0,9.82
OA 172,CPD -19°33,9.0,9.48
OA 173,CPD -20°22,8.9,11.27
OA 176,CPD -25°38,8.0,4.96
OA 177,CPD -19°34,8.9,5.30
OA 179,CPD -20°23,7.8,6.15
OA 180,CPD -28°29,6.7,6.36
OA 182,CPD -28°30,8.9,10.87
OA 185,CPD -19°35,7.0,6.06
OA 186,CPD -23°29,9.0,12.92
OA 187,CPD -19°36,9.0,5.63
OA 188,CPD -29°40,8.9,9.73
OA 191,CPD -21°25,8.9,7.84
OA 192,CPD -23°32,8.9,7.22
OA 193,CPD -21°26,9.0,1.41
OA 195,CPD -23°33,9.0,8.04
OA 196,CPD -26°31,6.0,1.51
OA 199,CPD -28°32,7.0,14.45
OA 202,CPD -20°29,7.0,7.90
OA 203,CPD -20°30,9.0,2.09
OA 204,CPD -25°40,8.0,10.75
OA 205,CPD -25°41,8.0,7.82
OA 206,CPD -28°33,9.0,10.04
OA 207,CPD -25°42,8.9,6.17
OA 208,CPD -29°42,7.8,3.44
OA 210,CPD -21°30,7.0,14.78
OA 212,CPD -23°36,8.0,4.07
OA 214,CPD -29°43,8.0,13.05
OA 216,CPD -29°45,8.9,10.70
OA 218,CPD -25°43,7.0,21.86
OA 219,CPD -24°38,9.0,3.71
OA 222,CPD -27°30,8.9,8.48
OA 224,CPD -25°44,8.9,5.01
OA 226,CPD -19°39,9.0,14.61
OA 227,CPD -27°33,9.0,8.86
OA 228,CPD -22°40,9.0,6.54
OA 229,CPD -19°41,8.9,17.16
OA 232,CPD -24°39,6.0,10.41
OA 236,CPD -19°42,7.8,20.33
OA 237,CPD -29°49,8.9,5.40
OA 238,CPD -28°35,8.9,2.26
OA 241,CPD -22°41,8.0,4.41
OA 243,CPD -26°35,9.0,11.44
OA 247,CPD -25°48,7.8,4.86
OA 250,CPD -29°51,8.0,1.81
OA 252,CPD -26°37,7.0,6.00
OA 253,CPD -25°51,9.0,9.85
OA 254,CPD -22°42,9.0,8.61
OA 255,CPD -25°52,9.0,8.29
OA 260,CPD -29°54,8.9,13.12
OA 261,CPD -26°39,7.0,1.42
OA 266,CPD -29°55,9.0,14.44
OA 267,CPD -24°49,9.0,6.86
OA 268,CPD -30°60,6.0,0.77
OA 270,CPD -31°65,9.0,7.94
OA 272,CPD -20°42,9.0,9.71
OA 273,CPD -29°57,8.0,2.54
OA 274,CPD -22°48,9.0,2.72
OA 275,CPD -26°40,9.0,8.96
OA 276,CPD -24°52,8.9,14.46
OA 277,CPD -27°37,9.0,13.30
OA 278,CPD -26°41,7.8,1.18
OA 279,CPD -19°48,8.9,5.72
OA 280,CPD -19°49,8.0,1.83
OA 281,CPD -29°59,8.9,12.18
OA 283,CPD -26°42,8.0,10.01
OA 284,CPD -27°38,8.9,8.49
OA 285,CPD -25°57,9.0,10.54
OA 290,CPD -19°51,8.9,2.06
OA 292,CPD -21°37,8.0,3.34
OA 293,CPD -23°55,6.7,2.39
OA 294,CPD -22°53,9.0,7.00
OA 295,CPD -27°40,8.0,9.85
OA 296,CPD -29°64,8.9,10.55
OA 297,CPD -19°54,9.0,2.23
OA 299,CPD -25°61,9.0,6.13
OA 301,CPD -27°42,8.0,15.55
OA 302,CPD -28°43,8.0,7.13
OA 303,CPD -25°62,8.0,3.94
OA 304,CPD -25°63,8.0,11.28
OA 305,CPD -30°65,9.0,12.72
OA 306,CPD -20°49,8.0,5.20
OA 308,CPD -26°46,8.0,4.70
OA 311,CPD -22°58,9.0,5.82
OA 312,CPD -30°66,9.0,9.55
OA 315,CPD -28°45,8.0,7.49
OA 316,CPD -21°44,9.0,3.56
OA 317,CPD -20°59,7.8,5.01
OA 318,CPD -20°60,8.9,8.09
OA 319,CPD -24°56,7.8,4.29
OA 322,CPD -21°50,8.9,9.88
OA 325,CPD -26°50,8.9,2.10
OA 326,CPD -26°51,7.8,12.31
OA 327,CPD -21°52,9.0,4.78
OA 328,CPD -20°63,8.9,6.07
OA 329,CPD -28°46,9.0,9.61
OA 331,CPD -20°64,9.0,7.01
OA 332,CPD -28°47,8.9,6.74
OA 334,CPD -26°53,8.9,22.05
OA 335,CPD -30°68,8.9,2.64
OA 337,CPD -24°58,9.0,8.34
OA 340,CPD -26°55,8.0,10.29
OA 345,CPD -24°60,6.0,23.22
OA 348,CPD -27°50,8.9,14.67
OA 349,CPD -30°71,9.0,11.69
OA 350,CPD -30°72,7.8,6.09
OA 352,CPD -28°50,8.9,3.73
OA 353,CPD -23°72,8.9,3.11
OA 354,CPD -30°73,9.0,8.85
OA 355,CPD -20°69,9.0,5.80
OA 356,CPD -20°71,7.8,4.10
OA 358,CPD -25°75,6.7,1.42
OA 360,CPD -25°76,8.9,9.09
OA 363,CPD -23°76,9.0,8.50
OA 364,CPD -23°77,9.0,7.95
OA 368,CPD -21°55,9.0,7.33
OA 369,CPD -20°75,7.8,6.39
OA 371,CPD -24°63,9.0,8.45
OA 372,CPD -22°69,8.9,5.73
OA 374,CPD -27°54,9.0,10.10
OA 375,CPD -22°72,8.9,8.68
OA 377,CPD -23°79,8.9,5.94
OA 380,CPD -31°75,9.0,13.90
OA 381,CPD -20°77,9.0,10.57
OA 384,CPD -31°77,9.0,16.82
OA 385,CPD -22°74,8.9,7.35
OA 387,CPD -24°64,9.0,8.98
OA 388,CPD -27°56,7.8,13.02
OA 390,CPD -22°77,5.6,10.47
OA 392,CPD -21°63,8.9,3.96
OA 394,CPD -19°75,8.0,2.23
OA 395,CPD -28°58,8.9,6.63
OA 396,CPD -21°65,9.0,3.04
OA 399,CPD -28°60,8.9,8.40
OA 402,CPD -24°68,8.9,1.73
OA 403,CPD -23°86,6.7,10.72
OA 405,CPD -22°81,9.0,0.98
OA 408,CPD -29°76,9.0,3.41
OA 409,CPD -20°84,9.0,11.33
OA 410,CPD -30°80,8.0,6.72
OA 412,CPD -18°4,9.0,9.05
OA 413,CPD -19°80,8.9,7.04
OA 415,CPD -23°89,9.0,7.44
OA 417,CPD -24°73,7.0,3.36
OA 418,CPD -29°77,9.0,17.32
OA 419,CPD -26°66,9.0,8.13
OA 420,CPD -24°74,8.9,6.49
OA 422,CPD -26°67,8.9,6.33
OA 424,CPD -27°60,9.0,11.32
OA 425,CPD -22°85,5.6,10.02
OA 426,CPD -30°83,8.0,11.87
OA 429,CPD -27°64,8.0,2.69
OA 430,CPD -19°86,8.9,3.01
OA 432,CPD -29°78,6.7,5.24
OA 435,CPD -24°76,8.9,5.52
OA 438,CPD -25°89,8.0,25.75
OA 439,CPD -21°76,7.0,4.24
OA 440,CPD -24°78,7.0,9.79
OA 442,CPD -23°95,7.8,18.02
OA 443,CPD -24°79,8.9,13.39
OA 444,CPD -26°69,8.9,2.17
OA 445,CPD -28°67,8.9,3.65
OA 447,CPD -24°80,7.0,6.68
OA 448,CPD -19°89,9.0,13.29
OA 449,CPD -21°79,8.9,3.79
OA 451,CPD -22°89,7.8,8.10
OA 437,CPD -24°81,8.9,4.32
OA 454,CPD -25°91,9.0,5.95
OA 455,CPD -28°69,9.0,22.27
OA 456,CPD -19°91,8.9,5.72
OA 458,CPD -28°70,9.0,13.22
OA 459,CPD -24°83,8.9,9.39
OA 462,CPD -21°84,8.9,2.06
OA 463,CPD -19°93,9.0,11.67
OA 464,CPD -24°86,7.8,3.79
OA 467,CPD -25°93,8.9,1.64
OA 468,CPD -29°84,8.0,11.46
OA 470,CPD -20°105,8.9,8.94
OA 471,CPD -28°71,9.0,10.32
OA 473,CPD -21°85,7.8,13.16
OA 474,CPD -23°102,7.8,2.13
OA 475,CPD -27°69,8.0,4.71
OA 477,CPD -20°106,8.0,5.97
OA 478,CPD -21°86,8.0,9.40
OA 479,CPD -22°97,7.0,2.91
OA 480,CPD -19°96,8.0,0.81
OA 481,CPD -31°92,8.0,27.63
OA 484,CPD -25°95,8.9,3.63
OA 485,CPD -25°96,6.7,5.77
OA 487,CPD -22°100,9.0,6.13
OA 490,CPD -27°71,9.0,6.88
OA 491,CPD -21°88,9.0,6.55
OA 493,CPD -29°88,8.9,9.97
OA 495,CPD -29°89,8.9,10.55
OA 496,CPD -25°97,8.0,4.75
OA 500,CPD -22°103,8.9,2.15
OA 501,CPD -23°110,9.0,5.82
OA 502,CPD -24°93,8.9,9.75
OA 507,CPD -22°109,8.0,2.65
OA 508,CPD -25°100,7.0,0.27
OA 512,CPD -26°72,9.0,9.94
OA 513,CPD -19°98,7.8,3.43
OA 515,CPD -19°99,8.0,12.16
OA 516,CPD -28°75,6.0,7.84
OA 518,CPD -21°91,8.9,5.80
OA 519,CPD -24°95,9.0,2.90
OA 520,CPD -24°96,9.0,6.92
OA 524,CPD -26°74,7.0,4.92
OA 526,CPD -20°127,9.0,1.51
OA 528,CPD -30°96,9.0,21.46
OA 529,CPD -23°116,9.0,10.82
OA 531,CPD -19°102,7.0,3.74
OA 533,CPD -26°75,9.0,11.19
OA 534,CPD -21°95,8.0,1.78
OA 535,CPD -28°77,9.0,5.05
OA 536,CPD -23°117,8.9,5.12
OA 538,CPD -21°96,9.0,10.48
OA 539,CPD -26°76,8.0,7.99
OA 541,CPD -20°130,9.0,7.19
OA 542,CPD -27°76,8.9,13.92
OA 544,CPD -20°131,6.7,9.59
OA 546,CPD -30°99,5.0,12.81
OA 550,CPD -20°132,7.0,3.15
OA 551,CPD -24°98,9.0,21.01
OA 553,CPD -24°99,9.0,10.65
OA 554,CPD -26°78,8.9,7.41
OA 557,CPD -22°113,9.0,27.22
OA 558,CPD -25°103,9.0,7.46
OA 561,CPD -21°98,9.0,1.77
OA 562,CPD -25°105,9.0,8.41
OA 569,CPD -26°81,7.0,4.21
OA 570,CPD -20°136,7.0,5.46
OA 571,CPD -26°82,8.9,4.06
OA 572,CPD -24°100,8.9,4.83
OA 574,CPD -27°84,9.0,11.84
OA 575,CPD -25°106,9.0,13.43
OA 576,CPD -19°106,8.0,4.46
OA 577,CPD -29°97,9.0,3.89
OA 578,CPD -23°121,9.0,5.77
OA 580,CPD -20°137,7.8,6.60
OA 582,CPD -24°103,8.0,10.37
OA 584,CPD -20°138,8.0,9.45
OA 585,CPD -22°120,8.0,6.77
OA 589,CPD -22°121,8.0,11.73
OA 590,CPD -21°101,8.9,1.60
OA 592,CPD -23°123,8.9,6.39
OA 595,CPD -26°89,8.0,8.37
OA 596,CPD -28°82,8.0,11.42
OA 597,CPD -30°108,7.0,3.49
OA 599,CPD -19°113,8.9,5.52
OA 600,CPD -19°114,9.0,6.37
OA 602,CPD -24°110,8.9,9.60
OA 603,CPD -27°87,9.0,9.88
OA 604,CPD -18°5,8.0,18.13
OA 605,CPD -23°126,8.9,4.07
OA 606,CPD -21°103,9.0,3.21
OA 609,CPD -31°123,9.0,5.82
OA 610,CPD -21°104,7.0,4.63
OA 611,CPD -24°112,8.9,4.43
OA 613,CPD -28°87,8.9,9.03
OA 617,CPD -24°114,8.0,5.12
OA 619,CPD -22°127,8.9,3.63
OA 620,CPD -26°93,8.9,3.81
OA 621,CPD -27°91,9.0,5.33
OA 622,CPD -26°94,8.9,7.76
OA 623,CPD -27°92,8.9,15.57
OA 625,CPD -19°117,8.9,4.81
OA 626,CPD -24°115,7.0,5.23
OA 628,CPD -24°116,9.0,15.70
OA 629,CPD -22°128,9.0,3.69
OA 631,CPD -25°109,8.9,11.85
OA 632,CPD -22°131,8.0,8.97
OA 633,CPD -23°131,9.0,3.06
OA 634,CPD -24°120,9.0,5.70
OA 635,CPD -24°124,7.0,2.05
OA 636,CPD -25°112,7.0,8.54
OA 637,CPD -19°118,9.0,3.06
OA 641,CPD -19°119,7.8,12.01
OA 642,CPD -24°126,9.0,3.20
OA 643,CPD -29°112,9.0,1.15
OA 644,CPD -28°90,8.9,4.05
OA 647,CPD -25°114,8.0,7.44
OA 648,CPD -22°134,8.9,3.63
OA 649,CPD -19°121,8.0,2.69
OA 650,CPD -22°135,9.0,1.96
OA 651,CPD -24°127,7.8,6.84
OA 653,CPD -20°152,9.0,4.83
OA 654,CPD -20°153,9.0,8.06
OA 655,CPD -30°118,9.0,7.58
OA 656,CPD -26°98,9.0,4.63
OA 658,CPD -22°138,9.0,10.71
OA 660,CPD -20°154,8.0,3.66
OA 661,CPD -20°155,9.0,7.90
OA 665,CPD -26°100,8.0,1.65
