index1,index2,mag,dist
OA 2,HD 329,9.0,5.94
OA 4,HD 337,7.0,1.68
OA 23247,HD 354,9.0,4.97
OA 6,HD 361,7.5,1.48
OA 17,HD 362,9.0,13.07
OA 7,HD 363,8.5,3.32
OA 9,HD 380,9.0,3.97
OA 10,HD 392,7.5,3.09
OA 11,HD 393,8.5,2.87
OA 12,HD 402,5.5,2.61
OA 1,HD 426,9.0,1.07
OA 13,HD 437,7.0,1.80
OA 15,HD 453,9.0,5.14
OA 24,HD 452,7.0,4.71
OA 5,HD 464,9.0,0.96
OA 18,HD 493,6.0,4.34
OA 22,HD 511,9.0,4.88
OA 23,HD 510,8.5,3.73
OA 25,HD 534,9.0,2.62
OA 27,HD 562,8.0,0.46
OA 16,HD 568,9.0,4.77
OA 28,HD 575,9.0,5.18
OA 30,HD 589,9.0,3.69
OA 32,HD 603,9.0,1.06
OA 33,HD 604,8.0,3.40
OA 36,HD 634,8.5,2.56
OA 37,HD 666,7.5,1.67
OA 38,HD 672,8.0,2.14
OA 39,HD 694,8.5,1.57
OA 35,HD 695,9.0,2.18
OA 40,HD 703,9.0,5.99
OA 41,HD 719,9.0,3.13
OA 42,HD 732,8.5,2.32
OA 43,HD 747,9.0,4.96
OA 44,HD 748,9.0,7.87
OA 45,HD 768,8.0,2.40
OA 46,HD 781,9.0,8.96
OA 47,HD 787,5.0,4.74
OA 48,HD 786,8.5,2.96
OA 49,HD 806,8.5,3.57
OA 50,HD 812,8.5,2.65
OA 51,HD 834,8.0,3.12
OA 52,HD 833,9.0,2.45
OA 53,HD 855,8.5,2.54
OA 54,HD 868,8.5,8.02
OA 55,HD 877,6.5,6.58
OA 57,HD 901,8.0,0.27
OA 59,HD 900,8.0,1.48
OA 62,HD 923,8.5,5.39
OA 64,HD 942,6.0,0.99
OA 65,HD 941,7.0,2.19
OA 66,HD 943,6.0,4.00
OA 68,HD 955,7.0,2.22
OA 71,HD 1001,9.0,2.28
OA 72,HD 1000,7.0,2.64
OA 73,HD 1019,9.0,9.08
OA 70,HD 1018,8.5,2.33
OA 76,HD 1052,9.0,1.70
OA 77,HD 1077,9.0,0.42
OA 78,HD 1087,9.0,8.93
OA 79,HD 1086,9.0,5.60
OA 80,HD 1097,9.0,9.19
OA 82,HD 1103,8.5,2.40
OA 83,HD 1102,8.0,3.19
OA 84,HD 1136,9.0,2.00
OA 86,HD 1171,9.0,6.92
OA 88,HD 1196,9.0,5.75
OA 90,HD 1195,8.5,3.75
OA 91,HD 1205,7.5,3.50
OA 92,HD 1214,9.0,4.43
OA 93,HD 1232,8.0,1.02
OA 95,HD 1244,9.0,15.18
OA 96,HD 1245,9.0,7.70
OA 97,HD 1296,9.0,2.09
OA 100,HD 1343,7.0,1.66
OA 102,HD 1389,8.5,5.70
OA 104,HD 1396,8.0,3.48
OA 106,HD 1431,7.0,2.75
OA 108,HD 1451,8.5,6.44
OA 109,HD 1474,8.5,8.49
OA 111,HD 1498,8.5,4.51
OA 113,HD 1504,8.5,1.03
OA 115,HD 1523,9.0,0.96
OA 117,HD 1529,8.0,2.86
OA 118,HD 1540,8.0,3.27
OA 120,HD 1569,9.0,3.17
OA 122,HD 1588,6.0,4.45
OA 124,HD 1619,8.5,5.70
OA 125,HD 1656,8.5,5.63
OA 127,HD 1666,8.0,2.74
OA 129,HD 1674,8.5,7.29
OA 130,HD 1692,9.0,5.47
OA 131,HD 1737,7.0,1.95
OA 133,HD 1736,8.0,2.03
OA 135,HD 1747,8.5,1.64
OA 136,HD 1760,6.5,3.13
OA 138,HD 1766,7.5,5.59
OA 139,HD 1765,8.0,6.00
OA 140,HD 1779,9.0,0.51
OA 142,HD 1797,8.0,5.02
OA 143,HD 1815,8.0,1.25
OA 144,HD 1814,8.5,1.78
OA 145,HD 1836,7.5,1.33
OA 148,HD 1879,7.0,3.23
OA 150,HD 1889,9.0,2.65
OA 151,HD 1921,7.5,1.96
OA 152,HD 1923,8.0,3.77
OA 154,HD 1922,9.0,3.18
OA 155,HD 1946,9.0,8.60
OA 156,HD 1979,8.5,3.19
OA 158,HD 2007,9.0,2.74
OA 159,HD 2008,8.0,3.85
OA 161,HD 2025,8.0,3.72
OA 162,HD 2014,9.0,4.44
OA 163,HD 2026,8.5,6.76
OA 165,HD 2037,8.0,3.52
OA 166,HD 2050,8.5,2.53
OA 167,HD 2069,8.0,2.72
OA 168,HD 2066,7.0,4.77
OA 169,HD 2068,8.0,3.13
OA 171,HD 2078,8.0,1.20
OA 172,HD 2079,9.0,4.43
OA 173,HD 2080,8.5,2.99
OA 175,HD 2141,8.5,2.93
OA 176,HD 2163,8.0,1.70
OA 177,HD 2160,8.5,2.79
OA 179,HD 2161,7.5,1.28
OA 180,HD 2199,6.5,2.22
OA 182,HD 2222,8.5,5.75
OA 185,HD 2268,7.0,2.30
OA 186,HD 2277,9.0,2.61
OA 187,HD 2275,9.0,4.24
OA 188,HD 2289,8.5,9.62
OA 191,HD 2318,8.5,2.33
OA 192,HD 2327,8.5,2.70
OA 193,HD 2337,9.0,2.14
OA 194,HD 2345,8.0,0.43
OA 195,HD 2362,9.0,8.59
OA 196,HD 2363,6.0,3.17
OA 198,HD 2375,8.5,7.06
OA 199,HD 2376,7.0,3.69
OA 202,HD 2395,7.0,11.48
OA 203,HD 2403,9.0,4.79
OA 204,HD 2426,8.0,1.57
OA 205,HD 2425,8.0,8.09
OA 207,HD 2450,8.5,2.74
OA 208,HD 2455,7.5,3.69
OA 210,HD 2475,7.0,1.97
OA 212,HD 2476,8.0,1.28
OA 214,HD 2477,8.0,9.21
OA 216,HD 2510,8.5,11.49
OA 218,HD 2527,7.0,15.50
OA 221,HD 2554,9.0,1.68
OA 222,HD 2573,8.5,5.60
OA 223,HD 2570,7.5,1.67
OA 224,HD 2582,8.5,1.61
OA 225,HD 2631,9.0,5.10
OA 226,HD 2640,9.0,4.48
OA 227,HD 2650,9.0,7.34
OA 228,HD 2671,9.0,3.79
OA 229,HD 2670,8.5,3.17
OA 230,HD 2694,8.0,4.39
OA 232,HD 2696,6.0,1.30
OA 235,HD 2693,8.0,2.18
OA 236,HD 2719,7.5,3.09
OA 237,HD 2722,8.5,3.76
OA 238,HD 2721,8.5,5.78
OA 241,HD 2783,8.0,2.92
OA 242,HD 2796,8.0,4.43
OA 243,HD 2831,9.0,4.77
OA 245,HD 2894,6.5,3.63
OA 247,HD 2916,7.5,1.57
OA 248,HD 2946,8.0,2.16
OA 250,HD 2949,8.0,7.35
OA 252,HD 2947,7.0,3.88
OA 253,HD 2968,9.0,8.76
OA 254,HD 2978,9.0,3.57
OA 255,HD 2988,9.0,0.70
OA 256,HD 2997,9.0,3.31
OA 258,HD 3017,9.0,5.31
OA 260,HD 3010,8.5,3.11
OA 261,HD 3045,7.0,3.60
OA 262,HD 3057,8.5,4.63
OA 266,HD 3046,9.0,11.44
OA 267,HD 3058,9.0,5.16
OA 268,HD 3059,6.0,1.15
OA 270,HD 3091,9.0,8.31
OA 272,HD 3132,9.0,2.45
OA 273,HD 3134,8.0,6.55
OA 274,HD 3179,9.0,2.03
OA 276,HD 3186,8.5,2.24
OA 277,HD 3188,9.0,11.09
OA 278,HD 3187,7.5,1.68
OA 279,HD 3217,8.5,3.68
OA 280,HD 3232,8.0,3.75
OA 281,HD 3218,8.5,7.18
OA 283,HD 3244,8.0,1.66
OA 284,HD 3257,8.5,1.29
OA 286,HD 3298,7.5,3.94
OA 287,HD 3299,9.0,6.51
OA 288,HD 3297,8.5,0.57
OA 290,HD 3311,8.5,4.27
OA 292,HD 3337,8.0,3.31
OA 293,HD 3326,6.5,2.50
OA 294,HD 3355,9.0,2.83
OA 295,HD 3338,8.0,2.47
OA 296,HD 3381,8.5,6.04
OA 297,HD 3387,9.0,6.29
OA 300,HD 3402,8.5,2.95
OA 301,HD 3388,8.0,4.04
OA 302,HD 3389,8.0,4.57
OA 303,HD 3404,8.0,4.51
OA 304,HD 3403,8.0,3.13
OA 305,HD 3424,9.0,9.00
OA 306,HD 3458,8.0,0.77
OA 307,HD 3478,8.5,1.58
OA 308,HD 3479,8.0,2.88
OA 309,HD 3506,8.0,4.49
OA 311,HD 3514,9.0,2.69
OA 312,HD 3524,9.0,6.07
OA 314,HD 3537,8.0,1.90
OA 315,HD 3522,8.0,2.54
OA 316,HD 3539,9.0,2.10
OA 317,HD 3580,7.5,4.07
OA 318,HD 3595,8.5,0.67
OA 319,HD 3581,7.5,1.47
OA 321,HD 3594,8.5,2.07
OA 322,HD 3596,8.5,3.18
OA 323,HD 3620,8.5,1.82
OA 326,HD 3622,7.5,3.85
OA 327,HD 3630,9.0,2.04
OA 328,HD 3664,8.5,3.68
OA 329,HD 3655,9.0,9.02
OA 331,HD 3663,9.0,4.65
OA 332,HD 3665,8.5,3.28
OA 334,HD 3678,8.5,21.01
OA 335,HD 3695,8.5,2.67
OA 336,HD 3716,9.0,4.81
OA 337,HD 3709,9.0,15.40
OA 338,HD 3715,9.0,2.10
OA 340,HD 3760,8.0,0.91
OA 342,HD 3793,9.0,0.99
OA 343,HD 3794,6.5,4.48
OA 345,HD 3795,6.0,2.60
OA 348,HD 3808,8.5,4.99
OA 349,HD 3810,9.0,15.19
OA 350,HD 3809,7.5,4.82
OA 352,HD 3835,8.5,5.29
OA 353,HD 3864,8.5,2.11
OA 354,HD 3878,9.0,8.70
OA 355,HD 3885,9.0,11.25
OA 356,HD 3909,7.5,1.77
OA 358,HD 3917,6.5,0.73
OA 360,HD 3930,8.5,2.82
OA 361,HD 3976,9.0,4.09
OA 363,HD 3978,9.0,4.32
OA 364,HD 3997,9.0,13.61
OA 366,HD 4021,9.0,5.26
OA 368,HD 4023,9.0,4.51
OA 369,HD 4036,7.5,1.58
OA 371,HD 4051,9.0,5.48
OA 372,HD 4050,8.5,2.99
OA 374,HD 4073,9.0,3.40
OA 375,HD 4079,8.5,3.08
OA 377,HD 4123,8.5,2.48
OA 378,HD 4128,2.0,2.72
OA 380,HD 4148,9.0,9.23
OA 381,HD 4157,9.0,4.89
OA 383,HD 4197,9.0,0.57
OA 384,HD 4189,9.0,7.89
OA 385,HD 4198,8.5,1.27
OA 388,HD 4208,7.5,3.49
OA 389,HD 4234,9.0,3.52
OA 390,HD 4247,5.5,0.61
OA 392,HD 4259,8.5,3.66
OA 394,HD 4274,8.0,1.98
OA 395,HD 4289,8.5,0.84
OA 396,HD 4327,9.0,2.62
OA 397,HD 4338,6.5,1.51
