index1,index2,mag,dist
OA 2,SAO 166067,9.0,5.94
OA 4,SAO 147098,7.0,1.68
OA 23247,SAO 147099,9.0,4.97
OA 6,SAO 147100,7.5,1.48
OA 17,SAO 147101,9.0,13.07
OA 7,SAO 166070,8.5,3.32
OA 9,SAO 147102,9.0,3.97
OA 10,SAO 166073,7.5,3.09
OA 11,SAO 166074,8.5,2.87
OA 12,SAO 147103,5.5,2.61
OA 1,SAO 147104,9.0,1.07
OA 13,SAO 166077,7.0,1.80
OA 15,SAO 166079,9.0,5.14
OA 5,SAO 166081,9.0,0.96
OA 18,SAO 166083,6.0,4.34
OA 21,SAO 147111,9.0,6.99
OA 22,SAO 166085,9.0,4.88
OA 23,SAO 147114,8.5,3.73
OA 25,SAO 166087,9.0,2.62
OA 26,SAO 147117,9.0,4.49
OA 27,SAO 166089,8.0,0.46
OA 16,SAO 147118,9.0,4.77
OA 28,SAO 166091,9.0,5.18
OA 30,SAO 147120,9.0,3.69
OA 31,SAO 147121,9.0,3.29
OA 32,SAO 147123,9.0,1.06
OA 33,SAO 147125,8.0,3.40
OA 36,SAO 166094,8.5,2.56
OA 37,SAO 147129,7.5,1.67
OA 38,SAO 147130,8.0,2.14
OA 39,SAO 166100,8.5,1.57
OA 35,SAO 166099,9.0,2.18
OA 40,SAO 166101,9.0,5.99
OA 41,SAO 166102,9.0,3.13
OA 42,SAO 166104,8.5,2.32
OA 43,SAO 147138,9.0,4.96
OA 44,SAO 147139,9.0,7.87
OA 45,SAO 166107,8.0,2.40
OA 47,SAO 147144,5.0,4.74
OA 48,SAO 147145,8.5,2.96
OA 49,SAO 147146,8.5,3.57
OA 50,SAO 166113,8.5,2.65
OA 51,SAO 166114,8.0,3.12
OA 53,SAO 166116,8.5,2.54
OA 54,SAO 192404,8.5,8.02
OA 55,SAO 166120,6.5,6.58
OA 57,SAO 166124,8.0,0.27
OA 59,SAO 166125,8.0,1.48
OA 61,SAO 147155,9.0,1.28
OA 62,SAO 166128,8.5,5.39
OA 64,SAO 166130,6.0,0.99
OA 65,SAO 166132,7.0,2.19
OA 66,SAO 166131,6.0,4.00
OA 69,SAO 147162,9.0,8.31
OA 71,SAO 166136,9.0,2.28
OA 72,SAO 166138,7.0,2.64
OA 73,SAO 166139,9.0,9.08
OA 74,SAO 147166,9.0,13.93
OA 70,SAO 166140,8.5,2.33
OA 75,SAO 147165,9.0,3.54
OA 76,SAO 147173,9.0,1.70
OA 77,SAO 147176,9.0,0.42
OA 78,SAO 166145,9.0,8.93
OA 79,SAO 147178,9.0,5.60
OA 80,SAO 166146,9.0,9.19
OA 82,SAO 166148,8.5,2.40
OA 83,SAO 166150,8.0,3.19
OA 84,SAO 166151,9.0,2.00
OA 86,SAO 166157,9.0,6.92
OA 87,SAO 147189,9.0,1.38
OA 88,SAO 166159,9.0,5.75
OA 89,SAO 166160,9.0,3.34
OA 90,SAO 147191,8.5,3.75
OA 91,SAO 166163,7.5,3.50
OA 92,SAO 147193,9.0,4.43
OA 93,SAO 147194,8.0,1.02
OA 95,SAO 166166,9.0,15.18
OA 96,SAO 166165,9.0,7.70
OA 97,SAO 147199,9.0,2.09
OA 98,SAO 147202,9.0,4.19
OA 100,SAO 147205,7.0,1.66
OA 101,SAO 147207,9.0,2.59
OA 102,SAO 166171,8.5,5.70
OA 104,SAO 166172,8.0,3.48
OA 105,SAO 147209,8.5,0.99
OA 106,SAO 166174,7.0,2.75
OA 107,SAO 166176,9.0,3.34
OA 108,SAO 166177,8.5,6.44
OA 109,SAO 192456,8.5,8.49
OA 111,SAO 166182,8.5,4.51
OA 112,SAO 166184,9.0,6.08
OA 113,SAO 166186,8.5,1.03
OA 115,SAO 147215,9.0,0.96
OA 116,SAO 166189,9.0,10.81
OA 117,SAO 147216,8.0,2.86
OA 118,SAO 166190,8.0,3.27
OA 119,SAO 147217,9.0,10.97
OA 120,SAO 166191,9.0,3.17
OA 121,SAO 147220,9.0,5.60
OA 122,SAO 147221,6.0,4.45
OA 124,SAO 166196,8.5,5.70
OA 125,SAO 166199,8.5,5.63
OA 126,SAO 147225,9.0,2.17
OA 127,SAO 166202,8.0,2.74
OA 129,SAO 166204,8.5,7.29
OA 130,SAO 166205,9.0,5.47
OA 131,SAO 166207,7.0,1.95
OA 133,SAO 147229,8.0,2.03
OA 135,SAO 166208,8.5,1.64
OA 136,SAO 166210,6.5,3.13
OA 138,SAO 166213,7.5,5.59
OA 139,SAO 166211,8.0,6.00
OA 140,SAO 166215,9.0,0.51
OA 141,SAO 166217,9.0,2.54
OA 142,SAO 166220,8.0,5.02
OA 143,SAO 166223,8.0,1.25
OA 144,SAO 166226,8.5,1.78
OA 145,SAO 147236,7.5,1.33
OA 146,SAO 147239,8.5,3.16
OA 147,SAO 147240,9.0,1.61
OA 148,SAO 147241,7.0,3.23
OA 150,SAO 166229,9.0,2.65
OA 151,SAO 147245,7.5,1.96
OA 152,SAO 192498,8.0,3.77
OA 154,SAO 166232,9.0,3.18
OA 155,SAO 166234,9.0,8.60
OA 156,SAO 147250,8.5,3.19
OA 158,SAO 147252,9.0,2.74
OA 159,SAO 166239,8.0,3.85
OA 161,SAO 166242,8.0,3.72
OA 162,SAO 166241,9.0,4.44
OA 163,SAO 166240,8.5,6.76
OA 165,SAO 166243,8.0,3.52
OA 166,SAO 166245,8.5,2.53
OA 167,SAO 166248,8.0,2.72
OA 168,SAO 147258,7.0,4.77
OA 169,SAO 166250,8.0,3.13
OA 171,SAO 147259,8.0,1.20
OA 172,SAO 147261,9.0,4.43
OA 173,SAO 166253,8.5,2.99
OA 174,SAO 147262,9.0,0.63
OA 175,SAO 147264,8.5,2.93
OA 176,SAO 166256,8.0,1.70
OA 177,SAO 147265,8.5,2.79
OA 178,SAO 147266,9.0,0.97
OA 179,SAO 166259,7.5,1.28
OA 180,SAO 166262,6.5,2.22
OA 181,SAO 147270,9.0,4.04
OA 182,SAO 166264,8.5,5.75
OA 184,SAO 147272,9.0,1.23
OA 185,SAO 147275,7.0,2.30
OA 186,SAO 166269,9.0,2.61
OA 187,SAO 147278,9.0,4.24
OA 188,SAO 166270,8.5,9.62
OA 191,SAO 166275,8.5,2.33
OA 192,SAO 166277,8.5,2.70
OA 193,SAO 166278,9.0,2.14
OA 194,SAO 147283,8.0,0.43
OA 195,SAO 166283,9.0,8.59
OA 196,SAO 166282,6.0,3.17
OA 198,SAO 147284,8.5,7.06
OA 199,SAO 166284,7.0,3.69
OA 202,SAO 166285,7.0,11.48
OA 203,SAO 147288,9.0,4.79
OA 204,SAO 166286,8.0,1.57
OA 205,SAO 166288,8.0,8.09
OA 206,SAO 166290,9.0,1.93
OA 207,SAO 166292,8.5,2.74
OA 208,SAO 166295,7.5,3.69
OA 210,SAO 166296,7.0,1.97
OA 212,SAO 166297,8.0,1.28
OA 214,SAO 166299,8.0,9.21
OA 215,SAO 147293,9.0,1.71
OA 216,SAO 166302,8.5,11.49
OA 218,SAO 166303,7.0,15.50
OA 219,SAO 166304,9.0,4.81
OA 221,SAO 147298,9.0,1.68
OA 222,SAO 166306,8.5,5.60
OA 223,SAO 147302,7.5,1.67
