index1,index2,mag,dist
OA 1,HD 347,8.5,3.10
OA 2,HD 348,7.0,46.83
OA 6,HD 356,8.0,1.80
OA 7,HD 356,8.5,3.98
OA 8,HD 371,6.5,2.10
OA 9,HD 371,7.0,2.97
OA 10,HD 370,7.0,0.76
OA 11,HD 232114,9.5,5.91
OA 12,HD 386,8.5,0.92
OA 14,HD 399,8.5,5.81
OA 17,HD 404,8.5,3.06
OA 19,HD 431,7.0,2.46
OA 20,HD 433,8.0,1.48
OA 21,HD 236314,9.0,0.95
OA 22,HD 443,7.5,3.52
OA 26,HD 487,7.0,3.90
OA 27,HD 236318,9.5,1.80
OA 29,HD 507,9.0,1.62
OA 30,HD 507,8.5,2.96
OA 31,HD 508,9.0,2.30
OA 33,HD 516,8.0,7.16
OA 35,HD 236323,8.5,2.08
OA 36,HD 551,8.5,1.69
OA 37,HD 551,8.5,0.62
OA 38,HD 552,9.0,2.94
OA 39,HD 232119,9.0,4.96
OA 40,HD 553,8.0,3.89
OA 41,HD 554,7.0,2.07
OA 42,HD 567,7.0,5.02
OA 44,HD 571,5.0,0.21
OA 46,HD 584,7.0,1.21
OA 47,HD 593,6.5,1.68
OA 48,HD 595,8.0,3.81
OA 52,HD 236328,9.0,1.87
OA 53,HD 637,9.0,3.93
OA 54,HD 232122,8.5,3.61
OA 55,HD 650,9.5,1.07
OA 56,HD 638,7.5,4.07
OA 60,HD 236329,9.0,3.01
OA 61,HD 232123,9.0,4.12
OA 63,HD 678,7.0,0.78
OA 64,HD 678,7.5,0.77
OA 66,HD 236330,9.0,1.57
OA 67,HD 669,8.0,2.79
OA 70,HD 679,8.5,2.70
OA 71,HD 236331,8.5,1.22
OA 72,HD 690,9.0,0.57
OA 73,HD 236332,9.0,3.46
OA 75,HD 236333,8.5,0.96
OA 79,HD 725,7.0,6.87
OA 82,HD 232131,9.0,6.54
OA 83,HD 753,9.0,1.18
OA 84,HD 764,9.0,3.01
OA 85,HD 236337,9.5,1.10
OA 86,HD 774,8.5,4.15
OA 90,HD 809,8.0,0.38
OA 91,HD 809,7.0,1.63
OA 93,HD 827,8.5,1.76
OA 94,HD 232135,9.0,4.73
OA 95,HD 817,8.5,2.93
OA 96,HD 841,8.5,2.76
OA 97,HD 848,7.5,0.93
OA 98,HD 849,7.5,3.78
OA 100,HD 861,7.5,1.85
OA 102,HD 862,9.0,3.00
OA 103,HD 871,7.0,3.53
OA 104,HD 883,8.0,5.30
OA 105,HD 894,8.0,3.77
OA 108,HD 919,7.0,0.65
OA 109,HD 912,8.5,4.54
OA 110,HD 236344,9.0,2.44
OA 111,HD 913,9.0,5.97
OA 114,HD 936,6.5,2.02
OA 115,HD 947,8.0,1.50
OA 116,HD 962,8.0,2.87
OA 117,HD 232139,8.5,4.29
OA 118,HD 948,8.5,2.39
OA 119,HD 961,8.5,2.02
OA 120,HD 972,8.0,1.59
OA 122,HD 1009,8.0,4.26
OA 123,HD 1007,8.5,3.53
OA 124,HD 1008,8.5,1.22
OA 125,HD 1010,9.0,4.19
OA 126,HD 1011,8.0,4.00
OA 127,HD 1026,8.5,2.89
OA 129,HD 232143,9.5,2.14
OA 130,HD 1027,9.0,3.34
OA 133,HD 1033,8.5,59.39
OA 134,HD 1069,8.0,2.39
OA 135,HD 1070,7.0,1.87
OA 136,HD 1068,9.0,1.14
OA 138,HD 236356,9.0,2.78
OA 141,HD 232147,9.5,1.63
OA 142,HD 1080,8.5,2.43
OA 143,HD 1080,9.0,9.14
OA 145,HD 1098,9.0,2.28
OA 146,HD 232148,9.0,2.11
OA 147,HD 236358,9.0,2.04
OA 148,HD 232148,9.0,5.31
OA 149,HD 1109,8.0,4.35
OA 150,HD 1141,7.0,0.96
OA 151,HD 1128,7.0,1.02
OA 153,HD 236359,9.0,2.59
OA 154,HD 1142,7.0,1.66
OA 158,HD 236362,9.0,1.22
OA 160,HD 1177,8.5,8.88
OA 161,HD 1176,9.0,0.83
OA 162,HD 1201,9.0,0.75
OA 164,HD 1239,6.5,3.78
OA 165,HD 1241,6.5,2.57
OA 166,HD 1264,8.0,1.19
OA 169,HD 1279,6.5,2.56
OA 170,HD 1287,8.5,1.63
OA 171,HD 1287,9.0,2.17
OA 172,HD 1287,9.0,3.66
OA 173,HD 1276,9.0,5.05
OA 174,HD 1278,8.0,3.65
OA 177,HD 1307,9.0,1.79
OA 178,HD 1325,9.0,2.02
OA 179,HD 236367,9.0,1.57
OA 180,HD 1337,6.5,1.48
OA 181,HD 1336,9.0,4.05
OA 182,HD 1336,9.0,5.09
OA 183,HD 1336,8.0,6.98
OA 184,HD 1360,7.0,0.81
OA 186,HD 1383,8.5,1.28
OA 187,HD 1374,7.0,2.46
OA 188,HD 1384,8.0,3.98
OA 189,HD 1401,8.5,0.46
OA 190,HD 1400,7.0,2.32
OA 191,HD 1400,7.5,1.61
OA 192,HD 1400,7.5,2.60
OA 193,HD 236371,9.0,2.08
OA 195,HD 1426,8.0,2.87
OA 196,HD 1427,7.5,3.11
OA 200,HD 1447,8.5,2.27
OA 203,HD 1467,7.0,1.38
OA 205,HD 1457,8.0,2.76
OA 206,HD 1458,8.0,1.52
OA 207,HD 232155,9.0,5.52
OA 208,HD 1479,7.0,3.16
OA 209,HD 1478,7.5,0.50
OA 212,HD 236375,8.5,3.14
OA 213,HD 1500,8.5,0.19
OA 214,HD 232156,9.0,1.97
OA 215,HD 232156,9.5,2.88
OA 217,HD 1518,9.0,2.55
OA 218,HD 236377,9.0,2.29
OA 221,HD 1535,8.5,0.48
OA 222,HD 1535,8.5,1.29
OA 223,HD 232158,8.5,5.43
OA 224,HD 1545,7.0,5.79
OA 225,HD 1544,8.5,4.79
OA 226,HD 1544,8.5,0.53
OA 228,HD 1559,7.0,1.61
OA 229,HD 232159,9.0,3.40
OA 230,HD 1561,7.0,1.52
OA 231,HD 232160,9.0,3.03
OA 232,HD 1593,9.0,2.35
OA 233,HD 236380,9.5,2.97
OA 234,HD 232162,9.0,6.35
OA 236,HD 236382,8.5,3.23
OA 237,HD 1601,7.0,0.67
OA 238,HD 1613,7.5,4.25
OA 239,HD 1613,6.0,4.14
OA 240,HD 232163,9.0,0.57
OA 243,HD 1631,9.0,2.32
OA 244,HD 236385,9.0,2.95
OA 245,HD 1648,7.0,3.97
OA 248,HD 236386,9.0,3.79
OA 249,HD 1669,8.0,1.91
OA 251,HD 232165,9.0,5.64
OA 252,HD 232166,9.5,2.96
OA 253,HD 1697,8.0,0.34
OA 254,HD 1697,7.0,1.90
OA 255,HD 236387,9.0,1.85
OA 256,HD 1711,8.5,2.33
OA 257,HD 1710,7.5,2.63
OA 260,HD 1727,8.0,3.01
OA 262,HD 1733,8.5,2.41
OA 263,HD 1742,8.5,1.50
OA 264,HD 1743,8.5,1.42
OA 265,HD 1743,9.0,2.20
OA 267,HD 236388,9.0,3.41
OA 268,HD 236389,8.5,0.76
OA 270,HD 232167,9.0,3.80
OA 272,HD 1810,8.5,0.64
OA 273,HD 232169,9.0,4.24
OA 277,HD 1843,8.5,0.64
OA 278,HD 1844,6.5,1.26
OA 279,HD 1845,9.0,1.47
OA 281,HD 232174,8.5,4.18
OA 282,HD 1873,8.0,2.24
OA 283,HD 1901,8.5,2.67
OA 285,HD 236396,9.0,2.70
OA 288,HD 1928,9.0,2.23
OA 289,HD 236398,8.5,2.38
OA 290,HD 1929,8.5,2.22
OA 291,HD 1917,7.0,1.64
OA 292,HD 1927,8.5,2.15
OA 293,HD 1930,9.0,3.68
OA 294,HD 232176,9.0,0.85
OA 295,HD 1930,9.0,5.06
OA 296,HD 232177,9.0,2.82
OA 297,HD 1949,9.0,0.80
OA 299,HD 1940,8.5,4.26
OA 300,HD 1939,9.0,2.28
OA 301,HD 1950,7.0,0.60
OA 302,HD 1966,7.0,1.41
OA 305,HD 1976,6.5,4.32
OA 307,HD 1977,8.0,1.59
OA 308,HD 1975,8.5,3.81
OA 309,HD 232179,8.5,1.02
OA 310,HD 232181,9.0,4.62
OA 311,HD 2011,6.5,3.36
OA 312,HD 2011,5.0,5.14
OA 313,HD 2012,8.5,0.92
OA 316,HD 232183,9.5,3.96
OA 317,HD 2042,8.5,2.31
OA 318,HD 2033,8.0,2.92
OA 319,HD 2045,9.5,0.59
OA 322,HD 2083,7.0,4.47
OA 323,HD 232184,9.0,2.77
OA 325,HD 2110,7.5,1.16
OA 326,HD 2112,7.0,1.95
OA 327,HD 2112,6.0,3.11
OA 328,HD 2123,9.0,2.45
OA 329,HD 236405,9.0,1.72
OA 330,HD 2169,7.0,2.12
OA 331,HD 2137,8.5,3.12
OA 333,HD 232186,9.5,1.80
OA 338,HD 2152,7.0,2.61
OA 341,HD 2206,9.0,2.55
OA 342,HD 2188,8.5,2.51
OA 345,HD 2218,8.0,2.96
OA 346,HD 232187,9.0,1.32
OA 349,HD 236413,9.0,2.00
OA 350,HD 2254,8.0,2.76
OA 351,HD 236416,8.5,1.34
OA 353,HD 232188,9.0,2.58
OA 354,HD 232188,9.0,1.87
OA 355,HD 2283,8.5,5.06
OA 358,HD 2291,8.0,4.70
OA 359,HD 2291,7.0,0.51
OA 360,HD 2291,8.0,2.46
OA 361,HD 2290,9.0,1.56
OA 362,HD 2301,7.5,2.10
OA 366,HD 232190,9.0,2.30
OA 367,HD 236419,9.0,3.89
OA 369,HD 2398,9.0,1.34
OA 370,HD 232191,9.0,2.71
OA 371,HD 2388,8.0,1.37
OA 372,HD 2388,8.0,1.83
OA 378,HD 236423,9.0,0.56
OA 379,HD 2451,9.0,4.11
OA 380,HD 2443,8.0,2.98
OA 382,HD 2468,9.5,2.18
OA 383,HD 2469,7.0,2.52
OA 384,HD 2484,9.5,4.08
OA 386,HD 2485,8.5,4.25
OA 387,HD 2486,7.0,1.48
OA 388,HD 2520,8.5,0.52
OA 389,HD 232195,9.5,5.29
OA 390,HD 2549,9.0,2.31
OA 392,HD 2535,7.0,1.01
OA 393,HD 2535,7.5,2.42
OA 394,HD 2536,8.5,1.40
OA 395,HD 2589,6.5,2.50
OA 396,HD 232198,9.0,2.98
OA 397,HD 236424,8.5,3.26
OA 400,HD 2577,9.5,6.71
OA 401,HD 2577,9.0,1.73
OA 403,HD 2559,7.5,3.61
OA 404,HD 2560,9.0,3.56
OA 405,HD 2590,9.0,3.80
OA 406,HD 236429,9.0,1.78
OA 408,HD 2599,9.0,4.98
OA 412,HD 2619,8.5,2.23
OA 414,HD 2627,8.5,1.68
OA 416,HD 236440,8.0,1.53
OA 417,HD 2654,8.0,1.11
OA 418,HD 2663,7.0,1.26
OA 420,HD 2665,7.5,30.65
OA 421,HD 2664,9.0,2.21
OA 423,HD 236446,8.5,2.25
OA 426,HD 2709,9.0,1.62
OA 428,HD 2738,8.5,2.04
OA 429,HD 2710,8.0,0.65
OA 430,HD 2710,8.0,2.06
OA 431,HD 2729,6.5,2.95
OA 432,HD 2712,7.0,4.56
OA 433,HD 236445,9.0,2.62
OA 434,HD 236445,9.0,2.84
OA 436,HD 236448,9.0,1.77
OA 437,HD 2754,9.0,2.04
OA 438,HD 2745,8.5,1.36
OA 439,HD 236449,8.5,4.03
OA 441,HD 236450,9.0,3.21
OA 443,HD 232212,9.0,1.94
OA 445,HD 236451,9.0,3.04
OA 447,HD 2803,8.5,4.34
OA 448,HD 2774,5.0,2.46
OA 449,HD 2805,7.0,4.37
OA 451,HD 2804,7.5,2.56
OA 452,HD 2826,7.5,2.39
OA 454,HD 2836,8.0,1.70
OA 456,HD 2873,6.5,4.53
OA 457,HD 2904,6.0,1.30
OA 458,HD 2904,6.5,1.81
OA 459,HD 2905,5.0,0.21
OA 460,HD 2905,5.0,0.62
OA 461,HD 2905,4.0,2.67
OA 462,HD 2906,9.0,3.55
OA 463,HD 2907,9.0,2.44
OA 464,HD 2951,8.5,1.78
OA 465,HD 2928,9.0,5.23
OA 466,HD 2930,9.0,1.79
OA 467,HD 2930,9.0,4.97
OA 468,HD 2932,9.0,13.50
OA 470,HD 2929,9.0,2.64
OA 473,HD 232214,9.0,4.09
OA 475,HD 2974,8.0,2.01
OA 476,HD 2973,9.0,2.67
OA 477,HD 2973,8.5,2.45
OA 480,HD 3036,8.5,2.39
OA 481,HD 232216,9.0,3.34
OA 482,HD 3006,9.0,4.85
OA 483,HD 3049,9.5,2.28
OA 488,HD 3040,8.5,2.36
OA 489,HD 3067,8.5,2.42
OA 490,HD 3068,8.5,3.64
OA 491,HD 3068,8.5,6.41
OA 492,HD 3067,8.0,6.26
OA 497,HD 3097,8.5,2.18
OA 498,HD 3122,8.5,4.05
OA 499,HD 3123,8.0,1.78
OA 500,HD 3123,8.5,2.61
OA 501,HD 3124,8.5,3.91
OA 502,HD 232221,9.5,1.71
OA 504,HD 3140,8.5,3.10
OA 505,HD 3162,8.0,1.05
OA 506,HD 3148,8.5,4.18
OA 507,HD 236470,9.5,2.51
OA 508,HD 3149,7.5,4.03
OA 509,HD 3149,7.5,4.31
OA 510,HD 3163,8.5,1.11
OA 512,HD 3199,8.0,1.43
