index1,index2,mag,dist
OA 1,PPM 25041,8.5,3.10
OA 4,PPM 4298,8.5,1.47
OA 5,PPM 4298,7.5,0.17
OA 6,PPM 25042,8.0,1.80
OA 7,PPM 25042,8.5,3.98
OA 8,PPM 11954,6.5,2.10
OA 9,PPM 11954,7.0,2.97
OA 10,PPM 4299,7.0,0.76
OA 11,PPM 25044,9.5,5.91
OA 12,PPM 11956,8.5,0.92
OA 13,PPM 4300,9.0,0.96
OA 14,PPM 25046,8.5,5.81
OA 15,PPM 25048,9.5,4.39
OA 16,PPM 4301,9.0,0.85
OA 17,PPM 11958,8.5,3.06
OA 18,PPM 11959,9.5,3.38
OA 19,PPM 4304,7.0,2.46
OA 20,PPM 42620,8.0,1.48
OA 21,PPM 25052,9.0,0.95
OA 22,PPM 11961,7.5,3.52
OA 23,PPM 11962,9.0,4.98
OA 24,PPM 11963,8.5,2.85
OA 25,PPM 11963,8.5,2.51
OA 26,PPM 42628,7.0,3.90
OA 27,PPM 25061,9.5,1.80
OA 28,PPM 4306,9.5,6.96
OA 29,PPM 4307,9.0,1.62
OA 30,PPM 4307,8.5,2.96
OA 31,PPM 11965,9.0,2.30
OA 32,PPM 11966,9.0,2.78
OA 33,PPM 25069,8.0,7.16
OA 34,PPM 400005,7.0,1.53
OA 35,PPM 25071,8.5,2.08
OA 36,PPM 4308,8.5,1.69
OA 37,PPM 4308,8.5,0.62
OA 38,PPM 11972,9.0,2.94
OA 39,PPM 25073,9.0,4.96
OA 40,PPM 11971,8.0,3.89
OA 41,PPM 11973,7.0,2.07
OA 42,PPM 25075,7.0,5.02
OA 43,PPM 42644,8.5,0.28
OA 44,PPM 42645,5.0,0.21
OA 45,PPM 42648,8.5,1.95
OA 46,PPM 25082,7.0,1.21
OA 47,PPM 25084,6.5,1.68
OA 48,PPM 25083,8.0,3.81
OA 49,PPM 25085,9.0,4.02
OA 50,PPM 11980,9.0,3.34
OA 51,PPM 42653,9.0,1.83
OA 52,PPM 25093,9.0,1.87
OA 53,PPM 11982,9.0,3.93
OA 54,PPM 25094,8.5,3.61
OA 55,PPM 4311,9.5,1.07
OA 56,PPM 25095,7.5,4.07
OA 57,PPM 11983,9.0,0.80
OA 58,PPM 11983,8.0,4.43
OA 59,PPM 11983,8.5,2.21
OA 60,PPM 25096,9.0,3.01
OA 61,PPM 25097,9.0,4.12
OA 62,PPM 42658,9.0,1.44
OA 63,PPM 4312,7.0,0.78
OA 64,PPM 4312,7.5,0.77
OA 65,PPM 42661,8.5,9.93
OA 66,PPM 25100,9.0,1.57
OA 67,PPM 42663,8.0,2.79
