index1,index2,mag,dist
SOM 1,HD 448,5.8,9.11
SOM 2,HD 560,5.5,6.54
SOM 3,HD 1013,5.2,2.30
SOM 4,HD 1061,5.8,7.61
SOM 5,HD 1317,6.9,1.94
SOM 6,HD 1375,6.8,17.70
SOM 7,HD 1419,6.1,26.58
SOM 8,HD 1635,5.3,3.01
SOM 9,HD 1663,6.5,6.72
SOM 10,HD 1662,7.2,4.72
SOM 11,HD 1796,6.4,7.45
SOM 12,HD 2035,6.6,2.79
SOM 13,HD 2140,6.9,3.41
SOM 14,HD 2358,6.7,2.49
SOM 15,HD 2411,5.4,1.56
SOM 16,HD 2454,6.1,18.19
SOM 17,HD 2792,7.0,10.40
SOM 18,HD 2816,7.3,11.32
SOM 19,HD 2913,5.8,1.97
SOM 20,HD 2994,7.6,4.83
SOM 21,HD 3087,7.5,4.67
SOM 22,HD 3088,7.0,1.98
SOM 23,HD 3268,6.4,17.67
SOM 24,HD 3379,5.8,5.43
SOM 25,HD 3434,6.9,8.09
SOM 26,HD 4526,6.2,3.82
SOM 27,HD 4627,6.0,4.41
SOM 28,HD 4628,5.9,17.22
SOM 29,HD 4935,6.8,3.60
SOM 30,HD 5038,7.2,3.55
SOM 31,HD 5418,6.5,4.41
SOM 32,HD 5612,6.4,0.37
SOM 33,HD 5654,6.8,9.55
SOM 34a,HD 6479,5.9,4.96
SOM 34b,HD 6480,5.9,5.24
SOM 35,HD 6614,7.2,1.74
SOM 36,HD 6763,5.5,2.59
SOM 37,HD 6966,6.2,14.17
SOM 38,HD 7107,6.6,0.94
SOM 39,HD 7193,6.9,4.29
SOM 40,HD 7804,5.2,3.66
SOM 41,HD 8949,5.9,6.33
SOM 42,HD 9024,6.6,5.08
SOM 43,HD 9138,5.0,2.86
SOM 44,HD 9496,6.7,2.44
SOM 45,HD 9657,7.2,5.05
SOM 46,HD 9766,6.4,7.11
SOM 47,HD 9817,7.0,8.36
SOM 48,HD 9889,6.7,8.88
SOM 49,HD 9919,5.5,10.55
SOM 50,HD 10135,7.2,9.80
SOM 51,HD 10262,6.5,4.90
SOM 52,HD 10502,7.3,8.78
SOM 53,HD 10761,4.3,5.73
SOM 54,HD 10783,6.7,4.02
SOM 55,HD 10894,7.1,5.01
SOM 56,HD 11049,7.3,6.59
SOM 57,HD 11257,6.2,5.12
SOM 59,HD 11520,7.2,0.79
SOM 60,HD 11559,4.7,1.63
SOM 61,HD 11592,7.0,21.71
SOM 62,HD 11636,2.7,3.80
SOM 63,HD 11637,7.6,7.89
SOM 64,HD 11640,6.8,4.17
SOM 65,HD 12446,3.8,1.28
SOM 66,HD 12512,6.8,7.79
SOM 67,HD 12640,7.2,6.87
SOM 68,HD 12814,6.9,24.11
SOM 69,HD 14951,5.6,5.49
SOM 70,HD 15165,6.7,5.32
SOM 71,HD 15228,6.7,24.17
SOM 72,HD 15318,4.4,2.83
SOM 73,HD 15453,6.4,1.24
SOM 74,HD 15942,7.6,27.74
SOM 75,HD 15983,7.0,14.91
SOM 76,HD 16161,5.1,1.52
SOM 77,HD 16234,5.9,2.29
SOM 78,HD 16247,5.6,2.42
SOM 79,HD 16399,6.5,6.95
SOM 80,HD 16582,4.0,6.80
SOM 81,HD 16647,6.4,4.30
SOM 82,HD 16861,6.5,8.69
SOM 84,HD 17036,6.0,10.44
SOM 85,HD 17093,5.4,15.55
SOM 86,HD 17414,7.3,3.25
SOM 87,HD 17543,5.5,2.71
SOM 88,HD 17769,5.7,8.66
SOM 89,HD 17986,6.9,7.74
SOM 90,HD 18059,7.2,2.33
SOM 91,HD 18258,7.5,4.43
SOM 92,HD 18262,6.3,5.34
SOM 93,HD 18519,5.0,3.91
SOM 94,HD 18570,7.2,6.76
SOM 95,HD 18604,4.8,1.62
SOM 96,HD 18700,6.4,36.42
SOM 97,HD 19270,6.0,5.00
SOM 98,HD 19525,6.6,4.88
SOM 99,HD 19698,6.2,5.54
SOM 100,HD 19789,6.4,3.41
SOM 101,HD 19926,6.1,7.86
SOM 102,HD 20150,5.2,1.74
SOM 103,HD 20402,7.0,14.89
SOM 105,HD 20656,7.4,4.47
SOM 106,HD 21051,6.3,6.57
SOM 107,HD 21120,3.4,4.50
SOM 108,HD 21364,3.5,4.30
SOM 109,HD 21379,6.5,9.62
SOM 110,HD 21524,7.0,6.45
SOM 111,HD 21686,5.6,8.91
SOM 112,HD 21754,4.3,5.54
SOM 113,HD 21755,6.3,3.70
SOM 115,HD 21933,6.0,4.11
SOM 116,HD 22017,7.2,3.95
SOM 117,HD 22211,6.8,9.52
SOM 118,HD 22796,6.1,8.12
SOM 119,HD 22965,7.7,7.43
SOM 120,HD 23466,5.7,1.50
SOM 121,HD 23793,5.3,2.27
SOM 122,HD 23841,6.8,11.65
SOM 123,HD 24155,6.4,8.75
SOM 124,HD 24263,5.9,5.84
SOM 125,HD 24400,7.9,5.07
SOM 126,HD 24573,7.7,7.22
SOM 127,HD 24817,6.4,4.92
SOM 128,HD 25049,7.2,9.51
SOM 129,HD 25102,6.6,7.83
SOM 130,HD 25330,5.9,3.16
SOM 131,HD 25463,7.0,25.86
SOM 132,HD 25490,3.9,7.01
SOM 133,HD 25570,5.9,9.10
SOM 134,HD 25621,5.9,14.59
SOM 135,HD 25800,6.9,7.27
SOM 136,HD 26163,7.1,5.47
SOM 137,HD 26171,6.2,4.92
SOM 138,HD 26690,5.9,4.57
SOM 139,HD 26703,6.6,5.90
SOM 140,HD 26749,7.0,12.96
SOM 141,HD 26912,4.4,12.62
SOM 142a,HD 26913,6.4,5.28
SOM 142b,HD 26923,6.4,7.01
SOM 143,HD 27236,6.7,2.31
SOM 144,HD 27386,6.7,15.07
SOM 145,HD 27497,6.2,9.97
SOM 146,HD 27762,6.7,5.64
SOM 147,HD 27860,6.7,6.23
SOM 148,HD 28217,6.3,2.63
SOM 149,HD 28355,5.5,1.34
SOM 150,HD 28630,7.0,9.36
SOM 151,HD 28911,6.8,9.38
SOM 152,HD 28910,5.1,4.43
SOM 153,HD 28930,6.6,4.10
SOM 154,HD 28978,6.0,7.27
SOM 155,HD 29140,4.6,6.21
SOM 156,HD 29207,6.9,8.43
SOM 157,HD 29388,4.5,3.48
SOM 158,HD 29497,7.5,7.76
SOM 159,HD 29499,5.8,3.44
SOM 160,HD 29819,6.9,7.73
SOM 161,HD 30034,5.9,2.44
SOM 162,HD 30365,7.0,2.09
SOM 163,HD 30652,3.2,19.13
SOM 164,HD 30739,4.7,1.91
SOM 165,HD 30780,5.6,10.28
SOM 166,HD 30810,7.0,13.38
SOM 167,HD 30836,3.7,2.01
SOM 168,HD 30869,6.6,11.65
SOM 169,HD 30870,6.3,21.55
SOM 170,HD 31237,3.7,9.42
SOM 171a,HD 32039,6.2,22.11
SOM 171b,HD 32040,6.2,13.39
SOM 172,HD 32304,6.8,16.47
SOM 173,HD 32577,7.1,5.30
SOM 174,HD 33021,6.5,19.22
SOM 175,HD 33020,7.0,2.93
SOM 176,HD 33054,5.9,9.38
SOM 177,HD 33254,5.9,19.99
SOM 178,HD 33336,6.8,4.06
SOM 179,HD 33856,5.1,8.45
SOM 180,HD 34203,5.9,8.18
SOM 181,HD 34658,5.9,1.75
SOM 182,HD 34855,6.7,2.05
SOM 183,HD 34989,6.1,34.57
SOM 184,HD 35149,5.2,2.56
SOM 185,HD 35439,5.4,7.13
SOM 186,HD 35715,5.0,6.26
SOM 187,HD 36267,4.8,9.27
SOM 188,HD 36824,6.9,4.42
SOM 189,HD 36861,3.5,2.95
SOM 190,HD 37171,6.6,8.44
SOM 191,HD 37490,5.0,2.58
SOM 192,HD 38527,6.2,7.01
SOM 193,HD 38710,5.9,3.91
SOM 194,HD 38899,5.1,17.22
SOM 195,HD 39007,6.2,8.94
SOM 196,HD 39317,6.0,3.70
SOM 197,HD 39632,6.7,6.78
SOM 198,HD 39985,6.4,2.15
SOM 199,HD 40020,6.5,6.68
SOM 200,HD 40369,6.2,4.40
SOM 201,HD 40491,7.5,3.62
SOM 202,HD 40932,4.7,5.96
SOM 203,HD 41079,7.4,6.74
SOM 204,HD 41076,6.5,5.00
SOM 205,HD 41361,6.3,3.21
SOM 206,HD 41753,4.7,1.37
SOM 207,HD 42035,6.8,5.11
SOM 208,HD 42509,6.3,4.42
SOM 209,HD 42560,4.7,0.44
SOM 210,HD 42545,5.5,2.92
SOM 211,HD 43042,5.7,6.19
SOM 212,HD 43112,6.6,4.11
SOM 213,HD 43153,5.9,5.85
SOM 214,HD 43285,6.5,5.13
SOM 215,HD 43525,5.9,3.66
SOM 216,HD 43526,6.8,6.22
SOM 217,HD 43587,6.5,8.28
SOM 218a,HD 43931,6.9,3.80
SOM 218b,HD 43930,6.9,10.31
SOM 219,HD 44109,7.0,6.48
