index1,index2,mag,dist
SOM 1,PPM 116172,5.8,9.11
SOM 2,PPM 116192,5.5,6.54
SOM 3,PPM 89542,5.2,2.30
SOM 4,PPM 143293,5.8,7.61
SOM 5,PPM 143338,6.9,1.94
SOM 6,PPM 116314,6.8,17.70
SOM 7,PPM 116319,6.1,26.58
SOM 8,PPM 143399,5.3,3.01
SOM 9,PPM 116363,6.5,6.72
SOM 10,PPM 116365,7.2,4.72
SOM 11,PPM 116394,6.4,7.45
SOM 12,PPM 116422,6.6,2.79
SOM 13,PPM 143484,6.9,3.41
SOM 14,PPM 116467,6.7,2.49
SOM 15,PPM 116478,5.4,1.56
SOM 16,PPM 116483,6.1,18.19
SOM 17,PPM 116537,7.0,10.40
SOM 18,PPM 116542,7.3,11.32
SOM 19,PPM 143599,5.8,1.97
SOM 20,PPM 116573,7.6,4.83
SOM 21,PPM 116584,7.5,4.67
SOM 22,PPM 116583,7.0,1.98
SOM 23,PPM 116613,6.4,17.67
SOM 24,PPM 116623,5.8,5.43
SOM 25,PPM 116635,6.9,8.09
SOM 26,PPM 143892,6.2,3.82
SOM 27,PPM 143908,6.0,4.41
SOM 28,PPM 143910,5.9,17.22
SOM 29,PPM 116832,6.8,3.60
SOM 30,PPM 116841,7.2,3.55
SOM 31,PPM 116896,6.5,4.41
SOM 32,PPM 116929,6.4,0.37
SOM 33,PPM 144111,6.8,9.55
SOM 34a,PPM 144254,5.9,4.96
SOM 34b,PPM 144256,5.9,5.24
SOM 35,PPM 117057,7.2,1.74
SOM 36,PPM 144301,5.5,2.59
SOM 37,PPM 117098,6.2,14.17
SOM 38,PPM 117123,6.6,0.94
SOM 39,PPM 117134,6.9,4.29
SOM 40,PPM 144457,5.2,3.66
SOM 41,PPM 144642,5.9,6.33
SOM 42,PPM 144653,6.6,5.08
SOM 43,PPM 144670,5.0,2.86
SOM 44,PPM 144733,6.7,2.44
SOM 45,PPM 144767,7.2,5.05
SOM 46,PPM 117482,6.4,7.11
SOM 47,PPM 144786,7.0,8.36
SOM 48,PPM 144801,6.7,8.88
SOM 49,PPM 117498,5.5,10.55
SOM 50,PPM 117540,7.2,9.80
SOM 51,PPM 144862,6.5,4.90
SOM 52,PPM 117596,7.3,8.78
SOM 53,PPM 144950,4.3,5.73
SOM 54,PPM 144954,6.7,4.02
SOM 55,PPM 117669,7.1,5.01
