index1,index2,mag,dist
SOM 1,SAO 91734,5.8,9.11
SOM 2,SAO 91750,5.5,6.54
SOM 3,SAO 91792,5.2,2.30
SOM 4,SAO 109087,5.8,7.61
SOM 5,SAO 109111,6.9,1.94
SOM 6,SAO 91828,6.8,17.70
SOM 7,SAO 91832,6.1,26.58
SOM 8,SAO 109152,5.3,3.01
SOM 9,SAO 91858,6.5,6.72
SOM 10,SAO 91859,7.2,4.72
SOM 11,SAO 91866,6.4,7.45
SOM 12,SAO 91881,6.6,2.79
SOM 13,SAO 109195,6.9,3.41
SOM 14,SAO 91903,6.7,2.49
SOM 15,SAO 91910,5.4,1.56
SOM 16,SAO 109224,6.1,18.19
SOM 17,SAO 91941,7.0,10.40
SOM 18,SAO 91945,7.3,11.32
SOM 19,SAO 109262,5.8,1.97
SOM 20,SAO 91965,7.6,4.83
SOM 21,SAO 91972,7.5,4.67
SOM 22,SAO 91971,7.0,1.98
SOM 23,SAO 91990,6.4,17.67
SOM 24,SAO 91995,5.8,5.43
SOM 25,SAO 92001,6.9,8.09
SOM 26,SAO 109461,6.2,3.82
SOM 27,SAO 109470,6.0,4.41
SOM 28,SAO 109471,5.9,17.22
SOM 29,SAO 92123,6.8,3.60
SOM 30,SAO 92128,7.2,3.55
SOM 31,SAO 92159,6.5,4.41
SOM 32,SAO 92183,6.4,0.37
SOM 33,SAO 109563,6.8,9.55
SOM 34a,SAO 109666,5.9,4.96
SOM 34b,SAO 109667,5.9,5.24
SOM 35,SAO 92255,7.2,1.74
SOM 36,SAO 109697,5.5,2.59
SOM 37,SAO 92288,6.2,14.17
SOM 38,SAO 92304,6.6,0.94
SOM 39,SAO 92310,6.9,4.29
SOM 40,SAO 109793,5.2,3.66
SOM 41,SAO 109907,5.9,6.33
SOM 42,SAO 109916,6.6,5.08
SOM 43,SAO 109926,5.0,2.86
SOM 44,SAO 109964,6.7,2.44
SOM 45,SAO 109990,7.2,5.05
SOM 46,SAO 92530,6.4,7.11
SOM 47,SAO 110001,7.0,8.36
SOM 48,SAO 110011,6.7,8.88
SOM 49,SAO 92536,5.5,10.55
SOM 50,SAO 92556,7.2,9.80
SOM 51,SAO 110046,6.5,4.90
SOM 52,SAO 110082,7.3,8.78
SOM 53,SAO 110110,4.3,5.73
SOM 54,SAO 110111,6.7,4.02
SOM 55,SAO 92628,7.1,5.01
SOM 56,SAO 110142,7.3,6.59
SOM 57,SAO 92659,6.2,5.12
SOM 59,SAO 92682,7.2,0.79
SOM 60,SAO 110206,4.7,1.63
SOM 61,SAO 92688,7.0,21.71
SOM 62,SAO 75012,2.7,3.80
SOM 63,SAO 92689,7.6,7.89
SOM 64,SAO 110214,6.8,4.17
SOM 65,SAO 110291,3.8,1.28
SOM 66,SAO 92768,6.8,7.79
SOM 67,SAO 110316,7.2,6.87
SOM 68,SAO 110332,6.9,24.11
SOM 69,SAO 92932,5.6,5.49
SOM 70,SAO 92952,6.7,5.32
SOM 71,SAO 110537,6.7,24.17
SOM 72,SAO 110543,4.4,2.83
SOM 73,SAO 110565,6.4,1.24
SOM 74,SAO 93004,7.6,27.74
SOM 75,SAO 93006,7.0,14.91
SOM 76,SAO 110635,5.1,1.52
SOM 77,SAO 93022,5.9,2.29
SOM 78,SAO 110640,5.6,2.42
SOM 79,SAO 110653,6.5,6.95
SOM 80,SAO 110665,4.0,6.80
SOM 81,SAO 110673,6.4,4.30
SOM 82,SAO 93067,6.5,8.69
SOM 84,SAO 93082,6.0,10.44
SOM 85,SAO 93083,5.4,15.55
SOM 86,SAO 93113,7.3,3.25
SOM 87,SAO 93127,5.5,2.71
SOM 88,SAO 93144,5.7,8.66
SOM 89,SAO 110817,6.9,7.74
SOM 90,SAO 110823,7.2,2.33
SOM 91,SAO 110849,7.5,4.43
SOM 92,SAO 110851,6.3,5.34
SOM 93,SAO 75673,5.0,3.91
SOM 94,SAO 110883,7.2,6.76
SOM 95,SAO 110889,4.8,1.62
SOM 96,SAO 93232,6.4,36.42
SOM 97,SAO 93276,6.0,5.00
SOM 98,SAO 111002,6.6,4.88
SOM 99,SAO 93320,6.2,5.54
SOM 100,SAO 93327,6.4,3.41
SOM 101,SAO 111044,6.1,7.86
SOM 102,SAO 75810,5.2,1.74
SOM 103,SAO 111096,7.0,14.89
SOM 105,SAO 93387,7.4,4.47
SOM 106,SAO 93416,6.3,6.57
SOM 107,SAO 111172,3.4,4.50
SOM 108,SAO 111195,3.5,4.30
SOM 109,SAO 93439,6.5,9.62
SOM 110,SAO 93448,7.0,6.45
SOM 111,SAO 93463,5.6,8.91
SOM 112,SAO 93469,4.3,5.54
SOM 113,SAO 111230,6.3,3.70
SOM 115,SAO 111246,6.0,4.11
SOM 116,SAO 93487,7.2,3.95
SOM 117,SAO 111273,6.8,9.52
SOM 118,SAO 111334,6.1,8.12
SOM 119,SAO 111356,7.7,7.43
SOM 120,SAO 111400,5.7,1.50
SOM 121,SAO 93611,5.3,2.27
SOM 122,SAO 111430,6.8,11.65
SOM 123,SAO 93637,6.4,8.75
SOM 124,SAO 111469,5.9,5.84
SOM 125,SAO 111476,7.9,5.07
SOM 126,SAO 111494,7.7,7.22
SOM 127,SAO 111516,6.4,4.92
SOM 128,SAO 93705,7.2,9.51
SOM 129,SAO 93710,6.6,7.83
SOM 130,SAO 111566,5.9,3.16
SOM 131,SAO 111577,7.0,25.86
SOM 132,SAO 111579,3.9,7.01
SOM 133,SAO 111586,5.9,9.10
SOM 134,SAO 111590,5.9,14.59
SOM 135,SAO 111597,6.9,7.27
SOM 136,SAO 111624,7.1,5.47
SOM 137,SAO 93784,6.2,4.92
SOM 138,SAO 111672,5.9,4.57
SOM 139,SAO 93823,6.6,5.90
SOM 140,SAO 93827,7.0,12.96
SOM 141,SAO 111696,4.4,12.62
SOM 142a,SAO 111695,6.4,5.28
SOM 142b,SAO 111698,6.4,7.01
SOM 143,SAO 111729,6.7,2.31
SOM 144,SAO 93866,6.7,15.07
SOM 145,SAO 111756,6.2,9.97
SOM 146,SAO 93899,6.7,5.64
SOM 147,SAO 93912,6.7,6.23
SOM 148,SAO 93943,6.3,2.63
SOM 149,SAO 93960,5.5,1.34
SOM 150,SAO 111863,7.0,9.36
SOM 151,SAO 94006,6.8,9.38
