index1,index2,mag,dist
St 1,HD 142,6.0,2.13
St 2,HD 151,7.0,1.41
St 3,HD 190,7.0,0.65
St 4,HD 203,6.7,0.88
St 5,HD 213,7.0,0.46
St 6,HD 243,7.0,1.85
St 7,HD 259,7.8,1.24
St 8,HD 268,7.0,2.02
St 9,HD 276,7.0,1.91
St 10,HD 273,7.6,0.33
St 11,HD 285,7.0,0.94
St 12,HD 310,7.0,0.65
St 13,HD 319,7.0,1.63
St 14,HD 323,7.6,0.20
St 15,HD 344,6.5,0.45
St 16,HD 352,7.0,1.71
St 17,HD 368,7.0,1.07
St 18,HD 369,6.7,0.70
St 19,HD 358,2.0,0.82
St 20,HD 385,7.0,1.23
St 21,HD 427,7.0,0.36
St 22,HD 442,7.0,0.68
St 23,HD 437,7.0,1.02
St 24,HD 457,7.0,0.19
St 25,HD 469,6.5,0.80
St 26,HD 493,6.5,1.99
St 27,HD 496,4.0,0.25
St 28,HD 537,7.0,1.10
St 29,HD 536,7.8,1.21
St 30,HD 562,7.8,1.47
St 31,HD 565,6.0,1.09
St 32,HD 563,7.6,1.66
St 33,HD 587,7.6,0.55
St 34,HD 610,6.7,1.22
St 35,HD 626,6.7,0.39
St 36,HD 646,7.6,1.77
St 37,HD 636,5.6,1.35
St 38,HD 656,7.6,1.32
St 39,HD 659,7.8,0.45
St 41,HD 693,6.0,0.50
St 42,HD 706,7.0,0.22
St 43,HD 720,6.0,1.46
St 44,HD 740,7.0,0.38
St 45,HD 739,5.6,1.38
St 46,HD 770,6.7,0.79
St 47,HD 790,7.0,0.56
St 48,HD 783,7.6,0.57
St 49,HD 791,7.0,0.49
St 50,HD 798,7.8,1.99
St 51,HD 793,7.0,3.47
St 52,HD 834,7.0,1.22
St 53,HD 845,7.0,0.82
St 54,HD 870,7.6,1.62
St 55,HD 877,7.0,0.96
St 56,HD 886,4.0,0.12
St 57,HD 892,7.8,1.14
St 58,HD 903,7.0,0.57
St 59,HD 901,7.0,0.46
St 60,HD 902,7.6,0.17
St 61,HD 942,6.7,1.46
St 62,HD 941,7.0,0.15
St 63,HD 943,6.0,1.07
St 64,HD 957,7.6,1.58
St 65,HD 980,6.7,1.37
St 66,HD 991,7.0,0.27
St 67,HD 1004,6.0,0.84
St 68,HD 1025,7.6,1.87
St 69,HD 1020,7.0,0.92
St 70,HD 1038,5.6,1.18
St 71,HD 1066,6.7,0.44
St 72,HD 1032,6.0,1.82
St 73,HD 1064,6.0,1.07
St 74,HD 1078,7.8,1.44
St 75,HD 1089,6.0,1.22
St 76,HD 1116,7.0,2.24
St 77,HD 1138,7.0,0.97
St 78,HD 1155,7.8,0.67
St 79,HD 1187,6.0,1.99
St 80,HD 1199,7.8,0.88
St 81,HD 1218,7.0,0.69
St 82,HD 1221,6.7,2.35
St 83,HD 1233,7.0,1.31
St 84,HD 1237,6.7,1.96
St 85,HD 1250,7.0,0.28
St 86,HD 1259,6.7,0.78
St 87,HD 1261,7.6,0.82
St 88,HD 1260,7.0,1.27
St 89,HD 1271,7.0,1.86
St 90,HD 1272,7.0,0.34
St 91,HD 1273,6.7,2.19
St 92,HD 1324,6.7,0.96
St 93,HD 1397,7.8,0.54
St 94,HD 1434,6.7,1.79
St 95,HD 1444,7.0,1.83
St 96,HD 1452,7.6,0.47
St 97,HD 1474,7.0,1.84
St 98,HD 1455,7.0,0.89
St 99,HD 1483,6.7,0.24
St 100,HD 1348,6.7,0.38
St 101,HD 1522,3.4,0.89
St 102,HD 1530,7.0,1.62
St 103,HD 1531,7.0,0.65
St 104,HD 1532,7.0,1.29
St 105,HD 1551,7.0,0.78
St 106,HD 1550,7.6,0.99
St 107,HD 1581,4.0,0.76
St 108,HD 1558,7.6,1.06
St 109,HD 1611,7.0,0.92
St 110,HD 1667,7.6,1.22
St 111,HD 1674,7.8,0.49
St 112,HD 1683,6.7,1.07
St 113,HD 1682,7.0,0.93
St 114,HD 1685,5.4,0.28
St 115,HD 1686,7.0,1.32
St 116,HD 1707,7.8,1.67
St 117,HD 1721,7.6,1.55
St 118,HD 1737,5.0,2.26
St 119,HD 1763,7.8,1.12
St 120,HD 1766,7.0,0.91
St 121,HD 1777,7.0,0.79
St 122,HD 1791,7.8,1.80
St 123,HD 1801,6.0,0.89
St 124,HD 1817,6.7,0.69
St 125,HD 1835,7.6,0.76
St 126,HD 1854,7.0,1.89
St 127,HD 1860,6.7,1.57
St 128,HD 1856,6.7,0.96
St 129,HD 1855,7.0,1.05
St 130,HD 1909,6.7,2.57
St 131,HD 1912,7.0,1.00
St 132,HD 1923,6.7,0.63
St 133,HD 1948,7.0,1.11
St 134,HD 1963,7.0,0.24
St 135,HD 1973,7.6,0.62
St 136,HD 1974,7.0,1.59
St 137,HD 1999,7.8,2.07
St 138,HD 2002,7.0,1.23
St 139,HD 2023,6.7,1.11
St 140,HD 2029,7.0,0.15
St 142,HD 2070,6.7,1.37
St 143,HD 2071,7.0,1.19
St 144,HD 2088,7.0,0.69
St 145,HD 2098,7.0,0.08
St 146,HD 2151,3.0,0.61
St 147,HD 2132,6.7,0.32
St 148,HD 2178,7.0,1.11
St 149,HD 2199,7.6,0.85
St 150,HD 2203,7.6,0.69
St 151,HD 2224,7.0,1.10
St 152,HD 2257,7.0,1.32
St 153,HD 2262,4.0,1.82
St 154,HD 2259,7.0,0.61
St 155,HD 2261,2.0,1.52
St 156,HD 2273,6.7,2.04
St 157,HD 2324,7.0,0.91
St 158,HD 2363,6.0,2.46
St 159,HD 2354,6.7,0.37
St 160,HD 2376,7.0,1.08
St 161,HD 2381,7.0,0.96
St 162,HD 2417,7.8,0.86
St 163,HD 2429,5.0,0.75
St 164,HD 2455,7.0,2.10
St 165,HD 2458,7.6,0.94
St 166,HD 2477,7.0,0.60
St 167,HD 2482,7.6,0.76
St 168,HD 2490,6.0,1.28
St 169,HD 2527,7.0,0.57
St 170,HD 2529,6.0,0.72
St 171,HD 2530,7.0,0.99
St 172,HD 2519,7.0,0.88
St 173,HD 2608,6.7,0.99
St 174,HD 2615,7.0,1.34
St 175,HD 2629,7.0,2.80
St 176,HD 2630,6.7,1.84
St 177,HD 2632,7.6,1.74
St 178,HD 2637,6.0,0.56
St 179,HD 2696,6.0,0.65
St 180,HD 2698,7.0,1.20
St 181,HD 2724,5.6,0.79
St 182,HD 2723,6.7,0.68
St 183,HD 2726,6.0,0.76
St 184,HD 2751,7.0,2.50
St 185,HD 2811,7.0,1.44
St 186,HD 2822,7.0,1.10
St 187,HD 2834,5.0,1.16
St 188,HD 2848,7.0,0.74
St 189,HD 2871,7.0,0.56
St 190,HD 2884,4.0,0.28
St 191,HD 2885,4.0,0.11
St 192,HD 2916,7.0,1.57
St 193,HD 2947,7.0,1.76
St 194,HD 3003,5.0,0.81
St 195,HD 3045,7.0,2.58
St 196,HD 3047,7.0,2.57
St 197,HD 3059,6.5,0.51
St 198,HD 3061,7.0,0.52
St 199,HD 3074,7.6,2.65
St 200,HD 3075,7.6,1.39
St 201,HD 3085,7.0,0.81
St 202,HD 3092,7.8,1.17
St 203,HD 3093,7.0,1.03
St 204,HD 3101,7.8,0.80
St 205,HD 3112,5.6,1.81
St 206,HD 3125,7.6,1.90
St 207,HD 3128,7.0,1.50
St 208,HD 3121,7.8,1.54
St 209,HD 3136,7.6,1.92
St 210,HD 3145,6.7,1.29
St 211,HD 3158,5.0,0.02
St 212,HD 3173,7.0,0.76
St 213,HD 3196,6.0,0.74
St 214,HD 3187,7.8,1.36
St 215,HD 3229,6.7,1.63
St 216,HD 3245,7.0,1.28
St 217,HD 3277,7.0,0.49
St 218,HD 3303,5.6,1.37
St 219,HD 3302,5.6,0.67
St 220,HD 3326,6.0,1.52
St 221,HD 3359,7.8,1.71
St 222,HD 3375,7.6,0.37
St 223,HD 3405,6.7,0.49
St 224,HD 3426,8.7,1.77
St 225,HD 3443,6.0,1.86
St 226,HD 3444,6.0,0.61
St 228,HD 3460,7.0,1.69
St 229,HD 3463,7.0,0.65
St 230,HD 3488,6.0,1.27
St 231,HD 3512,7.6,0.35
St 232,HD 3509,7.0,0.54
St 233,HD 3546,4.0,0.74
St 234,HD 3552,7.0,0.36
St 235,HD 3528,6.7,1.07
St 236,HD 3562,7.0,0.56
St 237,HD 3598,7.0,0.59
St 238,HD 3605,7.6,0.72
St 239,HD 3601,7.0,1.98
St 240,HD 3646,7.0,0.93
St 241,HD 3666,7.0,0.90
St 242,HD 3689,7.0,1.70
St 243,HD 3698,6.7,1.14
St 244,HD 3719,6.7,1.46
St 245,HD 3737,7.8,2.32
St 246,HD 3735,7.6,1.31
St 247,HD 3750,6.0,1.99
St 248,HD 3762,7.8,1.85
St 249,HD 3795,6.7,2.18
St 250,HD 3797,7.8,1.65
St 251,HD 3807,6.0,0.38
St 252,HD 3809,7.6,0.99
St 253,HD 3823,5.0,0.99
St 254,HD 3853,7.0,1.96
St 255,HD 3867,6.7,1.76
St 256,HD 3888,7.6,0.16
St 257,HD 3880,7.0,0.27
St 258,HD 3919,4.0,1.11
St 259,HD 3922,7.0,0.58
St 260,HD 3975,7.6,1.83
St 261,HD 3979,6.7,0.31
St 262,HD 3980,5.6,0.73
St 263,HD 3948,7.0,1.55
St 264,HD 3913,7.0,0.25
St 267,HD 4036,7.0,1.96
St 268,HD 4053,6.7,2.23
St 269,HD 3988,7.0,0.52
St 270,HD 4061,7.6,1.83
St 271,HD 4065,5.6,0.69
St 272,HD 4082,7.0,1.47
St 273,HD 4083,7.0,0.30
St 274,HD 4088,6.0,0.82
St 275,HD 4089,5.4,0.73
St 276,HD 4113,7.0,0.60
St 277,HD 4128,2.0,0.93
St 278,HD 4125,6.0,0.64
St 279,HD 4130,7.6,0.68
St 280,HD 4150,5.0,1.26
St 281,HD 4169,7.0,0.69
St 282,HD 4188,5.0,0.46
St 283,HD 4211,5.6,0.80
St 284,HD 4228,6.7,1.04
St 285,HD 4251,7.0,0.19
St 286,HD 4247,6.5,0.61
St 287,HD 4152,7.0,0.79
St 288,HD 4261,7.0,2.07
St 289,HD 4262,7.8,0.72
St 290,HD 4263,7.8,0.89
St 291,HD 4271,7.0,1.74
St 292,HD 4265,7.0,1.71
St 293,HD 4293,5.6,0.54
St 294,HD 4301,7.6,0.29
St 295,HD 4307,6.0,1.21
St 296,HD 4304,6.5,0.89
St 297,HD 4308,6.0,3.04
St 298,HD 4309,7.0,0.64
St 299,HD 4343,7.0,1.40
St 300,HD 4229,6.7,0.60
St 301,HD 4333,7.0,1.05
St 302,HD 4357,7.0,0.89
St 304,HD 4369,7.8,1.21
St 305,HD 4391,6.0,0.76
St 306,HD 4398,6.7,0.82
St 307,HD 4471,7.6,0.75
St 308,HD 4438,6.7,1.06
St 309,HD 4496,7.0,1.19
St 310,HD 4520,7.0,0.67
St 311,HD 4545,8.7,0.38
St 312,HD 4543,8.7,2.81
St 313,HD 4597,7.0,0.97
