index1,index2,mag,dist
St 1,PPM 304555,6.0,2.13
St 2,PPM 275687,7.0,1.41
St 3,PPM 275696,7.0,0.65
St 4,PPM 242517,6.7,0.88
St 5,PPM 275701,7.0,0.46
St 6,PPM 275709,7.0,1.85
St 7,PPM 304574,7.8,1.24
St 8,PPM 242526,7.0,2.02
St 9,PPM 366793,7.0,1.91
St 10,PPM 329942,7.6,0.33
St 11,PPM 329946,7.0,0.94
St 12,PPM 351636,7.0,0.65
St 13,PPM 242530,7.0,1.63
St 14,PPM 351639,7.6,0.20
St 15,PPM 275726,6.5,0.45
St 16,PPM 181887,7.0,1.71
St 17,PPM 366799,7.0,1.07
St 18,PPM 366801,6.7,0.70
St 19,PPM 89441,2.0,0.82
St 20,PPM 375912,7.0,1.23
St 21,PPM 275737,7.0,0.36
St 22,PPM 366805,7.0,0.68
St 23,PPM 242549,7.0,1.02
St 24,PPM 275741,7.0,0.19
St 25,PPM 329972,6.5,0.80
St 26,PPM 242561,6.5,1.99
St 27,PPM 304618,4.0,0.25
St 28,PPM 329984,7.0,1.10
St 29,PPM 275760,7.8,1.21
St 30,PPM 242571,7.8,1.47
St 31,PPM 351661,6.0,1.09
St 32,PPM 304626,7.6,1.66
St 33,PPM 181928,7.6,0.55
St 34,PPM 366818,6.7,1.22
St 35,PPM 366819,6.7,0.39
St 36,PPM 275774,7.6,1.77
St 37,PPM 375917,5.6,1.35
St 38,PPM 275777,7.6,1.32
St 39,PPM 329997,7.8,0.45
St 40,PPM 366823,6.5,1.26
St 41,PPM 208457,6.0,0.50
St 42,PPM 304644,7.0,0.22
St 43,PPM 242592,6.0,1.46
St 44,PPM 330008,7.0,0.38
St 45,PPM 275790,5.6,1.38
St 46,PPM 304655,6.7,0.79
St 47,PPM 330016,7.0,0.56
St 48,PPM 375922,7.6,0.57
St 49,PPM 330019,7.0,0.49
St 50,PPM 242600,7.8,1.99
St 51,PPM 366829,7.0,3.47
St 52,PPM 242608,7.0,1.22
St 53,PPM 304663,7.0,0.82
St 54,PPM 330034,7.6,1.62
St 55,PPM 242617,7.0,0.96
St 56,PPM 116243,4.0,0.12
St 57,PPM 242621,7.8,1.14
St 58,PPM 304671,7.0,0.57
St 59,PPM 242622,7.0,0.46
St 60,PPM 275815,7.6,0.17
St 61,PPM 242631,6.7,1.46
St 62,PPM 242633,7.0,0.15
St 63,PPM 242632,6.0,1.07
St 64,PPM 304679,7.6,1.58
St 65,PPM 330048,6.7,1.37
St 66,PPM 275826,7.0,0.27
St 67,PPM 330053,6.0,0.84
St 68,PPM 366843,7.6,1.87
St 69,PPM 304692,7.0,0.92
St 70,PPM 208536,5.6,1.18
St 71,PPM 304698,6.7,0.44
St 72,PPM 375924,6.0,1.82
St 73,PPM 182020,6.0,1.07
St 74,PPM 275833,7.8,1.44
St 75,PPM 275835,6.0,1.22
St 76,PPM 304705,7.0,2.24
St 77,PPM 304711,7.0,0.97
St 78,PPM 275850,7.8,0.67
St 79,PPM 275854,6.0,1.99
St 80,PPM 351715,7.8,0.88
St 81,PPM 304726,7.0,0.69
St 82,PPM 366853,6.7,2.35
St 83,PPM 275862,7.0,1.31
St 84,PPM 366856,6.7,1.96
St 85,PPM 330081,7.0,0.28
St 86,PPM 275867,6.7,0.78
St 87,PPM 366858,7.6,0.82
St 88,PPM 351720,7.0,1.27
St 89,PPM 304734,7.0,1.86
St 90,PPM 304735,7.0,0.34
St 91,PPM 330085,6.7,2.19
St 92,PPM 366860,6.7,0.96
St 93,PPM 351736,7.8,0.54
St 94,PPM 275891,6.7,1.79
St 95,PPM 304760,7.0,1.83
St 96,PPM 304761,7.6,0.47
St 97,PPM 242705,7.0,1.84
St 98,PPM 366865,7.0,0.89
St 99,PPM 304767,6.7,0.24
St 100,PPM 375923,6.7,0.38
St 101,PPM 182115,3.4,0.89
St 102,PPM 304778,7.0,1.62
St 103,PPM 304777,7.0,0.65
St 104,PPM 330113,7.0,1.29
