index1,index2,mag,dist
St 1,SAO 214963,6.0,2.13
St 2,SAO 192357,7.0,1.41
St 3,SAO 192358,7.0,0.65
St 4,SAO 166053,6.7,0.88
St 5,SAO 192359,7.0,0.46
St 6,SAO 192362,7.0,1.85
St 7,SAO 214969,7.8,1.24
St 8,SAO 166063,7.0,2.02
St 9,SAO 255632,7.0,1.91
St 10,SAO 231930,7.6,0.33
St 11,SAO 231932,7.0,0.94
St 12,SAO 248120,7.0,0.65
St 13,SAO 166066,7.0,1.63
St 14,SAO 248123,7.6,0.20
St 15,SAO 192367,6.5,0.45
St 16,SAO 128602,7.0,1.71
St 17,SAO 255635,7.0,1.07
St 18,SAO 255636,6.7,0.70
St 19,SAO 73765,2.0,0.82
St 20,SAO 258214,7.0,1.23
St 21,SAO 192369,7.0,0.36
St 22,SAO 255638,7.0,0.68
St 23,SAO 166077,7.0,1.02
St 24,SAO 214980,7.0,0.19
St 25,SAO 231943,6.5,0.80
St 26,SAO 166083,6.5,1.99
St 27,SAO 214983,4.0,0.25
St 28,SAO 231950,7.0,1.10
St 29,SAO 192378,7.8,1.21
St 30,SAO 166089,7.8,1.47
St 31,SAO 248130,6.0,1.09
St 32,SAO 214987,7.6,1.66
St 33,SAO 128621,7.6,0.55
St 34,SAO 255639,6.7,1.22
St 35,SAO 255640,6.7,0.39
St 36,SAO 192380,7.6,1.77
St 37,SAO 258215,5.6,1.35
St 38,SAO 192382,7.6,1.32
St 39,SAO 231957,7.8,0.45
St 40,SAO 255642,6.5,1.26
St 41,SAO 147133,6.0,0.50
St 42,SAO 214994,7.0,0.22
St 43,SAO 166103,6.0,1.46
St 44,SAO 231961,7.0,0.38
St 45,SAO 192388,5.6,1.38
St 46,SAO 214999,6.7,0.79
St 47,SAO 231966,7.0,0.56
St 48,SAO 258216,7.6,0.57
St 49,SAO 231967,7.0,0.49
St 50,SAO 166109,7.8,1.99
St 51,SAO 255644,7.0,3.47
St 52,SAO 166114,7.0,1.22
St 53,SAO 215002,7.0,0.82
St 54,SAO 231973,7.6,1.62
St 55,SAO 166120,7.0,0.96
St 56,SAO 91781,4.0,0.12
St 57,SAO 166123,7.8,1.14
St 58,SAO 215005,7.0,0.57
St 59,SAO 166124,7.0,0.46
