index1,index2,mag,dist
T 1,HD 406,7.0,5.32
T 2,HD 432,2.5,1.86
T 3,HD 448,6.0,1.87
T 4,HD 469,7.0,4.20
T 5,HD 493,6.0,2.29
T 6,HD 496,4.0,2.39
T 7,HD 545,7.0,1.41
T 8,HD 560,6.0,1.17
T 9,HD 563,7.5,8.88
T 10,HD 571,5.0,1.76
T 11,HD 587,6.5,3.36
T 12,HD 598,7.5,2.55
T 13,HD 602,9.0,4.26
T 14,HD 688,0.0,2.85
T 15,HD 693,6.0,4.66
T 16,HD 720,5.5,2.88
T 17,HD 739,6.0,5.20
T 18,HD 755,7.5,0.69
T 19,HD 770,7.0,2.99
T 20,HD 791,7.5,6.06
T 21,HD 886,2.5,1.65
T 22,HD 888,8.0,3.23
T 23,HD 902,8.0,1.96
T 24,HD 905,6.5,1.16
T 25,HD 957,7.0,6.66
T 26,HD 980,8.0,5.25
T 27,HD 995,8.0,3.40
T 28,HD 1013,6.0,2.32
T 29,HD 1038,5.5,4.77
T 30,HD 1061,6.0,4.58
T 32,HD 1075,7.5,3.64
T 33,HD 1089,7.5,4.08
T 34,HD 1083,7.5,1.17
T 35,HD 1100,7.5,4.41
T 36,HD 1169,7.5,2.38
T 37,HD 1187,7.0,3.36
T 38,HD 1227,6.5,2.79
T 39,HD 1239,7.0,3.60
T 40,HD 1228,7.5,1.69
T 41,HD 1243,7.0,5.98
T 42,HD 1259,7.0,8.21
T 43,HD 1280,5.0,1.09
T 44,HD 1294,8.5,6.03
T 45,HD 1317,7.0,3.02
T 46,HD 1343,7.0,1.88
T 47,HD 1352,7.5,4.40
T 48,HD 1367,6.5,4.41
T 49,HD 1369,7.5,2.30
T 50,HD 1404,6.0,2.55
T 51,HD 1421,7.5,1.86
T 53,HD 1434,7.0,7.59
T 52,HD 1438,7.0,3.45
T 54,HD 1439,7.5,1.48
T 55,HD 1472,8.0,3.52
T 56,HD 1483,6.0,2.92
T 57,HD 1501,8.0,2.28
T 58,HD 1522,4.0,2.25
T 59,HD 1563,6.0,4.04
T 60,HD 1581,5.0,3.86
T 61,HD 1594,7.5,4.90
T 62,HD 1635,5.5,3.08
T 63,HD 1671,6.0,1.50
T 64,HD 1683,7.5,6.46
T 65,HD 1712,7.5,2.94
T 66,HD 1721,7.5,2.19
T 67,HD 1737,6.0,4.61
T 68,HD 1736,8.0,5.91
T 69,HD 1766,8.0,5.58
T 70,HD 1810,8.0,2.48
T 71,HD 1796,6.0,2.92
T 72,HD 1843,9.0,2.01
T 73,HD 1835,6.0,3.99
T 74,HD 1879,7.0,2.57
T 75,HD 1909,7.0,4.21
T 76,HD 2011,6.0,3.09
T 77,HD 2019,7.5,2.48
T 78,HD 2023,6.5,3.30
T 79,HD 2035,6.0,1.50
T 80,HD 2065,8.0,3.46
T 81,HD 2078,8.0,5.01
T 82,HD 2070,7.0,8.40
T 84,HD 2114,6.0,5.20
T 85,HD 2140,6.0,5.20
T 86,HD 2195,7.5,5.20
T 87,HD 2191,7.0,2.90
T 88,HD 2262,5.0,4.96
T 89,HD 2261,2.0,1.88
T 90,HD 2273,6.0,3.29
T 91,HD 2302,7.5,3.50
T 92,HD 2324,7.0,2.89
T 93,HD 2344,7.5,3.07
T 94,HD 2421,6.0,2.04
T 95,HD 2410,7.0,1.42
T 96,HD 2411,6.0,2.77
T 97,HD 2438,7.5,1.02
T 98,HD 2436,6.0,5.80
T 99,HD 2429,5.5,3.06
T 100,HD 2507,7.0,2.31
T 101,HD 2490,6.0,4.73
T 102,HD 2481,7.5,8.27
T 103,HD 2529,6.5,8.17
T 104,HD 2553,8.0,7.04
T 105,HD 2593,7.0,2.90
T 106,HD 2587,7.5,9.07
T 107,HD 2608,7.0,5.31
T 108,HD 2623,7.5,2.36
T 109,HD 2628,6.0,0.94
T 110,HD 2629,7.5,4.46
T 111,HD 2630,6.0,3.96
T 112,HD 2637,6.0,3.20
T 113,HD 2651,8.5,8.89
T 114,HD 2729,6.5,2.75
T 115,HD 2696,6.0,5.70
T 116,HD 2714,7.0,1.83
T 117,HD 2739,7.0,3.97
T 119,HD 2723,7.0,6.33
T 118,HD 2724,7.0,2.66
T 120,HD 2726,7.0,6.58
T 121,HD 2760,8.0,3.41
T 122,HD 2772,5.0,2.11
T 123,HD 2806,7.0,2.64
T 124,HD 2842,7.5,5.19
T 125,HD 2834,5.0,3.53
T 126,HD 2905,4.0,1.73
T 127,HD 2894,7.5,1.16
T 128,HD 2913,6.5,2.59
T 129,HD 2884,4.0,5.19
T 130,HD 2910,6.0,3.08
