index1,index2,mag,dist
T 1,SAO 128607,0.0,5.32
T 2,SAO 21133,0.0,1.86
T 3,SAO 91734,0.0,1.87
T 4,SAO 231943,0.0,4.20
T 5,SAO 166083,0.0,2.29
T 6,SAO 214983,0.0,2.39
T 7,SAO 128618,0.0,1.41
T 8,SAO 91750,0.0,1.17
T 9,SAO 214987,0.0,8.88
T 10,SAO 36123,0.0,1.76
T 11,SAO 128621,0.0,3.36
T 12,SAO 73785,0.0,2.55
T 13,SAO 147124,0.0,4.26
T 14,SAO 128628,0.0,2.85
T 15,SAO 147133,0.0,4.66
T 16,SAO 166103,0.0,2.88
T 17,SAO 192388,0.0,5.20
T 18,SAO 73803,0.0,0.69
T 19,SAO 214999,0.0,2.99
T 20,SAO 231967,0.0,6.06
T 21,SAO 91781,0.0,1.65
T 22,SAO 128644,0.0,3.23
T 23,SAO 192406,0.0,1.96
T 24,SAO 36173,0.0,1.16
T 25,SAO 215009,0.0,6.66
T 26,SAO 231976,0.0,5.25
T 27,SAO 36190,0.0,3.40
T 28,SAO 91792,0.0,2.32
T 29,SAO 147169,0.0,4.77
T 30,SAO 109087,0.0,4.58
T 31,SAO 109088,0.0,9.58
T 32,SAO 53755,0.0,3.64
T 33,SAO 192418,0.0,4.08
T 34,SAO 73842,0.0,1.17
T 35,SAO 128662,0.0,4.41
T 36,SAO 109096,0.0,2.38
T 37,SAO 192430,0.0,3.36
T 38,SAO 109100,0.0,2.79
T 39,SAO 11084,0.0,3.60
T 40,SAO 109101,0.0,1.69
T 41,SAO 91812,0.0,5.98
T 42,SAO 192442,0.0,8.21
T 43,SAO 53777,0.0,1.09
T 44,SAO 147201,0.0,6.03
T 45,SAO 109111,0.0,3.02
T 46,SAO 147205,0.0,1.88
T 47,SAO 91825,0.0,4.40
T 48,SAO 109119,0.0,4.41
T 49,SAO 128685,0.0,2.30
T 50,SAO 53798,0.0,2.55
T 51,SAO 128688,0.0,1.86
T 53,SAO 192453,0.0,7.59
T 52,SAO 36256,0.0,3.45
T 54,SAO 53803,0.0,1.48
T 55,SAO 147212,0.0,3.52
T 56,SAO 215047,0.0,2.92
T 57,SAO 73889,0.0,2.28
T 58,SAO 128694,0.0,2.25
T 59,SAO 91850,0.0,4.04
T 60,SAO 248163,0.0,3.86
T 61,SAO 147223,0.0,4.90
T 62,SAO 109152,0.0,3.08
T 63,SAO 53828,0.0,1.50
T 64,SAO 192474,0.0,6.46
T 65,SAO 53835,0.0,2.94
T 66,SAO 192477,0.0,2.19
T 67,SAO 166207,0.0,4.61
T 68,SAO 147229,0.0,5.91
T 69,SAO 166213,0.0,5.58
T 70,SAO 11149,0.0,2.48
T 71,SAO 91866,0.0,2.92
T 72,SAO 11153,0.0,2.01
T 73,SAO 147237,0.0,3.99
T 74,SAO 147241,0.0,2.57
T 75,SAO 192495,0.0,4.21
T 76,SAO 11172,0.0,3.09
T 77,SAO 53870,0.0,2.48
T 78,SAO 128743,0.0,3.30
T 79,SAO 91881,0.0,1.50
T 80,SAO 147257,0.0,3.46
T 81,SAO 147259,0.0,5.01
T 82,SAO 232027,0.0,8.40
T 84,SAO 109192,0.0,5.20
T 85,SAO 109195,0.0,5.20
T 86,SAO 128758,0.0,5.20
T 87,SAO 91892,0.0,2.90
T 88,SAO 215092,0.0,4.96
T 89,SAO 215093,0.0,1.88
T 90,SAO 128760,0.0,3.29
T 91,SAO 73997,0.0,3.50
T 92,SAO 128766,0.0,2.89
T 93,SAO 109216,0.0,3.07
T 94,SAO 36390,0.0,2.04
T 95,SAO 91909,0.0,1.42
T 96,SAO 91910,0.0,2.77
T 97,SAO 147289,0.0,1.02
T 98,SAO 91912,0.0,5.80
T 99,SAO 192545,0.0,3.06
T 100,SAO 53928,0.0,2.31
T 101,SAO 215103,0.0,4.73
T 102,SAO 232054,0.0,8.27
T 103,SAO 232055,0.0,8.17
T 104,SAO 147299,0.0,7.04
T 105,SAO 128784,0.0,2.90
T 106,SAO 232062,0.0,9.07
T 107,SAO 215112,0.0,5.31
T 108,SAO 109235,0.0,2.36
T 109,SAO 74041,0.0,0.94
T 110,SAO 128789,0.0,4.46
T 111,SAO 147307,0.0,3.96
T 112,SAO 128791,0.0,3.20
T 113,SAO 215115,0.0,8.89
T 114,SAO 11243,0.0,2.75
T 115,SAO 166318,0.0,5.70
T 116,SAO 91934,0.0,1.83
T 117,SAO 36436,0.0,3.97
T 119,SAO 192574,0.0,6.33
T 118,SAO 215120,0.0,2.66
T 120,SAO 215119,0.0,6.58
T 121,SAO 147317,0.0,3.41
T 122,SAO 21489,0.0,2.11
T 123,SAO 91942,0.0,2.64
T 124,SAO 109254,0.0,5.19
T 125,SAO 215131,0.0,3.53
T 126,SAO 11256,0.0,1.73
T 127,SAO 147325,0.0,1.16
T 128,SAO 109262,0.0,2.59
T 129,SAO 248201,0.0,5.19
T 130,SAO 74084,0.0,3.08
T 131,SAO 248202,0.0,5.16
T 132,SAO 74090,0.0,0.34
T 133,SAO 11260,0.0,2.00
T 134,SAO 128820,0.0,5.20
T 135,SAO 11265,0.0,2.54
T 136,SAO 128823,0.0,1.39
T 137,SAO 248208,0.0,4.60
T 138,SAO 109276,0.0,6.23
T 139,SAO 166367,0.0,3.40
T 141,SAO 91971,0.0,2.75
T 140,SAO 192609,0.0,7.03
T 142,SAO 232087,0.0,6.91
T 143,SAO 11277,0.0,1.82
T 144,SAO 128831,0.0,4.78
T 145,SAO 215146,0.0,5.91
T 146,SAO 21541,0.0,2.44
T 147,SAO 91980,0.0,5.76
T 148,SAO 232091,0.0,6.06
T 149,SAO 192621,0.0,5.94
T 150,SAO 74121,0.0,3.81
T 151,SAO 128839,0.0,3.56
T 152,SAO 91986,0.0,4.24
T 153,SAO 21551,0.0,2.53
T 154,SAO 128843,0.0,1.12
T 155,SAO 74134,0.0,3.41
T 156,SAO 74136,0.0,1.59
T 157,SAO 215157,0.0,5.58
T 158,SAO 21566,0.0,0.98
T 159,SAO 36509,0.0,1.93
T 160,SAO 232099,0.0,6.32
T 161,SAO 54033,0.0,1.03
T 162,SAO 91995,0.0,4.77
T 163,SAO 74148,0.0,3.78
T 164,SAO 128859,0.0,7.31
T 165,SAO 54038,0.0,1.84
T 166,SAO 166418,0.0,5.94
T 167,SAO 109315,0.0,2.53
T 168,SAO 128867,0.0,4.45
T 169,SAO 232114,0.0,8.41
T 170,SAO 128868,0.0,1.66
T 171,SAO 74164,0.0,2.86
T 172,SAO 109344,0.0,3.58
T 174,SAO 54058,0.0,0.83
T 176,SAO 74175,0.0,1.48
T 177,SAO 92011,0.0,4.02
T 178,SAO 21609,0.0,1.13
T 179,SAO 74182,0.0,4.09
T 180,SAO 147387,0.0,4.26
T 181,SAO 215185,0.0,5.87
T 182,SAO 147395,0.0,2.52
T 183,SAO 54079,0.0,4.04
T 184,SAO 128891,0.0,5.92
T 185,SAO 74195,0.0,2.14
T 186,SAO 74200,0.0,3.46
T 187,SAO 21637,0.0,2.95
T 188,SAO 92030,0.0,5.91
T 189,SAO 215192,0.0,4.90
T 190,SAO 92031,0.0,5.07
T 191,SAO 166489,0.0,2.50
T 192,SAO 215194,0.0,4.38
T 193,SAO 147408,0.0,5.67
T 194,SAO 215199,0.0,5.40
T 195,SAO 36602,0.0,1.64
T 196,SAO 166503,0.0,3.66
T 197,SAO 128916,0.0,6.61
T 198,SAO 192690,0.0,4.73
T 199,SAO 4216,0.0,4.39
T 200,SAO 147420,0.0,1.45
T 201,SAO 147422,0.0,4.19
T 202,SAO 36620,0.0,1.72
T 203,SAO 147423,0.0,2.51
T 204,SAO 232162,0.0,1.47
T 205,SAO 21677,0.0,1.97
T 206,SAO 192703,0.0,7.37
T 207,SAO 166528,0.0,5.32
T 208,SAO 128932,0.0,6.17
T 209,SAO 147430,0.0,5.08
T 210,SAO 215220,0.0,5.57
T 211,SAO 21689,0.0,3.59
T 212,SAO 4226,0.0,3.63
T 213,SAO 128935,0.0,3.75
T 214,SAO 74251,0.0,3.94
T 215,SAO 215221,0.0,3.67
T 216,SAO 147432,0.0,4.74
T 217,SAO 232168,0.0,5.53
T 218,SAO 147436,0.0,3.18
T 219,SAO 54138,0.0,1.92
T 220,SAO 54139,0.0,2.39
T 221,SAO 215225,0.0,5.46
T 222,SAO 92072,0.0,2.42
T 223,SAO 215232,0.0,6.56
T 224,SAO 92080,0.0,2.57
T 225,SAO 92082,0.0,1.18
T 226,SAO 74267,0.0,1.13
T 227,SAO 21716,0.0,1.82
T 228,SAO 109461,0.0,2.74
T 229,SAO 74278,0.0,3.82
T 230,SAO 21732,0.0,7.12
T 231,SAO 74280,0.0,2.57
T 232,SAO 232181,0.0,4.93
T 233,SAO 128959,0.0,4.05
T 234,SAO 21729,0.0,3.09
T 235,SAO 109471,0.0,3.45
T 236,SAO 109470,0.0,3.09
T 237,SAO 92097,0.0,1.44
T 238,SAO 109474,0.0,2.75
T 239,SAO 92099,0.0,3.09
T 240,SAO 36699,0.0,1.81
T 241,SAO 109482,0.0,6.33
T 242,SAO 74296,0.0,2.85
T 243,SAO 36702,0.0,1.13
T 244,SAO 147464,0.0,3.20
T 245,SAO 215245,0.0,6.74
T 246,SAO 128971,0.0,3.47
T 247,SAO 21767,0.0,2.02
T 248,SAO 209,0.0,0.60
T 249,SAO 147470,0.0,4.98
T 250,SAO 92113,0.0,3.41
T 251,SAO 21775,0.0,2.09
T 252,SAO 215254,0.0,3.72
T 253,SAO 109500,0.0,6.24
T 254,SAO 109505,0.0,3.42
T 255,SAO 109507,0.0,5.87
T 256,SAO 92123,0.0,1.88
T 257,SAO 128989,0.0,4.15
T 258,SAO 232203,0.0,5.72
T 259,SAO 11444,0.0,0.98
T 260,SAO 215270,0.0,1.84
T 262,SAO 129009,0.0,3.27
T 263,SAO 92137,0.0,1.69
T 264,SAO 92138,0.0,0.54
T 265,SAO 109522,0.0,5.91
T 266,SAO 21832,0.0,3.13
T 267,SAO 109527,0.0,4.33
T 268,SAO 147503,0.0,1.12
T 269,SAO 92145,0.0,1.39
T 270,SAO 129019,0.0,1.74
T 271,SAO 192804,0.0,6.96
T 272,SAO 74359,0.0,2.35
T 273,SAO 74363,0.0,5.57
T 274,SAO 109533,0.0,2.87
T 275,SAO 11482,0.0,0.80
T 276,SAO 21855,0.0,2.28
T 277,SAO 74373,0.0,2.01
T 278,SAO 54277,0.0,4.35
T 279,SAO 129032,0.0,3.79
T 281,SAO 92159,0.0,1.05
T 280,SAO 181,0.0,0.73
T 282,SAO 54281,0.0,1.83
T 283,SAO 147519,0.0,3.37
T 284,SAO 21871,0.0,2.49
T 285,SAO 74382,0.0,0.56
T 286,SAO 21883,0.0,2.20
T 287,SAO 74388,0.0,4.38
T 288,SAO 232227,0.0,6.22
T 289,SAO 74393,0.0,5.05
T 290,SAO 109553,0.0,2.39
T 291,SAO 74395,0.0,1.85
T 292,SAO 54306,0.0,3.49
T 294,SAO 92182,0.0,3.77
T 293,SAO 92183,0.0,3.29
T 295,SAO 74402,0.0,1.58
T 296,SAO 109563,0.0,3.14
