index1,index2,mag,dist
1G Ant,CD -34°5895,7.0,19.09
epsilon Ant,CD -35°5724,5.0,14.73
3G Ant,CD -26°7117,6.0,6.58
4G Ant,CD -37°5817,6.6,19.35
5G Ant,CD -27°6651,7.0,18.77
6G Ant,CD -30°7611,7.0,21.40
7G Ant,CD -28°7348,7.0,15.99
zeta1 Ant,CD -31°7355,6.1,8.78
zeta2 Ant,CD -31°7369,6.3,6.14
11G Ant,CD -35°5751,6.4,20.50
S Ant,CD -28°7373,6.9,28.07
13G Ant,CD -38°5676,6.8,18.93
14G Ant,CD -35°5803,6.8,12.06
15G Ant,CD -24°8263,6.8,36.64
16G Ant,CD -24°8272,6.4,5.45
17G Ant,CD -31°7458,6.2,13.04
18G Ant,CD -35°5833,6.4,36.08
19G Ant,CD -39°5697,7.0,24.03
20G Ant,CD -32°6646,7.0,6.13
21G Ant,CD -29°7712,7.0,42.18
22G Ant,CD -34°6097,6.5,6.12
theta Ant,CD -27°6881,5.1,30.12
24G Ant,CD -38°5850,7.0,19.31
25G Ant,CD -29°7758,6.7,14.35
26G Ant,CD -32°6709,7.0,6.13
27G Ant,CD -35°5917,7.0,7.04
28G Ant,CD -32°6725,7.0,18.69
29G Ant,CD -32°6749,7.0,7.10
30G Ant,CD -25°7510,6.9,15.27
31G Ant,CD -36°5955,6.4,14.54
32G Ant,CD -35°5961,6.7,3.65
33G Ant,CD -26°7505,6.6,25.31
34G Ant,CD -27°7035,7.0,36.61
35G Ant,CD -30°8043,6.9,6.14
36G Ant,CD -32°6895,6.4,17.40
37G Ant,CD -26°7551,6.7,24.59
eta Ant,CD -35°6050,5.6,12.06
39G Ant,CD -29°8034,6.8,42.02
40G Ant,CD -32°7009,6.9,13.02
41G Ant,CD -27°7179,6.9,11.07
42G Ant,CD -27°7183,6.9,1.33
43G Ant,CD -39°6100,6.9,15.17
44G Ant,CD -35°6130,6.6,10.42
45G Ant,CD -34°6405,7.0,7.78
46G Ant,CD -32°7040,6.9,24.81
47G Ant,CD -30°8169,6.9,12.61
48G Ant,CD -36°6156,6.6,12.06
49G Ant,CD -35°6194,6.5,24.03
R Ant,CD -37°6338,0.0,20.97
51G Ant,CD -38°6249,6.9,48.00
52G Ant,CD -33°6736,6.9,1.25
53G Ant,CD -27°7266,6.4,24.04
54G Ant,CD -32°7158,6.7,1.27
55G Ant,CD -39°6222,6.4,6.92
56G Ant,CD -39°6225,6.8,24.00
57G Ant,CD -38°6302,6.9,19.79
58G Ant,CD -35°6260,6.6,17.08
59G Ant,CD -28°8070,5.8,18.76
60G Ant,CD -36°6281,6.9,45.76
61G Ant,CD -33°6863,6.8,15.59
62G Ant,CD -31°8175,6.9,8.78
63G Ant,CD -29°8306,6.6,24.32
64G Ant,CD -37°6509,5.7,54.21
65G Ant,CD -37°6528,7.0,9.31
66G Ant,CD -38°6472,6.9,6.95
alpha Ant,CD -30°8465,4.4,18.41
delta Ant,CD -29°8383,6.0,31.75
