index1,index2,mag,dist
1G Ant,CPD -34°3539,7.0,3.71
epsilon Ant,CPD -35°3546,5.0,2.45
3G Ant,CPD -26°3958,6.0,5.39
4G Ant,CPD -37°3549,6.6,2.37
5G Ant,CPD -27°3782,7.0,14.57
6G Ant,CPD -31°2747,7.0,11.57
7G Ant,CPD -28°3757,7.0,13.22
zeta1 Ant,CPD -31°2750,6.1,11.53
zeta2 Ant,CPD -31°2757,6.3,2.56
11G Ant,CPD -35°3586,6.4,6.48
S Ant,CPD -28°3764,6.9,6.00
13G Ant,CPD -38°3438,6.8,11.73
14G Ant,CPD -35°3643,6.8,1.22
15G Ant,CPD -24°4141,6.8,8.12
16G Ant,CPD -24°4144,6.4,5.45
17G Ant,CPD -31°2797,6.2,3.83
18G Ant,CPD -35°3670,6.4,0.00
19G Ant,CPD -39°3779,7.0,4.66
20G Ant,CPD -32°2678,7.0,11.73
21G Ant,CPD -29°3077,7.0,2.60
22G Ant,CPD -34°3707,6.5,3.69
theta Ant,CPD -27°3851,5.1,17.10
24G Ant,CPD -38°3586,7.0,4.66
25G Ant,CPD -29°3094,6.7,2.61
26G Ant,CPD -32°2710,7.0,8.89
27G Ant,CPD -35°3737,7.0,6.12
28G Ant,CPD -32°2715,7.0,11.72
29G Ant,CPD -32°2722,7.0,10.68
30G Ant,CPD -25°4274,6.9,6.58
31G Ant,CPD -36°3909,6.4,7.00
32G Ant,CPD -35°3778,6.7,9.46
33G Ant,CPD -26°4079,6.6,17.16
34G Ant,CPD -27°3913,7.0,8.02
35G Ant,CPD -30°2999,6.9,8.82
36G Ant,CPD -32°2771,6.4,11.73
eta Ant,CPD -35°3857,5.6,7.74
39G Ant,CPD -29°3171,6.8,3.90
40G Ant,CPD -32°2806,6.9,3.79
41G Ant,CPD -27°3981,6.9,14.41
42G Ant,CPD -27°3985,6.9,5.32
43G Ant,CPD -39°4171,6.9,8.34
44G Ant,CPD -35°3929,6.6,0.00
45G Ant,CPD -34°3901,7.0,7.06
46G Ant,CPD -32°2814,6.9,3.78
47G Ant,CPD -30°3042,6.9,0.00
48G Ant,CPD -36°4099,6.6,12.37
49G Ant,CPD -35°3974,6.5,0.00
R Ant,CPD -37°3982,0.0,9.57
51G Ant,CPD -38°3931,6.9,2.35
52G Ant,CPD -33°2834,6.9,11.65
53G Ant,CPD -27°4055,6.4,8.94
54G Ant,CPD -32°2849,6.7,16.46
55G Ant,CPD -39°4264,6.4,6.00
56G Ant,CPD -39°4270,6.8,7.57
57G Ant,CPD -38°3977,6.9,7.62
58G Ant,CPD -35°4023,6.6,0.00
59G Ant,CPD -28°4082,5.8,5.28
60G Ant,CPD -36°4222,6.9,18.16
61G Ant,CPD -33°2867,6.8,2.49
62G Ant,CPD -31°3030,6.9,10.80
63G Ant,CPD -29°3233,6.6,9.87
64G Ant,CPD -37°4123,5.7,7.66
65G Ant,CPD -37°4146,7.0,11.87
66G Ant,CPD -38°4129,6.9,6.11
alpha Ant,CPD -30°3121,4.4,6.14
delta Ant,CPD -29°3260,6.0,6.50
69G Ant,CPD -39°4512,7.0,3.47
70G Ant,CPD -36°4420,6.9,6.46
U Ant,CPD -38°4227,5.9,6.00
72G Ant,CPD -32°2925,6.9,5.05
73G Ant,CPD -31°3076,7.0,6.42
74G Ant,CPD -35°4268,7.0,2.46
75G Ant,CPD -36°4490,6.9,12.24
76G Ant,CPD -35°4320,6.5,7.75
77G Ant,CPD -35°4325,6.9,7.75
78G Ant,CPD -32°2953,5.9,0.00
79G Ant,CPD -36°4561,6.8,3.63
80G Ant,CPD -33°2973,5.8,6.50
81G Ant,CPD -34°4361,6.7,2.46
82G Ant,CPD -35°4484,6.9,3.65
83G Ant,CPD -38°4450,7.0,7.08
iota Ant,CPD -36°4700,5.1,8.51
85G Ant,CPD -35°4592,5.8,3.68
1G Aps,CPD -72°1452,7.0,6.41
2G Aps,CPD -72°1455,7.0,0.00
3G Aps,CPD -77°922,6.5,0.00
theta Aps,CPD -76°799,0.0,6.99
5G Aps,CPD -74°1142,6.4,12.67
eta Aps,CPD -80°706,5.3,2.50
7G Aps,CPD -77°940,6.9,12.12
8G Aps,CPD -82°601,6.8,4.04
