index1,index2,mag,dist
1G Ant,HD 81919,7.0,1.08
epsilon Ant,HD 82150,5.0,2.56
3G Ant,HD 82205,6.0,5.31
4G Ant,HD 82165,6.6,7.14
5G Ant,HD 82220,7.0,3.14
6G Ant,HD 82314,7.0,0.69
7G Ant,HD 82363,7.0,4.37
zeta2 Ant,HD 82513,6.3,7.96
11G Ant,HD 82514,6.4,0.77
S Ant,HD 82610,6.9,1.93
13G Ant,HD 82785,6.8,5.05
14G Ant,HD 83108,6.8,0.45
15G Ant,HD 83261,6.8,3.04
16G Ant,HD 83332,6.4,1.21
17G Ant,HD 83380,6.2,3.42
18G Ant,HD 83441,6.4,1.92
19G Ant,HD 83610,7.0,6.57
20G Ant,HD 84042,7.0,3.97
21G Ant,HD 84085,7.0,0.19
22G Ant,HD 84224,6.5,0.54
theta Ant,HD 84367,5.1,3.03
24G Ant,HD 84447,7.0,5.95
25G Ant,HD 84567,6.7,1.04
26G Ant,HD 84580,7.0,2.37
27G Ant,HD 84687,7.0,1.85
28G Ant,HD 84727,7.0,6.95
29G Ant,HD 84900,7.0,0.42
30G Ant,HD 85043,6.9,4.04
31G Ant,HD 85206,6.4,4.38
32G Ant,HD 85296,6.7,3.49
33G Ant,HD 85725,6.6,9.96
34G Ant,HD 85860,7.0,2.79
35G Ant,HD 86193,6.9,4.79
36G Ant,HD 86267,6.4,3.27
37G Ant,HD 86301,6.7,7.78
eta Ant,HD 86629,5.6,6.15
39G Ant,HD 87199,6.8,2.05
40G Ant,HD 87303,6.9,7.80
41G Ant,HD 87488,6.9,5.76
42G Ant,HD 87556,6.9,7.45
43G Ant,HD 87477,6.9,1.31
44G Ant,HD 87606,6.6,1.82
45G Ant,HD 87639,7.0,4.41
46G Ant,HD 87638,6.9,2.93
47G Ant,HD 87660,6.9,4.45
48G Ant,HD 88013,6.6,3.10
49G Ant,HD 88218,6.5,5.32
R Ant,HD 88262,0.0,1.38
51G Ant,HD 88398,6.9,4.64
52G Ant,HD 88524,6.9,8.04
53G Ant,HD 88522,6.4,2.50
54G Ant,HD 88742,6.7,6.54
55G Ant,HD 88809,6.4,3.29
56G Ant,HD 88836,6.8,3.39
57G Ant,HD 88872,6.9,4.10
58G Ant,HD 89015,6.6,2.67
59G Ant,HD 89353,5.8,2.86
60G Ant,HD 89442,6.9,3.35
61G Ant,HD 89528,6.8,2.67
62G Ant,HD 89709,6.9,7.04
63G Ant,HD 90071,6.6,4.75
64G Ant,HD 90132,5.7,2.29
65G Ant,HD 90335,7.0,3.69
66G Ant,HD 90549,6.9,1.86
alpha Ant,HD 90610,4.4,0.81
delta Ant,HD 90972,6.0,2.83
69G Ant,HD 91538,7.0,3.20
70G Ant,HD 91645,6.9,5.84
U Ant,HD 91793,5.9,1.48
72G Ant,HD 91965,6.9,5.25
73G Ant,HD 92056,7.0,10.20
74G Ant,HD 92136,7.0,2.47
75G Ant,HD 92363,6.9,7.18
76G Ant,HD 92589,6.5,2.44
77G Ant,HD 92678,6.9,4.23
78G Ant,HD 92845,5.9,4.80
79G Ant,HD 93105,6.8,1.64
80G Ant,HD 93905,5.8,1.59
81G Ant,HD 94366,6.7,5.79
82G Ant,HD 94504,6.9,1.40
83G Ant,HD 94565,7.0,6.84
iota Ant,HD 94890,5.1,4.39
85G Ant,HD 96146,5.8,2.54
1G Aps,HD 120230,7.0,3.27
2G Aps,HD 120508,7.0,2.61
3G Aps,HD 121439,6.5,1.29
theta Aps,HD 122250,0.0,0.30
5G Aps,HD 122862,6.4,5.27
eta Aps,HD 123998,5.3,2.84
7G Aps,HD 124099,6.9,3.67
8G Aps,HD 124639,6.8,4.55
epsilon Aps,HD 124771,5.5,4.61
10G Aps,HD 124834,6.7,1.37
11G Aps,HD 126209,6.5,0.85
12G Aps,HD 128294,6.7,3.24
13G Aps,HD 128400,6.9,0.26
alpha Aps,HD 129078,4.0,4.06
15G Aps,HD 129899,6.7,3.03
16G Aps,HD 130081,6.9,2.50
17G Aps,HD 130458,6.1,2.67
R Aps,HD 131109,0.0,3.28
19G Aps,HD 131425,6.4,3.16
20G Aps,HD 131551,6.5,2.54
21G Aps,HD 132004,6.8,1.36
22G Aps,HD 132501,7.0,2.96
23G Aps,HD 133385,6.8,3.82
24G Aps,HD 133921,7.0,0.60
25G Aps,HD 133981,6.4,3.61
26G Aps,HD 135338,6.8,1.08
27G Aps,HD 135719,6.7,2.27
28G Aps,HD 136272,6.9,1.38
kappa1 Aps,HD 137387,5.8,3.83
30G Aps,HD 137366,6.7,0.51
31G Aps,HD 137509,6.9,1.85
32G Aps,HD 138289,6.7,3.67
kappa2 Aps,HD 138800,6.0,1.81
34G Aps,HD 138867,6.3,2.15
35G Aps,HD 141846,6.7,2.30
36G Aps,HD 142497,7.0,2.46
37G Aps,HD 142678,6.8,1.62
38G Aps,HD 143346,6.1,3.41
39G Aps,HD 143720,7.0,2.24
delta1 Aps,HD 145366,5.2,3.04
delta2 Aps,HD 145388,5.5,5.08
42G Aps,HD 145619,6.7,1.72
43G Aps,HD 146310,7.0,3.79
gamma Aps,HD 147675,3.9,3.79
45G Aps,HD 148488,5.9,2.47
46G Aps,HD 148650,6.7,3.54
beta Aps,HD 149324,4.5,2.69
48G Aps,HD 149392,6.8,3.22
49G Aps,HD 150995,6.7,3.93
50G Aps,HD 152010,6.6,3.28
51G Aps,HD 152260,6.8,3.73
52G Aps,HD 152565,7.0,0.90
53G Aps,HD 152339,6.8,3.04
54G Aps,HD 153298,6.8,2.68
55G Aps,HD 154556,6.6,2.46
56G Aps,HD 154972,6.4,4.30
57G Aps,HD 155875,7.0,3.75
iota Aps,HD 156190,5.8,2.66
59G Aps,HD 156513,6.4,2.29
zeta Aps,HD 156277,5.4,4.03
61G Aps,HD 159558,7.0,0.60
62G Aps,HD 159964,6.6,1.68
63G Aps,HD 161988,6.3,2.48
64G Aps,HD 162049,6.9,1.33
65G Aps,HD 162337,7.0,0.29
66G Aps,HD 164712,6.0,2.31
67G Aps,HD 165259,6.1,3.22
1G Aqr,HD 196676,6.8,4.06
2G Aqr,HD 196712,6.5,2.26
1 Aqr,HD 196758,5.6,7.08
4G Aqr,HD 196870,7.0,4.10
5G Aqr,HD 197089,7.0,12.14
6G Aqr,HD 197233,7.0,9.52
7G Aqr,HD 197954,6.7,7.71
epsilon Aqr,HD 198001,3.8,7.08
k Aqr,HD 198026,4.8,6.81
T Aqr,HD 198373,0.0,8.72
11G Aqr,HD 198431,6.2,3.72
4 Aqr,HD 198571,6.2,2.98
5 Aqr,HD 198667,5.8,1.79
14G Aqr,HD 198647,7.0,10.71
15G Aqr,HD 198802,6.8,3.34
mu Aqr,HD 198743,5.0,6.80
17G Aqr,HD 198951,7.0,2.61
18G Aqr,HD 198949,6.7,5.98
19G Aqr,HD 198962,6.9,2.63
20G Aqr,HD 199035,6.9,11.04
21G Aqr,HD 199124,6.5,10.16
22G Aqr,HD 199141,6.9,5.37
23G Aqr,HD 199280,6.5,5.45
7 Aqr,HD 199345,5.9,6.38
25G Aqr,HD 199381,7.0,13.39
26G Aqr,HD 199442,6.2,11.97
DV Aqr,HD 199603,6.1,9.52
28G Aqr,HD 199651,7.0,8.94
8 Aqr,HD 199828,6.8,7.35
10 Aqr,HD 199944,6.4,12.55
11 Aqr,HD 199960,6.2,7.12
9 Aqr,HD 200004,6.8,3.45
33G Aqr,HD 200157,7.0,6.93
34G Aqr,HD 200340,6.5,2.13
35G Aqr,HD 200375,6.3,16.11
36G Aqr,HD 200433,6.9,5.13
12 Aqr,HD 200497,5.7,3.13
38G Aqr,HD 200663,6.5,10.26
39G Aqr,HD 201098,7.0,6.28
40G Aqr,HD 201038,6.7,2.51
41G Aqr,HD 201066,6.8,8.70
42G Aqr,HD 201120,6.9,3.75
43G Aqr,HD 201159,7.0,3.53
44G Aqr,HD 201222,7.0,3.29
45G Aqr,HD 201322,7.0,15.25
46G Aqr,HD 201332,6.8,3.66
nu Aqr,HD 201381,4.7,0.57
48G Aqr,HD 201377,6.7,4.17
49G Aqr,HD 201567,6.5,5.78
EW Aqr,HD 201707,6.5,2.42
51G Aqr,HD 202149,6.8,3.41
52G Aqr,HD 202259,6.8,12.32
53G Aqr,HD 202407,6.9,5.95
14 Aqr,HD 202466,6.5,2.66
55G Aqr,HD 202554,6.9,7.89
56G Aqr,HD 202577,6.9,5.31
57G Aqr,HD 202606,6.5,4.30
15 Aqr,HD 202753,5.8,7.02
59G Aqr,HD 202990,7.0,8.98
61G Aqr,HD 203054,7.0,3.41
16 Aqr,HD 203222,6.1,4.57
63G Aqr,HD 203405,6.8,6.43
64G Aqr,HD 203364,6.9,1.14
17 Aqr,HD 203525,6.2,3.56
66G Aqr,HD 203458,6.9,8.14
18 Aqr,HD 203705,5.7,6.88
19 Aqr,HD 203875,5.8,4.63
20 Aqr,HD 203843,6.5,6.47
21 Aqr,HD 203926,5.7,7.12
71G Aqr,HD 203893,6.8,1.86
72G Aqr,HD 204041,6.4,8.49
73G Aqr,HD 204073,7.0,12.09
74G Aqr,HD 204121,6.2,11.59
beta Aqr,HD 204867,2.6,5.44
77G Aqr,HD 205244,6.7,3.97
78G Aqr,HD 205260,6.8,8.67
79G Aqr,HD 205358,6.7,3.23
80G Aqr,HD 205423,6.2,2.98
xi Aqr,HD 205767,5.0,3.82
82G Aqr,HD 205765,6.2,6.59
24 Aqr,HD 206058,6.7,5.72
d Aqr,HD 206067,5.5,5.78
26 Aqr,HD 206445,6.0,5.94
86G Aqr,HD 206766,6.7,8.89
87G Aqr,HD 207076,6.8,17.60
88G Aqr,HD 207204,6.8,4.94
89G Aqr,HD 207235,6.5,10.01
90G Aqr,HD 207435,6.9,2.95
91G Aqr,HD 207796,6.7,10.20
92G Aqr,HD 207888,6.7,5.52
93G Aqr,HD 207920,7.0,3.73
94G Aqr,HD 208111,6.0,8.40
95G Aqr,HD 208177,6.4,2.52
96G Aqr,HD 208703,6.5,5.12
97G Aqr,HD 208793,6.9,8.09
98G Aqr,HD 208801,6.4,4.18
28 Aqr,HD 209128,5.9,3.08
100G Aqr,HD 209240,6.6,3.30
29 Aqr,HD 209278,6.5,3.12
30 Aqr,HD 209396,5.8,2.64
omicron Aqr,HD 209409,4.9,3.79
32 Aqr,HD 209625,5.7,5.85
alpha Aqr,HD 209750,2.7,3.74
106G Aqr,HD 209767,7.0,12.42
iota Aqr,HD 209819,4.4,0.97
108G Aqr,HD 209925,7.0,1.61
109G Aqr,HD 209905,6.5,22.30
110G Aqr,HD 210000,6.9,3.97
111G Aqr,HD 210172,7.0,3.98
35 Aqr,HD 210191,5.9,7.36
113G Aqr,HD 210244,6.6,2.13
