index1,index2,mag,dist
1G Ant,PPM 286491,7.0,1.08
epsilon Ant,PPM 286515,5.0,2.56
3G Ant,PPM 256263,6.0,5.31
4G Ant,PPM 286516,6.6,7.14
5G Ant,PPM 256267,7.0,3.14
6G Ant,PPM 286540,7.0,0.69
7G Ant,PPM 256295,7.0,4.37
zeta1 Ant,PPM 286548,6.1,3.01
zeta2 Ant,PPM 286565,6.3,7.96
11G Ant,PPM 286566,6.4,0.77
S Ant,PPM 256343,6.9,1.93
13G Ant,PPM 286598,6.8,5.05
14G Ant,PPM 286646,6.8,0.45
15G Ant,PPM 256468,6.8,3.04
16G Ant,PPM 256477,6.4,1.21
17G Ant,PPM 286685,6.2,3.42
18G Ant,PPM 286696,6.4,1.92
19G Ant,PPM 286715,7.0,6.57
20G Ant,PPM 286772,7.0,3.97
21G Ant,PPM 286783,7.0,0.19
22G Ant,PPM 286794,6.5,0.54
theta Ant,PPM 256646,5.1,3.03
24G Ant,PPM 286824,7.0,5.95
25G Ant,PPM 286847,6.7,1.04
26G Ant,PPM 286850,7.0,2.37
27G Ant,PPM 286862,7.0,1.85
28G Ant,PPM 286866,7.0,6.95
29G Ant,PPM 286895,7.0,0.42
30G Ant,PPM 256774,6.9,4.04
31G Ant,PPM 286939,6.4,4.38
32G Ant,PPM 286949,6.7,3.49
33G Ant,PPM 256884,6.6,9.96
34G Ant,PPM 256915,7.0,2.79
35G Ant,PPM 287077,6.9,4.79
36G Ant,PPM 287086,6.4,3.27
37G Ant,PPM 256982,6.7,7.78
eta Ant,PPM 287133,5.6,6.15
39G Ant,PPM 287212,6.8,2.05
40G Ant,PPM 287224,6.9,7.80
41G Ant,PPM 257164,6.9,5.76
42G Ant,PPM 257171,6.9,7.45
43G Ant,PPM 287242,6.9,1.31
44G Ant,PPM 287259,6.6,1.82
45G Ant,PPM 287264,7.0,4.41
46G Ant,PPM 287266,6.9,2.93
47G Ant,PPM 287271,6.9,4.45
48G Ant,PPM 287318,6.6,3.10
49G Ant,PPM 287351,6.5,5.32
R Ant,PPM 287358,0.0,1.38
51G Ant,PPM 287375,6.9,4.64
52G Ant,PPM 287401,6.9,8.04
53G Ant,PPM 257335,6.4,2.50
54G Ant,PPM 287445,6.7,6.54
55G Ant,PPM 315142,6.4,3.29
56G Ant,PPM 315148,6.8,3.39
57G Ant,PPM 287457,6.9,4.10
58G Ant,PPM 287476,6.6,2.67
59G Ant,PPM 257470,5.8,2.86
60G Ant,PPM 287540,6.9,3.35
61G Ant,PPM 287557,6.8,2.67
62G Ant,PPM 287582,6.9,7.04
63G Ant,PPM 287633,6.6,4.75
64G Ant,PPM 287637,5.7,2.29
65G Ant,PPM 287667,7.0,3.69
66G Ant,PPM 287694,6.9,1.86
alpha Ant,PPM 287713,4.4,0.81
delta Ant,PPM 287759,6.0,2.83
69G Ant,PPM 315475,7.0,3.20
70G Ant,PPM 287851,6.9,5.84
U Ant,PPM 287864,5.9,1.48
72G Ant,PPM 287894,6.9,5.25
73G Ant,PPM 287905,7.0,10.20
74G Ant,PPM 287917,7.0,2.47
75G Ant,PPM 287947,6.9,7.18
76G Ant,PPM 287986,6.5,2.44
77G Ant,PPM 287997,6.9,4.23
78G Ant,PPM 288028,5.9,4.80
79G Ant,PPM 288063,6.8,1.64
80G Ant,PPM 288177,5.8,1.59
81G Ant,PPM 288240,6.7,5.79
82G Ant,PPM 288260,6.9,1.40
83G Ant,PPM 288272,7.0,6.84
iota Ant,PPM 288317,5.1,4.39
85G Ant,PPM 288486,5.8,2.54
1G Aps,PPM 372049,7.0,3.27
2G Aps,PPM 372064,7.0,2.61
3G Aps,PPM 372119,6.5,1.29
theta Aps,PPM 372135,0.0,0.30
5G Aps,PPM 372154,6.4,5.27
eta Aps,PPM 377662,5.3,2.84
7G Aps,PPM 372215,6.9,3.67
8G Aps,PPM 377678,6.8,4.55
epsilon Aps,PPM 377674,5.5,4.61
10G Aps,PPM 372230,6.7,1.37
11G Aps,PPM 372296,6.5,0.85
12G Aps,PPM 372368,6.7,3.24
13G Aps,PPM 372367,6.9,0.26
alpha Aps,PPM 372410,4.0,4.06
15G Aps,PPM 372434,6.7,3.03
16G Aps,PPM 372435,6.9,2.50
17G Aps,PPM 372446,6.1,2.67
R Aps,PPM 372479,0.0,3.28
19G Aps,PPM 372505,6.4,3.16
20G Aps,PPM 372503,6.5,2.54
21G Aps,PPM 372514,6.8,1.36
22G Aps,PPM 377785,7.0,2.96
23G Aps,PPM 372559,6.8,3.82
24G Aps,PPM 372603,7.0,0.60
25G Aps,PPM 372581,6.4,3.61
26G Aps,PPM 372624,6.8,1.08
27G Aps,PPM 372643,6.7,2.27
28G Aps,PPM 372655,6.9,1.38
kappa1 Aps,PPM 372703,5.8,3.83
30G Aps,PPM 372697,6.7,0.51
31G Aps,PPM 372701,6.9,1.85
32G Aps,PPM 372752,6.7,3.67
kappa2 Aps,PPM 372756,6.0,1.81
34G Aps,PPM 372767,6.3,2.15
35G Aps,PPM 372885,6.7,2.30
36G Aps,PPM 372893,7.0,2.46
37G Aps,PPM 372904,6.8,1.62
38G Aps,PPM 372933,6.1,3.41
39G Aps,PPM 372952,7.0,2.24
delta1 Aps,PPM 373033,5.2,3.04
delta2 Aps,PPM 373034,5.5,5.08
42G Aps,PPM 373020,6.7,1.72
43G Aps,PPM 373041,7.0,3.79
gamma Aps,PPM 373122,3.9,3.79
45G Aps,PPM 373127,5.9,2.47
46G Aps,PPM 373138,6.7,3.54
beta Aps,PPM 373182,4.5,2.69
48G Aps,PPM 373167,6.8,3.22
49G Aps,PPM 373229,6.7,3.93
50G Aps,PPM 373265,6.6,3.28
51G Aps,PPM 373283,6.8,3.73
52G Aps,PPM 378036,7.0,0.90
53G Aps,PPM 373278,6.8,3.04
54G Aps,PPM 373326,6.8,2.68
55G Aps,PPM 373365,6.6,2.46
56G Aps,PPM 373391,6.4,4.30
57G Aps,PPM 373415,7.0,3.75
iota Aps,PPM 373425,5.8,2.66
59G Aps,PPM 378075,6.4,2.29
zeta Aps,PPM 362645,5.4,4.03
61G Aps,PPM 362853,7.0,0.60
62G Aps,PPM 373563,6.6,1.68
63G Aps,PPM 373648,6.3,2.48
64G Aps,PPM 373654,6.9,1.33
65G Aps,PPM 378153,7.0,0.29
66G Aps,PPM 373728,6.0,2.31
67G Aps,PPM 373739,6.1,3.22
1G Aqr,PPM 204285,6.8,4.06
2G Aqr,PPM 204287,6.5,2.26
1 Aqr,PPM 170456,5.6,7.08
4G Aqr,PPM 204302,7.0,4.10
5G Aqr,PPM 237795,7.0,12.14
6G Aqr,PPM 204351,7.0,9.52
7G Aqr,PPM 204443,6.7,7.71
epsilon Aqr,PPM 204453,3.8,7.08
k Aqr,PPM 204454,4.8,6.81
T Aqr,PPM 204507,0.0,8.72
11G Aqr,PPM 237993,6.2,3.72
4 Aqr,PPM 204535,6.2,2.98
5 Aqr,PPM 204547,5.8,1.79
14G Aqr,PPM 238019,7.0,10.71
15G Aqr,PPM 238044,6.8,3.34
mu Aqr,PPM 204557,5.0,6.80
17G Aqr,PPM 238064,7.0,2.61
18G Aqr,PPM 204582,6.7,5.98
19G Aqr,PPM 204584,6.9,2.63
20G Aqr,PPM 204596,6.9,11.04
21G Aqr,PPM 181125,6.5,10.16
22G Aqr,PPM 170957,6.9,5.37
23G Aqr,PPM 204629,6.5,5.45
7 Aqr,PPM 204646,5.9,6.38
25G Aqr,PPM 171008,7.0,13.39
26G Aqr,PPM 171016,6.2,11.97
DV Aqr,PPM 238168,6.1,9.52
28G Aqr,PPM 204673,7.0,8.94
8 Aqr,PPM 238200,6.8,7.35
10 Aqr,PPM 204709,6.4,12.55
11 Aqr,PPM 204710,6.2,7.12
9 Aqr,PPM 238239,6.8,3.45
33G Aqr,PPM 238258,7.0,6.93
34G Aqr,PPM 181169,6.5,2.13
35G Aqr,PPM 171180,6.3,16.11
36G Aqr,PPM 181172,6.9,5.13
12 Aqr,PPM 204770,5.7,3.13
38G Aqr,PPM 171234,6.5,10.26
39G Aqr,PPM 181188,7.0,6.28
40G Aqr,PPM 204839,6.7,2.51
41G Aqr,PPM 181187,6.8,8.70
42G Aqr,PPM 204841,6.9,3.75
43G Aqr,PPM 171304,7.0,3.53
44G Aqr,PPM 181191,7.0,3.29
45G Aqr,PPM 204870,7.0,15.25
46G Aqr,PPM 171335,6.8,3.66
nu Aqr,PPM 238460,4.7,0.57
48G Aqr,PPM 181199,6.7,4.17
49G Aqr,PPM 204905,6.5,5.78
EW Aqr,PPM 238504,6.5,2.42
51G Aqr,PPM 238571,6.8,3.41
52G Aqr,PPM 171472,6.8,12.32
53G Aqr,PPM 238607,6.9,5.95
14 Aqr,PPM 205006,6.5,2.66
55G Aqr,PPM 181231,6.9,7.89
56G Aqr,PPM 238623,6.9,5.31
57G Aqr,PPM 238627,6.5,4.30
15 Aqr,PPM 205042,5.8,7.02
59G Aqr,PPM 238683,7.0,8.98
60G Aqr,PPM 238690,6.9,0.96
61G Aqr,PPM 238693,7.0,3.41
16 Aqr,PPM 205087,6.1,4.57
63G Aqr,PPM 171641,6.8,6.43
64G Aqr,PPM 205111,6.9,1.14
17 Aqr,PPM 205133,6.2,3.56
66G Aqr,PPM 205117,6.9,8.14
18 Aqr,PPM 238788,5.7,6.88
19 Aqr,PPM 205172,5.8,4.63
20 Aqr,PPM 205165,6.5,6.47
21 Aqr,PPM 205175,5.7,7.12
71G Aqr,PPM 238819,6.8,1.86
72G Aqr,PPM 171737,6.4,8.49
73G Aqr,PPM 238839,7.0,12.09
74G Aqr,PPM 171745,6.2,11.59
beta Aqr,PPM 205297,2.6,5.44
77G Aqr,PPM 205345,6.7,3.97
78G Aqr,PPM 205347,6.8,8.67
79G Aqr,PPM 171943,6.7,3.23
80G Aqr,PPM 205373,6.2,2.98
xi Aqr,PPM 205412,5.0,3.82
82G Aqr,PPM 181309,6.2,6.59
24 Aqr,PPM 181318,6.7,5.72
d Aqr,PPM 172073,5.5,5.78
26 Aqr,PPM 172137,6.0,5.94
86G Aqr,PPM 205543,6.7,8.89
87G Aqr,PPM 205587,6.8,17.60
88G Aqr,PPM 205607,6.8,4.94
89G Aqr,PPM 205611,6.5,10.01
90G Aqr,PPM 205638,6.9,2.95
91G Aqr,PPM 172351,6.7,10.20
92G Aqr,PPM 205703,6.7,5.52
93G Aqr,PPM 205710,7.0,3.73
94G Aqr,PPM 205735,6.0,8.40
95G Aqr,PPM 205745,6.4,2.52
96G Aqr,PPM 205818,6.5,5.12
97G Aqr,PPM 273206,6.9,8.09
98G Aqr,PPM 205831,6.4,4.18
28 Aqr,PPM 172556,5.9,3.08
100G Aqr,PPM 239700,6.6,3.30
29 Aqr,PPM 239702,6.5,3.12
30 Aqr,PPM 205908,5.8,2.64
omicron Aqr,PPM 205909,4.9,3.79
32 Aqr,PPM 181395,5.7,5.85
alpha Aqr,PPM 181401,2.7,3.74
106G Aqr,PPM 239795,7.0,12.42
iota Aqr,PPM 239801,4.4,0.97
108G Aqr,PPM 273390,7.0,1.61
110G Aqr,PPM 239822,6.9,3.97
111G Aqr,PPM 239855,7.0,3.98
35 Aqr,PPM 239860,5.9,7.36
113G Aqr,PPM 273432,6.6,2.13
114G Aqr,PPM 206033,6.9,0.98
115G Aqr,PPM 206047,6.5,14.44
37 Aqr,PPM 239898,6.8,8.67
e Aqr,PPM 239902,5.6,6.05
118G Aqr,PPM 206055,6.3,9.22
119G Aqr,PPM 273471,6.4,1.08
39 Aqr,PPM 239931,6.4,2.91
121G Aqr,PPM 206098,6.7,3.00
40 Aqr,PPM 239961,7.0,3.88
41 Aqr,PPM 273536,5.8,2.67
124G Aqr,PPM 273549,6.9,7.75
125G Aqr,PPM 239990,6.8,1.36
126G Aqr,PPM 273597,6.7,6.37
42 Aqr,PPM 240044,5.8,5.63
128G Aqr,PPM 181430,6.4,1.68
theta Aqr,PPM 206179,4.3,2.43
130G Aqr,PPM 206180,6.4,7.93
44 Aqr,PPM 206183,6.4,3.04
132G Aqr,PPM 181433,6.6,4.48
45 Aqr,PPM 240100,6.3,1.38
rho Aqr,PPM 206239,5.6,3.88
47 Aqr,PPM 273696,5.6,10.01
gamma Aqr,PPM 181446,3.9,1.24
49 Aqr,PPM 273730,5.9,4.56
138G Aqr,PPM 206307,6.2,5.13
51 Aqr,PPM 206316,5.8,2.17
50 Aqr,PPM 240218,6.1,5.08
141G Aqr,PPM 181451,6.8,3.91
pi Aqr,PPM 173030,4.9,7.14
143G Aqr,PPM 273782,7.0,1.39
144G Aqr,PPM 273799,6.3,3.84
f Aqr,PPM 240280,5.8,1.59
147G Aqr,PPM 206367,6.9,4.81
54 Aqr,PPM 240283,7.0,3.22
149G Aqr,PPM 181457,6.9,5.34
zeta1 Aqr,PPM 181465,3.5,10.15
152G Aqr,PPM 240361,6.5,4.82
56 Aqr,PPM 240369,6.3,5.07
sigma Aqr,PPM 240380,5.1,2.81
155G Aqr,PPM 206459,6.6,6.90
58 Aqr,PPM 240403,6.7,6.55
157G Aqr,PPM 206458,6.2,2.88
159G Aqr,PPM 206508,6.7,8.67
60 Aqr,PPM 181485,6.2,3.88
upsilon Aqr,PPM 273980,5.7,4.95
162G Aqr,PPM 273998,6.2,3.89
eta Aqr,PPM 181490,4.1,2.16
61 Aqr,PPM 240493,6.7,2.19
165G Aqr,PPM 240497,6.7,10.62
kappa Aqr,PPM 206585,5.2,2.30
167G Aqr,PPM 206598,6.4,7.92
64 Aqr,PPM 240562,6.9,11.09
169G Aqr,PPM 206629,6.8,6.57
170G Aqr,PPM 274123,6.9,3.29
171G Aqr,PPM 206643,6.4,4.30
172G Aqr,PPM 206663,6.7,6.92
173G Aqr,PPM 173347,7.0,9.99
174G Aqr,PPM 206690,6.6,4.34
67 Aqr,PPM 206695,6.4,7.35
g1 Aqr,PPM 240657,4.9,7.19
177G Aqr,PPM 240730,7.0,3.50
178G Aqr,PPM 240749,6.9,7.23
g2 Aqr,PPM 240753,5.4,16.22
tau1 Aqr,PPM 240758,5.8,5.52
70 Aqr,PPM 240780,6.2,8.62
182G Aqr,PPM 274279,7.0,3.21
tau2 Aqr,PPM 240808,4.2,4.48
184G Aqr,PPM 240871,6.8,8.13
lambda Aqr,PPM 206868,3.6,8.20
186G Aqr,PPM 240876,6.8,13.96
74 Aqr,PPM 240893,6.0,5.08
188G Aqr,PPM 206895,6.9,11.82
189G Aqr,PPM 240908,7.0,1.91
75 Aqr,PPM 240909,7.0,6.54
delta Aqr,PPM 240921,3.2,1.76
78 Aqr,PPM 206913,6.4,7.50
77 Aqr,PPM 240923,5.8,7.80
194G Aqr,PPM 274372,6.8,6.63
195G Aqr,PPM 206927,5.9,0.98
196G Aqr,PPM 274382,6.6,2.82
197G Aqr,PPM 206972,6.6,3.57
198G Aqr,PPM 241020,6.6,5.64
199G Aqr,PPM 207028,6.9,2.14
200G Aqr,PPM 274506,6.7,7.43
81 Aqr,PPM 207047,6.6,3.49
202G Aqr,PPM 207049,6.1,6.65
203G Aqr,PPM 241095,7.0,4.24
