index1,index2,mag,dist
1G Ant,SAO 200392,7.0,1.08
epsilon Ant,SAO 200416,5.0,2.56
3G Ant,SAO 177546,6.0,5.31
4G Ant,SAO 200419,6.6,7.14
5G Ant,SAO 177552,7.0,3.14
6G Ant,SAO 200436,7.0,0.69
7G Ant,SAO 177582,7.0,4.37
zeta1 Ant,SAO 200444,6.1,3.01
zeta2 Ant,SAO 200459,6.3,7.96
11G Ant,SAO 200462,6.4,0.77
S Ant,SAO 177619,6.9,1.93
13G Ant,SAO 200492,6.8,5.05
14G Ant,SAO 200531,6.8,0.45
15G Ant,SAO 177738,6.8,3.04
16G Ant,SAO 177748,6.4,1.21
17G Ant,SAO 200561,6.2,3.42
18G Ant,SAO 200573,6.4,1.92
19G Ant,SAO 200590,7.0,6.57
20G Ant,SAO 200635,7.0,3.97
21G Ant,SAO 200644,7.0,0.19
22G Ant,SAO 200652,6.5,0.54
theta Ant,SAO 177908,5.1,3.03
24G Ant,SAO 200681,7.0,5.95
25G Ant,SAO 177939,6.7,1.04
26G Ant,SAO 200699,7.0,2.37
27G Ant,SAO 200710,7.0,1.85
28G Ant,SAO 200714,7.0,6.95
29G Ant,SAO 200736,7.0,0.42
30G Ant,SAO 178027,6.9,4.04
31G Ant,SAO 200777,6.4,4.38
32G Ant,SAO 200784,6.7,3.49
33G Ant,SAO 178130,6.6,9.96
34G Ant,SAO 178157,7.0,2.79
35G Ant,SAO 200880,6.9,4.79
36G Ant,SAO 200889,6.4,3.27
37G Ant,SAO 178216,6.7,7.78
eta Ant,SAO 200926,5.6,6.15
39G Ant,SAO 200994,6.8,2.05
40G Ant,SAO 201005,6.9,7.80
41G Ant,SAO 178378,6.9,5.76
42G Ant,SAO 178385,6.9,7.45
43G Ant,SAO 201020,6.9,1.31
44G Ant,SAO 201037,6.6,1.82
45G Ant,SAO 201039,7.0,4.41
46G Ant,SAO 201040,6.9,2.93
47G Ant,SAO 201045,6.9,4.45
48G Ant,SAO 201081,6.6,3.10
49G Ant,SAO 201109,6.5,5.32
R Ant,SAO 201114,0.0,1.38
51G Ant,SAO 201129,6.9,4.64
52G Ant,SAO 201152,6.9,8.04
53G Ant,SAO 178526,6.4,2.50
55G Ant,SAO 221877,6.4,3.29
56G Ant,SAO 221883,6.8,3.39
57G Ant,SAO 201196,6.9,4.10
58G Ant,SAO 201211,6.6,2.67
59G Ant,SAO 178644,5.8,2.86
60G Ant,SAO 201266,6.9,3.35
61G Ant,SAO 201275,6.8,2.67
62G Ant,SAO 201297,6.9,7.04
63G Ant,SAO 178759,6.6,4.75
