index1,index2,mag,dist
U 1,CD -38°7,7.5,37.24
U 2,CD -23°7,8.8,29.00
U 7,CD -23°13,6.5,9.84
U 12,CD -34°17,6.1,11.28
U 22,CD -35°20,7.0,2.98
U 26,CD -22°13,7.0,11.90
U 28,CD -28°16,5.8,5.48
U 34,CD -26°35,7.2,14.69
U 39,CD -22°24,8.0,19.80
U 43,CD -35°36,5.8,10.46
U 47,CD -33°35,8.5,8.54
U 48,CD -28°26,5.5,23.37
U 51,CD -35°42,5.0,27.89
U 54,CD -42°32,5.5,0.48
U 58,CD -27°37,7.0,9.97
U 62,CD -43°30,7.2,8.70
U 70,CD -43°32,7.8,7.73
U 71,CD -27°38,6.9,40.03
U 72,CD -38°40,6.0,12.48
U 77,CD -23°52,7.5,9.53
U 78,CD -26°57,6.6,7.69
U 89,CD -32°66,7.5,8.07
U 90,CD -35°65,5.8,2.08
U 92,CD -32°69,8.2,16.61
U 96,CD -41°55,6.5,4.88
U 98,CD -35°69,7.9,21.31
U 101,CD -32°72,5.6,28.76
U 106,CD -33°71,7.0,7.50
U 110,CD -33°73,6.9,4.78
U 123,CD -30°79,7.6,8.87
U 135,CD -25°96,7.4,29.66
U 139,CD -36°100,7.0,13.79
U 140,CD -33°95,7.9,19.80
U 142,CD -24°103,6.9,2.66
U 148,CD -30°91,7.6,6.09
U 149,CD -39°72,6.8,5.82
U 152,CD -36°104,6.4,6.01
U 154,CD -29°86,5.0,34.97
U 158,CD -23°111,7.7,20.71
U 166,CD -36°112,7.0,20.58
U 167,CD -39°83,6.0,2.71
U 168,CD -38°93,6.2,18.77
U 170,CD -31°138,6.4,63.39
U 171,CD -30°101,7.3,8.15
U 172,CD -38°105,7.0,17.89
U 173,CD -24°122,8.2,37.19
U 174,CD -29°106,7.2,27.65
U 180,CD -24°128,7.5,7.80
U 181,CD -31°154,6.9,12.76
U 185,CD -39°92,6.0,8.33
U 187,CD -22°124,7.0,8.49
U 188,CD -28°118,6.3,18.39
U 193,CD -31°162,6.8,11.12
U 198,CD -22°128,7.3,12.49
U 199,CD -42°116,3.0,5.45
U 204,CD -26°138,6.0,9.67
U 206,CD -32°136,7.0,34.21
U 210,CD -33°152,5.2,22.59
U 214,CD -29°126,6.5,1.94
U 216,CD -36°144,8.1,5.70
U 217,CD -25°155,6.7,29.52
U 221,CD -36°149,8.1,16.88
U 233,CD -24°179,5.0,11.77
U 244,CD -25°185,6.7,9.61
U 249,CD -26°160,5.7,32.67
U 256,CD -26°164,7.5,5.18
U 258,CD -30°156,6.2,21.74
U 259,CD -39°128,7.2,4.28
U 261,CD -35°170,6.5,9.13
U 262,CD -35°170,8.0,12.79
U 266,CD -32°183,7.6,21.35
U 275,CD -26°171,7.0,6.99
U 283,CD -27°169,8.2,16.68
U 285,CD -23°220,6.3,1.32
U 292,CD -38°185,7.2,19.60
U 296,CD -25°221,7.2,14.49
U 298,CD -25°222,7.5,35.72
U 301,CD -25°225,5.2,21.23
U 309,CD -30°178,8.1,11.82
U 312,CD -42°198,6.5,2.91
U 313,CD -25°233,0.0,8.87
U 314,CD -32°217,0.0,7.42
U 316,CD -25°234,6.0,7.34
U 324,CD -25°245,7.8,10.95
U 326,CD -42°209,8.0,3.09
U 327,CD -34°224,7.0,14.89
U 331,CD -24°263,6.3,18.96
U 335,CD -30°195,6.0,20.99
U 343,CD -25°264,6.0,6.78
U 357,CD -36°241,6.4,1.75
U 358,CD -39°175,5.0,4.33
U 368,CD -39°181,5.2,10.22
U 369,CD -27°223,7.7,50.65
U 371,CD -22°239,6.2,9.15
U 374,CD -32°274,6.7,6.85
U 383,CD -23°293,6.5,5.70
U 390,CD -30°228,6.6,9.05
U 400,CD -37°273,7.0,5.26
U 401,CD -32°302,6.4,14.86
U 406,CD -22°261,5.8,18.14
U 407,CD -30°240,7.1,20.97
U 416,CD -29°225,7.0,12.73
U 417,CD -24°339,8.5,30.46
U 423,CD -24°345,6.0,24.13
U 428,CD -23°315,7.3,40.38
U 429,CD -24°346,8.5,26.14
U 432,CD -24°347,6.1,13.64
U 435,CD -24°351,7.3,6.17
U 447,CD -39°208,6.8,28.23
U 457,CD -24°376,6.5,30.34
U 462,CD -31°325,6.1,12.97
U 466,CD -25°338,6.4,4.28
U 467,CD -25°338,8.5,2.13
U 481,CD -33°337,7.5,8.19
U 490,CD -25°355,6.5,10.50
U 496,CD -28°288,6.8,12.50
U 497,CD -27°299,8.2,21.61
U 501,CD -26°303,6.7,9.48
U 511,CD -27°308,7.8,16.19
U 516,CD -30°297,4.6,16.97
U 523,CD -35°336,7.0,9.39
U 529,CD -26°326,6.9,6.57
U 536,CD -34°387,7.2,11.40
U 537,CD -39°260,5.3,14.13
U 539,CD -38°344,5.5,7.36
U 547,CD -32°410,5.3,10.30
U 553,CD -24°457,9.2,41.69
U 554,CD -24°458,9.0,29.64
U 557,CD -23°383,8.0,7.73
U 558,CD -28°322,8.0,37.30
U 559,CD -30°325,6.5,1.44
U 562,CD -32°412,6.8,8.16
U 566,CD -34°411,6.2,17.60
U 572,CD -28°336,7.2,13.35
U 573,CD -27°352,7.7,34.15
U 578,CD -27°353,9.0,5.63
U 581,CD -27°355,8.5,13.10
U 583,CD -24°484,6.0,15.62
U 588,CD -36°417,6.0,7.08
U 590,CD -25°438,7.0,26.07
U 591,CD -24°496,6.0,26.77
U 596,CD -28°348,7.0,56.94
U 599,CD -33°409,6.0,14.55
U 616,CD -26°377,7.5,17.90
U 623,CD -32°469,7.0,10.25
U 634,CD -35°420,6.0,15.06
U 636,CD -36°460,7.0,12.90
U 645,CD -24°540,8.8,4.36
U 654,CD -34°483,7.2,28.14
U 666,CD -29°411,7.5,31.78
U 679,CD -29°422,6.8,9.51
U 688,CD -37°516,5.8,22.82
U 693,CD -25°555,6.8,23.82
U 697,CD -32°548,6.5,16.36
U 701,CD -29°447,7.1,69.51
U 715,CD -22°503,6.0,15.97
U 723,CD -22°507,6.5,3.56
U 724,CD -27°495,7.5,15.68
